date,quarterlyNetIncomeCommonStockholders,quarterlyBasicAverageShares,quarterlyStockBasedCompensation,quarterlyOtherNonCashItems,quarterlyPurchaseOfInvestment,quarterlyEbitda,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyCashDividendsPaid,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyRetainedEarnings,quarterlyOtherShortTermInvestments,quarterlyFreeCashFlow,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyTotalRevenue,quarterlyGrossPPE,quarterlyIncomeTaxPayable,quarterlyOperatingIncome,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyChangeInInventory,quarterlyOtherCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyDilutedEPS,quarterlyLongTermDebt,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyDilutedAverageShares,quarterlyChangeInAccountPayable,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyGrossProfit,quarterlyInvestmentsAndAdvances,quarterlyNetIncomeContinuousOperations,quarterlyStockholdersEquity,quarterlyNetIncome,quarterlySellingGeneralAndAdministration,quarterlyNetOtherInvestingChanges,quarterlyGoodwill,quarterlyRepaymentOfDebt,quarterlyTaxProvision,quarterlyInventory,quarterlyNetPPE,quarterlyOtherIncomeExpense,quarterlyAccumulatedDepreciation,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCurrentDeferredRevenue,quarterlyCashAndCashEquivalents,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyOperatingExpense,quarterlyOtherIntangibleAssets,quarterlyPretaxIncome,quarterlyNetOtherFinancingCharges,quarterlyResearchAndDevelopment,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherNonCurrentAssets,quarterlyCommonStockIssuance,quarterlyCapitalExpenditure,quarterlyOperatingCashFlow,quarterlyPurchaseOfBusiness,quarterlyTotalAssets,quarterlyOtherCurrentLiabilities,quarterlySaleOfInvestment,quarterlyChangeInCashSupplementalAsReported,quarterlyRepurchaseOfCapitalStock,quarterlyTotalNonCurrentAssets,quarterlyChangesInAccountReceivables,quarterlyDepreciationAndAmortization,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyBasicEPS,quarterlyNonCurrentDeferredRevenue
1988-06-30,,,,,,7600000,,,,,,,,,,7600000,,,7600000,,,,,,0.01,,,,,,,,,,700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,
1988-09-30,,,,,,7600000,,,,,,,,,,7600000,,,7600000,,,,,,0.01,,,,,,,,,,700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,
1988-12-31,,,,,,7600000,,,,,,,,,,7600000,,,7600000,,,,,,0.01,,,,,,,,,,700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,
1989-03-31,,,,,,-18400000,,,,,,-7400000.0,,,9100000.0,7600000,5100000.0,,-18400000,7300000.0,19500000.0,,300000.0,,,,,,,,,1800000.0,,,800000,13800000.0,,,,,,,5300000.0,3000000.0,,-2100000.0,9500000.0,,,9500000.0,1000000.0,,,,,,,,400000.0,,,,,22900000.0,6300000.0,,,,3400000.0,,,,,,,,
1989-06-30,,,,,,12400000,,,,,,,,,,12400000,,,12400000,,,,,,0.01,,,,,,,,,,1500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,
1989-09-30,,,,,,12500000,,,,,,,,,,12500000,,,12500000,,,,,,0.01,,,,,,,,,,1500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,
1989-12-31,,,,,,12500000,,,,,,,,,,12500000,,,12500000,,,,,,0.01,,,,,,,,,,1500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,
1990-03-31,,,,,,-28600000,,,,,,1100000.0,,,11800000.0,12500000,8700000.0,,-28600000,9800000.0,29100000.0,,1200000.0,,,,,,,,,2000000.0,,,1600000,22700000.0,,,,,,,3900000.0,5200000.0,,-3500000.0,13100000.0,,,13100000.0,1100000.0,,,300000.0,,,,,-100000.0,,,,,34500000.0,4400000.0,,,,5400000.0,,,4300000.0,,,100000.0,,
1990-06-30,2800000.0,269896000.0,,,,4700000,0.0,-900000.0,,,4900000.0,3900000.0,,7300000.0,19900000.0,18500000,11000000.0,,4200000,17200000.0,80000000.0,-1900000.0,1100000.0,0.0,0.02,2700000.0,,,6700000.0,269896000.0,,2700000.0,11800000.0,,2800000,69000000.0,2800000.0,7100000.0,0.0,,,1700000.0,5800000.0,7100000.0,400000.0,-3900000.0,61900000.0,,,61900000.0,1400000.0,100000.0,7600000.0,1800000.0,4500000.0,-1600000.0,,41400000.0,0.0,43500000.0,-900000.0,8200000.0,,88900000.0,4000000.0,,48800000.0,,8900000.0,,500000.0,11800000.0,,13100000.0,,0.02,
1990-09-30,3700000.0,270176000.0,,,,5900000,0.0,-200000.0,,,-5100000.0,7600000.0,,-900000.0,18400000.0,23100000,13100000.0,,5300000,14300000.0,80700000.0,0.0,1900000.0,0.0,0.02,4100000.0,,,8500000.0,270176000.0,,4100000.0,14600000.0,,3700000,72700000.0,3700000.0,8700000.0,0.0,,,2300000.0,5800000.0,8600000.0,900000.0,-4500000.0,60700000.0,,,60700000.0,1700000.0,100000.0,9300000.0,1800000.0,6000000.0,0.0,,-300000.0,0.0,-100000.0,-200000.0,-700000.0,,91100000.0,4400000.0,,-1300000.0,,10400000.0,,600000.0,8200000.0,,0.0,,0.02,
