date,quarterlyBasicAverageShares,quarterlyOtherNonCurrentAssets,quarterlyResearchAndDevelopment,quarterlyInvestmentsAndAdvances,quarterlyNetOtherFinancingCharges,quarterlyOperatingCashFlow,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyLongTermDebt,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOtherIncomeExpense,quarterlyNetPPE,quarterlyOtherCurrentLiabilities,quarterlyTaxProvision,quarterlyInventory,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyCommonStockIssuance,quarterlyChangeInCashSupplementalAsReported,quarterlyAccountsReceivable,quarterlyDilutedEPS,quarterlyCapitalStock,quarterlyOtherIntangibleAssets,quarterlyFreeCashFlow,quarterlyBeginningCashPosition,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyTotalNonCurrentAssets,quarterlyCurrentDebt,quarterlyChangesInAccountReceivables,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyInterestExpense,quarterlyDepreciationAndAmortization,quarterlyPurchaseOfInvestment,quarterlyAccountsPayable,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyNonCurrentDeferredRevenue,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyGrossProfit,quarterlyTotalRevenue,quarterlyIncomeTaxPayable,quarterlyGrossPPE,quarterlyOperatingIncome,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyDilutedAverageShares,quarterlyChangeInInventory,quarterlyStockBasedCompensation,quarterlyOtherNonCashItems,quarterlyCashDividendsPaid,quarterlyRepurchaseOfCapitalStock,quarterlyEbitda,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyOperatingExpense,quarterlyRetainedEarnings,quarterlyCurrentLiabilities,quarterlyNetOtherInvestingChanges,quarterlySellingGeneralAndAdministration,quarterlyStockholdersEquity,quarterlyCurrentAssets,quarterlyGoodwill,quarterlyOtherCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyRepaymentOfDebt,quarterlyBasicEPS,quarterlyOtherNonCurrentLiabilities,quarterlyOtherShortTermInvestments,quarterlySaleOfInvestment,quarterlyChangeInAccountPayable,quarterlyCurrentDeferredRevenue
1991-03-31,850432145.0,,,,,,,,31959240,31959240,,,,,,,,,,,,,0.03758,,,,,,31959240,,,,,,,,,,,,,,,,388026864,,,388026864,,,850432145.0,,,,,,388026864,,,,,,,,,,,,,,,0.03758,,,,,
1991-06-30,759519078.0,,,,,,,,13018157,13018157,,,,,,,,,,,,,0.01714,,,,,,13018157,,,,,,,,,,,,,,,,397967340,,,397967340,,,759519078.0,,,,,,397967340,,,,,,,,,,,,,,,0.01714,,,,,
1991-09-30,870087420.0,,,,,,,,27042317,27042317,,,,,,,,,,,,,0.03108,,,,,,27042317,,,,,,,,,,,,,,,,378026703,,,378026703,,,870087420.0,,,,,,378026703,,,,,,,,,,,,,,,0.03108,,,,,
1991-12-31,,262075341.0,,,,,,,4996650,4996650,134042061.0,391033048.0,,1597989369.0,67945459.0,,162006009.0,,,,,,,,,,,2238040213.0,4996650,1860064710.0,18950774.0,,1964410.0,1964410.0,,,,211000693.0,1012017564.0,,,,,,400065520,,8069216547.0,-977794429,,,,,,,,,-977794429,714120638.0,,,,721053848.0,297896926.0,,,1226022648.0,377975503.0,,0.0,-6471227178.0,,,189045529.0,,,,
1992-03-31,665846585.0,,,,,,,,5946010,5946010,,,,,,,,,,,,,0.00893,,,,,,5946010,,,,,,,,,,,,,,,,361041741,,,361041741,,,665846585.0,,,,,,361041741,,,,,,,,,,,,,,,0.00893,,,,,
1992-06-30,835452062.0,,,,,,,,-14988010,-14988010,,,,,,,,,,,,,-0.01794,,,,,,-14988010,,,,,,,,,,,,,,,,361031175,,,361031175,,,835452062.0,,,,,,361031175,,,,,,,,,,,,,,,-0.01794,,,,,
1992-09-30,859702059.0,,,,,,,,-227958598,-227958598,,,,,,,,,,,,,-0.26516,,,,,,-227958598,,,,,,,,,,,,,,,,387953610,,,387953610,,,859702059.0,,,,,,387953610,,,,,,,,,,,,,,,-0.26516,,,,,
1992-12-31,,231913541.0,,,,,,,9089950,9089950,171010807.0,285950413.0,,1342021615.0,76033058.0,,144055944.0,,,,,,,,,,,1946980292.0,9089950,1573935156.0,25937699.0,,,,,,,240050858.0,1010934520.0,,,,,,-9562719660,,2686077559.0,-10988657359,,,,,,,,,-10988657359,668912905.0,,,,435982200.0,342021615.0,,,936045772.0,373045137.0,,0.0,-1344055944.0,,,211951685.0,,,,
1993-03-31,825007384.0,229017240.0,,,0.0,12960866.0,22020888.0,-34981754.0,12960866,12960866,197055493.0,286019882.0,-15980873.0,1338995847.0,310934944.0,8053353.0,171007928.0,,181955455.0,,0.0,,0.01571,,,-22020888.0,0.0,1956964892.0,12960866,1568013087.0,27054234.0,,,,4026677.0,45048446.0,,,1022020888.0,-38001762.0,3020008.0,,,197055493.0,379010948,,2332955832.0,41021770,-34981754.0,0.0,825007384.0,,,-10066692.0,-13967535.0,,86070216,684031710.0,21014219.0,,156033723.0,435006921.0,337989178.0,0.0,50962627.0,934944004.0,388951806.0,,0.0,-993959985.0,,0.01571,200956335.0,,,,
1993-06-30,779323305.0,263043199.0,,,-128189.0,18060798.0,10923606.0,-61031578.0,9998718,9998718,218048968.0,297013203.0,-2948340.0,1344955775.0,308934752.0,7947699.0,159979490.0,,196000513.0,,1025510.0,,0.01283,,,-42970780.0,0.0,2002051019.0,9998718,1607998974.0,32047173.0,,1025510.0,1025510.0,3973850.0,40966168.0,,,1054992950.0,11979457.0,9029729.0,,,186001794.0,382002307,,2338930906.0,24996795,-27958895.0,0.0,779323305.0,,,-53899466.0,-13977600.0,,66017177,714011024.0,17946417.0,,161004999.0,446993975.0,340981925.0,1025509.0,54992950.0,947058069.0,394052045.0,,0.0,-993975131.0,,0.01283,198948853.0,,,,
