date,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyAccumulatedDepreciation,quarterlyTaxProvision,quarterlyCashAndCashEquivalents,quarterlyCurrentDeferredRevenue,quarterlyOtherIncomeExpense,quarterlyPretaxIncome,quarterlyBasicEPS,quarterlyNetPPE,quarterlyBasicAverageShares,quarterlyStockholdersEquity,quarterlyInvestmentsAndAdvances,quarterlyInventory,quarterlyOperatingExpense,quarterlyLongTermDebt,quarterlyOtherNonCurrentLiabilities,quarterlyOtherCurrentAssets,quarterlyOtherCurrentLiabilities,quarterlyGrossPPE,quarterlyGoodwill,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyIncomeTaxPayable,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyDilutedEPS,quarterlySellingGeneralAndAdministration,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyNonCurrentDeferredRevenue,quarterlyRetainedEarnings,quarterlyGrossProfit,quarterlyOtherShortTermInvestments,quarterlyEbitda,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyDilutedAverageShares,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyInterestExpense,quarterlyOtherNonCurrentAssets,quarterlyCurrentDebt,quarterlyAccountsPayable,quarterlyCapitalStock,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherIntangibleAssets,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyChangesInAccountReceivables,quarterlyFreeCashFlow,quarterlyStockBasedCompensation,quarterlyBeginningCashPosition,quarterlyDepreciationAndAmortization,quarterlyInvestingCashFlow,quarterlyRepurchaseOfCapitalStock,quarterlyEndCashPosition,quarterlySaleOfInvestment,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOperatingCashFlow,quarterlyResearchAndDevelopment,quarterlyChangeInAccountPayable,quarterlyChangeInInventory,quarterlyCommonStockIssuance,quarterlyNetOtherFinancingCharges,quarterlyCashDividendsPaid,quarterlyDeferredIncomeTax,quarterlyChangeInCashSupplementalAsReported,quarterlyPurchaseOfInvestment,quarterlyRepaymentOfDebt,quarterlyNetOtherInvestingChanges,quarterlyPurchaseOfBusiness,quarterlyCapitalExpenditure,quarterlyOtherNonCashItems,quarterlyChangeInWorkingCapital
2009-11-30,,,,232187,,,-5908,2606924,0.006667,,360000000.0,,,,4720267,,,,,,,2374737,2400690,,,0.006667,4720267,,,2486205,16285665,,,7206472,,2606924,,9079193,,375000000.0,,0.0,,,,,,,,,2400690,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-02-28,175610.0,52670637.0,-1787976.0,234070,50752481.0,29407994.0,238,2677181,,4991490.0,,17926071.0,,121819.0,5199906,,500000.0,0.0,0.0,6779466.0,763802.0,2443111,2417158,580225.0,9675610.0,,5199906,55904694.0,37901981.0,2623191,20324853,,12069734.0,7823097,1918156.0,2717824,,12501756,6817816.0,,219253.0,40643.0,2170548.0,,987742.0,120000.0,47577591.0,1389160.0,9598968.0,65503662.0,2417158,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-05-31,,,,347510,,,-26628,3300656,0.006667,,360000000.0,,,,5418002,,,,,,,2953146,2742310,,,0.006667,5418002,,,3220451,20425548,,,8638453,,3325356,,11787095,,375000000.0,,24700.0,,,,,,,,,2742310,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-08-31,146684.0,81942875.0,-2933428.0,1327760,81494598.0,42100775.0,5684,11812853,0.026667,5550290.0,360000000.0,11280747.0,,252268.0,6550136,,500000.0,0.0,30000000.0,8483718.0,765923.0,10485093,10503531,3054408.0,646684.0,0.026667,6550136,87696967.0,85587331.0,11752253,32448617,,25315575.0,18302389,448277.0,11831583,,14146228,9618867.0,376160159.0,288226.0,18730.0,2308268.0,,712710.0,125000.0,86234015.0,1025325.0,9817795.0,97514762.0,10503531,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-11-30,124005.0,179026213.0,,296275,178561614.0,38007019.0,66017,2857983,0.006667,6595296.0,405138461.0,143375843.0,,192211.0,7575414,0.0,0.0,0.0,0.0,,653072.0,2561708,2349037,2966692.0,124005.0,0.006667,7575414,184905825.0,52791712.0,2439965,24060601,,,10015379,464599.0,2873495,,14045222,10957524.0,420961998.0,,15512.0,2603269.0,,749696.0,,52915717.0,814403.0,11385735.0,196291560.0,2349037,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-02-28,117781.0,173631370.0,-4578037.0,656545,173165661.0,50678025.0,97444,9032143,,7515325.0,,155051224.0,,117827.0,9327863,0.0,0.0,25870071.0,0.0,12093362.0,662583.0,8375598,8446272,2877887.0,117781.0,,9476400,205449129.0,62601039.0,8161377,33653533,,32727630.0,17489240,465709.0,9032413,,16164293,6283200.0,,1874579.0,270.0,2818126.0,,911254.0,152600.0,62718820.0,656785.0,12320915.0,217770044.0,8446272,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-05-31,127059.0,191674766.0,,1121624,191259979.0,63278640.0,1388233,5697646,0.01,8416533.0,457800000.0,162959484.0,,116787.0,11777045,,0.0,24696694.0,0.0,,672063.0,4576022,4576022,2825103.0,127059.0,0.01,11777045,225792315.0,76983344.0,3306040,33222435,,37303652.0,15083085,414787.0,3306040,,18139350,9765877.0,466296853.0,2719378.0,,3246962.0,,1032688.0,152600.0,77110403.0,494279.0,14277572.0,240069887.0,4576022,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-08-31,,178560944.0,,1896932,178132372.0,70144667.0,1380430,12610539,0.023333,11620160.0,460516829.0,177161967.0,234771.0,147098.0,15994141,,0.0,33240302.0,0.0,,541571.0,10713607,10713607,2854955.0,136122.0,0.023333,15994141,249343236.0,89467500.0,10159068,51430002,,48017259.0,26153209,428572.0,12610539,,25276793,14303741.0,467769889.0,3861302.0,0.0,4010839.0,,2081820.0,154958.0,89603622.0,327471.0,17422353.0,266765589.0,10713607,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-11-30,144010.0,168709995.0,,275839,168315422.0,77439245.0,-177216,1717686,0.003333,13088441.0,464874131.0,180037517.0,,153816.0,15825927,,0.0,10193680.0,0.0,,541681.0,1441847,1441847,1317012.0,144010.0,0.003333,15825927,193642750.0,94970174.0,1165514,40651679,,49459106.0,16991441,394573.0,1717686,,23660238,14151599.0,467619448.0,3849738.0,0.0,4369065.0,,1979984.0,154958.0,95114184.0,211665.0,81508951.0,275151701.0,1441847,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-02-29,156494.0,188941570.0,-9419406.0,862055,188579767.0,85594032.0,1427469,8444232,,76726219.0,,190117291.0,0.0,223611.0,17384080,,0.0,10328116.0,1115223.0,86145625.0,548825.0,7582177,7582177,637302.0,156494.0,,17384080,210235030.0,104379120.0,6320639,52215556,,54779267.0,23704719,361803.0,8444232,943111.0,28510837,697227.0,,4910364.0,0.0,4545605.0,,2863596.0,154958.0,104535614.0,183523.0,84417875.0,294652905.0,7582177,,,,,,,,,,,,,,,,,,,,,,,,,,
