date,quarterlyChangeInInventory,quarterlyDilutedEPS,quarterlyOtherCurrentAssets,quarterlySaleOfInvestment,quarterlyChangesInAccountReceivables,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyGrossProfit,quarterlyChangeInAccountPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,quarterlyOperatingExpense,quarterlyNetOtherInvestingChanges,quarterlyCurrentDeferredRevenue,quarterlyStockholdersEquity,quarterlyAccumulatedDepreciation,quarterlyRepaymentOfDebt,quarterlyTaxProvision,quarterlyNetPPE,quarterlyEbitda,quarterlyCommonStockIssuance,quarterlyOtherNonCashItems,quarterlyResearchAndDevelopment,quarterlyOperatingIncome,quarterlyRetainedEarnings,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyNonCurrentDeferredRevenue,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyTotalRevenue,quarterlyIncomeTaxPayable,quarterlyGrossPPE,quarterlyCapitalExpenditure,quarterlyOperatingCashFlow,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyLongTermDebt,quarterlyOtherCurrentLiabilities,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyCostOfRevenue,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,quarterlyOtherShortTermInvestments,quarterlyDilutedAverageShares,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherNonCurrentLiabilities,quarterlyInvestmentsAndAdvances,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyGoodwill,quarterlyBasicEPS,quarterlySellingGeneralAndAdministration,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOtherIncomeExpense,quarterlyBasicAverageShares,quarterlyInventory,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyNetIncomeCommonStockholders,quarterlyCashDividendsPaid,quarterlyPurchaseOfInvestment,quarterlyCurrentDebt,quarterlyDepreciationAndAmortization,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyInterestExpense,quarterlyNetOtherFinancingCharges,quarterlyOtherNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyFreeCashFlow,quarterlyOtherIntangibleAssets,quarterlyStockBasedCompensation,quarterlyRepurchaseOfCapitalStock
2004-06-30,,6.022046,,,,,,,,,,,,,,,,,,3582298734.15,,,,3582298734.15,,,,,,,,,3582298734.15,,,,,,,,,,,,,,37173752.0,,,,,223862061.69,223862061.69,,6.022046,,,,37173752.0,,,,223862061.69,,,,,,,,,,,,,,
2004-09-30,,7.731152,,,,,,,,,,,,,,,,,,4147064253.36,,,,4147064253.36,,,,,,,,,4147064253.36,,,,,,,,,,,,,,39996651.0,,,,,309220185.96,309220185.96,,8.267366,,,,37402503.0,,,,309220185.96,,,,,,,,,,,,,,
2004-12-31,,8.456741,,,,,,,,,,,,,,,,,,5230521634.52,,,,5230521634.52,,,,,,,,,5230521634.52,,,,,,,,,,,,,,39728075.0,,,,,341608688.82,341608688.82,,9.044131,,,,37306228.0,,,,341608688.82,,,,,,,,,,,,,,
2005-03-31,,,10323143568.0,,,,3620087148.0,,,14052401016.0,25925762844.0,,,,56467245972.0,-35550216492.0,,,38947596228.0,6263400260.02,,,,6263400260.02,10620086784.0,,,,,,69558948348.0,72305673096.0,186058150736.02,,74497812720.0,,,,25659387312.0,34882094256.0,159318769008.0,87013095912.0,,10283842260.0,5882095764.0,15746724072.0,,,0.0,,30960697080.0,12428717192.58,12428717192.58,,,,5301309768.0,,,21375544740.0,,,12428717192.58,,,2868995484.0,,4877729004.0,20624453076.0,,,47170303224.0,100519645428.0,,895196460.0,,
2005-06-30,,9.373236,,,,,,,,,,,,,,,,,,58798911867.5,,,,58798911867.5,,,,,,,,,58798911867.5,,,,,,,,,,,,,,375553126.0,,,,,3667391231.0,3667391231.0,,9.373236,,,,375553126.0,,,,3667391231.0,,,,,,,,,,,,,,
2005-09-30,,9.475821,,,,,,,,,,,,,,,,,,59442439511.25,,,,59442439511.25,,,,,,,,,59442439511.25,,,,,,,,,,,,,,375553126.0,,,,,3707529178.5,3707529178.5,,9.475821,,,,375553126.0,,,,3707529178.5,,,,,,,,,,,,,,
2005-12-31,,9.707075,,,,,,,,,,,,,,,,,,60893105126.25,,,,60893105126.25,,,,,,,,,60893105126.25,,,,,,,,,,,,,,391262032.0,,,,,3798009736.5,3798009736.5,,9.707075,,,,391262032.0,,,,3798009736.5,,,,,,,,,,,,,,
2006-03-31,,,12031013700.0,,,,3836556591.0,,,18046520550.0,30362713834.0,,,,81164783165.0,-40794048305.0,,,45588630061.0,-162600890292.75,,,,-162600890292.75,20439355497.0,,,,,,81031105235.0,90245970543.0,58364272066.25,,86382678366.0,,,,27252473996.0,35576153104.0,202517608019.0,112271637476.0,,14281258855.0,5636752715.0,8078602903.0,,,3613760041.0,,37010962886.0,3640281984.5,3640281984.5,7044826911.0,,,6144728849.0,,,26352375934.0,,,3640281984.5,,,9455485582.0,,6327422020.0,14406024923.0,,,57276537074.0,118042068121.0,,2361643430.0,,
2006-06-30,,10.892205,,,,,,,,,,,,,,,,,,83022060485.95,,,,83022060485.95,,,,,,,,,83022060485.95,,,,,,,,,,,,,,416406783.0,,,,,4535588181.4,4535588181.4,,11.301654,,,,401320756.0,,,,4535588181.4,,,,,,,,,,,,,,
2006-09-30,,10.836585,,,,,,,,,,,,,,,,,,82598110822.19,,,,82598110822.19,,,,,,,,,82598110822.19,,,,,,,,,,,,,,416406783.0,,,,,4512427336.28,4512427336.28,,11.243942,,,,401320756.0,,,,4512427336.28,,,,,,,,,,,,,,
2006-12-31,,10.901471,,,,,,,,,,,,,,,,,,83097123859.32,,,,83097123859.32,,,,,,,,,83097123859.32,,,,,,,,,,,,,,416428619.0,,,,,4539684597.78,4539684597.78,,11.311969,,,,401316918.0,,,,4539684597.78,,,,,,,,,,,,,,
2007-03-31,,,18218342438.0,,,,3862271316.0,,,15703977890.0,45582577914.0,,,,91584216586.0,-45720824762.0,,,63800920352.0,-222795499115.96,,,,-222795499115.96,32211515584.0,,,,,,121069677136.0,114204857090.0,83019489302.04,,109521745114.0,,,,40329197690.0,34371622584.0,271659376534.0,157454519444.0,,19367519362.0,2121225074.0,2769257174.0,,,8614506716.0,,54940161438.0,4538761481.0,4538761481.0,7253639306.0,,,5996457032.0,,,34004404394.0,,,4538761481.0,,,38994251564.0,,7668379850.0,10437637024.0,,,83401731270.0,176009838574.0,,2998228516.0,,
2007-06-30,,8.893508,,,,,,,,,,,,,,,,,,91689992752.64,,,,91689992752.64,,,,,,,,,91689992752.64,,,,,,,,,,,,,,411534482.0,,,,,3566328834.56,3566328834.56,,9.167031,,,,389572878.0,,,,3566328834.56,,,,,,,,,,,,,,
2007-09-30,,8.851695,,,,,,,,,,,,,,,,,,91289550960.51,,,,91289550960.51,,,,,,,,,91289550960.51,,,,,,,,,,,,,,411534482.0,,,,,3550763940.99,3550763940.99,,9.122545,,,,389572878.0,,,,3550763940.99,,,,,,,,,,,,,,
2007-12-31,,8.861877,,,,,,,,,,,,,,,,,,91390390272.64,,,,91390390272.64,,,,,,,,,91390390272.64,,,,,,,,,,,,,,411534482.0,,,,,3554675392.32,3554675392.32,,9.13479,,,,389572878.0,,,,3554675392.32,,,,,,,,,,,,,,
2008-03-31,,,21452000000.0,,,,3852000000.0,,,22496000000.0,55028000000.0,,,,105212000000.0,-51056000000.0,,,99588000000.0,-250483210223.68,,,,-250483210223.68,39104000000.0,,,,,,183904000000.0,124460000000.0,90876789776.32,,150644000000.0,,,,58764000000.0,48268000000.0,369092000000.0,244632000000.0,,28328000000.0,11628000000.0,784000000.0,,,9464000000.0,,74344000000.0,3539934417.28,3539934417.28,6964000000.0,,,6116000000.0,,,34324000000.0,,,3539934417.28,,,68980000000.0,,11388000000.0,12172000000.0,,,134968000000.0,258248000000.0,,3112000000.0,,
2009-12-31,,10.873372,,,,,,86074700000.0,,,,69429200000.0,,,,,,2428700000.0,,29717500000.0,,,857300000.0,16645500000.0,,,8892800000.0,,,,,,260442500000.0,,,,,,,,,,174367800000.0,,,,598029744.0,,,,,6657900000.0,6502600000.0,,11.872654,22751100000.0,,-2295200000.0,547695574.0,,,,6502600000.0,,,,,,,,,,,,,,
