date,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyNetIncomeCommonStockholders,quarterlyPurchaseOfInvestment,quarterlyEbitda,quarterlyRetainedEarnings,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyGrossPPE,quarterlyNonCurrentDeferredRevenue,quarterlyFreeCashFlow,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyAccountsReceivable,quarterlyNetOtherInvestingChanges,quarterlyCostOfRevenue,quarterlyOtherCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyBasicEPS,quarterlyGrossProfit,quarterlyCashDividendsPaid,quarterlyOperatingExpense,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyLongTermDebt,quarterlyNetIncomeContinuousOperations,quarterlyBasicAverageShares,quarterlyGoodwill,quarterlySellingGeneralAndAdministration,quarterlyNetIncome,quarterlyStockholdersEquity,quarterlyNetPPE,quarterlyTaxProvision,quarterlyInventory,quarterlyRepaymentOfDebt,quarterlyInterestExpense,quarterlyCommonStockIssuance,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCurrentDebt,quarterlyOtherIntangibleAssets,quarterlyPurchaseOfBusiness,quarterlyDilutedAverageShares,quarterlyNetOtherFinancingCharges,quarterlyResearchAndDevelopment,quarterlyPretaxIncome,quarterlyCapitalExpenditure,quarterlyOtherNonCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyTotalNonCurrentAssets,quarterlyDilutedEPS,quarterlyTotalAssets,quarterlyOtherShortTermInvestments,quarterlyOtherCurrentLiabilities,quarterlyBeginningCashPosition,quarterlySaleOfInvestment,quarterlyCapitalStock,quarterlyChangeInCashSupplementalAsReported,quarterlyAccountsPayable,quarterlyDepreciationAndAmortization,quarterlyIncomeTaxPayable,quarterlyChangeInWorkingCapital,quarterlyOtherIncomeExpense,quarterlyOtherNonCashItems,quarterlyInvestmentsAndAdvances,quarterlyChangeInAccountPayable,quarterlyRepurchaseOfCapitalStock,quarterlyChangesInAccountReceivables,quarterlyDeferredIncomeTax,quarterlyOperatingCashFlow,quarterlyCurrentDeferredRevenue,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyStockBasedCompensation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentAccruedExpenses,quarterlyChangeInInventory
2009-12-31,,,,,,,4162432000.0,2632606000.0,2837615000.0,2921023000.0,103700000.0,,,,,,,323139000.0,0.0,,,,,205009000.0,13109000.0,0.0,,,52990000.0,,,2815226000.0,1176405000.0,,1018867000.0,,,,915181000.0,925321000.0,143000000.0,,,,,,,,0.0,-1744618000.0,1680777000.0,,5843209000.0,10140000.0,296246000.0,,,845900000.0,,,,,,,,,,,,,,,,,,,
2010-06-30,,,,,,101508000.0,5841354000.0,4095635000.0,4383632000.0,,102169000.0,,,,329271000.0,,,0.0,0.0,,,,,287997000.0,10154000.0,100000000.0,,,52990000.0,,,2957587000.0,1201659000.0,,690319000.0,,,,1050149000.0,1155270000.0,476922000.0,,,,,,,,0.0,,1702107000.0,,7543461000.0,105121000.0,0.0,,,845900000.0,,,,,,,,,,,,,,,,,,,
2010-12-31,,,,,,,5765534000.0,3905113000.0,4715013000.0,3444844000.0,106748000.0,,,,,,,175728000.0,0.0,,,,,809900000.0,27062000.0,600000000.0,,,,,,3082948000.0,1814315000.0,,1329527000.0,,,,1512162000.0,1765156000.0,505258000.0,,,,,,,,0.0,-1630529000.0,2427802000.0,,8193336000.0,252994000.0,99500000.0,,,845900000.0,,,,,,,,,,,,,,,,,,,
2011-06-30,,,,,,688388463.0,5807709499.0,5271744332.0,5607315615.0,1987465563.0,115309000.0,,,,1611036531.0,,,50000000.0,118136720.0,,,,,335571283.0,17434563.0,200000000.0,,,,,,3213989306.0,1987465563.0,,1138997176.0,,,,1165244771.0,1365105381.0,1293336218.0,215204781.0,,,,,,,767042174.0,,3423708972.0,,9231418471.0,199860610.0,751422472.0,,,845900000.0,,2622305444.0,,,,,,,,,,,,,,,,,
2011-09-30,1207801614.37,-186388391.25,45750107.84,-28963990.6,73516672.04,,,,,,,38779940.71,70437544.85,2352988185.58,,14100000.12,2006840460.66,,,0.0541,346147724.92,-86975718.09,275710180.07,,,,53222106.68,845658186.0,,270402532.75,45750107.84,,,16608540.78,,-456354660.38,3686024.58,,,,,,-0.23,845658186.0,0.0,,69830647.46,-181413476.05,,,,0.0541,,,,990622723.0,8700357.32,,217178891.71,,,,,,,,,,,,,,,,,,
2011-12-31,1338123272.0,-34014112.75,93832709.4,-3794842.4,171117365.75,800076268.0,5331994925.0,5076573982.0,5392200115.0,2063595396.0,111728000.0,245388130.29,84595107.0,1770978576.75,852711879.0,-0.12,1495223278.66,0.0,114496180.0,,275755298.09,-10528861.91,191160191.09,315626133.0,15129953.0,186000000.0,107160219.71,,,185269130.01,93832709.4,3323499940.0,2063595396.0,1818342.57,1110557406.0,-628587719.62,62138803.47,,1512424774.0,1589822249.0,965467831.0,766887698.0,-28560756.77,,6600000.0,,108978562.28,-141027147.95,705724917.0,-1700413000.0,3835793365.0,,9167788290.0,77397475.0,1359187185.0,1207801614.37,129922116.68,845900000.0,130321657.29,2193220812.0,,,,,,,,,,,,,,,,,
2012-03-31,1212871689.46,-219002634.1,138373632.75,-187617124.77,195707886.1,,,,,,,-335034784.54,182604931.25,3507319416.73,,53200000.0,3030221016.47,,,0.1636,477098400.26,-18565667.61,294493469.01,,,,149636257.64,845804601.0,,287998522.46,138373632.75,,,42455709.95,,-77401294.23,3615918.51,65400000.0,,,,,0.0,845804601.0,65400000.0,,192091967.59,-100546310.46,,,,0.1636,,,,1456708459.57,15293946.35,,-243836770.11,,,,,,,,,,,,,,,,,,
2012-06-30,1211543072.82,-12648658.38,148047085.78,115077060.74,216497266.59,1086496985.42,5775690340.54,5288004803.37,5863038283.39,2131392019.06,183331000.0,72302159.38,128574653.38,2748469725.64,1962988962.9,0.0,2374133765.45,0.0,186098837.43,,374335960.19,-17754641.21,245761306.81,575033480.02,14934642.59,374000000.0,158747468.64,,,239249615.8,148047085.78,3600223805.37,2131392019.06,8559462.55,945284261.92,-369224390.08,49190335.4,-50000000.0,1377992593.49,1603194074.36,1137660709.85,762514078.78,,,-50000000.0,,167306931.19,-166411777.32,41757851.58,,4170748108.94,,9946438449.48,225201480.87,1230442307.92,1212871689.46,52962285.44,845900000.0,117256571.21,2627274057.58,,,,,,,,,,,,,,,,,
2012-09-30,1362252084.18,-251252144.79,39745863.84,-56597605.59,72499274.14,1126242849.26,6182341106.39,4973994657.32,5435326612.51,2110836981.6,,-707212592.34,69314958.81,2776679832.02,2297008496.16,3580000.0,2417295032.22,0.0,128992402.41,0.0444,359384799.8,-27411306.36,290069840.99,461331955.19,14839552.78,317500000.0,45459145.31,895177114.0,,283780616.31,39745863.84,4404244471.59,2110836981.6,17407090.01,953043320.46,-539797392.44,9633038.82,860950000.0,1470672826.23,1675077320.26,974817359.8,759819817.44,0.0,895177114.0,852124529.0,,62866235.32,-205068995.62,954840543.75,,4214899739.05,0.0444,10397240845.44,204404494.03,988351006.32,1211543072.82,5726058.84,995900000.0,150709011.36,2705210280.76,,,,,,,,,,,,,,,,,
2012-12-31,1791488798.18,-264565659.81,22891729.73,44686883.43,111095369.33,1014093500.88,6259112537.27,5043066521.44,5839982823.26,2414121960.94,161440000.0,1024014250.34,1422801.42,2193546173.37,976393621.78,0.0,1929301144.32,0.0,164207717.39,,264245029.05,-40788490.51,262822227.63,796916301.82,15208584.43,617500000.0,60637062.87,,,255968703.68,22891729.73,4366397215.25,2414121960.94,2278157.34,1363535574.88,-356822490.61,48180149.12,0.0,1958031853.79,2264833098.09,732741432.98,848729588.46,-297711440.0,,-1951400.0,,62915220.21,-29036728.61,14717480.21,-1898823000.0,4472754705.83,,10731867243.1,306801244.3,1261095550.16,1362252084.18,15434580.19,995900000.0,392522464.16,2548365478.52,,,,,,,,,,,,,,,,,
