date,quarterlyDilutedEPS,quarterlyRetainedEarnings,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyTotalAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyTotalNonCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyOtherCurrentAssets,quarterlyGoodwill,quarterlyStockholdersEquity,quarterlyAccountsReceivable,quarterlyInventory,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyAccumulatedDepreciation,quarterlyCapitalStock,quarterlyNetPPE,quarterlyCurrentDebt,quarterlyOtherNonCurrentAssets,quarterlyOtherIntangibleAssets,quarterlyBasicEPS,quarterlyOtherCurrentLiabilities,quarterlyGrossPPE,quarterlyNonCurrentDeferredRevenue,quarterlyAccountsPayable,quarterlyOtherShortTermInvestments,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyNetOtherInvestingChanges,quarterlyCashDividendsPaid,quarterlyOperatingCashFlow,quarterlyOtherNonCashItems,quarterlyRepurchaseOfCapitalStock,quarterlyChangeInCashSupplementalAsReported,quarterlyTaxProvision,quarterlyChangeInInventory,quarterlyPurchaseOfInvestment,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyInvestmentsAndAdvances,quarterlyChangesInAccountReceivables,quarterlyCurrentDeferredRevenue,quarterlyNetOtherFinancingCharges,quarterlyNetIncomeCommonStockholders,quarterlyNetIncomeContinuousOperations,quarterlyEbitda,quarterlyTotalRevenue,quarterlyStockBasedCompensation,quarterlyInvestingCashFlow,quarterlyFreeCashFlow,quarterlyLongTermDebt,quarterlyNetIncome,quarterlyCurrentAccruedExpenses,quarterlyChangeInAccountPayable,quarterlyCommonStockIssuance,quarterlyEndCashPosition,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherIncomeExpense,quarterlySellingGeneralAndAdministration,quarterlyGrossProfit,quarterlyDepreciationAndAmortization,quarterlyBasicAverageShares,quarterlyResearchAndDevelopment,quarterlyCostOfRevenue,quarterlyBeginningCashPosition,quarterlyDilutedAverageShares,quarterlyOperatingIncome,quarterlyOperatingExpense,quarterlyIncomeTaxPayable,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlySaleOfInvestment,quarterlyRepaymentOfDebt,quarterlyInterestExpense,quarterlyCapitalExpenditure
2008-12-31,,,2580650000,4833450000,0,8418186000,2580650000,3584736000,0.0,3358000.0,0.0,5837536000,,1824003000,1141478000,1141478000,,-621483000.0,217070000,3031354000,14256000.0,0.0,12959000.0,,0.0,3652837000.0,,2542966000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-06-30,0.0,,2423681000,4741825000,0,8476146000,2423681000,3734321000,0.0,0.0,,6052465000,133042000.0,1609102000,1123010000,1123010000,,,217070000,3283648000,0.0,0.0,12175000.0,0.0,0.0,,,228256000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-12-31,,150965000.0,3648796000,6494412000,0,10276740000,3648796000,3782328000,0.0,0.0,,6627944000,,1769093000,1192943000,1192943000,,-1132496000.0,216999000,3428446000,0.0,0.0,10841000.0,,0.0,4560942000.0,,3630423000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-30,0.0,,3792312000,6848617000,0,10638577000,3792312000,3789960000,0.0,0.0,,6846265000,200896000.0,1969909000,1131127000,1131127000,,,216999000,3535173000,,0.0,13112000.0,0.0,0.0,,,313783000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-31,,0.0,3962985000,7698424000,0,11485108000,3962985000,3786684000,0.0,0.0,,7522123000,153983000.0,1890319000,1559025000,1559025000,,-1667461000.0,216999000,3629132000,,0.0,15705000.0,,0.0,5296593000.0,,337933000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-30,0.0,,4002582000,7861518000,0,11850696000,4002582000,3989178000,0.0,0.0,,7848114000,236822000.0,1542293000,2471110000,2471110000,,,216999000,3681433000,,0.0,12070000.0,0.0,0.0,,,124747000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12-31,,3721334000.0,4586315000,7901858000,0,12577848000,4586315000,4675990000,0.0,100000000.0,,7991533000,257024000.0,1780122000,2106993000,2106993000,,-2258042000.0,216999000,3993177000,,400000000.0,9331000.0,,0.0,6251219000.0,,167185000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-06-30,0.0,,3985580000,7329426000,0,12087437000,3985580000,4758011000,0.0,0.0,,8101857000,2771960000.0,1554672000,2635909000,2635909000,,,216999000,3970775000,,0.0,10197000.0,0.0,604514000.0,,,2980128000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-31,,3930882000.0,3634378000,7179922000,0,11888796000,3634378000,4708874000,0.0,16532000.0,,8254418000,2751198000.0,1738539000,2111365000,2111365000,,-2816095000.0,0,4048117000,,0.0,8360000.0,,691125000.0,6864212000.0,,2690856000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-30,0.0,4247593000.0,4827437000,8576575000,0,13346235000,4827437000,4769660000,0.0,117189000.0,,8518798000,3838637000.0,2127584000,1961124000,1961124000,,,0,4080344000,,0.0,8848000.0,0.0,789523000.0,4080344000.0,,3687441000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-31,,4439984000.0,5042464000,8789982000,0,13876605000,5042464000,5086623000,0.0,86851000.0,,8834141000,3437408000.0,1862279000,2575234000,2375234000,,-3292367000.0,0,4438818000,,0.0,8851000.0,,0.0,7731185000.0,,3833975000,200000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
