date,quarterlyNetIncomeCommonStockholders,quarterlyEbitda,quarterlyStockBasedCompensation,quarterlyDilutedAverageShares,quarterlyOtherNonCashItems,quarterlyPurchaseOfInvestment,quarterlyCashDividendsPaid,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyDeferredIncomeTax,quarterlyRepurchaseOfCapitalStock,quarterlyRetainedEarnings,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherShortTermInvestments,quarterlyTotalRevenue,quarterlyCurrentLiabilities,quarterlyGrossPPE,quarterlyIncomeTaxPayable,quarterlyOperatingIncome,quarterlyChangeInWorkingCapital,quarterlyCurrentAssets,quarterlyBasicEPS,quarterlyOtherCurrentAssets,quarterlyChangeInInventory,quarterlyLongTermDebt,quarterlyOtherNonCurrentLiabilities,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyGrossProfit,quarterlyNetIncome,quarterlyInvestmentsAndAdvances,quarterlyStockholdersEquity,quarterlySellingGeneralAndAdministration,quarterlyNetIncomeContinuousOperations,quarterlyGoodwill,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyNetOtherInvestingChanges,quarterlyRepaymentOfDebt,quarterlyOtherIncomeExpense,quarterlyNetPPE,quarterlyTaxProvision,quarterlyInventory,quarterlyAccumulatedDepreciation,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCashAndCashEquivalents,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyOperatingExpense,quarterlyNetOtherFinancingCharges,quarterlyOtherIntangibleAssets,quarterlyBasicAverageShares,quarterlyResearchAndDevelopment,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherNonCurrentAssets,quarterlyCommonStockIssuance,quarterlyCapitalExpenditure,quarterlyOperatingCashFlow,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyTotalAssets,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyFreeCashFlow,quarterlySaleOfInvestment,quarterlyChangesInAccountReceivables,quarterlyTotalNonCurrentAssets,quarterlyDepreciationAndAmortization,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyDilutedEPS,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInAccountPayable,quarterlyCurrentDeferredRevenue
1984-01-31,,103100000,,1037376000.0,,,,,,,,,,,103100000,,,,103100000,,,0.02,,,,,,,,,,,,,13900000,,,,,,,,,,,,,,,,,,1037376000.0,,,,,,,,,,,,,,,,,,,,,0.02,,,
1984-04-30,,-242900000,,,,,,,,,,288700000.0,124500000.0,,110600000,86400000.0,176500000.0,,-242900000,,319900000.0,,10900000.0,,11800000.0,13200000.0,,,,,,,335400000.0,,17900000,,38100000.0,,,,110700000.0,,88200000.0,-65800000.0,116500000.0,13100000.0,116500000.0,18200000.0,,,,,,,,29300000.0,,,,,,459900000.0,,68200000.0,,,,140000000.0,,,,,,,,,
1984-07-31,,100200000,,1037376000.0,,,,,,,,,,,100200000,,,,100200000,,,0.02,,,,,,,,,,,,,11900000,,,,,,,,,,,,,,,,,,1037376000.0,,,,,,,,,,,,,,,,,,,,,0.02,,,
1984-10-31,,99000000,,985920000.0,,,,,,,,,,,99000000,,,,99000000,,,0.02,,,,,,,,,,,,,12600000,,,,,,,,,,,,,,,,,,985920000.0,,,,,,,,,,,,,,,,,,,,,0.02,,,
1985-01-31,,95400000,,966400000.0,,,,,,,,,,,95400000,,,,95400000,,,0.02,,,,,,,,,,,,,11800000,,,,,,,,,,,,,,,,,,966400000.0,,,,,,,,,,,,,,,,,,,,,0.02,,,
1985-04-30,,-256100000,,,,,,,,,,315200000.0,137900000.0,,84100000,101200000.0,191800000.0,,-256100000,,321900000.0,,13000000.0,,9700000.0,13700000.0,,,,,,,328600000.0,,10400000,,36700000.0,,,,111000000.0,,79300000.0,-80800000.0,137100000.0,13300000.0,137100000.0,32200000.0,,,,,,,,33600000.0,,,,,,466500000.0,,69000000.0,,,,144600000.0,,,,,,,,,
1985-07-31,,98000000,,966400000.0,,,,,,,,,,,98000000,,,,98000000,,,0.02,,,,,,,,,,,,,14800000,,,,,,,,,,,,,,,,,,966400000.0,,,,,,,,,,,,,,,,,,,,,0.02,,,
1985-10-31,,100700000,,966400000.0,,,,,,,,,,,100700000,,,,100700000,,,0.02,,,,,,,,,,,,,14800000,,,,,,,,,,,,,,,,,,966400000.0,,,,,,,,,,,,,,,,,,,,,0.02,,,
1986-01-31,,100100000,,921152000.0,,,,,,,,,,,100100000,,,,100100000,,,0.01,,,,,,,,,,,,,20300000,,,,,,,,,,,,,,,,,,921152000.0,,,,,,,,,,,,,,,,,,,,,0.01,,,
1986-04-30,,-215400000,,,,,,,,,,348000000.0,178700000.0,,111100000,133000000.0,212200000.0,,-215400000,,354800000.0,,23300000.0,,10500000.0,19200000.0,,,,,,,348700000.0,,16000000,,45700000.0,,,,108600000.0,,77300000.0,-103600000.0,135400000.0,16000000.0,135400000.0,36100000.0,,,,48300000.0,,,,15700000.0,,,,,,527400000.0,,96900000.0,,,,172600000.0,,,,,,,,,
1986-07-31,,116200000,,921152000.0,,,,,,,,,,,116200000,,,,116200000,,,0.02,,,,,,,,,,,,,17800000,,,,,,,,,,,,,,,,,,921152000.0,,,,,,,,,,,,,,,,,,,,,0.02,,,
1986-10-31,,120100000,,1490176000.0,,,,,,,,,,,120100000,,,,120100000,,,0.02,,,,,,,,,,,,,17800000,,,,,,,,,,,,,,,,,,1490176000.0,,,,,,,,,,,,,,,,,,,,,0.02,,,
1987-01-31,,121800000,,896256000.0,,,,,,,,,,,121800000,,,,121800000,,,0.03,,,,,,,,,,,,,18200000,,,,,,,,,,,,,,,,,,896256000.0,,,,,,,,,,,,,,,,,,,,,0.03,,,
1987-04-30,,-252400000,,,,,,,,,,381900000.0,172700000.0,,143900000,125600000.0,240100000.0,,-252400000,,365900000.0,,21400000.0,,5500000.0,24500000.0,,,,,,,387000000.0,,20000000,,47100000.0,,,,115100000.0,,84100000.0,-125000000.0,113700000.0,17100000.0,113700000.0,31900000.0,,,,45300000.0,,,,33400000.0,,,,,,559700000.0,,93700000.0,,,,193800000.0,,,,,,,,,
1987-07-31,,144600000,,899904000.0,,,,,,,,,,,144600000,,,,144600000,,,0.03,,,,,,,,,,,,,20300000,,,,,,,,,,,,,,,,,,899904000.0,,,,,,,,,,,,,,,,,,,,,0.03,,,
1987-10-31,,152200000,,900928000.0,,,,,,,,,,,152200000,,,,152200000,,,0.03,,,,,,,,,,,,,21700000,,,,,,,,,,,,,,,,,,900928000.0,,,,,,,,,,,,,,,,,,,,,0.03,,,
1988-01-31,,167300000,,852224000.0,,,,,,,,,,,167300000,,,,167300000,,,0.03,,,,,,,,,,,,,21600000,,,,,,,,,,,,,,,,,,852224000.0,,,,,,,,,,,,,,,,,,,,,0.03,,,
1988-04-30,,-334000000,,,,,,,,,,389400000.0,244900000.0,,189200000,188700000.0,264300000.0,,-334000000,,420800000.0,,32400000.0,,9100000.0,27000000.0,,,,,,,395900000.0,,23000000,,56200000.0,,,,128300000.0,,107300000.0,-136000000.0,78500000.0,20100000.0,78500000.0,50800000.0,,,,55400000.0,,,,36300000.0,,,,,,640800000.0,,137900000.0,,,,220000000.0,,,,,,,,,
1988-07-31,,175800000,,851456000.0,,,,,,,,,,,175800000,,,,175800000,,,0.03,,,,,,,,,,,,,25400000,,,,,,,,,,,,,,,,,,851456000.0,,,,,,,,,,,,,,,,,,,,,0.03,,,
1988-10-31,,181200000,,852544000.0,,,,,,,,,,,181200000,,,,181200000,,,0.03,,,,,,,,,,,,,22700000,,,,,,,,,,,,,,,,,,852544000.0,,,,,,,,,,,,,,,,,,,,,0.03,,,
