date,quarterlyChangeInInventory,quarterlyOtherCurrentAssets,quarterlyRepurchaseOfCapitalStock,quarterlySaleOfInvestment,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyBasicAverageShares,quarterlyBeginningCashPosition,quarterlyAccountsPayable,quarterlyStockholdersEquity,quarterlyChangeInAccountPayable,quarterlyNetOtherInvestingChanges,quarterlyEndCashPosition,quarterlyGrossProfit,quarterlyOperatingExpense,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCurrentDeferredRevenue,quarterlyAccumulatedDepreciation,quarterlySellingGeneralAndAdministration,quarterlyRepaymentOfDebt,quarterlyCurrentLiabilities,quarterlyEbitda,quarterlyStockBasedCompensation,quarterlyPurchaseOfBusiness,quarterlyRetainedEarnings,quarterlyPretaxIncome,quarterlyNetPPE,quarterlyCommonStockIssuance,quarterlyTaxProvision,quarterlyOtherNonCashItems,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyResearchAndDevelopment,quarterlyCapitalExpenditure,quarterlyDeferredIncomeTax,quarterlyTotalRevenue,quarterlyDilutedEPS,quarterlyChangeInWorkingCapital,quarterlyOperatingIncome,quarterlyCurrentAssets,quarterlyGrossPPE,quarterlyOperatingCashFlow,quarterlyOtherNonCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyTotalAssets,quarterlyAccountsReceivable,quarterlyOtherShortTermInvestments,quarterlyOtherCurrentLiabilities,quarterlyInvestmentsAndAdvances,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyNetIncome,quarterlyDilutedAverageShares,quarterlyGoodwill,quarterlyOtherIncomeExpense,quarterlyNetIncomeContinuousOperations,quarterlyInventory,quarterlyLongTermDebt,quarterlyNetIncomeCommonStockholders,quarterlyInvestingCashFlow,quarterlyCashDividendsPaid,quarterlyPurchaseOfInvestment,quarterlyCashAndCashEquivalents,quarterlyCurrentDebt,quarterlyCapitalStock,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyBasicEPS,quarterlyOtherNonCurrentAssets,quarterlyInterestExpense,quarterlyNetOtherFinancingCharges,quarterlyDepreciationAndAmortization,quarterlyOtherIntangibleAssets,quarterlyChangesInAccountReceivables,quarterlyTotalNonCurrentAssets,quarterlyFreeCashFlow,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNonCurrentDeferredRevenue,quarterlyIncomeTaxPayable
1984-03-31,,,,,,432000000.0,,,,,,,,,,,,,,,4200000,,,,,,,,,,,,,4200000,-0.008333,,4200000,,,,,,,,,,,,,,-3600000,432000000.0,,,-3600000,,,-3600000,,,,,,,,-0.008333,,,,,,,,,,,
1984-06-30,,,,,,450000000.0,,,,,,,,,,,,,,,5700000,,,,,,,,,,,,,5700000,-0.01,,5700000,,,,,,,,,,,,,,-4500000,450000000.0,,,-4500000,,,-4500000,,,,,,,,-0.01,,,,,,,,,,,
1984-09-30,,,,,,420000000.0,,,,,,,,,,,,,,,5900000,,,,,,,,,,,,,5900000,-0.006667,,5900000,,,,,,,,,,,,,,-2800000,420000000.0,,,-2800000,,,-2800000,,,,,,,,-0.006667,,,,,,,,,,,
1984-12-31,,1100000.0,,,,,,,91900000.0,,,,,,,,-7800000.0,,,14900000.0,-36000000,,,-34800000.0,,23000000.0,,,,,,,,7100000,,,-36000000,79200000.0,30800000.0,,0.0,,109800000.0,,,,,,,,-2200000,,,,-2200000,,3000000.0,-2200000,,,,74900000.0,,,74900000.0,,4800000.0,,,,2800000.0,,30600000.0,,17900000.0,,
1985-03-31,,,,,,428571429.0,,,,,,,,,,,,,,,3000000,,,,,,,,,,,,,3000000,-0.011667,,3000000,,,,,,,,,,,,,,-5000000,428571429.0,,,-5000000,,,-5000000,,,,,,,,-0.011667,,,,,,,,,,,
1985-06-30,,,,,,420000000.0,,,,,,,,,,,,,,,5100000,,,,,,,,,,,,,5100000,-0.006667,,5100000,,,,,,,,,,,,,,-2800000,420000000.0,,,-2800000,,,-2800000,,,,,,,,-0.006667,,,,,,,,,,,
1985-09-30,,,,,,411428571.0,,,,,,,,,,,,,,,4000000,,,,,,,,,,,,,4000000,-0.011667,,4000000,,,,,,,,,,,,,,-4800000,411428571.0,,,-4800000,,,-4800000,,,,,,,,-0.011667,,,,,,,,,,,
1985-12-31,,1300000.0,,,,,,,74900000.0,,,,,,,,-12900000.0,,,7400000.0,-45100000,,,-53800000.0,,21000000.0,,,,,,,,2900000,,,-45100000,57000000.0,33900000.0,,-100000.0,,85800000.0,,,,,,,,-6500000,,,,-6500000,,3600000.0,-6500000,,,,53500000.0,,,53500000.0,,5400000.0,,,,2400000.0,,28800000.0,,10900000.0,,
1986-03-31,,,,,,420000000.0,,,,,,,,,,,,,,,2800000,,,,,,,,,,,,,2800000,-0.015,,2800000,,,,,,,,,,,,,,-6300000,420000000.0,,,-6300000,,,-6300000,,,,,,,,-0.015,,,,,,,,,,,
1986-06-30,,,,,,446666667.0,,,,,,,,,,,,,,,2000000,,,,,,,,,,,,,2000000,-0.015,,2000000,,,,,,,,,,,,,,-6700000,446666667.0,,,-6700000,,,-6700000,,,,,,,,-0.015,,,,,,,,,,,
