date,quarterlyOtherNonCurrentLiabilities,quarterlyOtherCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyLongTermDebt,quarterlyOperatingCashFlow,quarterlyDilutedEPS,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyOtherShortTermInvestments,quarterlyGoodwill,quarterlyInventory,quarterlyAccountsReceivable,quarterlyCashDividendsPaid,quarterlyCostOfRevenue,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyInterestExpense,quarterlyFreeCashFlow,quarterlyCurrentDebt,quarterlyOtherNonCurrentAssets,quarterlyPurchaseOfInvestment,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyOtherIntangibleAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNetOtherFinancingCharges,quarterlyRepurchaseOfCapitalStock,quarterlySaleOfInvestment,quarterlyNetOtherInvestingChanges,quarterlyGrossPPE,quarterlyAccountsPayable,quarterlyOtherCurrentAssets,quarterlyStockholdersEquity,quarterlyEbitda,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyGrossProfit,quarterlyOperatingExpense,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlySellingGeneralAndAdministration,quarterlyAccumulatedDepreciation,quarterlyRepaymentOfDebt,quarterlyPretaxIncome,quarterlyNetPPE,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyRetainedEarnings,quarterlyTaxProvision,quarterlyBasicEPS,quarterlyCapitalExpenditure,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyOtherNonCashItems,quarterlyOtherIncomeExpense,quarterlyStockBasedCompensation,quarterlyInvestmentsAndAdvances,quarterlyPurchaseOfBusiness,quarterlyChangeInWorkingCapital,quarterlyResearchAndDevelopment,quarterlyIncomeTaxPayable,quarterlyDeferredIncomeTax,quarterlyDilutedAverageShares,quarterlyCommonStockIssuance,quarterlyNonCurrentDeferredRevenue,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyDepreciationAndAmortization,quarterlyChangeInInventory,quarterlyBasicAverageShares,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyChangesInAccountReceivables,quarterlyCurrentAccruedExpenses,quarterlyCurrentDeferredRevenue,quarterlyChangeInAccountPayable
2009-12-31,0.0,0.0,,955918600.0,,,,,,,1522327682.46,,,,4814456716.94,4814456716.94,1803756946.29,,,,1479365969.38,0.0,,4660389950.58,12004575994.58,,339009703.5,5224204396.84,,,,,7005319728.29,742004501.29,3741738.52,6749024295.65,,,,,,,,-2745452843.12,,,4259866885.17,7344186044.0,4268285796.84,955918600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-30,0.0,0.0,,2042763000.0,,0.0,,,2035953.79,,2100818324.46,,,,4387902588.47,4389938542.26,1799217985.93,,,,1270584967.58,0.0,,4959283827.2,12563142252.62,,392721186.75,6013015883.91,,,,,,901171706.66,0.0,6522828245.82,,,,,,,,,,,4499274027.23,7603858425.42,3970252883.91,2042763000.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-31,0.0,0.0,,2321417000.0,,,,,4012735.1,,2249519399.2,670723697.5,,,6008165459.62,6012178194.72,1752557080.46,,,,1950255584.8,0.0,,5547868264.24,15190629892.42,,440107500.1,8051768538.3,,,,,8070691403.16,1217238320.26,0.0,7119606858.26,,,,,,,,-3040751169.48,,,5029940233.68,9642761628.18,5730351538.3,2321417000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-30,36380697.54,0.0,,3881988000.0,,0.0,,,2154503.34,,2666401687.62,408391607.58,,,6901954684.68,6904109188.02,1710636832.08,,,,2093847277.5,0.0,,5968213641.06,16627486281.12,,565372732.32,9468550460.82,,,,,,1270736421.9,0.0,7141085145.48,,,,,,74482409.76,,,,,5321040951.6,10659272640.06,5475699353.52,3992851107.3,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2011-12-31,59518950.0,0.0,,1571250000.0,,,,,1998630.0,,2578232700.0,1005348600.0,,,9031777545.0,9033776175.0,1661728860.0,,,,4868499270.0,0.0,,6411799875.0,19631191215.0,,736118055.0,11256095610.0,,,,,9024153840.0,1328026785.0,0.0,8357459895.0,,,,,,91515885.0,,-3424520520.0,,,5599633320.0,13219391340.0,9533810775.0,1722284835.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-06-30,64910250.0,0.0,,3181875000.0,,0.0,,,2049127.5,,2614451231.25,512332785.0,,,9867414382.5,9869463510.0,1683561881.25,,,,5001837498.75,0.0,,6819381772.5,20622030971.25,,765953677.5,11815733718.75,,,,,,964458131.25,0.0,8755005427.5,,,,,,135146958.75,,,,,5963368305.0,13802649198.75,8433801510.0,3381932208.75,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-31,88639943.81,0.0,,4075901930.0,,,,,0.0,2459273.14,2876357126.01,1035522520.81,,,9357771486.48,9357771486.48,1651302044.55,,,,2184633500.0,0.0,,7447889979.06,21603516107.38,,3844954.96,11594343087.49,,,,,11231462979.52,1444448461.15,0.0,9958695502.42,,,,,,60308368.22,,-3890420304.04,,,7341042675.48,14155626128.32,7369492845.46,4224850242.03,10994155605.13,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-30,106737798.05,0.0,,5693091472.51,,0.0,,,,,2179553164.49,576223833.25,,,10326300960.04,10326300960.04,1630594782.05,,,,1596295670.97,0.0,,8027015294.74,22051283176.26,,5948713.55,11601994875.25,,,,,7877169357.98,974713667.46,0.0,10399701304.33,,,,,,95370515.37,,,,,7877169357.98,14024267881.52,5706795089.32,5895199785.93,11155958483.93,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-31,125549992.08,4469960301.12,,5134992858.0,,,,,,2387734.56,3236319666.0,996891299.28,,,12482973255.6,12482973255.6,1602781974.0,,,,2487383086.32,1001078925.12,,8711158662.72,26350481062.08,,3775529.52,14519510847.36,,,,,12929528100.24,1705224270.96,0.0,11777246187.12,,,,,,79425505.44,,-4440634799.76,,,8488893300.48,17639322399.36,9179542491.84,5339968355.52,11948544930.96,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-30,129972010.12,3086836795.56,,4650824400.8,,0.0,,,,,4359577113.68,581219302.04,,,9802426421.6,9802426421.6,1641810313.64,,,,3914370257.4,1164167997.6,,9478774778.92,25031652383.92,,5990668.92,13215894642.2,,,,,9227471505.44,1065586346.12,0.0,11763907040.32,,,,,,81493004.0,,,,,9227471505.44,15552877605.0,8353605227.28,4862289414.92,12380479376.08,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
