date,quarterlySaleOfInvestment,quarterlyRepurchaseOfCapitalStock,quarterlyOtherCurrentAssets,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyNetOtherInvestingChanges,quarterlyGrossPPE,quarterlyIncomeTaxPayable,quarterlyNonCurrentDeferredRevenue,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyStockholdersEquity,quarterlyBasicEPS,quarterlyDilutedAverageShares,quarterlyEbitda,quarterlyGrossProfit,quarterlyInvestingCashFlow,quarterlyOperatingExpense,quarterlyChangeInInventory,quarterlyEndCashPosition,quarterlyChangeInAccountPayable,quarterlyOtherNonCashItems,quarterlyCurrentDeferredRevenue,quarterlyBasicAverageShares,quarterlySellingGeneralAndAdministration,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyAccumulatedDepreciation,quarterlyTaxProvision,quarterlyRetainedEarnings,quarterlyNetPPE,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyRepaymentOfDebt,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,quarterlyDilutedEPS,quarterlyOperatingCashFlow,quarterlyOtherCurrentLiabilities,quarterlyLongTermDebt,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyOtherNonCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyCommonStockIssuance,quarterlyOtherShortTermInvestments,quarterlyCurrentAccruedExpenses,quarterlyGoodwill,quarterlyInventory,quarterlyOtherIncomeExpense,quarterlyInvestmentsAndAdvances,quarterlyAccountsReceivable,quarterlyCashDividendsPaid,quarterlyCostOfRevenue,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCurrentDebt,quarterlyFreeCashFlow,quarterlyInterestExpense,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyPurchaseOfInvestment,quarterlyOtherNonCurrentAssets,quarterlyTotalAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyDepreciationAndAmortization,quarterlyChangesInAccountReceivables,quarterlyNetOtherFinancingCharges,quarterlyNetIncomeCommonStockholders,quarterlyOtherIntangibleAssets,quarterlyTotalNonCurrentAssets,quarterlyStockBasedCompensation,quarterlyResearchAndDevelopment
2009-03-31,,,,,,1741000.0,,,,,89977000,,7.233,56098714.0,602753000,678902000,-190365000,279206000,,2174301000,,19095000,,56098714.0,31724000.0,,,45000000,,,,,,,450761000,-33714000.0,399696000,892854000,229721000,-192106000.0,7.233,628941000,,,405762000,405762000,,668297000,10737000.0,,,,,-7136000,,,0,213952000,,,,436835000,,1506004000,,,,,,203057000,,-1000.0,405762000,,,,
2009-06-30,,,,,,-4877000.0,,,,,158162000,,2.646,56097884.0,451749000,512800000,-154522000,266974000,,1646549000,,-438042000,,56097884.0,23776000.0,,,49882000,,,,,,,198316000,-43357000.0,245826000,749836000,-902815000,-149645000.0,2.646,529584000,,,148435000,148435000,,-527753000,32727000.0,,,,,-2257000,,,-870000000,237036000,,,,379939000,,2174301000,,,,,,205923000,,0.0,148435000,,,,
2009-09-30,,,,,,-449825000.0,,,,,-353907000,,5.6,56054643.0,529384000,596621000,-108074000,278294000,,1897420000,,-220119000,,56054643.0,27862000.0,,,22568000,,,,,,,336474000,-64742000.0,318327000,791211000,-64741000,,5.6,423687000,,,313906000,313906000,,250873000,0.0,,,,,-387000,,,0,194590000,,,,765438000,,1646549000,,,,,,211057000,,1000.0,313906000,,,,
2009-12-31,,,109000.0,275478000.0,372369000.0,,,,,,374011000,26780554000.0,,,660874000,608602000,-89153000,278589000,,2173586000,,774942000,,,28359000.0,,,23467000,1199444000.0,364101000.0,988904000.0,612457000.0,2817240000.0,,354809000,-21973000.0,330013000,832339000,-264844000,,,630163000,193965000.0,856003000.0,331342000,331342000,97743000.0,276165000,10248000.0,279621000.0,,,,-53500000,0.0,456107000.0,-330000000,223737000,1821150000.0,2100771000.0,193965000.0,88049000,,1897420000,24344476000.0,,3929785000.0,28381915000.0,1601361000.0,208798000,,-56625000.0,331342000,19765496000.0,25564675000.0,,
2010-03-31,,,262613000.0,,1236634000.0,-11590000.0,,,,,195071000,26780554000.0,9.901,56097263.0,636088000,716544000,-302162000,294581000,,2999776000,,26326000,,56097263.0,33478000.0,,,-130401000,1199444000.0,364101000.0,988904000.0,612457000.0,2817240000.0,,425018000,-48491000.0,421963000,943886000,436563000,-290572000.0,9.901,691789000,,,555419000,555419000,,826190000,0.0,279621000.0,,,,4548000,,453856000.0,0,227342000,1821150000.0,2100771000.0,,401217000,,2173586000,24344476000.0,,23725872000.0,28381915000.0,1601361000.0,214125000,,-22638000.0,555419000,,25564675000.0,,
2010-06-30,,,211239000.0,,432341000.0,-6681000.0,,,,,218864000,26511301000.0,3.125,56104960.0,609992000,688063000,-137017000,311398000,,2828782000,,-516451000,,56104960.0,32105000.0,,,211288000,1734483000.0,334575000.0,1502057000.0,1030207000.0,3669410000.0,,386616000,-66623000.0,376665000,923192000,-848356000,-130336000.0,3.125,814379000,,,175328000,175328000,,-170994000,,236947000.0,,,,-2229000,,392441000.0,-750000000,235129000,2828783000.0,3065730000.0,,684043000,,2999776000,24344476000.0,,23391759000.0,29043565000.0,2532264000.0,233327000,,-781733000.0,175328000,,25374155000.0,,
2010-09-30,,-283966000.0,178594000.0,,1148375000.0,-574210000.0,,,,,-365820000,26551646000.0,5.8,55915862.0,848168000,681581000,-153302000,48104000,,2588096000,,-210817000,,55915862.0,31749000.0,,,73990000,1058795000.0,357529000.0,1369360000.0,738934000.0,3248900000.0,,398302000,-66623000.0,633477000,935921000,-632246000,,5.8,544863000,,,324312000,324312000,,-240685000,,240820000.0,,,,-3493000,,241390000.0,-250000000,254340000,2588096000.0,2828916000.0,,965771000,,2828782000,24344476000.0,,23318588000.0,28659940000.0,2108294000.0,214691000,,0.0,324312000,,25411040000.0,,
2010-12-31,,-325843000.0,266000.0,403724000.0,1432341000.0,561976000.0,,,,,-97593000,26670905000.0,,,-133181000,1323608000,-343032000,1846115000,,2348807000,,797163000,,,31052000.0,,,-250329000,1503897000.0,4595205000.0,1314436000.0,903941000.0,3023099000.0,,385677000,-66623000.0,-522507000,1570670000,-422397000,,,526139000,64784000.0,1042808000.0,445102000,445102000,226412000.0,-239290000,,233915000.0,,,,-5663000,0.0,297885000.0,0,247062000,2348807000.0,2582722000.0,266492000.0,-378869000,,2588096000,24344476000.0,,19296222000.0,28889282000.0,2218377000.0,217798000,,-29931000.0,445102000,,25866183000.0,,
2011-03-31,,-303992000.0,102026000.0,,518539000.0,-345002000.0,,,,,92024000,26765550000.0,7.1,56146197.0,652362000,1011484000,-345002000,582292000,,2169167000,,13741000,,56146197.0,34335000.0,,,36124000,1902534000.0,445099000.0,1282187000.0,673026000.0,2808573000.0,,434762000,-66623000.0,429192000,1243056000,-398625000,,7.1,563987000,,,398638000,398638000,,-179640000,,226665000.0,,,,5696000,,310715000.0,0,231572000,2169167000.0,2395832000.0,,563987000,,2348807000,24344476000.0,,23455917000.0,28720763000.0,1955213000.0,223170000,,-28010000.0,398638000,,25912190000.0,,
2011-06-30,,0.0,106388000.0,,980849000.0,294043000.0,,,,,-283817000,25915216000.0,3.381,56097308.0,607000000,962153000,-270424000,588462000,,1865969000,,-481556000,,56097308.0,31947000.0,,,185252000,589891000.0,493176000.0,1464431000.0,1018851000.0,2451733000.0,,374918000,-66623000.0,373691000,1210912000,-589743000,,3.381,556970000,,,189665000,189665000,,-303198000,,226315000.0,,,,-5462000,,253061000.0,-780000000,248759000,1865969000.0,2092284000.0,,-7497000,,2169167000,24344476000.0,,23507121000.0,28398498000.0,2483282000.0,233309000,,-806430000.0,189665000,,25946765000.0,,
