date,quarterlyCapitalStock,quarterlyDilutedEPS,quarterlyOtherIntangibleAssets,quarterlyPretaxIncome,quarterlyOperatingExpense,quarterlyStockholdersEquity,quarterlyAccumulatedDepreciation,quarterlyCurrentDebt,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyInterestExpense,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyTotalRevenue,quarterlyGrossPPE,quarterlyOperatingIncome,quarterlyNetPPE,quarterlyTaxProvision,quarterlyDilutedAverageShares,quarterlyEbitda,quarterlyRetainedEarnings,quarterlySellingGeneralAndAdministration,quarterlyGoodwill,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyBasicEPS,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyInvestmentsAndAdvances,quarterlyBasicAverageShares,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyLongTermDebt,quarterlyChangesInAccountReceivables,quarterlyFreeCashFlow,quarterlyCostOfRevenue,quarterlyCurrentLiabilities,quarterlyStockBasedCompensation,quarterlyBeginningCashPosition,quarterlyDepreciationAndAmortization,quarterlyInvestingCashFlow,quarterlyRepurchaseOfCapitalStock,quarterlyOtherShortTermInvestments,quarterlyNonCurrentDeferredRevenue,quarterlyEndCashPosition,quarterlySaleOfInvestment,quarterlyOtherIncomeExpense,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOperatingCashFlow,quarterlyResearchAndDevelopment,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyChangeInAccountPayable,quarterlyCurrentAssets,quarterlyChangeInInventory,quarterlyCommonStockIssuance,quarterlyNetOtherFinancingCharges,quarterlyCashDividendsPaid,quarterlyDeferredIncomeTax,quarterlyChangeInCashSupplementalAsReported,quarterlyPurchaseOfInvestment,quarterlyAccountsReceivable,quarterlyRepaymentOfDebt,quarterlyNetOtherInvestingChanges,quarterlyPurchaseOfBusiness,quarterlyOtherCurrentAssets,quarterlyCapitalExpenditure,quarterlyOtherNonCashItems,quarterlyCurrentDeferredRevenue,quarterlyInventory,quarterlyOtherCurrentLiabilities,quarterlyCurrentAccruedExpenses,quarterlyIncomeTaxPayable,quarterlyChangeInWorkingCapital,quarterlyTotalNonCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyGrossProfit,quarterlyOtherNonCurrentAssets
1999-03-31,,0.003616,,,,,,,,,,,,,,,,,372463351807.0,,,,,,1347000000.0,0.003616,,,372463351807.0,1347000000.0,1347000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-06-30,3514000000.0,0.003616,299000000.0,1898500000.0,2738500000.0,31642000000.0,,29084000000.0,9367000000.0,9367000000.0,4273500000.0,,28128000000.0,5313500000.0,,2034000000.0,11640000000.0,551500000.0,372463351807.0,6307500000.0,24053000000.0,,,496520000000.0,1347000000.0,0.003616,461522000000.0,80658000000.0,372463351807.0,1347000000.0,1347000000.0,,10941000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-09-30,,0.003486,,,,,,,,,,,,,,,,,389299552500.0,,,,,,1357000000.0,0.003486,,,389299552500.0,1357000000.0,1357000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-12-31,4230000000.0,,6541000000.0,,,58309770848.97114,,21300000000.0,67918100716.64294,6179000000.0,,,2342000000.0,,,,22459588066.196453,,,,23954000000.0,,,993365778050.99,4691017652.387731,,928676630784.91,294444444226.4139,,4691017652.387731,5557460230.361072,,13166000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-03-31,,0.004488,,,,,,,,,,,,,,,,,392834056311.0,,,,,,1763000000.0,0.004575,,,385351502857.0,1763000000.0,1763000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-06-30,4266000000.0,,6372826514.853284,2395000000.0,3316000000.0,35319000000.0,,,3494000000.0,3494000000.0,5374000000.0,,,6103000000.0,,2603000000.0,12505000000.0,632000000.0,,7978000000.0,31053000000.0,,,580355216061.5328,1762456500.015141,,580355216061.5328,109646000000.0,,1762456500.015141,2180510583.532689,,15428000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-09-30,,0.003704,,,,,,,,,,,,,,,,,419050955294.0,,,,,,1552000000.0,0.003704,,,419050955294.0,1552000000.0,1552000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-12-31,4634000000.0,,15089000000.0,,,68063692223.0852,,11880000000.0,70655106797.70583,5006000000.0,,,11397000000.0,,,,20941870286.17517,,,,26234000000.0,,,1006413533073.2465,4822628932.369459,,927433063792.269,300008953524.9134,,4822628932.369459,6180317585.434341,,32298000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-03-31,,0.006022,,,,,,,,,,,,,,,,,431942913169.0,,,,,,2601000000.0,0.006176,,,421155006350.0,2601000000.0,2601000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-06-30,4667000000.0,0.004139,14011772123.204216,2450000000.0,3847000000.0,46035000000.0,,15281000000.0,4464000000.0,4464000000.0,6014000000.0,,,6785000000.0,,2717000000.0,13600000000.0,680000000.0,427799184000.0,8732000000.0,41368000000.0,,,697305562324.672,1770000000.0,0.004139,697305562324.672,156702000000.0,422750052000.0,1770000000.0,1770000000.0,,26149000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
