date,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyNetIncomeCommonStockholders,quarterlyOtherNonCashItems,quarterlyPurchaseOfInvestment,quarterlyEbitda,quarterlyBasicEPS,quarterlyBasicAverageShares,quarterlyRetainedEarnings,quarterlyCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyDepreciationAndAmortization,quarterlyCurrentLiabilities,quarterlyGrossPPE,quarterlyChangeInWorkingCapital,quarterlyNonCurrentDeferredRevenue,quarterlyOperatingIncome,quarterlyFreeCashFlow,quarterlyTotalRevenue,quarterlyOtherCurrentAssets,quarterlyNetOtherInvestingChanges,quarterlyAccountsReceivable,quarterlyChangeInInventory,quarterlyCostOfRevenue,quarterlyOtherNonCurrentLiabilities,quarterlyGrossProfit,quarterlyInvestmentsAndAdvances,quarterlyOperatingExpense,quarterlyCashDividendsPaid,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyGoodwill,quarterlyLongTermDebt,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlySellingGeneralAndAdministration,quarterlyStockholdersEquity,quarterlyTaxProvision,quarterlyNetPPE,quarterlyInventory,quarterlyRepaymentOfDebt,quarterlyCurrentDebt,quarterlyCashAndCashEquivalents,quarterlyInterestExpense,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCommonStockIssuance,quarterlyResearchAndDevelopment,quarterlyNetOtherFinancingCharges,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyOtherIntangibleAssets,quarterlyDilutedEPS,quarterlyAccumulatedDepreciation,quarterlyOperatingCashFlow,quarterlyOtherNonCurrentAssets,quarterlyCapitalExpenditure,quarterlyDilutedAverageShares,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyOtherShortTermInvestments,quarterlyOtherCurrentLiabilities,quarterlySaleOfInvestment,quarterlyCapitalStock,quarterlyChangeInCashSupplementalAsReported,quarterlyBeginningCashPosition,quarterlyAccountsPayable,quarterlyIncomeTaxPayable,quarterlyOtherIncomeExpense,quarterlyChangeInAccountPayable,quarterlyRepurchaseOfCapitalStock,quarterlyChangesInAccountReceivables,quarterlyDeferredIncomeTax,quarterlyCurrentDeferredRevenue,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyStockBasedCompensation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentAccruedExpenses
2009-12-31,,,,,,,,,,8270675000.0,7225236000.0,,6570746000.0,5374690000.0,,654490000.0,,,,0.0,,147827000.0,,,0.0,,,,,654490000.0,2164000.0,,,,,,7592664000.0,,4205777000.0,1589925000.0,,75596000.0,2121333000.0,,2741785000.0,,,,,,,,-1168913000.0,,1085234000.0,,,15063397000.0,6792722000.0,620452000.0,0.0,,1095272000.0,,,3095398000.0,,,,,,,,,,,
2010-06-30,,,,,,,,,,10230308000.0,8936541000.0,,8294811000.0,5997871000.0,,641730000.0,,,,0.0,,270460000.0,,,0.0,,,,,641730000.0,2164000.0,,,,,,8185918000.0,,4594972000.0,2630929000.0,,69797000.0,1995308000.0,,2548973000.0,,,,,,,,-1402899000.0,,1154169000.0,,,17436206000.0,7205898000.0,553665000.0,0.0,,1095272000.0,,,4014226000.0,,,,,,,,,,,
2010-09-30,,,572345436.74,,,785592001.03,0.07,8176363382.0,,,,,,,,,738582046.01,,5739786878.22,,,,,4291569292.66,,1448217585.56,,709635539.55,,,,,572345436.74,605821945.99,,514300415.06,,166638920.23,,,,,,13131134.81,,,,,772460866.22,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-31,-968174379.27,2073626962.53,1258488211.35,,1498500000.0,1103858608.03,,,5143097076.86,14824563213.26,13297969425.31,,11887493216.68,7312722039.39,,1410476000.0,1062395537.5,-1099824909.64,7792091141.94,16250187.1,-869090403.0,326995787.63,,5840112999.42,1410476208.63,1951978142.52,148842000.0,889582605.02,-141106978.92,1410476208.63,2163713.0,,1258488211.35,1311123195.76,,610281657.03,10015147541.87,-200922804.42,7312722039.39,2103680426.57,,3401493292.47,3094616438.33,-6341783.31,3094616438.33,,,-904197600.62,1110200391.34,-19058525.18,1110650492.82,,-1665860000.0,,0.0,-1785887534.93,,23698275007.01,8873711793.75,0.0,196562605.88,193114808.24,1095272000.0,-1417657764.59,3491284727.12,8279273760.0,,,,,,,,,,,
2011-03-31,-645637195.63,1994164511.35,875390548.64,3070658.16,,1217646714.36,0.106667,8206786394.0,6018487625.5,16701919188.12,14886909272.41,164417242.8,13481873006.34,7827920960.97,-540811185.61,,1035299294.7,-148089592.79,6953055594.59,16200407.45,-371512584.89,275806456.31,-312201905.91,5140645134.48,1405036266.07,1812410460.11,,777111165.41,-10249450.61,1405036266.07,2163713.0,,875390548.64,900551340.19,,510763340.99,10889968485.03,149674863.68,7827920960.97,2397345103.55,,4990068002.47,2935887687.36,3003267.69,2935898574.36,,,79266299.79,1050226203.87,,1180846479.49,0.106667,,500490564.38,0.0,-648580157.17,,26187196588.82,9485277400.7,10887.0,220479836.32,373484903.47,2738180000.0,-79462451.18,2073626962.53,10039811786.24,,,,,,,,,,,
2011-06-30,-988492525.65,2146297023.51,936413161.37,3233889.01,,1297131611.49,,,6404762509.51,17267337298.76,16352252527.37,161309972.4,14951844158.75,8678466910.67,1337943122.62,1400408000.0,1078684192.44,1363207718.31,7246658087.91,58228111.36,376705449.3,380019207.74,-472687383.61,5348019214.96,1400408368.62,1898638872.95,,819954680.51,-629817394.21,1400408368.62,2163713.0,,936413161.37,962511042.11,,556650392.35,11229810410.51,168137177.75,8678466910.67,2888120629.51,,185071021.33,3905359337.61,5173419.23,3905413137.61,,,-817339138.09,1130648219.86,,1450423207.18,,-1980898000.0,2406300668.86,0.0,-1043092950.55,,27833259228.8,10565921930.04,53800.0,207724616.31,160261522.72,2738180000.0,152132512.16,1994164511.35,10918309547.23,,,,,,,,,,,
2011-09-30,-828383237.5,7670665218.93,739421626.47,,-410000000.0,979068954.22,0.09,8215795850.0,7144184937.3,20209235276.23,15411152830.28,,14004286960.64,9249609025.12,,,963423520.06,462747605.75,7177504148.92,73989214.88,-74930660.24,630848592.15,,5464440584.79,1406865869.64,1713063564.13,,749640044.07,-109499268.95,1406865869.64,2163713.0,,739421626.47,753909087.07,,549152377.22,15864823349.98,222992943.61,9249609025.12,2345184669.8,,181459152.12,8129702652.21,2166923.54,8129756452.21,,,4180799758.52,976902030.68,,1541095891.5,0.09,,,0.0,-688655588.05,,31541659016.16,11332423739.93,53800.0,246779124.03,345696103.43,3042423000.0,4503378719.62,2146297023.51,10093451113.64,,,,,,,,,,,
2011-12-31,-1201663506.03,6306279224.47,874969776.3,,,989799791.1,,,7653974196.03,20374192443.93,16113353971.74,,14713538188.81,10442606972.62,,,889361466.18,-987965871.95,8712258833.58,95896929.73,-1633508343.08,679370292.96,,6640692942.85,1399815782.93,2071565890.73,,1182204424.55,89741326.94,1399815782.93,2163713.0,,874969776.3,893681415.76,,860019344.29,16737108352.75,79193449.06,10442606972.62,2776681563.15,,4003985888.6,7107086034.95,16924926.28,7108263734.95,-7392084.51,,671828014.09,972874864.82,-9080022.24,1869266218.71,,-2295858412.01,,0.0,-1378514062.28,,33134857715.47,12760665271.54,1177700.0,292724168.06,671662896.18,3042423000.0,-343396518.66,7670665218.93,10011067733.66,,,,,,,,,,,
2012-03-31,-1388603534.79,5548248365.65,1093715172.47,,-884609200.0,1362938080.35,0.12,9114293104.0,8747689259.03,21043471575.35,16399710907.59,,15004588477.55,11106106142.04,,,1312132542.95,-541919242.14,8730917675.52,76467641.02,-332150000.0,615927444.8,,6507585142.42,1393525639.44,2223332533.1,,911199990.15,-11723866.7,1395122430.04,2163713.0,,1093715172.47,1106889595.51,1596790.6,620549586.99,17831165007.13,230712823.61,11106106142.04,2831321031.1,,4114191863.92,6210260478.93,25335661.23,6211438178.93,,,138794697.2,1337602419.12,,1868878558.87,0.12,,,0.0,-1045051263.69,,34470678616.38,13427207041.03,1177700.0,306214889.33,872770254.65,3042423000.0,-758030858.82,6306279224.47,10569148419.64,,,,,,,,,,,
2012-06-30,-944856369.16,5488907622.28,1259800768.13,,-1139322600.0,1540293143.78,,,9094763236.63,22076740948.86,18627882953.24,,17168668655.0,11970120674.63,,,1514814199.87,566938483.84,9556653765.54,150750002.38,397850000.0,622406470.36,,6968520263.35,1447258681.94,2588133502.19,,1073319302.32,-921916983.46,1459214298.24,2163713.0,,1259800768.13,1269911918.64,11955616.3,700418490.27,18175322514.38,247871672.37,11970120674.63,3392923225.86,,282043812.25,6427589364.12,22509552.77,6427589364.12,,,-405266328.56,1517783591.01,,2355459939.15,,-2737535605.15,,0.0,-1362140926.75,,36925994080.17,14849253131.31,0.0,325523648.39,1153273950.16,3042423000.0,-59340743.37,5548248365.65,11869526093.6,,,,,,,,,,,
2012-09-30,-1114045433.11,6283794719.31,1487992903.08,,-1637673100.0,1821334840.78,0.163333,9110160631.0,10582756139.71,23496947971.13,19420285345.61,,17827406685.59,12849803537.96,,,1751905092.15,732880634.0,11175954856.28,80020057.57,-250458173.0,628261197.29,,8179950675.43,1584429678.11,2996004180.85,,1244099088.7,-428424.9,1592878660.02,2163713.0,,1487992903.08,1491477991.81,8448981.91,818021847.54,19663315417.46,316163246.94,12849803537.96,2844898300.41,,282943341.11,6806559338.15,13693602.03,6806997505.12,,,415917123.0,1807641238.75,,2347084536.5,0.163333,,,0.0,-858494764.61,,39209874464.35,15712926493.22,438166.97,436093094.7,1631458814.21,3042423000.0,794887097.03,5488907622.28,11788909250.32,,,,,,,,,,,
2012-12-31,-488632405.88,5595535544.33,1850940112.25,,-1607000000.0,2126926179.5,,,11799009548.92,25847677215.69,20926027128.42,,19319167273.16,14008824016.46,,,2024796635.28,-865575381.53,13696440351.05,60330465.6,508830343.64,691488679.17,,9905445286.89,1606859855.26,3790995064.16,,1766198428.88,-1779460.37,1606859855.26,2163713.0,,1850940112.25,1853791826.5,,1261061770.27,21514243992.83,324217248.56,14008824016.46,2695117691.59,,4393376777.36,6336981784.93,-51082895.56,6348633092.19,,,-218681621.75,2178009075.06,,2214215362.85,,-3204270962.06,,0.0,-1178959352.99,,42569396536.78,16721719321.09,11651307.26,591932538.67,1619766788.98,3042423000.0,-688259174.98,6283794719.31,13039102915.94,,,,,,,,,,,
2013-03-31,-1115446426.67,6023030918.5,1896341218.37,,-2267000000.0,2300883280.63,0.206667,9175844605.0,13695350767.29,26353124435.6,20151416861.13,,18505160187.81,14630151144.71,,,2225146673.3,351736383.35,12755034286.0,40396272.73,-41711140.0,661418962.21,,9168738984.8,1646256673.32,3586295301.2,,1361148627.9,,1646256673.32,2163713.0,,1896341218.37,1898191231.88,,892982695.54,23410585211.2,392031293.71,14630151144.71,2791511648.12,,4256137531.31,6741725122.39,10660755.04,6764314984.49,,,22752036.71,2290222525.59,,2221336770.8,0.206667,,,0.0,-1173810436.44,9175844605.0,43692977501.37,17339853065.77,22589862.1,613715163.41,2271657582.67,3042423000.0,427495374.17,5595535544.33,12856006045.75,,,,,,,,,,,
2013-06-30,-1063568764.13,6681000497.71,2190990875.96,,-4860000000.0,2632709958.53,,,14152160533.25,26200070435.6,20983374911.57,,19247254562.27,15997059099.96,,,2581549876.61,2148572547.3,13661804283.72,62956662.01,-6930760860.0,672077683.61,,9596801127.42,1736120349.3,4065003156.3,,1483453279.69,,1736120349.3,2163713.0,,2190990875.96,2193486363.0,,996320001.21,23867364109.5,447663115.41,15997059099.96,2684634280.74,,4325280442.78,7364146110.61,-8439519.88,7380416993.46,,,35548590.99,2641149478.41,,2219359118.58,,-3693842474.79,,0.0,-1279140817.91,,44882280910.17,18682210474.57,16270882.85,626475534.1,4870909381.82,3042423000.0,657969579.21,6023030918.5,13139497918.43,,,,,,,,,,,
2013-09-30,-1887101939.2,7683778263.65,2084877279.79,,,2580198903.06,0.23,9064683825.0,16237037813.04,28077184833.38,22292843660.42,,20549013092.89,17278322418.12,,,2513428442.58,1036864555.08,14358052682.66,50139534.59,7080066191.58,523034895.09,,10198105880.4,1743830567.53,4159946802.26,,1646518359.68,0.0,1743830567.53,2163713.0,,2084877279.79,2087082227.02,,1125724338.09,25952241389.28,472572472.32,17278322418.12,2436589205.83,,4511684224.17,8360750099.35,20544203.72,8369289760.47,,,6173777.19,2559654699.34,,2441560013.66,0.23,,,0.0,-1848751532.61,,48278831886.02,20201647052.64,8539661.12,677359565.56,3327785373.97,3042423000.0,1002777765.94,6681000497.71,13707828663.87,,,,,,,,,,,
2013-12-31,-2630236161.18,5522642764.49,2050862867.01,,,2381764904.41,,,18224548503.39,31026191451.06,24596812087.89,,22839474722.18,18646156660.46,,,2226483294.37,-1631415397.68,16009423091.92,48680552.46,-12239814709.58,656312754.79,,11574348669.5,1757337365.71,4435074422.42,,2208591128.05,0.0,1757337365.71,2163713.0,,2050862867.01,2053371885.71,,1627652699.09,27995898018.73,375323192.34,18646156660.46,2763890772.66,,182198866.04,6990516902.03,-46930173.64,6994787019.89,,,-820809001.83,2428695078.05,,2442835520.11,,,,0.0,-2831582522.55,,52604808931.29,21578617480.23,4270117.86,702937010.88,1927789859.09,3042423000.0,-2161135499.16,7683778263.65,15251699018.86,,,,,,,,,,,
2014-03-31,-1636487039.71,5463964527.03,2005418338.88,,-284000000.0,2461888273.14,0.22,9115537904.0,20229966842.27,29584749944.59,21429141562.13,,19689732094.79,18941766641.6,,,2392313535.5,-59616857.25,14735111929.05,53119145.79,319035.6,700827893.79,,10603984313.8,1739409467.34,4131127615.25,,1738814079.75,,1739409467.34,2163713.0,,2005418338.88,2005197231.73,,1227604970.44,29999979771.14,432295214.22,18941766641.6,2604493897.76,-151777272.92,30421593.12,6782405490.89,24395827.19,6782405490.89,,,149433173.68,2437492445.95,,2438263126.59,0.22,,,0.0,-1638055050.29,9115537904.0,51440999050.79,21856249106.2,0.0,659235829.69,284319035.6,3042423000.0,-58678237.46,5522642764.49,14772343957.09,,,,,,,,,,,
2014-06-30,-1669985978.15,5584983376.12,1948895404.61,,-773000000.0,2350745445.53,,,19684075386.88,28078270355.66,21403296914.24,,19681744962.04,19903034497.29,,,2259285019.75,1906816035.36,13792261412.14,377855901.91,2662230.15,835708517.01,,9775970737.58,1721551952.2,4016290674.56,,1757005654.81,,1721551952.2,2163713.0,,1948895404.61,1949002773.01,,1283162832.21,29458481358.52,380019755.82,19903034497.29,2493204585.16,-30421593.12,764264631.72,7291696533.16,21722916.7,7291696533.16,,,-333272193.18,2329022528.83,,2482406078.27,,-4956271739.01,,0.0,-1677518230.31,,50928589236.71,22850318881.05,0.0,650350060.79,775662230.15,3042423000.0,121018849.09,5463964527.03,13985764357.31,,,,,,,,,,,
