date,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyEbitda,quarterlyPurchaseOfInvestment,quarterlyStockBasedCompensation,quarterlyOtherNonCashItems,quarterlyChangeInAccountPayable,quarterlyNetIncomeCommonStockholders,quarterlyCashDividendsPaid,quarterlyRetainedEarnings,quarterlyDeferredIncomeTax,quarterlyRepurchaseOfCapitalStock,quarterlyDilutedAverageShares,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOperatingIncome,quarterlyIncomeTaxPayable,quarterlyNonCurrentDeferredRevenue,quarterlyTotalRevenue,quarterlyChangeInWorkingCapital,quarterlyGrossPPE,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyNetOtherInvestingChanges,quarterlyOtherCurrentAssets,quarterlyChangeInInventory,quarterlyLongTermDebt,quarterlyOtherNonCurrentLiabilities,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyNetIncome,quarterlyGrossProfit,quarterlyOperatingExpense,quarterlyBasicEPS,quarterlyInvestmentsAndAdvances,quarterlyStockholdersEquity,quarterlySellingGeneralAndAdministration,quarterlyRepaymentOfDebt,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyNetIncomeContinuousOperations,quarterlyGoodwill,quarterlyInventory,quarterlyOtherIncomeExpense,quarterlyTaxProvision,quarterlyNetPPE,quarterlyAccumulatedDepreciation,quarterlyCommonStockIssuance,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyBasicAverageShares,quarterlyInterestExpense,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCurrentDebt,quarterlyNetOtherFinancingCharges,quarterlyOtherIntangibleAssets,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyOtherNonCurrentAssets,quarterlyCapitalExpenditure,quarterlyOtherCurrentLiabilities,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOperatingCashFlow,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyOtherShortTermInvestments,quarterlyFreeCashFlow,quarterlyChangeInCashSupplementalAsReported,quarterlyDilutedEPS,quarterlySaleOfInvestment,quarterlyChangesInAccountReceivables,quarterlyDepreciationAndAmortization,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyCashAndCashEquivalents,quarterlyCurrentDeferredRevenue,quarterlyResearchAndDevelopment
1984-03-31,,,152000000,,,,,,,,,,337984000.0,,152000000,,,152000000,,,,,,,,,,,,,,,,0.0175,,,,,,5300000,,,,,,,,,337984000.0,,,,,,,,,,,,,,,,,,0.0175,,,,,,,,,,
1984-06-30,,,169000000,,,,,,,,,,338512000.0,,169000000,,,169000000,,,,,,,,,,,,,,,,0.0275,,,,,,9200000,,,,,,,,,338512000.0,,,,,,,,,,,,,,,,,,0.0275,,,,,,,,,,
1984-09-30,,,165500000,,,,,,,,,,338544000.0,,165500000,,,165500000,,,,,,,,,,,,,,,,0.035,,,,,,11800000,,,,,,,,,338544000.0,,,,,,,,,,,,,,,,,,0.035,,,,,,,,,,
1984-12-31,,,-411800000,,,,,,,275000000.0,,,,182600000.0,-411800000,,,173800000,,360000000.0,100500000.0,253500000.0,,8600000.0,,43200000.0,100000.0,,,,,,,,,299600000.0,,,82100000.0,18200000,,73800000.0,,,228100000.0,-131900000.0,,38800000.0,,,112700000.0,2400000.0,,,,,600000.0,,98100000.0,,,482200000.0,228700000.0,,,,,,,,,,,,112700000.0,,
1985-03-31,,,169000000,,,,,,,,,,339696000.0,,169000000,,,169000000,,,,,,,,,,,,,,,,0.03,,,,,,10200000,,,,,,,,,339696000.0,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,
1985-06-30,,,193700000,,,,,,,,,,340480000.0,,193700000,,,193700000,,,,,,,,,,,,,,,,0.0375,,,,,,12200000,,,,,,,,,340480000.0,,,,,,,,,,,,,,,,,,0.0375,,,,,,,,,,
1985-09-30,,,202700000,,,,,,,,,,341040000.0,,202700000,,,202700000,,,,,,,,,,,,,,,,0.0475,,,,,,15700000,,,,,,,,,341040000.0,,,,,,,,,,,,,,,,,,0.0475,,,,,,,,,,
1985-12-31,,,-466800000,,,,,,,327800000.0,,,,202800000.0,-466800000,,,193100000,,376300000.0,121300000.0,334800000.0,,200000.0,,40200000.0,0.0,,,,,,,,,357500000.0,,,81500000.0,20400000,,78600000.0,,,225300000.0,-151000000.0,,41300000.0,,,185100000.0,2400000.0,,,,,200000.0,,118900000.0,,,560300000.0,225500000.0,,,,,,,,,,,,185100000.0,,
1986-03-31,,,189000000,,,,,,,,,,342288000.0,,189000000,,,189000000,,,,,,,,,,,,,,,,0.035,,,,,,12000000,,,,,,,,,342288000.0,,,,,,,,,,,,,,,,,,0.035,,,,,,,,,,
1986-06-30,,,197100000,,,,,,,,,,344080000.0,,197100000,,,197100000,,,,,,,,,,,,,,,,0.0375,,,,,,12500000,,,,,,,,,344080000.0,,,,,,,,,,,,,,,,,,0.0375,,,,,,,,,,
