date,quarterlyGrossPPE,quarterlyIncomeTaxPayable,quarterlySaleOfInvestment,quarterlyRepurchaseOfCapitalStock,quarterlyGrossProfit,quarterlyDeferredIncomeTax,quarterlyChangeInAccountPayable,quarterlyChangeInWorkingCapital,quarterlyNonCurrentDeferredRevenue,quarterlyAccountsPayable,quarterlyOtherCurrentAssets,quarterlyNetOtherInvestingChanges,quarterlyStockBasedCompensation,quarterlyEbitda,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlySellingGeneralAndAdministration,quarterlyStockholdersEquity,quarterlyChangeInInventory,quarterlyCurrentLiabilities,quarterlyPretaxIncome,quarterlyRetainedEarnings,quarterlyCurrentAssets,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyTaxProvision,quarterlyOtherNonCashItems,quarterlyOtherShortTermInvestments,quarterlyDilutedAverageShares,quarterlyTotalRevenue,quarterlyNetPPE,quarterlyOperatingIncome,quarterlyAccumulatedDepreciation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,quarterlyNetIncome,quarterlyOperatingCashFlow,quarterlyNetIncomeContinuousOperations,quarterlyResearchAndDevelopment,quarterlyOtherNonCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyInterestExpense,quarterlyCommonStockIssuance,quarterlyCurrentDebt,quarterlyOtherCurrentLiabilities,quarterlyAccountsReceivable,quarterlyGoodwill,quarterlyCurrentAccruedExpenses,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyRepaymentOfDebt,quarterlyCostOfRevenue,quarterlyLongTermDebt,quarterlyDilutedEPS,quarterlyCurrentDeferredRevenue,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOperatingExpense,quarterlyCashDividendsPaid,quarterlyDepreciationAndAmortization,quarterlyBasicAverageShares,quarterlyOtherIntangibleAssets,quarterlyBeginningCashPosition,quarterlyCashAndCashEquivalents,quarterlyCapitalStock,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyChangesInAccountReceivables,quarterlyTotalNonCurrentAssets,quarterlyPurchaseOfInvestment,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyBasicEPS,quarterlyNetOtherFinancingCharges,quarterlyFreeCashFlow,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentAssets,quarterlyInvestmentsAndAdvances,quarterlyPurchaseOfBusiness,quarterlyGainsLossesNotAffectingRetainedEarnings
2013-03-31,,,,-1008000.0,22732000,,-411000,161000,,,,-26030000.0,722000.0,7445000,17227000,-27257000,15854000,,-30000,,3876000,,,,1241000.0,57000,,48371489.0,27577000,,5539000,,26525000,-1227000,2635000,4524000,2635000,455000,,3792000,2274000,,,,,,,611000,,-100000.0,4845000,,0.054474,,,17193000,1603000.0,1295000,47686326.0,,13435000,,,,147000,,,,2635000,0.055257,26030000,3297000,,,,,
2013-06-30,,,,0.0,19146000,,-224000,2208000,,,,64797000.0,122000.0,4143000,17776000,63185000,14756000,,117000,,529000,,,,169000.0,59000,,48371489.0,23914000,,3193000,,-67018000,-1612000,360000,4382000,360000,324000,,549000,2326000,,,,,,,-338000,,-97000.0,4768000,,0.007442,,,15953000,-2123000.0,1288000,47686326.0,,17227000,,,,-84000,,,,360000,0.007549,-64798000,2770000,,,,,
2013-09-30,,,,-53000.0,20490000,,476000,1760000,,,,43526000.0,81000.0,3159000,21138000,40122000,17154000,,-208000,,-623000,,,,-199000.0,62000,,48371489.0,25830000,,1839000,,-39950000,-3404000,-424000,3190000,-424000,538000,,3362000,2329000,0.0,,,,,,-133000,,,5340000,,-0.008891,,,18651000,,1453000,47686326.0,,17776000,,,,-148000,,,,-424000,-0.008891,-42364000,-214000,,,,,
2013-12-31,50211000.0,,,0.0,24342000,,2826000,6111000,10990000.0,5020000.0,455779000.0,-213807000.0,,1255000,13273000,-224492000,23801000,1752000.0,257000,482983000.0,3929000,-2315000.0,474260000.0,87255000.0,,1014000,455779000.0,,30280000,38671000.0,-1254000,-11540000.0,205002000,-10933000,5140000,11625000,5140000,829000,0.0,-7865000,-4124000,,9545000.0,455779000.0,1705000.0,51889000.0,11057000.0,1059000,578000.0,,5938000,72420000.0,,1582000.0,2738000.0,25596000,,1450000,,6709000.0,21138000,13273000.0,17452000.0,13273000.0,-998000,97730000.0,,571990000.0,-1327000,,211998000,692000,570238000.0,461000.0,,,
2014-03-31,55414000.0,239000.0,,0.0,30063000,,-1710000,-578000,11979000.0,3310000.0,409218000.0,46561000.0,93000.0,5631000,13125000,41401000,24949000,6054000.0,126000,438269000.0,1843000,1060000.0,430951000.0,87908000.0,783000.0,70000,409218000.0,50811059.0,36985000,42514000.0,3141000,-12900000.0,-43369000,-5160000,1060000,1731000,1060000,882000,0.0,-237000,2067000,,13941000.0,409218000.0,737000.0,51889000.0,9594000.0,769000,452000.0,-105000.0,6922000,72376000.0,0.020862,1967000.0,3081000.0,26922000,0.0,1721000,50811059.0,6306000.0,13362000,13125000.0,457000.0,13125000.0,968000,101280000.0,,532231000.0,1060000,0.020862,-47655000,-3429000,526177000.0,571000.0,,,
2014-06-30,59458000.0,,,0.0,26941000,,-690000,-689000,13350000.0,2620000.0,315629000.0,93590000.0,181000.0,1317000,13968000,89472000,21838000,67838000.0,-67000,329398000.0,-1037000,467000.0,336492000.0,42959000.0,-444000.0,4000,315629000.0,50284362.0,33306000,45358000.0,3094000,-14100000.0,-92791000,-4118000,-593000,4162000,-593000,937000,26528000.0,843000,674000,,893000.0,315629000.0,906000.0,51889000.0,8315000.0,-3457000,519000.0,-65102000.0,6365000,26528000.0,-0.01,1941000.0,3081000.0,23847000,0.0,1680000,50284362.0,5902000.0,13125000,13968000.0,510000.0,13968000.0,-169000,103703000.0,,440195000.0,-593000,-0.01,-92033000,44000,372357000.0,554000.0,,,
2014-09-30,62142000.0,148000.0,,0.0,30162000,,-644000,2840000,15048000.0,1976000.0,393633000.0,-78004000.0,88000.0,6514000,18473000,-80674000,23266000,70616000.0,136000,407892000.0,4379000,3157000.0,418331000.0,44448000.0,1689000.0,-7000,393633000.0,52978051.0,36598000,46642000.0,4678000,-15500000.0,77771000,-2670000,2690000,7408000,2690000,1059000,0.0,4505000,338000,646000.0,845000.0,393633000.0,1468000.0,51889000.0,9104000.0,39000,384000.0,-235000.0,6436000,26341000.0,0.05,2186000.0,3059000.0,25484000,,1797000,51056462.0,5499000.0,13968000,18473000.0,510000.0,18473000.0,-562000,104625000.0,,522956000.0,2690000,0.05,77360000,4738000,452340000.0,595000.0,,,
2014-12-31,65008000.0,,,0.0,36445000,,658000,4150000,16802000.0,3042000.0,660557000.0,-266927000.0,350000.0,6777000,25144000,-269249000,28995000,74138000.0,72000,678772000.0,4471000,5663000.0,693393000.0,46032000.0,1965000.0,66000,660557000.0,,44040000,47919000.0,4787000,-17089000.0,266884000,-2322000,2506000,9036000,2506000,1447000,0.0,6671000,342000,-2000.0,855000.0,660557000.0,2794000.0,51889000.0,11783000.0,26000,195000.0,-208000.0,7595000,26123000.0,,2535000.0,3107000.0,31658000,,1964000,,5096000.0,18473000,25144000.0,538000.0,25144000.0,-1326000,105549000.0,,798942000.0,2506000,,267095000,6714000,724804000.0,645000.0,,,
2015-03-31,67512000.0,3353000.0,,,46941000,-101000.0,-515000,4842000,18114000.0,2527000.0,591563000.0,69365000.0,254000.0,12704000,35673000,66863000,33213000,80389000.0,-523000,613004000.0,10239000,11658000.0,633551000.0,46196000.0,4244000.0,13000,591563000.0,56562661.0,55222000,48692000.0,10538000,-18820000.0,-69470000,-2502000,5995000,13136000,5995000,1867000,0.0,10529000,332000,,862000.0,591563000.0,1684000.0,51889000.0,12037000.0,33000,718000.0,-464000.0,8281000,25652000.0,0.11,2662000.0,2430000.0,36403000,,2133000,54749951.0,4693000.0,25144000,35673000.0,566000.0,35673000.0,1110000,106038000.0,,739589000.0,5995000,0.11,-69006000,10634000,659200000.0,764000.0,,,
2015-06-30,70816000.0,1931000.0,,,40952000,-129000.0,-455000,1417000,20077000.0,2968000.0,542807000.0,48756000.0,35000.0,13114000,42667000,46336000,26837000,86370000.0,392000,565495000.0,10435000,17604000.0,591947000.0,47317000.0,4489000.0,72000,542807000.0,58369083.0,48973000,50115000.0,10808000,-20701000.0,-48985000,-2420000,5946000,9643000,5946000,1907000,0.0,6994000,392000,,861000.0,542807000.0,2562000.0,51889000.0,13970000.0,19000,326000.0,-218000.0,8021000,25435000.0,0.1,2958000.0,1805000.0,30144000,,2287000,57038021.0,4290000.0,35673000,42667000.0,571000.0,42667000.0,-868000,107235000.0,,699182000.0,5946000,0.1,-48767000,7223000,612812000.0,941000.0,,,
