date,quarterlyOperatingCashFlow,quarterlyOtherNonCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyOtherCurrentLiabilities,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyCommonStockIssuance,quarterlyOtherShortTermInvestments,quarterlyGoodwill,quarterlyInvestmentsAndAdvances,quarterlyLongTermDebt,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyInventory,quarterlyOtherIncomeExpense,quarterlyCashAndCashEquivalents,quarterlyCashDividendsPaid,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyDepreciationAndAmortization,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyChangesInAccountReceivables,quarterlyInterestExpense,quarterlyCurrentDebt,quarterlyPurchaseOfInvestment,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentAssets,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyOtherIntangibleAssets,quarterlyFreeCashFlow,quarterlyTotalNonCurrentAssets,quarterlyNetOtherFinancingCharges,quarterlySaleOfInvestment,quarterlyIncomeTaxPayable,quarterlyGrossPPE,quarterlyRepurchaseOfCapitalStock,quarterlyChangeInWorkingCapital,quarterlyAccountsPayable,quarterlyDeferredIncomeTax,quarterlyNonCurrentDeferredRevenue,quarterlyOtherCurrentAssets,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyStockBasedCompensation,quarterlyStockholdersEquity,quarterlyNetOtherInvestingChanges,quarterlyEbitda,quarterlyChangeInAccountPayable,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyGrossProfit,quarterlyOperatingExpense,quarterlyChangeInInventory,quarterlyOtherNonCashItems,quarterlyCurrentLiabilities,quarterlyCurrentDeferredRevenue,quarterlySellingGeneralAndAdministration,quarterlyCurrentAssets,quarterlyRepaymentOfDebt,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyNetPPE,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyTaxProvision,quarterlyRetainedEarnings,quarterlyTotalRevenue,quarterlyOperatingIncome,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyAccumulatedDepreciation,quarterlyResearchAndDevelopment,quarterlyBasicAverageShares,quarterlyDilutedEPS,quarterlyBasicEPS,quarterlyDilutedAverageShares
2006-03-31,28704000.0,8478000.0,2400000.0,1073000,17825000,33637000.0,7742000.0,51197000.0,81470000.0,158400000.0,,27169000.0,0.0,1352742000.0,,2841000.0,,19938000.0,-19831000.0,19938000.0,22974000.0,121827000.0,17538000.0,-9672000.0,26823000,3309000.0,,1578737000.0,17237000.0,2593751000.0,13738000,,-247181000.0,2454575000.0,-8311000.0,,,2410169000.0,-343000.0,-4473000.0,52130000.0,,,0.0,,,1015014000.0,216460000.0,49772000,5199000.0,-250092000.0,19938000.0,130757000.0,103959000,-12000.0,-8338000.0,118371000.0,,38052000,139176000.0,-81045000.0,1460366000.0,2410169000.0,,-216460000.0,,-64021000.0,212227000,26798000,-275885000.0,223788000.0,,,,,,
2006-06-30,52436000.0,6321000.0,-4273000.0,22052000,22052000,35901000.0,10832000.0,51229000.0,89942000.0,0.0,,27169000.0,0.0,1501625000.0,,3183000.0,,15665000.0,-21553000.0,15665000.0,25842000.0,176827000.0,19938000.0,302000.0,22936000,2161000.0,,1725357000.0,14890000.0,2795019000.0,16898000,,-176549000.0,2654618000.0,5148000.0,,,2612559000.0,-692000.0,906000.0,46649000.0,,,0.0,,,1069662000.0,-219846000.0,70317000,527000.0,-232371000.0,15665000.0,158859000.0,114384000,-342000.0,3669000.0,118215000.0,,41884000,140401000.0,-130865000.0,1607142000.0,2612559000.0,,,,-64691000.0,248801000,44475000,-228985000.0,175662000.0,,,,,,
2006-09-30,43601000.0,6177000.0,109524000.0,10026000,1536000,32903000.0,11888000.0,40889000.0,84330000.0,0.0,,22436000.0,0.0,1483534000.0,,3005000.0,,125189000.0,-22672000.0,125189000.0,32146000.0,176827000.0,15665000.0,2427000.0,23996000,16959000.0,,1722418000.0,19193000.0,2771374000.0,-3652000,,6643000.0,2527386000.0,-501000.0,,,2485757000.0,-500000.0,1006000.0,49038000.0,,,0.0,,,1048956000.0,-539044000.0,65552000,-1421000.0,92889000.0,125189000.0,142683000.0,109277000,178000.0,2040000.0,133461000.0,,37316000,243988000.0,-293000.0,1588957000.0,2485757000.0,,,,-85880000.0,227013000,33406000,-36958000.0,-26966000.0,,,,,,
2006-12-31,38363000.0,6429000.0,-96160000.0,13056000,11824000,32354000.0,12338000.0,41695000.0,93499000.0,0.0,,22249000.0,68714000.0,1476597000.0,,3089000.0,,29029000.0,-22675000.0,29029000.0,20875000.0,176828000.0,125189000.0,-1381000.0,22441000,23231000.0,,1722590000.0,29352000.0,2760373000.0,6637000,,-7546000.0,2612502000.0,-904000.0,,,2492187000.0,842000.0,-1966000.0,48519000.0,,,0.0,,,1037783000.0,471754000.0,58448000,-508000.0,-111121000.0,29029000.0,152881000.0,119505000,-84000.0,12764000.0,140268000.0,,42570000,147871000.0,-665000.0,1582322000.0,2492187000.0,,,,-97932000.0,246380000,33376000,-45909000.0,-23402000.0,,,,,,
2007-03-31,22349000.0,6958000.0,-13925000.0,4828000,4828000,87198000.0,11446000.0,48861000.0,93311000.0,0.0,66729000.0,22249000.0,66729000.0,1787330000.0,,3074000.0,,15104000.0,-23826000.0,81833000.0,27482000.0,176828000.0,29029000.0,-16745000.0,23732000,24542000.0,,2042844000.0,21782000.0,3062701000.0,-359000,,-301942000.0,2910519000.0,-133000.0,,,2799759000.0,0.0,-12824000.0,2075000.0,,,-66729000.0,,,1019857000.0,-68000.0,56818000,3921000.0,-324359000.0,15104000.0,146535000.0,117303000,15000.0,2641000.0,149210000.0,,41403000,152182000.0,-1956000.0,1893634000.0,2799759000.0,,,,-116757000.0,239846000,29232000,-324291000.0,288085000.0,,,,,,
2007-06-30,74251000.0,6641000.0,36141000.0,17552000,74472000,50733000.0,15675000.0,48481000.0,101425000.0,110895000.0,37659000.0,17365000.0,37659000.0,1726463000.0,,3073000.0,,51245000.0,-23949000.0,88904000.0,30165000.0,176843000.0,15104000.0,20171000.0,27026000,21326000.0,,1976072000.0,26913000.0,3084347000.0,66171000,,-80298000.0,2914716000.0,-6846000.0,,,2832779000.0,-73565000.0,22754000.0,30642000.0,,,-37659000.0,,,1108275000.0,26127000.0,74057000,2583000.0,19438000.0,51245000.0,169973000.0,126081000,1000.0,-53797000.0,143572000.0,,44138000,169631000.0,-176083000.0,1832500000.0,2832779000.0,,,,-67480000.0,271398000,43892000,-154549000.0,-57548000.0,,,,,,
2007-09-30,58539000.0,6188000.0,-16671000.0,16567000,16567000,60278000.0,18073000.0,39934000.0,100919000.0,0.0,36893000.0,17365000.0,36893000.0,1723770000.0,,3157000.0,,34574000.0,-24361000.0,71467000.0,30159000.0,176838000.0,51245000.0,-1349000.0,24994000,9111000.0,,1971314000.0,30287000.0,3060462000.0,11380000,,31293000.0,2914929000.0,-527000.0,,,2830384000.0,-13325000.0,9362000.0,30270000.0,,,-36893000.0,,,1089148000.0,5157000.0,71733000,10711000.0,-22089000.0,34574000.0,166119000.0,124652000,-84000.0,3529000.0,141910000.0,,43542000,145533000.0,-14908000.0,1829404000.0,2830384000.0,,,,-74257000.0,267038000,41467000,-27246000.0,-53121000.0,,,,,,
2007-12-31,58840000.0,6034000.0,32838000.0,24147000,29796000,54868000.0,18133000.0,36703000.0,69356000.0,0.0,35816000.0,16251000.0,35816000.0,1712336000.0,,3190000.0,,67412000.0,-24179000.0,103228000.0,29738000.0,176838000.0,34574000.0,6463000.0,24164000,9815000.0,,1955217000.0,30038000.0,3049152000.0,24277000,,26446000.0,2883452000.0,0.0,,,2801347000.0,0.0,472000.0,28540000.0,,,-35816000.0,,,1093935000.0,3824000.0,76586000,-5991000.0,9724000.0,67412000.0,176038000.0,133292000,-36000.0,-1474000.0,137351000.0,,47137000,165700000.0,-11547000.0,1817866000.0,2801347000.0,,,,-70457000.0,245394000,42746000,-32394000.0,-35726000.0,,,,,,
2008-03-31,21362000.0,6066000.0,-45112000.0,1055000,1055000,51431000.0,11753000.0,45571000.0,89117000.0,,30350000.0,16251000.0,30350000.0,1709274000.0,,3287000.0,,22300000.0,-25995000.0,52650000.0,29826000.0,176832000.0,67412000.0,-8027000.0,24482000,10839000.0,,1948757000.0,26266000.0,3007362000.0,-4177000,,-10458000.0,2876920000.0,-2038000.0,,,2804053000.0,-11827000.0,-14367000.0,34064000.0,,,-30350000.0,,,1058605000.0,5206000.0,57985000,-6340000.0,-26614000.0,22300000.0,159630000.0,133220000,-97000.0,4848000.0,133871000.0,,42759000,130442000.0,-2038000.0,1814886000.0,2804053000.0,,,,-95186000.0,248747000,26410000,-31820000.0,-39860000.0,,,,,,
2008-06-30,66136000.0,6144000.0,16640000.0,22616000,69218000,37784000.0,10522000.0,34888000.0,91634000.0,,,16251000.0,29286000.0,1706707000.0,,2990000.0,-56000.0,38940000.0,-25784000.0,38940000.0,31321000.0,276428000.0,22300000.0,9587000.0,24578000,11396000.0,,1840765000.0,15457000.0,3043617000.0,61128000,,38260000.0,2555924000.0,-2020000.0,,,2906141000.0,0.0,7800000.0,42437000.0,,,361017000.0,,,1202852000.0,-357709000.0,77470000,5963000.0,-21692000.0,38940000.0,163602000.0,117453000,297000.0,-4593000.0,127914000.0,,74056000,487693000.0,-42010000.0,1712851000.0,2482794000.0,,,,-51743000.0,255236000,46149000,-27876000.0,-27804000.0,-423347000.0,,,,,
