date,quarterlyOtherIntangibleAssets,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCapitalStock,quarterlyOtherCurrentAssets,quarterlyAccountsPayable,quarterlyStockholdersEquity,quarterlyNetPPE,quarterlyCurrentLiabilities,quarterlyGrossPPE,quarterlyRetainedEarnings,quarterlyOtherCurrentLiabilities,quarterlyAccumulatedDepreciation,quarterlyCurrentAssets,quarterlyBasicEPS,quarterlyAccountsReceivable,quarterlyTotalNonCurrentAssets,quarterlyGoodwill,quarterlyOtherShortTermInvestments,quarterlyLongTermDebt,quarterlyOtherNonCurrentLiabilities,quarterlyTotalAssets,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyInventory,quarterlyDilutedEPS,quarterlyCurrentDebt,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentAssets,quarterlyDepreciationAndAmortization,quarterlyIncomeTaxPayable,quarterlyNetIncome,quarterlyChangeInWorkingCapital,quarterlyTaxProvision,quarterlyNetOtherFinancingCharges,quarterlyFreeCashFlow,quarterlyCommonStockIssuance,quarterlyOtherIncomeExpense,quarterlyInterestExpense,quarterlyBasicAverageShares,quarterlyOtherNonCashItems,quarterlyInvestmentsAndAdvances,quarterlyChangeInAccountPayable,quarterlyNonCurrentDeferredRevenue,quarterlyRepurchaseOfCapitalStock,quarterlyPurchaseOfBusiness,quarterlySellingGeneralAndAdministration,quarterlyDilutedAverageShares,quarterlyChangesInAccountReceivables,quarterlyOperatingExpense,quarterlyNetIncomeContinuousOperations,quarterlyCashDividendsPaid,quarterlyDeferredIncomeTax,quarterlyNetOtherInvestingChanges,quarterlyBeginningCashPosition,quarterlySaleOfInvestment,quarterlyPretaxIncome,quarterlyInvestingCashFlow,quarterlyCostOfRevenue,quarterlyRepaymentOfDebt,quarterlyOperatingIncome,quarterlyOperatingCashFlow,quarterlyEndCashPosition,quarterlyCurrentDeferredRevenue,quarterlyCapitalExpenditure,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyChangeInCashSupplementalAsReported,quarterlyStockBasedCompensation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentAccruedExpenses,quarterlyTotalRevenue,quarterlyResearchAndDevelopment,quarterlyPurchaseOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyGrossProfit,quarterlyEbitda,quarterlyChangeInInventory
2008-12-31,59874303.232999,6670701783.723523,6733217600.334448,1178114966.555184,2103525153.28874,18490593.645485,16995497073.578594,22152611691.75028,25270477982.162766,22206322463.768116,25270477982.162766,6410952968.227425,0.0,,21744938127.0903,,1439624790.9699,39764461886.84504,5622020972.686734,62515816.610925,7550325738.573021,189308458.751394,61509400013.93534,8927434712.931995,10018379738.015608,,4829566959.308807,31133757176.70011,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-06-30,89026753.941158,7782348619.272128,7812318021.588953,1234915666.055074,2105791239.261651,96959831.025024,19810656384.430973,22623372937.165977,23374370901.10525,24316644168.06662,24403026562.979824,,0.0,-1028655661.874569,22922185507.324917,,5386559339.944724,42028560937.31049,5700356611.262074,29969402.316826,7979794093.359449,185986584.966182,64950746444.63541,9417443951.557755,9119512834.408136,,4171035640.094655,33734088119.624374,3703865545.155904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-12-31,83642683.801153,7508471657.434056,7508471657.434056,1429849668.348136,2109556530.395403,319603097.050723,22117766944.934444,22756973139.03589,25937156022.086056,25813012670.33908,35487389613.57142,,478964420.924499,-9550233591.485367,23269394633.48085,,4523748519.687639,43175472928.852165,8122144821.743571,,7764682404.656537,230677717.430549,66444867562.333015,9425209790.435223,9802042092.191998,,2926613483.737196,35238222460.7743,-23772131.185591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-30,75213410.671304,12543148091.254011,12543148091.254011,1595223965.865801,2096355178.826932,411050035.064104,25871664121.843266,34037566626.93591,26556455988.76921,29953303512.575554,26556455988.76921,,8745745.426896,,28674675531.163383,0.0,5141623736.472063,43830177781.43118,8141414417.897335,,6626651309.958976,292107897.258321,72504853312.59456,8513983173.083098,10546494410.293692,0.0,3402969545.60517,38467286685.65865,193280973.934398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-31,186637274.162856,11991657921.212534,11991657921.212534,1786263591.987881,2043635540.833463,78404699.648323,27676858975.858025,26264722157.19203,26878324154.439777,31956732906.66105,37889071105.05209,10845415301.353899,0.0,-11010746950.61232,31378924359.252754,,5753370949.19379,44811694749.00131,8227380113.096852,0.0,6952451518.815425,295722073.673566,76190619108.25406,9046368334.423355,13316867790.268429,,3537585959.132487,41003101241.084404,-39202349.824162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-30,388260323.049048,13405373552.126034,13405373552.126034,1958760858.894129,1994510738.746611,41569627.735444,31595411256.60169,26562160730.39411,28574962105.344315,33419486521.632977,,11108235923.46539,0.0,,34618354585.523186,0.0,7342027650.634148,47002778080.46671,8190048056.437208,,9995832685.264902,303458282.468742,81621132665.9899,12258051826.627773,13479367489.495123,0.0,1172263502.139525,45677538348.26075,-20784813.867722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12-31,250891741.890622,14775095612.75867,14775095612.75867,2020083186.319327,1941578350.953552,82551476.364011,36813911817.350655,29422317369.973087,31612359478.21832,43053832236.63031,44763133394.285126,13916398392.933025,0.0,-13150773916.066807,41125203136.87112,,9252239978.366405,50854137424.8297,8704324787.205275,,6832348661.421379,430562602.212293,91979340561.7008,9282994449.952997,16765233655.691051,,5739755591.897704,52336826686.583305,-41275738.182005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-06-30,246887466.085802,19975738701.17483,19975738701.17483,1098280123.2189,1968537935.567857,335471673.186356,39338769969.90417,32152786280.94167,34319818458.345955,47528708006.00628,34319818458.345955,16518493951.833782,0.0,,44319170946.89085,0.0,7963556173.511803,58368790237.866615,12202474528.101255,,10675217179.756527,579898466.852698,102687961184.75746,12353395769.828125,15994370726.48884,0.0,7656792345.219145,59882103775.834404,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-31,237532017.791675,12887118456.7992,12887118456.7992,1206984727.693971,0.0,314830572.734051,16335761277.822067,32805184640.231995,35618529962.82221,46849365841.32488,49276218389.20322,17299577634.759815,0.0,-13657688426.381008,41473090306.42652,,1149010811.487189,61179390657.04843,12036029159.152418,,10750940683.235422,538674304.754681,102652480963.47495,12496599715.684074,17103915667.561926,,3521915409.561994,59345965557.00896,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-30,247953671.318529,17046814903.14887,17046814903.14887,1311293454.088375,0.0,285305666.67741,48590972345.37661,32972275222.225803,37879691633.73836,52194247812.55036,37879691633.73836,17472786594.901215,0.0,,46201239365.71373,0.0,12215691928.965096,62890428781.38396,12025753058.948658,1589446.611016,11492493720.952719,555511590.550166,109091668147.09769,13359298765.591259,16505608332.09785,0.0,2854646113.385116,65553546578.14162,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
