date,quarterlyNetOtherInvestingChanges,quarterlyChangesInAccountReceivables,quarterlyStockholdersEquity,quarterlyOtherIntangibleAssets,quarterlySaleOfInvestment,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyRepaymentOfDebt,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyDilutedAverageShares,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,quarterlyOtherCurrentAssets,quarterlyStockBasedCompensation,quarterlyTotalRevenue,quarterlyCapitalExpenditure,quarterlyEbitda,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyAccumulatedDepreciation,quarterlyBasicEPS,quarterlyRepurchaseOfCapitalStock,quarterlyPretaxIncome,quarterlyGrossPPE,quarterlyPurchaseOfBusiness,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyOtherNonCashItems,quarterlyOperatingCashFlow,quarterlyChangeInCashSupplementalAsReported,quarterlyOperatingIncome,quarterlyOtherCurrentLiabilities,quarterlyResearchAndDevelopment,quarterlyOtherShortTermInvestments,quarterlyCommonStockIssuance,quarterlyChangeInWorkingCapital,quarterlyRetainedEarnings,quarterlyTaxProvision,quarterlyNetPPE,quarterlyTotalNonCurrentAssets,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyBasicAverageShares,quarterlyFreeCashFlow,quarterlyLongTermDebt,quarterlyTotalAssets,quarterlyDepreciationAndAmortization,quarterlyNetIncomeContinuousOperations,quarterlySellingGeneralAndAdministration,quarterlyNetIncome,quarterlyOtherNonCurrentLiabilities,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyEndCashPosition,quarterlyOtherIncomeExpense,quarterlyInvestingCashFlow,quarterlyCurrentDebt,quarterlyPurchaseOfInvestment,quarterlyInterestExpense,quarterlyDilutedEPS,quarterlyOtherNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNetIncomeCommonStockholders,quarterlyChangeInAccountPayable,quarterlyInvestmentsAndAdvances,quarterlyGrossProfit,quarterlyNetOtherFinancingCharges,quarterlyOperatingExpense,quarterlyCashDividendsPaid,quarterlyGoodwill,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInInventory,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyDeferredIncomeTax,quarterlyCurrentDeferredRevenue,quarterlyInventory,quarterlyIncomeTaxPayable
1993-03-31,,,,,,,,,,,18076923.0,,,,,21800000,,21800000,,,0.26,,,,,,,,,,21800000,,,,,,,,,,,,,18076923.0,,,,,4700000.0,,4700000.0,,,,,,,,,0.26,,,4700000.0,,,,,,,,,,,,,,
1993-06-30,,,,,,,,,,,18076923.0,,,,,21800000,,21800000,,,0.26,,,,,,,,,,21800000,,,,,,,,,,,,,18076923.0,,,,,4700000.0,,4700000.0,,,,,,,,,0.26,,,4700000.0,,,,,,,,,,,,,,
1993-09-30,,,,,,,,,,,18076923.0,,,,,21800000,,21800000,,,0.26,,,,,,,,,,21800000,,,,,,,,,,,,,18076923.0,,,,,4700000.0,,4700000.0,,,,,,,,,0.26,,,4700000.0,,,,,,,,,,,,,,
1993-12-31,,,-151000000.0,,,,,,,,,,,,,10000000,,47800000,,,,,,371200000.0,,,,,,,47800000,,,,,,,,371200000.0,,,,29200000.0,,,523600000.0,413600000.0,,-21700000.0,,-21700000.0,,,,,,,,,,,564600000.0,-21700000.0,,,,,,,,,,,,,,
1994-03-31,,,,,,,,,,,21143000.0,,,,,100000,,100000,,,0.0,,,,,,,,,,100000,,,,,,,,,,,,,21143000.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1994-06-30,,,235200000.0,,,,,,,,20896861.0,,,,,54500000,,55200000,,,2.23,,,435800000.0,,,,,,,55200000,,,,,,46500000.0,,435800000.0,,4900000.0,,800000.0,20896861.0,,306200000.0,584400000.0,,46600000.0,200000.0,46600000.0,,,,,,,,900000.0,2.23,,318000000.0,46600000.0,,,,,-700000.0,,,,,,,,,
1994-09-30,,-3400000.0,233200000.0,,,,,-29000000.0,,,20869565.0,,,,,22300000,-20200000.0,37600000,-41100000.0,,0.23,,,451600000.0,,,,11800000.0,11300000.0,-50000000.0,32300000,,,,-2600000.0,-10400000.0,51100000.0,,451600000.0,,7100000.0,,5200000.0,20869565.0,-8900000.0,276900000.0,556500000.0,5300000.0,4800000.0,1600000.0,4800000.0,,,,,-20200000.0,,,5400000.0,0.23,,291300000.0,4800000.0,-1800000.0,,,-3700000.0,-10000000.0,-5800000.0,,,,,,,,
1994-12-31,,5000000.0,229700000.0,,,,,25300000.0,,,,,,,,22600000,-58600000.0,35600000,-18900000.0,,,,,513000000.0,,,,-22500000.0,49900000.0,-32600000.0,31700000,,,,500000.0,63800000.0,,,513000000.0,,,,9700000.0,,-8700000.0,320600000.0,603000000.0,3900000.0,4700000.0,1600000.0,4700000.0,,,,,-63600000.0,300000.0,,6300000.0,,,343500000.0,4700000.0,26900000.0,,,-97900000.0,-9100000.0,34700000.0,,,,,,,,
1995-03-31,-400000.0,-4200000.0,225400000.0,,,25200000.0,,-100000.0,,,16800000.0,,,,,25700000,-103400000.0,38300000,88100000.0,,0.25,,,667300000.0,,,,5100000.0,5200000.0,-10500000.0,33400000,,,,,-9000000.0,42500000.0,,667300000.0,,7300000.0,,4700000.0,16800000.0,-98200000.0,439000000.0,728900000.0,4900000.0,4200000.0,4900000.0,4200000.0,,,,,-103800000.0,,,8400000.0,0.25,,460000000.0,4200000.0,-300000.0,,,20600000.0,-7700000.0,-9500000.0,,,,,,,,
1995-06-30,-1500000.0,3400000.0,221600000.0,,,,,-42300000.0,,,16800000.0,,,,,28700000,-42300000.0,43000000,38600000.0,,0.46,,,704600000.0,,,,-7600000.0,19400000.0,14200000.0,37400000,,,,,16800000.0,38700000.0,,704600000.0,,4200000.0,,10000000.0,16800000.0,-22900000.0,492300000.0,782000000.0,5600000.0,4700000.0,5600000.0,4700000.0,,,,,-43800000.0,,,9000000.0,0.46,,517300000.0,4700000.0,5000000.0,,,-5100000.0,-8700000.0,-9600000.0,,,,,,,,
