date,quarterlyStockholdersEquity,quarterlyChangesInAccountReceivables,quarterlyOtherIntangibleAssets,quarterlyCurrentDeferredRevenue,quarterlyOperatingExpense,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyRepaymentOfDebt,quarterlyNetOtherInvestingChanges,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyOtherCurrentAssets,quarterlyAccountsPayable,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyInterestExpense,quarterlyOtherNonCurrentAssets,quarterlyPurchaseOfInvestment,quarterlyNetIncome,quarterlyInvestingCashFlow,quarterlyNetIncomeCommonStockholders,quarterlyEndCashPosition,quarterlyChangeInAccountPayable,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyInvestmentsAndAdvances,quarterlyNetOtherFinancingCharges,quarterlyGrossProfit,quarterlyOtherIncomeExpense,quarterlyDilutedEPS,quarterlyBasicAverageShares,quarterlyCurrentAccruedExpenses,quarterlyDepreciationAndAmortization,quarterlyGoodwill,quarterlyTotalNonCurrentAssets,quarterlyBasicEPS,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyCashDividendsPaid,quarterlyTotalAssets,quarterlyFreeCashFlow,quarterlySellingGeneralAndAdministration,quarterlyOtherNonCurrentLiabilities,quarterlyLongTermDebt,quarterlyNetIncomeContinuousOperations,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOperatingIncome,quarterlyCommonStockIssuance,quarterlyCapitalExpenditure,quarterlyChangeInWorkingCapital,quarterlyTotalRevenue,quarterlyDilutedAverageShares,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyAccumulatedDepreciation,quarterlyOtherNonCashItems,quarterlyOperatingCashFlow,quarterlyCurrentAssets,quarterlyRepurchaseOfCapitalStock,quarterlyEbitda,quarterlyCurrentLiabilities,quarterlyNetPPE,quarterlyGrossPPE,quarterlyPretaxIncome,quarterlyStockBasedCompensation,quarterlyPurchaseOfBusiness,quarterlyRetainedEarnings,quarterlyTaxProvision,quarterlyOtherShortTermInvestments,quarterlyNonCurrentDeferredRevenue,quarterlySaleOfInvestment,quarterlyResearchAndDevelopment,quarterlyChangeInInventory,quarterlyCurrentDebt,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyDeferredIncomeTax,quarterlyInventory,quarterlyIncomeTaxPayable
2012-03-31,,0.0,,,195000,,,0.0,,,,,,0,0.0,,,-164000,0,-164000,0,0,,,139000,31000,0,-0.001786,91843376.0,,25000,,,-0.001786,,65000,,,-139000,170000,,,-164000,,139000,-164000,0.0,,0,96000,91843376.0,0,,,0,-139000,,,-139000,,,,-164000,0,,,,,,,,,,,,,
2012-06-30,,0.0,,,1564000,,,0.0,,,,,,0,0.0,,,-1566000,0,-1566000,0,0,,,1489000,-2000,0,-0.016317,95971706.0,,77000,,,-0.016317,,186000,,,-1489000,1487000,,,-1566000,,1489000,-1566000,0.0,,0,184000,95971706.0,0,,,0,-1489000,,,-1489000,,,,-1566000,0,,,,,,,,,,,,,
2012-09-30,,0.0,,,2781000,,,0.0,,,,,,0,0.0,,,-2675000,0,-2675000,0,0,,,2185000,106000,0,-0.027873,95971706.0,,490000,,,-0.027873,,877000,,,-2185000,2291000,,,-2675000,,2185000,-2675000,0.0,,0,983000,95971706.0,0,,,0,-2185000,,,-2185000,,,,-2675000,0,,,,,,,,,,,,,
2012-12-31,904674000.0,-82000.0,,,5777000,397198000.0,397198000.0,,-7393000.0,,,259000.0,387000.0,0,,,,-5831000,-97470000,-5831000,397198000,676000,16294000.0,0.0,2075000,815000,0,,,4532000.0,1519000,,505713000.0,,6586000.0,2462000,,921458000.0,-2736000,4258000,1731000.0,,-5831000,1731000.0,497404000,-4962000,495329000.0,,1051000,3277000,,397198000,0.0,-2132000.0,70000,-2736000,415745000.0,,-3443000,14563000.0,505713000.0,507845000.0,-5831000,70000,,-10278000.0,,,,,,,,,,,
2013-03-31,1243971000.0,-1327000.0,,,7446000,519410000.0,519410000.0,-115000000.0,-15231000.0,,,5926000.0,860000.0,397198000,370000.0,,,-7752000,-586345000,-7752000,519410000,7804000,49798000.0,,-319000,2349000,-1390000,-0.1,91843376.0,12305000.0,2905000,,1120843000.0,-0.1,8808000.0,4295000,,1678261000.0,5379000,4541000,3315000.0,,-6857000,3315000.0,703178000,-5097000,703497000.0,-574545000.0,8971000,6644000,91843376.0,122212000,0.0,-5037000.0,186000,5379000,557418000.0,,-3582000,46483000.0,1120843000.0,1125880000.0,-6857000,174000,,-18030000.0,,,,,,,,,,,
2013-06-30,1934686000.0,6063000.0,8698000.0,,15579000,251406000.0,251406000.0,-7600000.0,5848000.0,,0.0,75318000.0,1300000.0,519410000,0.0,27936000.0,,-3541000,-917102000,-13997000,251406000,15252000,831359000.0,,-9962000,6870000,8846000,-0.15,95971706.0,28593000.0,10879000,120655000.0,3182137000.0,-0.15,7644000.0,11250000,,3482695000.0,-3340000,4700000,13952000.0,734881000.0,137000,734881000.0,652438000,-8709000,0.0,-956049000.0,-3772000,18120000,95971706.0,-268004000,21160000.0,-13850000.0,0,-3340000,300558000.0,,11016000,96478000.0,3039504000.0,3053354000.0,137000,279000,,-32027000.0,,,,,,,,,,,
2013-09-30,2771997000.0,508000.0,3262000.0,,26938000,158065000.0,158065000.0,-806000000.0,-6958000.0,,0.0,91637000.0,1854000.0,251406000,0.0,23861000.0,,-7659000,-503649000,-7659000,158065000,9083000,395968000.0,,-4758000,24011000,-934000,-0.05,162725150.0,33976000.0,24043000,120655000.0,3675295000.0,-0.05,6758000.0,25452000,,3885261000.0,2283000,2895000,21434000.0,303319000.0,-3861000,303319000.0,408025000,-2927000,844783000.0,-503084000.0,-18490000,49463000,162725150.0,-93341000,0.0,-34773000.0,438000,2283000,209966000.0,,20182000,92649000.0,3530122000.0,3564895000.0,-3861000,153000,,-39686000.0,,,,,,,,,,,
2013-12-31,2934944000.0,-1905000.0,-4100000.0,,37300000,148989000.0,148989000.0,-244000000.0,0.0,,0.0,901000.0,1945000.0,158065000,0.0,39212000.0,,-13359000,-362275000,-14519000,148989000,7834000,573485000.0,,-7087000,32072000,-4243000,-0.08,185499066.0,38455000.0,33160000,120655000.0,4002650000.0,-0.08,6863000.0,32818000,,4224144000.0,11850000,4140000,26527000.0,441938000.0,-9471000,496615000.0,341349000,-5228000,0.0,-360369000.0,-18014000,64890000,185499066.0,-9076000,0.0,-62202000.0,3429000,11850000,221494000.0,,23689000,76870000.0,3861422000.0,3923624000.0,-9471000,473000,,-63479000.0,,,,,,,,,,,
2014-03-31,2920447000.0,-445000.0,-7665000.0,,40737000,103249000.0,103249000.0,-25000000.0,7378000.0,,0.0,1893000.0,1949000.0,148989000,1502000.0,24081000.0,,-10555000,-379074000,-13676000,103249000,3972000,889925000.0,,-6624000,38969000,-3665000,-0.07,185504294.0,38879000.0,35131000,120655000.0,4357937000.0,-0.07,6180000.0,38309000,-12395000.0,4524033000.0,47191000,5606000,32586000.0,740694000.0,-6935000,803129000.0,286143000,-1768000,0.0,-386452000.0,13664000,77278000,185504294.0,-45740000,0.0,-92177000.0,3376000,47191000,166096000.0,,29698000,86796000.0,4218654000.0,4310831000.0,-6935000,532000,,-86430000.0,,,,,,,,,,,
2014-06-30,3054343000.0,-1584000.0,-11583000.0,,44640000,239075000.0,239075000.0,-706909000.0,-29000000.0,-212000.0,0.0,1402000.0,2025000.0,103249000,3888000.0,56110000.0,,-7581000,-343883000,-12250000,239075000,3912000,1216362000.0,,-19496000,51163000,-6004000,-0.07,185515651.0,40018000.0,38325000,120655000.0,4634814000.0,-0.07,5646000.0,43141000,-13946000.0,4982557000.0,41479000,6315000,37902000.0,1036608000.0,-3369000,1130180000.0,438230000,6523000,0.0,-302692000.0,-402000,94304000,185515651.0,135826000,0.0,-126904000.0,5368000,41479000,347743000.0,,38844000,86182000.0,4483794000.0,4610698000.0,-3369000,612000,,-107956000.0,,,,,,,,,,,
