date,quarterlyOperatingExpense,quarterlyDilutedEPS,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyAccumulatedDepreciation,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyTaxProvision,quarterlyPretaxIncome,quarterlyNetPPE,quarterlyRepaymentOfDebt,quarterlyPurchaseOfBusiness,quarterlyChangesInAccountReceivables,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyInterestExpense,quarterlyCurrentDebt,quarterlyCapitalExpenditure,quarterlyOtherNonCurrentAssets,quarterlyNetOtherFinancingCharges,quarterlyOtherIntangibleAssets,quarterlyIncomeTaxPayable,quarterlyOperatingCashFlow,quarterlyGrossPPE,quarterlySaleOfInvestment,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyRepurchaseOfCapitalStock,quarterlyAccountsPayable,quarterlyResearchAndDevelopment,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyOperatingIncome,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyEbitda,quarterlyDilutedAverageShares,quarterlyStockBasedCompensation,quarterlyCommonStockIssuance,quarterlyOtherShortTermInvestments,quarterlyCashDividendsPaid,quarterlySellingGeneralAndAdministration,quarterlyOtherNonCashItems,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyRetainedEarnings,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyTotalRevenue,quarterlyPurchaseOfInvestment,quarterlyFreeCashFlow,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyDepreciationAndAmortization,quarterlyTotalNonCurrentAssets,quarterlyBasicEPS,quarterlyTotalAssets,quarterlyBasicAverageShares,quarterlyNetIncomeCommonStockholders,quarterlyNetIncomeContinuousOperations,quarterlyOtherNonCurrentLiabilities,quarterlyNetIncome,quarterlyLongTermDebt,quarterlyOtherCurrentAssets,quarterlyNetOtherInvestingChanges,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyGoodwill,quarterlyAccountsReceivable,quarterlyStockholdersEquity,quarterlyChangeInAccountPayable,quarterlyChangeInInventory,quarterlyGrossProfit,quarterlyOtherIncomeExpense,quarterlyInvestmentsAndAdvances,quarterlyEndCashPosition,quarterlyInventory,quarterlyInvestingCashFlow,quarterlyCurrentDeferredRevenue,quarterlyNonCurrentDeferredRevenue
2005-03-31,,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,457750000,,,457750000,69000000.0,,,,,,,,,,,457750000,,,,,,0.54,,67100000.0,36325000,36325000,,36325000,,,,,,,,,,,,,,,,,,
2005-06-30,,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,457750000,,,457750000,69000000.0,,,,,,,,,,,457750000,,,,,,0.54,,67100000.0,36325000,36325000,,36325000,,,,,,,,,,,,,,,,,,
2005-09-30,,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,457750000,,,457750000,69000000.0,,,,,,,,,,,457750000,,,,,,0.54,,67100000.0,36325000,36325000,,36325000,,,,,,,,,,,,,,,,,,
2005-12-31,,,17500000.0,-247500000.0,39900000.0,39900000.0,0.0,,,,259900000.0,,,,,,7200000.0,,121400000.0,,39600000.0,,,507400000.0,,,120500000.0,,127900000.0,,12800000.0,-1161750000,,,-1161750000,,,,,,,,409400000.0,,348700000.0,364900000.0,457750000,,,774300000.0,,746700000.0,,1095400000.0,,36325000,36325000,354700000.0,36325000,37200000.0,44400000.0,,109300000.0,,311700000.0,129500000.0,310800000.0,,,,,,,116300000.0,,,
2006-03-31,,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,479900000,,,479900000,69000000.0,,,,,,,,,,,479900000,,,,,,0.61,,67100000.0,40600000,40600000,,40600000,,,,,,,,,,,,,,,,,,
2006-06-30,,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,511767000,,,511767000,69000000.0,,,,,,,,,,,511767000,,,,,,0.48,,67100000.0,32400000,32400000,,32400000,,,,,,,,,,,,,,,,,,
2006-09-30,,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,511767000,,,511767000,69000000.0,,,,,,,,,,,511767000,,,,,,0.48,,67100000.0,32400000,32400000,,32400000,,,,,,,,,,,,,,,,,,
2006-12-31,,,18500000.0,-311800000.0,34800000.0,34800000.0,0.0,,,,299700000.0,,,,,,17900000.0,,127200000.0,,37400000.0,,,611500000.0,,,169300000.0,,147300000.0,,9200000.0,-1278933000,,,-1278933000,,,,,,,,87200000.0,,426800000.0,476300000.0,511767000,,,563500000.0,,850100000.0,,1276900000.0,,32400000,32400000,11400000.0,32400000,57300000.0,53000000.0,,141800000.0,,343800000.0,186500000.0,315200000.0,,,,,,,138000000.0,,,
2007-03-31,90000000.0,0.58,18500000.0,-311800000.0,31600000.0,31600000.0,0.0,34800000.0,20900000.0,61000000.0,298500000.0,,,,-45300000.0,2400000.0,12600000.0,-12300000.0,124900000.0,-45700000.0,36400000.0,,54100000.0,610300000.0,,-3200000.0,147100000.0,,176000000.0,21300000.0,9100000.0,62700000,,-8600000.0,84700000,69000000.0,,,,,68700000.0,700000.0,520000000.0,,498400000.0,507000000.0,558800000,,41800000.0,1027000000.0,22000000.0,849900000.0,0.6,1348300000.0,67100000.0,40100000,40100000,435600000.0,40100000,65900000.0,72200000.0,0.0,171300000.0,406100000.0,348100000.0,223300000.0,310200000.0,,-16700000.0,152700000.0,700000.0,,31600000.0,156800000.0,-12300000.0,,
2007-06-30,94300000.0,0.45,18500000.0,-311800000.0,54300000.0,54300000.0,0.0,31600000.0,19500000.0,50600000.0,301400000.0,,,,215200000.0,600000.0,5900000.0,-11800000.0,123600000.0,222100000.0,34700000.0,,-177300000.0,613200000.0,,22700000.0,79100000.0,,183400000.0,19900000.0,16200000.0,57600000,,-231400000.0,80600000,69700000.0,,,,,74400000.0,-1800000.0,508700000.0,,697300000.0,446000000.0,582300000,,-189100000.0,954700000.0,23000000.0,852600000.0,0.46,1549900000.0,67900000.0,31100000,31100000,436200000.0,31100000,54000000.0,58700000.0,-4000000.0,177600000.0,430400000.0,350900000.0,407400000.0,583300000.0,,-3800000.0,151900000.0,-6400000.0,,54300000.0,162400000.0,-15800000.0,,
2007-09-30,97100000.0,0.0,18500000.0,-311800000.0,165100000.0,165100000.0,700000.0,54300000.0,50000000.0,49700000.0,311600000.0,,,,77600000.0,2100000.0,74100000.0,-14000000.0,118800000.0,104600000.0,35700000.0,,46400000.0,623400000.0,,110800000.0,146900000.0,,191000000.0,23300000.0,32300000.0,60800000,,18200000.0,84700000,68064081.0,,,,,73800000.0,4100000.0,551400000.0,26700000.0,863200000.0,616800000.0,595500000,,32400000.0,1168200000.0,23900000.0,870700000.0,0.0,1733900000.0,68064081.0,-300000,-300000,530900000.0,-300000,2000000.0,63700000.0,-3000000.0,204800000.0,437600000.0,362600000.0,436500000.0,553100000.0,,-13400000.0,157900000.0,-9000000.0,,165100000.0,183400000.0,-17000000.0,,
2007-12-31,102600000.0,,25600000.0,-395600000.0,183200000.0,183200000.0,700000.0,165100000.0,21100000.0,75400000.0,336200000.0,,,,-33000000.0,-500000.0,10200000.0,-39600000.0,118000000.0,0.0,35100000.0,,76500000.0,731800000.0,,18100000.0,88900000.0,-93500000.0,193500000.0,19800000.0,105000000.0,86600000,,-22300000.0,110000000,,,13700000.0,,-4800000.0,82800000.0,1400000.0,688800000.0,76400000.0,887400000.0,484300000.0,679300000,,36900000.0,1173100000.0,23400000.0,906800000.0,,1794200000.0,,54300000,54300000,547200000.0,54300000,116000000.0,54200000.0,7000000.0,191700000.0,490100000.0,376800000.0,464600000.0,607600000.0,,12600000.0,189200000.0,-11700000.0,,183200000.0,177400000.0,-30700000.0,,
2008-03-31,112300000.0,0.91,25600000.0,-395600000.0,226900000.0,226900000.0,700000.0,183200000.0,21000000.0,82300000.0,356600000.0,,,,-2000000.0,600000.0,6200000.0,-17900000.0,119400000.0,0.0,34300000.0,,50900000.0,752200000.0,,43700000.0,106300000.0,-27900000.0,199900000.0,24300000.0,155200000.0,83700000,,-37600000.0,108800000,67481001.0,,5400000.0,,-4700000.0,88000000.0,1700000.0,748500000.0,133000000.0,1036500000.0,539500000.0,705400000,,33000000.0,1288000000.0,25100000.0,954800000.0,0.92,1991300000.0,66456232.0,61300000,61300000,576900000.0,61300000,146000000.0,57600000.0,0.0,227100000.0,509400000.0,403700000.0,531700000.0,689600000.0,,-22800000.0,196000000.0,-2000000.0,,226900000.0,212400000.0,-17900000.0,,
2008-06-30,127900000.0,1.0,25600000.0,-395600000.0,309800000.0,309800000.0,700000.0,226900000.0,18400000.0,85400000.0,361800000.0,,,,8700000.0,,6100000.0,-18800000.0,118200000.0,0.0,31700000.0,,90900000.0,757400000.0,,82900000.0,81000000.0,-65800000.0,209700000.0,27200000.0,162100000.0,84400000,,-1900000.0,109900000,66683775.0,,12800000.0,,-4600000.0,97900000.0,2900000.0,815900000.0,195400000.0,1124000000.0,543000000.0,772900000,,72100000.0,1358900000.0,25500000.0,955900000.0,1.02,2079900000.0,65551460.0,67000000,67000000,578300000.0,67000000,212000000.0,60500000.0,0.0,246200000.0,560600000.0,403400000.0,544100000.0,706600000.0,,11600000.0,212300000.0,-2200000.0,,309800000.0,201700000.0,-18800000.0,,
2008-09-30,112600000.0,0.97,25600000.0,-395600000.0,306900000.0,306900000.0,700000.0,309800000.0,4000000.0,67700000.0,337100000.0,,,,-55300000.0,,6900000.0,-21000000.0,106900000.0,0.0,26600000.0,,103900000.0,732700000.0,,-2900000.0,74500000.0,-57100000.0,172000000.0,23300000.0,80200000.0,62200000,,13900000.0,87100000,65350990.0,,3200000.0,,-4500000.0,89300000.0,2100000.0,765500000.0,254700000.0,1006900000.0,471500000.0,655000000,,82900000.0,1237000000.0,24900000.0,880800000.0,0.99,1887700000.0,64501931.0,63700000,63700000,537600000.0,63700000,202300000.0,62200000.0,-4500000.0,218100000.0,480200000.0,369400000.0,442700000.0,635700000.0,,-2700000.0,174800000.0,3700000.0,,306900000.0,187200000.0,-25500000.0,,
2008-12-31,94600000.0,,26600000.0,-372700000.0,392800000.0,392800000.0,700000.0,306900000.0,-5200000.0,16100000.0,315800000.0,,,,30000000.0,,76400000.0,-25900000.0,25600000.0,21500000.0,22700000.0,0.0,79100000.0,688500000.0,,85900000.0,0.0,-2700000.0,108300000.0,18100000.0,27300000.0,16300000,,27400000.0,37300000,,,,,-4500000.0,65100000.0,206600000.0,732700000.0,271400000.0,948000000.0,428400000.0,454700000,,53200000.0,1161100000.0,21000000.0,828000000.0,,1776000000.0,,21300000,21300000,83300000.0,21300000,173600000.0,54400000.0,-1100000.0,153900000.0,343800000.0,360800000.0,313800000.0,601500000.0,,18700000.0,110900000.0,-1100000.0,74000000.0,392800000.0,162700000.0,-21400000.0,,
2009-03-31,88200000.0,-0.57,117000000.0,,326100000.0,326100000.0,700000.0,392800000.0,500000.0,-35400000.0,285800000.0,-61400000.0,,41300000.0,-65900000.0,,85800000.0,-10600000.0,22000000.0,0.0,20800000.0,,33900000.0,,,-66700000.0,0.0,0.0,89900000.0,17800000.0,-23200000.0,-30000000,,42000000.0,-10600000,63983036.0,2500000.0,,,-4500000.0,69000000.0,2500000.0,711700000.0,230600000.0,810200000.0,334500000.0,333900000,,23300000.0,1046200000.0,19400000.0,762400000.0,-0.57,1572600000.0,63983036.0,-36400000,-35900000,96600000.0,-36400000,197200000.0,48800000.0,0.0,158800000.0,275700000.0,339100000.0,255100000.0,512600000.0,-13100000.0,3400000.0,58200000.0,5800000.0,65500000.0,326100000.0,151000000.0,-10600000.0,,
2009-06-30,75100000.0,-0.27,99100000.0,,372600000.0,372600000.0,700000.0,326100000.0,2400000.0,-14600000.0,352300000.0,-12000000.0,,41100000.0,-12000000.0,,25600000.0,-17700000.0,40900000.0,0.0,24300000.0,25000000.0,61100000.0,,,46500000.0,94400000.0,0.0,104100000.0,20100000.0,33700000.0,-7600000,,43100000.0,-7600000,64003281.0,3000000.0,,,0.0,61000000.0,3000000.0,670100000.0,213200000.0,823900000.0,410200000.0,316000000,,43400000.0,1080300000.0,23500000.0,847300000.0,-0.27,1671200000.0,64003281.0,-17400000,-17000000,98500000.0,-17400000,155700000.0,53200000.0,-7400000.0,161100000.0,248500000.0,388800000.0,244700000.0,590900000.0,-4600000.0,21800000.0,67500000.0,7300000.0,11800000.0,372600000.0,149100000.0,-25100000.0,,
2009-09-30,89800000.0,0.52,102300000.0,,386500000.0,386500000.0,700000.0,372600000.0,700000.0,36200000.0,365800000.0,-148000000.0,0.0,-9100000.0,-18900000.0,,115200000.0,-11600000.0,17800000.0,0.0,44100000.0,,31400000.0,,,13900000.0,0.0,0.0,115900000.0,20100000.0,61700000.0,8000000,0.0,11300000.0,8000000,64841763.0,3200000.0,,,0.0,61300000.0,-600000.0,666600000.0,247000000.0,873200000.0,415300000.0,382000000,,19800000.0,1081900000.0,21000000.0,866700000.0,0.53,1739900000.0,64039101.0,33800000,35500000,42400000.0,33800000,193700000.0,39100000.0,0.0,150800000.0,284200000.0,400000000.0,262600000.0,658000000.0,8800000.0,-12700000.0,97800000.0,-39000000.0,9900000.0,386500000.0,167100000.0,-11600000.0,,
