date,quarterlyNetIncomeContinuousOperations,quarterlyOperatingCashFlow,quarterlyNetIncome,quarterlyDilutedEPS,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyCurrentDebt,quarterlyOtherNonCurrentLiabilities,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyGoodwill,quarterlyAccountsReceivable,quarterlyInventory,quarterlyInvestmentsAndAdvances,quarterlyOtherIncomeExpense,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyLongTermDebt,quarterlyOperatingExpense,quarterlyOtherIntangibleAssets,quarterlyDepreciationAndAmortization,quarterlyCashDividendsPaid,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyChangesInAccountReceivables,quarterlyOtherNonCurrentAssets,quarterlyNetOtherFinancingCharges,quarterlyFreeCashFlow,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyIncomeTaxPayable,quarterlyRepurchaseOfCapitalStock,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyDeferredIncomeTax,quarterlyGrossPPE,quarterlyChangeInWorkingCapital,quarterlyAccountsPayable,quarterlyOtherCurrentAssets,quarterlyStockBasedCompensation,quarterlyDilutedAverageShares,quarterlyEbitda,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyNetOtherInvestingChanges,quarterlyChangeInInventory,quarterlyChangeInAccountPayable,quarterlyGrossProfit,quarterlyStockholdersEquity,quarterlySellingGeneralAndAdministration,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyRepaymentOfDebt,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyBasicAverageShares,quarterlyTaxProvision,quarterlyRetainedEarnings,quarterlyOtherNonCashItems,quarterlyTotalRevenue,quarterlyBasicEPS,quarterlyNetPPE,quarterlyOperatingIncome,quarterlyAccumulatedDepreciation,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentDeferredRevenue,quarterlyNonCurrentDeferredRevenue,quarterlyResearchAndDevelopment,quarterlyCommonStockIssuance,quarterlyPurchaseOfInvestment,quarterlySaleOfInvestment,quarterlyInterestExpense,quarterlyOtherShortTermInvestments
2015-06-30,72600000,107900000,72600000,,0,,,,320600000,,,,,,3100000,,,83200000,,9100000,,,0,,,,,72600000,-2300000.0,,-119000000,99500000,,,,,,,23100000,,,,,115000000,11100000,0,0.0,-12500000.0,,189100000,,66100000,109000000,-4700000,,,,,,36400000,,300000.0,509700000,,,105900000,,-8400000,-119000000,,,,,,,,
2015-09-30,33000000,61300000,33000000,,0,64200000.0,,2500000.0,326300000,14900000.0,169400000.0,334600000.0,125600000.0,28900000.0,2200000,23800000.0,,114800000,1600000.0,10100000,,,0,,,500600000.0,977900000.0,-82000000,23300000.0,22800000.0,-41500000,42400000,360800000.0,10400000.0,,-60600000.0,,627800000.0,23900000,173300000.0,17100000.0,,,52800000,-19800000,0,0.0,-1300000.0,-1500000.0,157500000,617100000.0,96300000,44900000,0,477300000.0,298600000.0,,62200000.0,,11900000,,0.0,483800000,,253500000.0,42700000,-374300000.0,-18900000,-41500000,,,,,,,,
2015-12-31,65000000,40000000,65000000,0.325,0,,,,280000000,,,,,,7000000,,,87000000,,9000000,0.0,,0,,,,,65000000,13000000.0,,-31000000,35000000,,,,,,,-34000000,,,0.0,200000000.0,98000000,-9000000,0,0.0,-2000000.0,,176000000,,87000000,96000000,-4000000,,,0.0,,200000000.0,31000000,,0.0,456000000,0.325,,89000000,,-5000000,-31000000,,,,,,,,
2016-03-31,68000000,51100000,68000000,0.34,0,0.0,,41300000.0,288000000,132600000.0,253000000.0,350400000.0,142800000.0,28200000.0,4000000,23800000.0,,93000000,3500000.0,10000000,,0.0,0,,,603000000.0,1117400000.0,68000000,-28400000.0,51800000.0,20500000,41700000,377800000.0,,,-55900000.0,,659400000.0,-28700000,168000000.0,21200000.0,,200000000.0,109000000,-71600000,0,0.0,-15200000.0,,192000000,739600000.0,93000000,103000000,-62400000,514400000.0,300600000.0,,77200000.0,200000000.0,35000000,,0.0,480000000,0.34,266500000.0,99000000,-392900000.0,-9400000,20500000,,,,,,,,
2016-06-30,75000000,94600000,75000000,0.375,0,0.0,20000000.0,127600000.0,300000000,285300000.0,255400000.0,340300000.0,136400000.0,29500000.0,7000000,23800000.0,720000000.0,93000000,3300000.0,9600000,,2000000.0,0,50000000.0,50000000.0,1080700000.0,1634000000.0,75000000,12200000.0,508400000.0,-74300000,77200000,2268000000.0,,,-14000000.0,,,11400000,170000000.0,26600000.0,,200000000.0,115600000,-20300000,0,0.0,7700000.0,,199000000,-634000000.0,93000000,113000000,-3300000,553300000.0,475300000.0,,1792700000.0,200000000.0,38000000,,100000.0,499000000,0.375,284100000.0,106000000,,-17400000,-74300000,,,,,,,,
2016-09-30,65300000,125300000,65300000,,172000000,109000000.0,19000000.0,33000000.0,300200000,31000000.0,264000000.0,363000000.0,139000000.0,60000000.0,1000000,2000000.0,724000000.0,76800000,3000000.0,9400000,,2000000.0,0,172000000.0,172000000.0,1095000000.0,1825000000.0,65300000,-13800000.0,29000000.0,-1359200000,91100000,2155000000.0,14000000.0,,-3000000.0,,727000000.0,73300000,177000000.0,56000000.0,,,126200000,-47100000,172000000,0.0,5500000.0,-20800000.0,193600000,-330000000.0,59400000,108800000,-13300000,730000000.0,400000000.0,,1755000000.0,,43500000,,4400000.0,493800000,,324000000.0,116800000,-403000000.0,-34200000,94800000,,,,,,,,
2016-12-31,72000000,88000000,72000000,0.35,64000000,0.0,90000000.0,152000000.0,304000000,257000000.0,,353000000.0,141000000.0,30000000.0,30000000,2000000.0,650000000.0,95000000,270000000.0,9000000,-10000000.0,2000000.0,172000000,236000000.0,236000000.0,1106000000.0,1865000000.0,72000000,10000000.0,89000000.0,-2000000,79000000,2151000000.0,,,-8000000.0,,739000000.0,20000000,146000000.0,29000000.0,1000000.0,205000000.0,99000000,-10000000,236000000,-1000000.0,-2000000.0,,185000000,-286000000.0,95000000,110000000,0,759000000.0,493000000.0,-79000000.0,1658000000.0,205000000.0,38000000,62000000.0,1000000.0,489000000,0.35,331000000.0,90000000,-408000000.0,-9000000,-16000000,,,,,,,,
2017-03-31,71000000,-18000000,71000000,0.35,-101000000,0.0,91000000.0,173000000.0,316000000,210000000.0,,405000000.0,156000000.0,30000000.0,16000000,2000000.0,646000000.0,97000000,317000000.0,9000000,-10000000.0,2000000.0,236000000,135000000.0,135000000.0,1175000000.0,1907000000.0,71000000,-52000000.0,86000000.0,0,-36000000,2125000000.0,,,-4000000.0,,765000000.0,-94000000,170000000.0,36000000.0,2000000.0,205000000.0,110000000,-66000000,135000000,0.0,-15000000.0,,198000000,-218000000.0,97000000,109000000,-48000000,732000000.0,471000000.0,-4000000.0,1654000000.0,205000000.0,38000000,123000000.0,1000000.0,514000000,0.35,349000000.0,101000000,-416000000.0,-18000000,-14000000,,,,,,,,
2017-06-30,56000000,87000000,56000000,0.27,-3000000,0.0,90000000.0,186000000.0,337000000,235000000.0,,403000000.0,181000000.0,29000000.0,7000000,2000000.0,643000000.0,100000000,334000000.0,12000000,-10000000.0,2000000.0,135000000,132000000.0,132000000.0,1212000000.0,1960000000.0,56000000,3000000.0,86000000.0,7000000,71000000,2163000000.0,,,0.0,,792000000.0,21000000,196000000.0,32000000.0,3000000.0,204000000.0,109000000,-33000000,132000000,0.0,-24000000.0,,197000000,-203000000.0,100000000,94000000,-18000000,748000000.0,521000000.0,-4000000.0,1642000000.0,204000000.0,38000000,-207000000.0,0.0,534000000,0.27,369000000.0,97000000,-423000000.0,-16000000,-57000000,,,,,,,,
2017-09-30,105000000,-287000000,105000000,0.52,69000000,109000000.0,90000000.0,48000000.0,349000000,37000000.0,330000000.0,385000000.0,175000000.0,60000000.0,63000000,0.0,1034000000.0,70000000,5000000.0,12000000,-10000000.0,2000000.0,132000000,201000000.0,201000000.0,1125000000.0,1915000000.0,105000000,17000000.0,23000000.0,0,-312000000,2032000000.0,6000000.0,0.0,43000000.0,,823000000.0,-68000000,192000000.0,29000000.0,3000000.0,203000000.0,140000000,-26000000,201000000,1000000.0,6000000.0,,198000000,-117000000.0,83000000,177000000,-2000000,790000000.0,478000000.0,-3000000.0,1554000000.0,203000000.0,72000000,-167000000.0,1000000.0,547000000,0.52,391000000.0,128000000,-432000000.0,-25000000,382000000,,,,,,,,
2017-12-31,-10000000,20000000,-10000000,-0.05,-86000000,0.0,19000000.0,175000000.0,350000000,208000000.0,,418000000.0,170000000.0,33000000.0,17000000,,1147000000.0,114000000,393000000.0,11000000,-15000000.0,2000000.0,201000000,115000000.0,115000000.0,1092000000.0,1827000000.0,-10000000,-34000000.0,86000000.0,-19000000,6000000,2021000000.0,,-37000000.0,42000000.0,85000000.0,,-66000000,141000000.0,32000000.0,4000000.0,202000000.0,92000000,-74000000,115000000,0.0,7000000.0,,195000000,-194000000.0,114000000,84000000,-60000000,735000000.0,368000000.0,-4000000.0,1653000000.0,202000000.0,94000000,-238000000.0,1000000.0,545000000,-0.05,384000000.0,81000000,,-14000000,-31000000,,,,,,,,
2018-03-31,67000000,88000000,67000000,0.33,12000000,,23000000.0,181000000.0,362000000,198000000.0,,435000000.0,194000000.0,34000000.0,14000000,,1183000000.0,111000000,,14000000,-15000000.0,2000000.0,115000000,127000000.0,127000000.0,1074000000.0,1869000000.0,67000000,-16000000.0,83000000.0,-1000000,72000000,2095000000.0,,-86000000.0,43000000.0,-20000000.0,,35000000,194000000.0,39000000.0,3000000.0,200000000.0,110000000,-17000000,127000000,,-23000000.0,,207000000,-226000000.0,111000000,94000000,-7000000,795000000.0,415000000.0,-11000000.0,1680000000.0,200000000.0,27000000,-274000000.0,0.0,569000000,0.33,390000000.0,96000000,,-16000000,-62000000,,,,,,,,
2018-06-30,64000000,73000000,64000000,0.33,-20000000,,26000000.0,178000000.0,376000000,223000000.0,,461000000.0,196000000.0,33000000.0,21000000,,1231000000.0,110000000,,14000000,-15000000.0,2000000.0,127000000,107000000.0,107000000.0,1059000000.0,1849000000.0,64000000,-30000000.0,82000000.0,-1000000,52000000,2137000000.0,,-97000000.0,27000000.0,6000000.0,,-13000000,176000000.0,26000000.0,3000000.0,196000000.0,105000000,-26000000,107000000,,-7000000.0,,201000000,-288000000.0,110000000,97000000,-4000000,790000000.0,425000000.0,-24000000.0,1712000000.0,195000000.0,33000000,-323000000.0,1000000.0,577000000,0.33,399000000.0,91000000,,-21000000,-62000000,,,,,,,,
