date,quarterlyNetPPE,quarterlyInventory,quarterlyCashAndCashEquivalents,quarterlyCurrentDebt,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyOtherIntangibleAssets,quarterlyAccumulatedDepreciation,quarterlyOtherNonCurrentAssets,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyOtherCurrentLiabilities,quarterlyCapitalStock,quarterlyOtherShortTermInvestments,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyRetainedEarnings,quarterlyGrossPPE,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyNonCurrentDeferredRevenue,quarterlyOtherCurrentAssets,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,quarterlyOtherNonCurrentLiabilities,quarterlyInvestmentsAndAdvances,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCurrentDeferredRevenue,quarterlyGoodwill,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyStockholdersEquity,quarterlyLongTermDebt,quarterlyCostOfRevenue,quarterlyOtherNonCashItems,quarterlyOtherIncomeExpense,quarterlyGrossProfit,quarterlySellingGeneralAndAdministration,quarterlyNetOtherInvestingChanges,quarterlyBeginningCashPosition,quarterlyStockBasedCompensation,quarterlyFreeCashFlow,quarterlyPurchaseOfBusiness,quarterlyChangeInWorkingCapital,quarterlyRepurchaseOfCapitalStock,quarterlyPretaxIncome,quarterlyInterestExpense,quarterlyResearchAndDevelopment,quarterlyTaxProvision,quarterlyEbitda,quarterlyNetOtherFinancingCharges,quarterlyIncomeTaxPayable,quarterlyDeferredIncomeTax,quarterlyNetIncome,quarterlyDilutedAverageShares,quarterlyCommonStockIssuance,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyInvestingCashFlow,quarterlyPurchaseOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyDepreciationAndAmortization,quarterlyNetIncomeContinuousOperations,quarterlyChangeInInventory,quarterlyBasicAverageShares,quarterlyCashDividendsPaid,quarterlyEndCashPosition,quarterlyBasicEPS,quarterlyChangesInAccountReceivables,quarterlyOperatingExpense,quarterlyOperatingIncome,quarterlyOperatingCashFlow,quarterlySaleOfInvestment,quarterlyDilutedEPS,quarterlyRepaymentOfDebt,quarterlyChangeInAccountPayable,quarterlyChangeInCashSupplementalAsReported,quarterlyTotalRevenue
2008-12-31,3428753924.40078,1873739904.542921,1418098217.948718,261354855.629877,1418098217.948718,326142373.745819,-1298816278.846154,0.0,4670568105.560201,8848199877.647715,423222392.906912,101264176.351728,,1214055397.575251,,2934819098.871237,1646326734.810479,4727570203.246934,4177631772.087514,1547554386.078595,6652211.190078,15003795.986622,676930947.812152,,204139675.863991,,1387264712.792642,,436113858.695652,50093659.698997,5709241102.912486,1330518841.903567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-06-30,2914824069.334448,1889276410.770735,3978640010.297719,1467470294.956556,3989395499.917422,879201778.332598,,572827222.806719,4735060673.15032,11486821485.551453,1149938307.238725,107476446.879201,10755489.619703,559871626.475757,,3804193408.129534,1949908918.92272,,6751760812.401132,3749744292.837918,5876647.213126,17385779.155796,697894827.392887,,0.0,,54449115.291616,,,48572468.07849,7454652596.903846,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-12-31,3824866352.266632,1914541411.989756,3917712372.633821,1915126030.327061,3939989500.902629,892709559.716677,-1550819000.357183,-8843232.80104,5586495731.528332,12456543033.842157,0.0,107354063.984826,22277128.268808,770928453.450108,,4271020829.908499,3485041976.070003,5375685352.623815,6870047302.313826,3676179595.744489,4493813.24338,17686465.60208,777296743.259937,,0.0,,594841234.16401,,,101670763.732863,7939016649.380022,488676657.187768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-30,4187169927.925926,2018433210.796918,3735430312.263189,1661317313.205938,3770883815.074739,1017496639.881373,,0.0,6435170210.433433,13403481062.090437,0.0,106637748.564684,35453502.81155,928766679.652801,,4741312602.217644,5468034196.443755,,6968310851.657004,3293468439.987721,3798277.238901,0.0,914740253.137146,,0.0,,1447844162.229923,,,126041933.943337,8393635593.987213,1318003951.047685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-31,3851281457.975435,2352217689.699346,5103995955.506501,3251401135.391143,5115758364.903742,618025044.977906,-1831796269.083648,1236922768.351898,6670289197.056038,15832107599.486553,562209421.078262,104331088.482033,11762409.397241,1124006365.258374,3093904842.747578,6606318632.167972,5752842569.69616,5683077727.059084,9161818402.430515,5178869034.770665,4500600.204813,50483252.098562,1182504793.445985,,0.0,,1427449597.397308,,422107040.606678,147125566.665082,8951078500.92577,1275823430.527413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-30,4055124668.12557,2148657569.530075,6746958429.601264,5300669604.214801,6815750343.755542,1014363765.364105,,969654799.34208,7085762535.1409,17775171988.283367,0.0,101780739.332571,68791914.154277,971483031.569885,,8227587093.067424,5674019733.1877,,10689409453.142467,7125759168.162835,3787824.479254,0.0,1284844030.757765,,0.0,,1101827924.904589,,,116244475.606841,9247532828.043844,981795624.818494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12-31,5873488174.279202,2374830350.773272,6683595756.982629,5515270610.50517,6683595756.982629,773941942.773993,-2137144417.116293,239593520.223547,7749553026.127715,18872789033.828243,1512634.405141,99467245.064836,0.0,1522599663.26281,2824499573.122835,8579148422.550446,7064286746.204463,8010632591.395496,11123236007.70053,8102903290.109069,3081112.456057,55552287.623782,1485347095.56125,138089196.080199,0.0,,476245132.441377,106593379.86273,400860257.285242,146409899.300771,9988253564.392136,326754120.684549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-06-30,5149116161.202802,2816103426.864556,5930003991.725258,5238445952.046452,5930003991.725258,1321707538.457573,,1865273356.812807,10414805858.053373,21091034374.174297,941617.312513,100808007.45629,0.0,1385598897.828847,2635741880.08713,10182159943.707266,7147656255.356993,,10676228516.120926,7856968866.766342,2396694.936554,1930121097.531111,1273412741.104975,,2189484172.783574,1668414641.911182,2325191076.940923,,,135706904.157349,10640264968.48638,2187087477.84702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-31,8172450915.972002,3084294471.915417,7685069838.774552,5991103409.750333,7685069838.774552,76913672.554225,-2509057950.672993,1485767602.446613,10478358601.937063,23515521605.81222,980222170.030986,98960669.771696,1112777.113858,1451806965.448649,,11914103571.82331,8643930231.0699,10681508866.644995,13037163003.875158,8713388619.03859,1666750.090945,50355982.578555,1498703032.500252,,0.0,,3200714952.784722,,398812231.90582,149605716.738004,11335665602.097023,3049442485.955774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-30,8290354047.510878,3050861708.068457,16169716937.578238,9200038847.500565,16169716937.578238,1291738492.433042,,0.0,9758403494.717505,31224307537.629807,972594302.130403,97860638.393657,0.0,1490733234.515744,,18695434227.3233,8806636506.254553,8290354047.510878,21465904042.9123,12050524584.381346,1200826.914623,50596853.968479,1564457331.397815,,0.0,,6644909642.941954,,,110426803.300351,12244772444.160248,6533282012.72698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
