date,quarterlyAccountsPayable,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyGrossPPE,quarterlyNonCurrentDeferredRevenue,quarterlyCapitalStock,quarterlyCashAndCashEquivalents,quarterlyDilutedEPS,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCurrentDebt,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyOtherIntangibleAssets,quarterlyOtherNonCurrentAssets,quarterlyOtherCurrentLiabilities,quarterlyNetPPE,quarterlyInventory,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyLongTermDebt,quarterlyAccountsReceivable,quarterlyRetainedEarnings,quarterlyStockholdersEquity,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherCurrentAssets,quarterlyBasicEPS,quarterlyOtherNonCurrentLiabilities,quarterlyAccumulatedDepreciation,quarterlyOperatingIncome,quarterlyRepurchaseOfCapitalStock,quarterlyCurrentAccruedExpenses,quarterlyPurchaseOfBusiness,quarterlyNetIncomeContinuousOperations,quarterlyOperatingCashFlow,quarterlyChangeInInventory,quarterlyCommonStockIssuance,quarterlyDepreciationAndAmortization,quarterlyNetOtherInvestingChanges,quarterlyChangeInCashSupplementalAsReported,quarterlyTaxProvision,quarterlyCapitalExpenditure,quarterlyStockBasedCompensation,quarterlyGoodwill,quarterlyCashDividendsPaid,quarterlySellingGeneralAndAdministration,quarterlyFreeCashFlow,quarterlyDilutedAverageShares,quarterlyBasicAverageShares,quarterlyInterestExpense,quarterlyOtherShortTermInvestments,quarterlyPurchaseOfInvestment,quarterlyTotalRevenue,quarterlyEbitda,quarterlyIncomeTaxPayable,quarterlyOtherIncomeExpense,quarterlyNetIncome,quarterlyGrossProfit,quarterlyPretaxIncome,quarterlyCostOfRevenue,quarterlyChangesInAccountReceivables,quarterlyChangeInWorkingCapital,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyInvestmentsAndAdvances,quarterlyRepaymentOfDebt,quarterlyDeferredIncomeTax,quarterlyNetOtherFinancingCharges,quarterlyResearchAndDevelopment,quarterlyEndCashPosition,quarterlySaleOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyBeginningCashPosition,quarterlyCurrentDeferredRevenue,quarterlyChangeInAccountPayable,quarterlyInvestingCashFlow,quarterlyOtherNonCashItems,quarterlyOperatingExpense
2010-12-31,6255181000,27325807000,,248746000,5800000000,1309466000,,1309466000,4817600000,30965653000,33444626000,394817000.0,2689602000,0.0,27802930000,692000,34274000,0,958645000,,5283886000,2478973000,11311273000,16014534000,1920000,,13201335000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-30,6510089000,32579762000,,243250000,8285710000,8619101000,0.0,8619101000,5539495000,34110117000,44419119000,386638000.0,2818547000,0.0,30809876000,2030000,42519000,16976587000,1240928000,,10976630000,10309002000,12314785000,20264977000,16994000,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12-31,8838884000,39371255000,,257826000,8446898000,7517988000,,7517988000,6758833000,41356375000,51530696000,381390000.0,3909266000,0.0,36956402000,2086000,26843000,0,2010477000,,11331519000,10174321000,15898777000,23472478000,59485000,,19257069000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-06-30,6220964000,41056606000,,253329000,8446898000,7737888000,0.0,7737888000,8215663000,42484655000,53502523000,372374000.0,3815648000,0.0,38103746000,2042000,27132000,21714002000,2616531000,,11532210000,11017868000,14813053000,26243553000,71662000,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-31,635730000,41007622000,43763607000.0,273297000,8446898000,5468725000,,5468725000,8276387000,44152975000,53698921000,363511000.0,3717288000,0.0,39980694000,4070000,18290000,22004758000,3302640000,2052791000.0,11820042000,9545946000,14881944000,26125678000,17258000,,0.0,-3782913000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-30,1178270000,41761591000,40617167000.0,256672000,8446898000,6982774000,0.0,6982774000,9147630000,44416596000,55086521000,355439000.0,3352891000,0.0,40617167000,3941000,18548000,22480478000,2830895000,2572203000.0,12462446000,10669925000,15890902000,25870689000,18192000,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-31,1717073000,45101078000,51535310000.0,264949000,9029215000,6265421000,,6265421000,10388910000,50043901000,59798020000,702992000.0,57198000,86176000.0,45736783000,4254000,18805000,22605652000,2908091000,2729818000.0,13860809000,9754119000,19242074000,25859004000,17459000,,0.0,-5798527000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-30,1214633000,50187625000,48794746000.0,257175000,9029215000,8268814000,0.0,8268814000,14633731000,53147818000,65343399000,709076000.0,3556667000,77493000.0,48794746000,4832000,19061000,24220759000,3341433000,3242434000.0,14311989000,12195581000,23132170000,27055455000,22326000,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-31,911825000,57253102000,66077041000.0,247596000,9727996000,7786461000,,7786461000,17306317000,62996820000,74138303000,696207000.0,54653000,91549000.0,58030520000,13130000,19318000,26842020000,3160350000,3660643000.0,16101254000,11141483000,25740898000,31512204000,35337000,,0.0,-8046521000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-30,240483000,58317048000,62817238000.0,239056000,9727996000,4653313000,0.0,4653313000,17203538000,67954745000,76201471000,681589000.0,54653000,0.0,62817238000,13199000,19174000,26924384000,3366199000,4600019000.0,17040871000,8246726000,27482062000,30834986000,36236000,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-31,706484000,63928321000,79724165000.0,230517000,9727996000,4503772000,,4503772000,18726955000,74900999000,82552779000,681685000.0,54653000,0.0,68975032000,42965000,19831000,30677113000,2899958000,5290659000.0,17797808000,7651780000,28533234000,35395087000,43353000,,2449506000.0,-10749133000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-30,368878000,64924983000,70206109000.0,221977000,9727996000,3972216000,0.0,3972216000,20943258000,75759037000,85049062000,663461000.0,176495000,0.0,70206109000,48716000,20087000,29760733000,4988399000,6805678000.0,19246458000,9290025000,30855021000,34069962000,40419000,0.0,2265108000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-31,941443000,64450645000,86636502000.0,215238000,9727996000,2570058000,,2570058000,22562887000,76749036000,85444608000,653588000.0,167801000,0.0,72457904000,32715000,19626000,28371935000,4635392000,7584931000.0,20137150000,8695572000,30517250000,33933395000,41586000,,3743257000.0,-14178598000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-30,356480000,64206297000,71339658000.0,206653000,10566532000,4955558000,0.0,4955558000,22053035000,75154287000,88771751000,635448000.0,167134000,0.0,71339658000,34876000,19503000,29543625000,7182317000,9183491000.0,23679105000,13617464000,29644283000,34562014000,28837000,0.0,3384191000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-31,632141000,60906667000,89548543000.0,198069000,10566532000,2502663000,,2502663000,20352761000,75106816000,86348569000,621017000.0,167964000,,71763305000,55324000,18271000,29451325000,7214032000,9759092000.0,24601613000,11241753000,27086065000,33820602000,33259000,,2922039000.0,-17785238000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-30,71071000,61138114000,70535089000.0,189485000,10566532000,3098116000,0.0,3098116000,20106260000,73691685000,88475480000,,160030000,,70535089000,52522000,18215000,30708211000,10400794000,11653640000.0,26462673000,14783795000,26746351000,34391763000,56557000,0.0,2422770000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-31,548712000,60457932000,93207147000.0,180900000,10566532000,3414672000,,3414672000,21614339000,74089240000,88671475000,588958000.0,158630000,,71080664000,44070000,18158000,28610898000,9968186000,,27408378000,14582235000,29030965000,31426967000,127214000,,1886705000.0,-22126483000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-30,172053000,60516504000,70609229000.0,173931000,10566532000,3209011000,,3209011000,23457330000,73299769000,91408581000,,75957000,,70609229000,48152000,18081000,27394442000,13751293000,,30029988000,18108812000,30683263000,29833241000,106449000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
