date,quarterlyInterestExpense,quarterlyCommonStockIssuance,quarterlyInvestmentsAndAdvances,quarterlyNetOtherFinancingCharges,quarterlyOtherIncomeExpense,quarterlyOtherNonCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyOperatingCashFlow,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOtherCurrentLiabilities,quarterlyOperatingExpense,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyNetPPE,quarterlyTaxProvision,quarterlyAccountsReceivable,quarterlyChangeInCashSupplementalAsReported,quarterlyStockholdersEquity,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyDilutedEPS,quarterlyCurrentAssets,quarterlyNetOtherInvestingChanges,quarterlyGoodwill,quarterlyLongTermDebt,quarterlySellingGeneralAndAdministration,quarterlyRepaymentOfDebt,quarterlyOtherCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyBasicAverageShares,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyAccountsPayable,quarterlyEndCashPosition,quarterlyChangeInWorkingCapital,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInAccountPayable,quarterlyDeferredIncomeTax,quarterlyGrossProfit,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyGrossPPE,quarterlyOtherNonCashItems,quarterlyBasicEPS,quarterlyCashDividendsPaid,quarterlyIncomeTaxPayable,quarterlyCurrentLiabilities,quarterlyInvestingCashFlow,quarterlyRepurchaseOfCapitalStock,quarterlyEbitda,quarterlyStockBasedCompensation,quarterlyFreeCashFlow,quarterlyBeginningCashPosition,quarterlyChangesInAccountReceivables,quarterlyTotalNonCurrentAssets,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyNetIncomeCommonStockholders,quarterlyTotalAssets,quarterlyOtherIntangibleAssets,quarterlyDepreciationAndAmortization,quarterlyDilutedAverageShares,quarterlyCurrentDebt,quarterlyCurrentDeferredRevenue,quarterlyInventory,quarterlyResearchAndDevelopment,quarterlyPurchaseOfInvestment,quarterlySaleOfInvestment,quarterlyChangeInInventory,quarterlyCapitalStock,quarterlyOtherShortTermInvestments,quarterlyRetainedEarnings,quarterlyGainsLossesNotAffectingRetainedEarnings
2010-12-31,,,,-1471000.0,-11000,17001000.0,-150643000.0,6465000,6465000,10411000,-6446000,-7736000,97373000.0,0.0,7967000,11178000,,337218000.0,4713000.0,14684000.0,-3771000,0.0,6838000,17163000.0,240581000.0,,60782000.0,0,,135235000.0,5155000,,8475000.0,7973000.0,,12493000,27298000,6052000.0,14341000,-2611000,,-1295000,3734000.0,20460000,289478000.0,487861000.0,,,-4975000,15421000.0,48897000.0,-7736000,,15305000,,2675000,18112000,-149000,354219000.0,14341000.0,14341000.0,6465000,415001000.0,,2812000,,0.0,,,,,,,,,,
2011-03-31,,,,9309000.0,346000,,,8635000,8635000,13478000,-2420000,-10992000,,,6643000,14148000,,,5513000.0,,66000,,4887000,,,0.248995,,0,,,3802000,,,,34679436.0,15096000,26626000,,14407000,-1422000,,-1131000,3314000.0,21739000,,,456000.0,0.248995,-11729000,,,-10992000,,17937000,,2486000,14341000,255000,,,,8635000,,,2841000,34679436.0,,,,,,,,,,,
2011-06-30,,,,-9005000.0,660000,,,4940000,4940000,15832000,-9005000,-21234000,,,7271000,8094000,,,3154000.0,,-14407000,,9176000,,,0.142448,,0,,,4412000,,,,34679436.0,8732000,25179000,,0,5767000,,5392000,1895000.0,16003000,,,1031000.0,0.142448,0,,,-21234000,,11591000,,-5402000,14407000,-97000,,,,4940000,,,2859000,34679436.0,,,,,,,,,,,
2011-09-30,,,,27489000.0,1151000,17219000.0,-134550000.0,8381000,8381000,13719000,27489000,-41208000,106740000.0,0.0,7989000,13399000,,403176000.0,5018000.0,13215000.0,0,0.0,5424000,13003000.0,249804000.0,0.241671,49730000.0,0,,135235000.0,5154000,,9272000.0,7829000.0,34679436.0,14007000,27420000,19634000.0,0,1792000,,9321000,3349000.0,21996000,321765000.0,537726000.0,,0.241671,0,17099000.0,71961000.0,-41208000,,16842000,,-27489000,0,-118000,420395000.0,0.0,0.0,8381000,470125000.0,,2835000,34679436.0,,,,,,,,,,,
2011-12-31,,,,57862000.0,1669000,19090000.0,-137339000.0,10633000,10633000,4535000,57862000,-62397000,112218000.0,0.0,6869000,17755000,,470892000.0,7122000.0,5147000.0,0,0.0,6734000,11247000.0,255381000.0,,56460000.0,0,,135235000.0,3934000,,1661000.0,7928000.0,,16785000,30388000,20522000.0,0,-13561000,,888000,3948000.0,23654000,372809000.0,608231000.0,,,0,17498000.0,117428000.0,-62397000,,19720000,,-57862000,0,-532000,489982000.0,0.0,0.0,10633000,546442000.0,,2935000,,,,,,,,,,,,
2012-03-31,,,,39634000.0,2471000,21011000.0,-140073000.0,11123000,11123000,11606000,39634000,-51240000,130768000.0,0.0,7587000,17324000,,521966000.0,6201000.0,14001000.0,0,-8982000.0,7024000,6516000.0,271949000.0,0.320738,54929000.0,0,,135235000.0,4549000,,1781000.0,5946000.0,34679436.0,16392000,31003000,18511000.0,0,-16904000,,-2011000,16179000.0,23979000,606888000.0,662039000.0,641000.0,0.320738,0,7704000.0,334939000.0,-51240000,,19430000,,-39634000,0,352000,542977000.0,0.0,0.0,11123000,597906000.0,,3038000,34679436.0,,,,,,,,,,,
2012-06-30,,,,180812000.0,4157000,23162000.0,-137009000.0,12012000,12012000,34309000,39862000,-74171000,122933000.0,0.0,7504000,18942000,,597018000.0,6930000.0,12228000.0,0,0.0,6162000,6818000.0,316717000.0,0.346372,21644000.0,0,,0.0,4334000,,1936000.0,5080000.0,34679436.0,15999000,29665000,8758000.0,0,30928000,,-9754000,-9390000.0,23503000,394990000.0,734027000.0,1746000.0,0.346372,-5715000,21175000.0,78273000.0,-74171000,,19169000,,-39862000,0,1376000,620180000.0,0.0,0.0,12012000,641824000.0,,3170000,34679436.0,,,,,,,,,,,
2012-09-30,,,,-224447000.0,615000,20597000.0,-141972000.0,12011000,12011000,5301000,45153000,-21968000,0.0,0.0,12046000,12011000,,637201000.0,0.0,3607000.0,28486000,0.0,8109000,14188000.0,208685000.0,0.34,44811000.0,0,,0.0,5211000,-1864000.0,778000.0,5183000.0,34679000.0,14297000,34452000,8374000.0,28486000,-12693000,,-383000,0.0,26343000,241683000.0,779173000.0,-7480000.0,0.34,-4478000,0.0,32998000.0,-21968000,,21132000,,-16667000,0,-12417000,657798000.0,28486000.0,28486000.0,11662000,702609000.0,,6835000,34684000.0,,,,,,,,,,,
2012-12-31,,278406000.0,,-47520000.0,458000,19687000.0,-148212000.0,-3086000,20160000,25721000,-12574000,-19683000,0.0,0.0,18843000,20160000,,647286000.0,0.0,15654000.0,-6536000,0.0,-1056000,10207000.0,206065000.0,,40631000.0,0,,0.0,2481000,-1025000.0,645000.0,2760000.0,,24003000,41790000,9452000.0,21950000,1199000,,1078000,0.0,42846000,236391000.0,795498000.0,-2834000.0,,-243273000,0.0,30326000.0,-19683000,,31199000,,6038000,28486000,-136000,666973000.0,21950000.0,21950000.0,19758000,707604000.0,,7196000,,,,,,,,,,,,
2013-03-31,,2382000.0,,2382000.0,297000,18754000.0,-154913000.0,22230000,22230000,26875000,-12288000,-10485000,,0.0,10880000,22230000,,651466000.0,0.0,16665000.0,4102000,0.0,7348000,4302000.0,204180000.0,0.63,44626000.0,0,,,4248000,-2284000.0,804000.0,2428000.0,34679000.0,26137000,44365000,5123000.0,26052000,-2509000,,-4329000,0.0,37017000,232331000.0,806379000.0,-194000.0,0.63,-12386000,,28151000.0,-10485000,,33485000,,16390000,21950000,-756000,670220000.0,26052000.0,26052000.0,21786000,714846000.0,,7348000,34768000.0,,,,,,,,,,,
