date,quarterlyOtherNonCurrentLiabilities,quarterlyOtherCurrentLiabilities,quarterlyLongTermDebt,quarterlyTotalNonCurrentAssets,quarterlyAccountsReceivable,quarterlyInvestmentsAndAdvances,quarterlyTotalAssets,quarterlyOtherShortTermInvestments,quarterlyOtherNonCurrentAssets,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyRetainedEarnings,quarterlyNetPPE,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyOtherIntangibleAssets,quarterlyCapitalStock,quarterlyCurrentDebt,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyGrossPPE,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyAccumulatedDepreciation,quarterlyCurrentDeferredRevenue,quarterlyInventory,quarterlyStockholdersEquity,quarterlyGoodwill,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherCurrentAssets,quarterlyDepreciationAndAmortization,quarterlyIncomeTaxPayable,quarterlyNetIncome,quarterlyChangeInWorkingCapital,quarterlyTaxProvision,quarterlyNetOtherFinancingCharges,quarterlyFreeCashFlow,quarterlyCommonStockIssuance,quarterlyOtherIncomeExpense,quarterlyInterestExpense,quarterlyBasicAverageShares,quarterlyOtherNonCashItems,quarterlyChangeInAccountPayable,quarterlyNonCurrentDeferredRevenue,quarterlyRepurchaseOfCapitalStock,quarterlyPurchaseOfBusiness,quarterlySellingGeneralAndAdministration,quarterlyDilutedAverageShares,quarterlyChangesInAccountReceivables,quarterlyOperatingExpense,quarterlyNetIncomeContinuousOperations,quarterlyCashDividendsPaid,quarterlyDeferredIncomeTax,quarterlyNetOtherInvestingChanges,quarterlyBeginningCashPosition,quarterlySaleOfInvestment,quarterlyBasicEPS,quarterlyPretaxIncome,quarterlyInvestingCashFlow,quarterlyCostOfRevenue,quarterlyRepaymentOfDebt,quarterlyOperatingIncome,quarterlyOperatingCashFlow,quarterlyEndCashPosition,quarterlyCapitalExpenditure,quarterlyChangeInCashSupplementalAsReported,quarterlyDilutedEPS,quarterlyStockBasedCompensation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentAccruedExpenses,quarterlyTotalRevenue,quarterlyResearchAndDevelopment,quarterlyPurchaseOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyGrossProfit,quarterlyEbitda,quarterlyChangeInInventory
2009-12-31,7816044000.0,30665881000.0,7816044000,4631203000,53137000,3130800000.0,63071264000,,3433764000.0,58440061000,41497577000,2640351000,395775000,7333232000,7333232000,279498000,1044079000,6359745000,1219385000.0,9799761000,49914118000,525453000.0,600497000,-129678000.0,24306136000.0,,12861837000,,8416541000,38485203000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-30,0.0,21946599000.0,23178175000,6127261000,380235000,,79422474000,,-256897000.0,73295213000,39811310000,4828244000,766892000,9951414000,9951414000,309580000,1044079000,2094990000,,6563965000,63768844000,,779359000,,,,15186932000,,23957534000,52679989000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-31,24160024000.0,31081541000.0,24160024000,12856479000,949589000,10116643000.0,104452464000,,10440811000.0,91595985000,57429905000,10193349000,1732167000,12356263000,12356263000,343276000,1044079000,7000110000,1544576000.0,21780836000,83086239000,1961408000.0,1496310000,-229241000.0,24081431000.0,,20635026000,,25656334000,55346663000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-30,0.0,24122016000.0,41517037000,17224915000,3498973000,,148065475000,,-303368000.0,130840560000,74573243000,14945345000,3761914000,16869705000,16869705000,523638000,1044212000,9236183000,,35802747000,118812387000,3761914000.0,2722107000,,,,27424922000,,44239144000,90944715000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12-31,0.0,31613979000.0,41498720000,25502220000,4887240000,,179023408000,,-439492000.0,153521188000,99802944000,20624290000,4864442000,28204350000,28204350000,721275000,1037199000,10227990000,,49196123000,144165803000,5374645000.0,2864139000,-510203000.0,,,32686564000,,44362859000,92259365000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-06-30,0.0,0.0,39758294000,32232444000,3423496000,,198083408000,,-816402000.0,165850964000,117306505000,24263907000,6223623000,24737333000,24737333000,1422827000,1041875000,19899608000,,63745545000,161754254000,,4326328000,,,,34608316000,,44447749000,102707049000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-31,0.0,0.0,41243149000,38446924000,2857316000,,238990551000,,0.0,200543627000,150377800000,27771925000,10906284000,17790320000,17790320000,446989000,1043317000,19030706000,,53963729000,197299226000,11813115000.0,4939761000,-906831000.0,,133293609000.0,38263728000,,46921426000,133293609000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-30,0.0,0.0,47558371000,46888973000,3264892000,,274586765000,,201963000.0,227697792000,162593960000,32645798000,12436917000,32981092000,32981092000,440758000,1108641000,28260336000,,52482970000,216585363000,12436917000.0,5869794000,,,136612031000.0,53922879000,,53991403000,136612031000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-31,0.0,0.0,73021273000,58769765000,4951966000,,348148192000,,354842000.0,289378427000,188197503000,39020303000,14174190000,40118454000,40118454000,439600000,1109703000,35796065000,,65836287000,268805558000,15834598000.0,6716307000,-1660408000.0,,160543684000.0,73613565000,,80608055000,160543684000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-30,0.0,0.0,75962463000,77654276000,6676832000,,421654940000,,354842000.0,344000664000,238390840000,39153950000,15890195000,36230016000,36230016000,547845000,1030155000,75818266000,,75207634000,323770212000,15890195000.0,8125732000,,,181641489000.0,90509692000,,85379372000,181641489000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
