date,quarterlyDilutedAverageShares,quarterlyNetOtherInvestingChanges,quarterlyChangesInAccountReceivables,quarterlyStockholdersEquity,quarterlySaleOfInvestment,quarterlyOtherIntangibleAssets,quarterlyAccountsPayable,quarterlyOtherCurrentAssets,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyTotalRevenue,quarterlyStockBasedCompensation,quarterlyEbitda,quarterlyOperatingIncome,quarterlyAccumulatedDepreciation,quarterlyBasicAverageShares,quarterlyBasicEPS,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,quarterlyIncomeTaxPayable,quarterlyOperatingCashFlow,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyGrossPPE,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyNonCurrentDeferredRevenue,quarterlyResearchAndDevelopment,quarterlyChangeInWorkingCapital,quarterlyTaxProvision,quarterlyRetainedEarnings,quarterlyNetPPE,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyCommonStockIssuance,quarterlyOtherNonCashItems,quarterlyOtherShortTermInvestments,quarterlyCurrentAccruedExpenses,quarterlyGoodwill,quarterlyTotalNonCurrentAssets,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyTotalAssets,quarterlyFreeCashFlow,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyDepreciationAndAmortization,quarterlyOtherNonCurrentLiabilities,quarterlyPurchaseOfInvestment,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyInvestmentsAndAdvances,quarterlyOtherNonCurrentAssets,quarterlyNetIncomeCommonStockholders,quarterlyGrossProfit,quarterlyNetOtherFinancingCharges,quarterlySellingGeneralAndAdministration,quarterlyOtherIncomeExpense,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCurrentDeferredRevenue,quarterlyOperatingExpense,quarterlyDilutedEPS,quarterlyRepaymentOfDebt,quarterlyInterestExpense,quarterlyDeferredIncomeTax,quarterlyChangeInAccountPayable,quarterlyInventory,quarterlyRepurchaseOfCapitalStock,quarterlyCashDividendsPaid,quarterlyCurrentDebt,quarterlyLongTermDebt,quarterlyChangeInInventory
2014-03-31,66503896.0,0.0,-280000.0,,0,,,,,,,83529000,,18810000,842000,-4978000,-5972000,,66503896.0,-0.095709,76000,-1835000,,-568000,,-6365000,,,,,6086000,3421000,,,,-2676000,,,273000.0,,,,,,7182000,,-2403000,-6365000,-6365000,,994000,,,80853000,-1835000,,,,-6365000,11628000,0.0,11514000,-403000,,,17600000,-0.095709,,,,,,,,,,
2014-06-30,66503896.0,0.0,-1737000.0,,0,,,,,,,80853000,,23680000,814000,-5970000,-7039000,,66503896.0,-0.103453,1000,-4033000,,-2820000,,-6880000,,,,,6647000,2250000,,,,-6615000,,,155000.0,,,,,,9365000,,-6853000,-6880000,-6880000,,1069000,,,74238000,-4033000,,,,-6880000,14315000,0.0,14707000,146000,,,21354000,-0.103453,,,,,,,,,,
2014-09-30,66503896.0,0.0,,,0,,,,,,,74238000,,27346000,772000,-2809000,-4109000,,66503896.0,-0.064177,38000,-6716000,,-1784000,,-4268000,,,,,6563000,79000,,,,-28873000,,0.0,111000.0,,,,,,11107000,,-8500000,-4268000,-4268000,,1300000,,-20162000.0,45365000,-26878000,,,,-4268000,16239000,0.0,13785000,-174000,,,20348000,-0.064177,,,,,,,,,,
2014-12-31,,0.0,-1371000.0,67732000.0,2375000,2708000.0,8186000.0,290000.0,,59662000.0,41953000.0,45365000,87056000.0,35182000,1364000,-3186000,-4495000,-3138000.0,,,25000,-10116000,,4371000,,-4798000,24866000.0,68384000.0,19774000.0,394000.0,6619000,6021000,,-29064000.0,21728000.0,-3412000,485000.0,0.0,112000.0,17709000.0,539000.0,2373000.0,26809000.0,838000.0,15569000,95193000.0,-5745000,-4798000,-4798000,7687000.0,1309000,7293000.0,31000.0,41953000,-7620000,27461000.0,,0.0,-4798000,19613000,0.0,17489000,-322000,,6775000.0,24108000,,,,,,,,,,,
2015-03-31,66503896.0,0.0,1538000.0,64755000.0,4696000,3361000.0,15948000.0,3477000.0,,59161000.0,46148000.0,41953000,87056000.0,37348000,1345000,-2006000,-3476000,,66503896.0,-0.07,55000,-3544000,,3966000,,-4530000,,67977000.0,24421000.0,469000.0,7313000,4395000,,-33594000.0,23615000.0,4195000,636000.0,,95000.0,13013000.0,,2373000.0,29349000.0,5339000.0,15782000,97326000.0,422000,-4530000,-4530000,8150000.0,1470000,7681000.0,,46148000,1152000,32571000.0,,0.0,-4530000,21566000,0.0,17729000,-1065000,,7837000.0,25042000,-0.07,,,,,,,,,,
2015-06-30,53040539.0,0.0,2178000.0,199551000.0,6500000,3831000.0,17800000.0,2954000.0,,198829000.0,146668000.0,46148000,0.0,44926000,1485000,-1806000,-3461000,,53040539.0,-0.06,136385000,-3488000,,6675000,,-3296000,,205076000.0,28175000.0,550000.0,8800000,6900000,,-36890000.0,25600000.0,100520000,774000.0,,86000.0,52161000.0,,2373000.0,31804000.0,3293000.0,19674000,236880000.0,3187000,-3296000,-3296000,9154000.0,1655000,8604000.0,,146668000,-42674000,37329000.0,,0.0,-3296000,25252000,136276000.0,19913000,135000,,9601000.0,28713000,-0.06,,,,,,,,,,
2015-09-30,75901840.0,0.0,-253000.0,197306000.0,12779000,4140000.0,16713000.0,4704000.0,,186936000.0,115315000.0,146668000,0.0,52786000,2182000,-2391000,-4300000,,75901840.0,-0.06,52000,-6732000,,158000,,-4657000,,195476000.0,28510000.0,597000.0,10068000,167000,,-41547000.0,29105000.0,-31353000,784000.0,-25000.0,86000.0,71621000.0,,2373000.0,40163000.0,3836000.0,24043000,235639000.0,-6574000,-4657000,-4657000,9823000.0,1909000,9226000.0,-37126000.0,115315000,-31079000,38333000.0,4545000.0,0.0,-4657000,28743000,0.0,22975000,-414000,,11013000.0,33043000,-0.06,,,,,,,,,,
2015-12-31,77996629.0,0.0,-2287000.0,195317000.0,24375000,5826000.0,23689000.0,6203000.0,,190173000.0,110070000.0,115315000,0.0,70173000,2793000,-6519000,-6519000,-8785000.0,77996629.0,-0.08,1363000,-7272000,,4957000,0.0,-6307000,41833000.0,202465000.0,37237000.0,661000.0,13541000,5862000,,-47854000.0,33048000.0,-5245000,822000.0,0.0,86000.0,80103000.0,2734000.0,2373000.0,41247000.0,6089000.0,34663000,243712000.0,-2315000,-6307000,-6307000,11158000.0,2202000,10497000.0,-28342000.0,110070000,-11239000,48395000.0,,0.0,-6307000,35510000,0.0,28488000,212000,,12726000.0,42029000,-0.08,,,,,,,,,,
2016-03-31,80488495.0,0.0,,190977000.0,20700000,5182000.0,27070000.0,7149000.0,221000.0,189464000.0,83864000.0,110070000,0.0,72722000,3374000,-6654000,-9712000,,80488495.0,-0.11,844000,-3045000,,655000,,-8929000,,203161000.0,42527000.0,777000.0,13670000,4044000,,-56783000.0,34558000.0,-26206000,935000.0,,86000.0,105600000.0,,2373000.0,42113000.0,6548000.0,33451000,245274000.0,-2390000,-8929000,-8929000,11770000.0,3058000,10993000.0,-46439000.0,83864000,-28784000,54297000.0,,0.0,-8929000,39271000,0.0,35313000,783000,,14522000.0,48983000,-0.11,,,,,,,,,,
2016-06-30,81349248.0,-7969000.0,,188751000.0,28757000,6789000.0,32258000.0,7135000.0,141000.0,179646000.0,68140000.0,83864000,0.0,86647000,5001000,-5883000,-8659000,,81349248.0,-0.1,988000,-8268000,,5550000,,-8439000,,195873000.0,49777000.0,836000.0,16732000,6309000,,-65222000.0,39145000.0,-15724000,1055000.0,,86000.0,111506000.0,,9302000.0,55236000.0,9092000.0,40481000,251109000.0,-2718000,-8439000,-8439000,12581000.0,2776000,11745000.0,-34954000.0,68140000,-22434000,62358000.0,,0.0,-8439000,46166000,0.0,38093000,220000,,16464000.0,54825000,-0.1,,,,,,,,,,
