date,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyFreeCashFlow,quarterlyRetainedEarnings,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlySellingGeneralAndAdministration,quarterlyGoodwill,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyTotalNonCurrentAssets,quarterlyBasicAverageShares,quarterlyOtherNonCurrentLiabilities,quarterlyPurchaseOfInvestment,quarterlyDepreciationAndAmortization,quarterlyChangeInAccountPayable,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentAssets,quarterlyNetOtherFinancingCharges,quarterlyInvestmentsAndAdvances,quarterlyGrossProfit,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyInventory,quarterlyLongTermDebt,quarterlyChangeInInventory,quarterlyOtherIncomeExpense,quarterlyCostOfRevenue,quarterlyDilutedEPS,quarterlyAccountsReceivable,quarterlyCashDividendsPaid,quarterlyCurrentAccruedExpenses,quarterlyCapitalStock,quarterlyPurchaseOfBusiness,quarterlyOtherIntangibleAssets,quarterlyOperatingExpense,quarterlyPretaxIncome,quarterlyBeginningCashPosition,quarterlyCurrentDeferredRevenue,quarterlyNetOtherInvestingChanges,quarterlyStockholdersEquity,quarterlyDilutedAverageShares,quarterlyOtherCurrentAssets,quarterlyRepaymentOfDebt,quarterlyAccumulatedDepreciation,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyCurrentDebt,quarterlyChangesInAccountReceivables,quarterlyInterestExpense,quarterlySaleOfInvestment,quarterlyDeferredIncomeTax,quarterlyAccountsPayable,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInWorkingCapital,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyBasicEPS,quarterlyResearchAndDevelopment,quarterlyOperatingCashFlow,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOperatingIncome,quarterlyGrossPPE,quarterlyIncomeTaxPayable,quarterlyTotalRevenue,quarterlyOtherCurrentLiabilities,quarterlyNetPPE,quarterlyTaxProvision,quarterlyCommonStockIssuance,quarterlyOtherShortTermInvestments,quarterlyStockBasedCompensation,quarterlyOtherNonCashItems,quarterlyRepurchaseOfCapitalStock,quarterlyEbitda,quarterlyChangeInCashSupplementalAsReported
2002-12-31,,,,,,,,,6942000,,85014000.0,,,,,,,,,32748000,6942000,6942000,,,,,,,-130000,17526000,0.08,,,,,,,3952000,11004000,,,,,85017000.0,,,,,,,,,,,,,,,0.08,3952000,,,,28796000,,,50274000,,,3973000,,,,,,28796000,
2003-03-31,,,,,,,,,8434000,,85008000.0,,,,,,,,,37364000,8434000,8434000,,,,,,,-351000,18431000,0.1,,,,,,,4535000,13435000,,,,,85010000.0,,,,,,,,,,,,,,,0.1,4535000,,,,32829000,,,55795000,,,4899000,,,,,,32829000,
2003-06-30,,,,,,,,,7792000,,85006000.0,,,,,,,,,35510000,7792000,7792000,,,,,,,46000,17785000,0.09,,,,,,,4835000,11259000,,,,,85006000.0,,,,,,,,,,,,,,,0.09,4835000,,,,30675000,,,53295000,,,3443000,,,,,,30675000,
2003-09-30,41423000.0,,85234000.0,51379000.0,105592000.0,,,202707000.0,7801000,97115000.0,,26875000.0,,,,92802000.0,11129000.0,,,38207000,7801000,7801000,,,,4234000.0,14548000.0,,9250000,19901000,,14070000.0,,33766000.0,85000.0,,14346000.0,81530000,20784000,,2736000.0,,93775000.0,,0.0,,-54610000.0,61922000.0,61922000.0,1050000.0,,,,,9581000.0,,,1463000.0,,4940000,,,,-43323000,120316000.0,,58108000,4246000.0,65706000.0,3764000,,,,,,-43323000,
2003-12-31,,,,,,,,,12246000,,85010000.0,,,,,,,,,44159000,12246000,12246000,,,,,,,224000,21264000,0.14,,,,,,,4934000,19357000,,,,,90518000.0,,,,,,,,,,,,,,,0.14,4934000,,,,39225000,,,65423000,,,6825000,,,,,,39225000,
2004-03-31,,,,,,,,,12359000,,85432000.0,,,,,,,,,53938000,12359000,12359000,,,,,,,-1540000,24753000,0.14,,,,,,,5700000,12429000,,,,,90986000.0,,,,,,,,,,,,,,,0.14,5700000,,,,48238000,,,78691000,,,12359000,,,,,,48238000,
2004-06-30,,,,,,,,,11968000,,85707000.0,,,,,,,,,52852000,11968000,11968000,,,,,,,370000,23198000,0.13,,,,,,,6186000,20854000,,,,,95306000.0,,,,,,,,,,,,,,,0.14,6186000,,,,46666000,,,76050000,,,8392000,,,,,,46666000,
2004-09-30,36863000.0,,125076000.0,64476000.0,144757000.0,,,261866000.0,3269000,117109000.0,,23283000.0,,,,101339000.0,9299000.0,,,46587000,3269000,3269000,,,,7163000.0,13580000.0,,2943000,22290000,,20184000.0,,50291000.0,87000.0,,28808000.0,111115000,7328000,,2562000.0,,143327000.0,,0.0,,-61349000.0,78711000.0,78711000.0,1290000.0,,,,,6540000.0,,,-30567000.0,,6659000,,,,-64528000,133682000.0,,68877000,3793000.0,72333000.0,3980000,,,,,,-64528000,
2004-12-31,37304000.0,26040000.0,135453000.0,73419000.0,150832000.0,32857000.0,,286607000.0,10377000,135775000.0,86788000.0,23818000.0,,2327000.0,,110723000.0,11869000.0,0.0,,57287000,10377000,10377000,-16191000.0,94087000.0,,8446000.0,13486000.0,-1082000.0,2337000,26976000,0.11,12287000.0,,49626000.0,87000.0,,41000000.0,39146000,18428000,78711000.0,2355000.0,-11002000.0,158084000.0,97819000.0,0.0,,-57412000.0,94087000.0,94087000.0,1314000.0,,547000.0,,-2055000.0,14303000.0,,16340000.0,-32312000.0,0.12,8289000,31006000.0,-4966000.0,74000.0,18141000,133649000.0,,84263000,5821000.0,76237000.0,7743000,468000.0,,,,-72000.0,20468000,15376000.0
2005-03-31,36855000.0,14018000.0,145783000.0,76318000.0,415670000.0,35610000.0,,549941000.0,10330000,134271000.0,94806000.0,23724000.0,,2814000.0,,113173000.0,8122000.0,0.0,,61386000,10330000,10330000,-6127000.0,350650000.0,,8195000.0,13131000.0,233000.0,751000,23715000,0.1,19049000.0,,,103000.0,,41309000.0,43350000,18787000,94087000.0,2544000.0,-771000.0,418511000.0,105544000.0,0.0,,-57412000.0,350650000.0,350650000.0,1347000.0,,,,-1868000.0,70080000.0,,1802000.0,-28338000.0,0.11,7740000,18190000.0,-4172000.0,244306000.0,18036000,135440000.0,,85101000,2347000.0,78028000.0,8000000,244628000.0,,,,0.0,20850000,256563000.0
2005-06-30,34650000.0,11072000.0,160561000.0,75465000.0,431535000.0,33372000.0,,564002000.0,14778000,132467000.0,103410000.0,22179000.0,,3058000.0,,110115000.0,8299000.0,0.0,,65523000,14778000,14778000,-2863000.0,361551000.0,,9143000.0,12471000.0,-1314000.0,2062000,14156000,0.13,17730000.0,,,104000.0,,40793000.0,40257000,27328000,350650000.0,2865000.0,0.0,436314000.0,112750000.0,0.0,,-61349000.0,361551000.0,361551000.0,1329000.0,,,,-3801000.0,71271000.0,,-3604000.0,-25680000.0,0.14,6885000,13935000.0,-2863000.0,185000.0,25266000,137912000.0,,79679000,0.0,76563000.0,12332000,517000.0,,,,0.0,28324000,10901000.0
2005-09-30,34080000.0,14558000.0,177369000.0,72794000.0,454188000.0,33316000.0,,586277000.0,16808000,132089000.0,,21956000.0,,3149000.0,,106874000.0,7797000.0,0.0,,63553000,16808000,16808000,-5896000.0,372403000.0,,11722000.0,12124000.0,-2448000.0,-1053000,15371000,,25221000.0,,58587000.0,104000.0,,41049000.0,40934000,26675000,361551000.0,3268000.0,-16000.0,461139000.0,,0.0,,-59753000.0,372403000.0,372403000.0,1346000.0,,,,7617000.0,6539000.0,,-19344000.0,-24688000.0,,7618000,17291000.0,-2733000.0,149000.0,22619000,136215000.0,,78924000,3054000.0,76462000.0,9255000,465000.0,,,,0.0,25768000,10852000.0
2005-12-31,34069000.0,26797000.0,194638000.0,73539000.0,483295000.0,36537000.0,,613771000.0,17269000,130476000.0,104295000.0,22390000.0,,3110000.0,,107608000.0,15397000.0,0.0,,68854000,17269000,17269000,-1910000.0,404502000.0,,10409000.0,11679000.0,1219000.0,3699000,22171000,0.16,30381000.0,,,105000.0,,39821000.0,44479000,28074000,372403000.0,5121000.0,0.0,488019000.0,110190000.0,0.0,,-59753000.0,404502000.0,404502000.0,1352000.0,,,,-2698000.0,65487000.0,,9375000.0,102000.0,0.17,7942000,28707000.0,-1910000.0,5879000.0,24375000,135011000.0,,91025000,1579000.0,75258000.0,10486000,6208000.0,,,,,27485000,32099000.0
2006-03-31,33123000.0,39216000.0,222617000.0,81731000.0,531701000.0,38584000.0,22669000.0,661696000.0,27979000,129995000.0,105254000.0,21686000.0,,3095000.0,,114854000.0,7038000.0,8388000.0,,88326000,27979000,27979000,-2023000.0,450583000.0,,13146000.0,11437000.0,-2631000.0,4594000,16398000,0.25,22737000.0,,,106000.0,,16043000.0,46947000,45973000,404502000.0,4558000.0,0.0,528047000.0,111387000.0,0.0,,-59753000.0,450583000.0,450583000.0,1375000.0,,,,-2262000.0,71779000.0,,11456000.0,765000.0,0.27,8363000,41239000.0,-2023000.0,6043000.0,41379000,134790000.0,,104724000,4019000.0,75037000.0,17652000,-2016000.0,,,,,44474000,46081000.0
