date,quarterlyRetainedEarnings,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyOtherNonCurrentLiabilities,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyLongTermDebt,quarterlyOtherNonCurrentAssets,quarterlyOtherCurrentAssets,quarterlyGoodwill,quarterlyInventory,quarterlyAccountsReceivable,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCapitalStock,quarterlyAccumulatedDepreciation,quarterlyStockholdersEquity,quarterlyCurrentDebt,quarterlyOtherIntangibleAssets,quarterlyOtherCurrentLiabilities,quarterlyNonCurrentDeferredRevenue,quarterlyAccountsPayable,quarterlyGrossPPE,quarterlyNetPPE,quarterlyOtherShortTermInvestments,quarterlyCostOfRevenue,quarterlyOtherNonCashItems,quarterlyOtherIncomeExpense,quarterlyGrossProfit,quarterlySellingGeneralAndAdministration,quarterlyNetOtherInvestingChanges,quarterlyBeginningCashPosition,quarterlyStockBasedCompensation,quarterlyInvestmentsAndAdvances,quarterlyFreeCashFlow,quarterlyPurchaseOfBusiness,quarterlyChangeInWorkingCapital,quarterlyRepurchaseOfCapitalStock,quarterlyPretaxIncome,quarterlyInterestExpense,quarterlyResearchAndDevelopment,quarterlyTaxProvision,quarterlyEbitda,quarterlyNetOtherFinancingCharges,quarterlyIncomeTaxPayable,quarterlyDeferredIncomeTax,quarterlyNetIncome,quarterlyDilutedAverageShares,quarterlyCommonStockIssuance,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyInvestingCashFlow,quarterlyPurchaseOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyDepreciationAndAmortization,quarterlyNetIncomeContinuousOperations,quarterlyChangeInInventory,quarterlyBasicAverageShares,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyCashDividendsPaid,quarterlyEndCashPosition,quarterlyBasicEPS,quarterlyChangesInAccountReceivables,quarterlyOperatingExpense,quarterlyOperatingIncome,quarterlyOperatingCashFlow,quarterlySaleOfInvestment,quarterlyCurrentAccruedExpenses,quarterlyCurrentDeferredRevenue,quarterlyDilutedEPS,quarterlyRepaymentOfDebt,quarterlyChangeInAccountPayable,quarterlyChangeInCashSupplementalAsReported,quarterlyTotalRevenue
2009-12-31,,1892211000,29090591000,18451234000,9457834000,38548425000,51760000.0,20343445000,1500250000.0,-14731000.0,-242299000.0,3868000,10750442000,7194785000,11372932000,11372932000,10880000,261489000,-2104679000.0,16921148000,7025625000,1212361000,0.0,329321000,11092765000,10011643000.0,7906964000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-30,,2428296000,37404932000,26309302000,10297713000,47702645000,45730000.0,28737598000,1626850000.0,-190000.0,380000.0,3868000,9608260000,14403865000,13392237000,10547655000,5966000,261489000,,17502312000,9214960000,1793367000,0.0,393733000,16312949000,,7962142000,2844582000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-31,,3645680000,41531326000,30503867000,12378292000,53909618000,39840000.0,34149547000,2686240000.0,0.0,0.0,3868000,13381835000,14341866000,13807625000,13806536000,35188000,261489000,-2889985000.0,18127378000,11520934000,2159529000,0.0,504297000,17953740000,12249928000.0,9359943000,1089000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-30,,5103797000,46298253000,34243782000,13533261000,59831514000,35280000.0,39347579000,4123366000.0,0.0,0.0,3868000,14095780000,20781497000,11420976000,11419875000,34036000,261489000,,18690824000,10936292000,2309666000,0.0,488706000,22315235000,,10188716000,1101000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12-31,3712171000.0,3038388000,37092101000,28386337000,14901224000,51993325000,30810000.0,31424725000,2106800000.0,0.0,0.0,3868000,10192736000,15562513000,11336852000,11331631000,42688000,261489000,-3646893000.0,18749639000,13498810000,2070741000,0.0,605052000,14332503000,15250280000.0,11603387000,5221000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-06-30,,2981682000,32066756000,24460830000,15888993000,47955749000,26520000.0,27442512000,2132100000.0,0.0,0.0,3868000,9759223000,13621827000,4331798000,4325202000,40621000,0,,18709828000,10343541000,610514000,0.0,535779000,8851508000,13758429000.0,13758429000,6596000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-31,,6262729000,27438415000,17031722000,16311148000,43749563000,0.0,23294451000,5618988000.0,0.0,0.0,3868000,7560531000,11696388000,5040451000,4974962000,48807000,0,-4474714000.0,18649102000,5388247000,546714000,0.0,394383000,6445515000,18774685000.0,14299971000,65489000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-30,3597698000.0,4854685000,29655886000,20713170000,16578512000,46234398000,0.0,25567855000,4239067000.0,0.0,0.0,3868000,8699201000,13744056000,3187738000,3152347000,35960000,0,,18794860000,5950707000,483926000,0.0,380829000,9136742000,14563301000.0,14563301000,35391000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-31,18602647000.0,1189842000,29234872000,23695033000,16462375000,45697247000,0.0,24884875000,753400000.0,0.0,0.0,3868000,7803963000,15064998000,4034685000,4004329000,29870000,0,-5425470000.0,18864136000,9019237000,672195000,0.0,294914000,8346626000,19652762000.0,14227292000,30356000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-30,,1419802000,34840394000,28613008000,16284900000,51125294000,0.0,30032810000,1020185000.0,0.0,0.0,3868000,8891438000,15589888000,7051728000,5720591000,28910000,0,,19095023000,8289308000,594128000,0.0,265649000,10682152000,13883034000.0,13883034000,1331137000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-31,3776288000.0,2701649000,28323203000,20344764000,15969589000,44292792000,0.0,23046413000,2412465000.0,0.0,2335384000.0,3868000,6577334000,11749529000,6551310000,6440131000,28918000,0,-6550329000.0,19170878000,4813985000,643289000,0.0,243246000,10116689000,20070845000.0,13520516000,111179000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-30,3878274000.0,3357106000,31020259000,22223962000,15947803000,46968062000,0.0,25581068000,3088496000.0,0.0,0.0,3868000,8804619000,12137278000,8290640000,7917446000,28028000,0,,19312912000,3159347000,556451000,0.0,225462000,13913402000,13170253000.0,13170253000,373194000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-31,3824272000.0,2599165000,26680957000,18020603000,15654481000,42335438000,0.0,20619768000,2291276000.0,0.0,0.0,3868000,6346477000,12016758000,5075579000,4946080000,27405000,0,-7636797000.0,19338120000,3379704000,474367000,0.0,266634000,9799609000,20507110000.0,12870313000,129499000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-30,3994891000.0,908347000,29867341000,22431283000,15361660000,45229001000,0.0,23339630000,595500000.0,0.0,1274588000.0,3868000,6290485000,13152868000,7415655000,5691553000,27404000,0,,19541113000,4916556000,387990000,0.0,273363000,12220957000,12397393000.0,12397393000,1724102000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-31,4083027000.0,374991000,33807738000,26771255000,15677605000,49485343000,0.0,27146246000,0.0,0.0,1402062000.0,3868000,8371852000,12517733000,8973147000,7171365000,40912000,0,-8671103000.0,19911809000,4511787000,350216000,0.0,323549000,16348199000,20488178000.0,11817075000,1801782000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-30,5244381000.0,423325000,42129726000,34173843000,16125430000,58255156000,0.0,34597168000,,0.0,2429174000.0,3868000,11307337000,14014459000,10855025000,8077975000,41340000,0,,21131197000,5036500000,326943000,0.0,365065000,22536322000,11516570000.0,11516570000,2777050000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
