date,quarterlyCapitalStock,quarterlyOtherIntangibleAssets,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyBeginningCashPosition,quarterlyOperatingExpense,quarterlyCurrentDeferredRevenue,quarterlyNetOtherInvestingChanges,quarterlyStockholdersEquity,quarterlyOtherCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyRepaymentOfDebt,quarterlyDilutedEPS,quarterlyCurrentDebt,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyInterestExpense,quarterlyChangesInAccountReceivables,quarterlySaleOfInvestment,quarterlyDeferredIncomeTax,quarterlyAccountsPayable,quarterlyChangeInWorkingCapital,quarterlyNonCurrentDeferredRevenue,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyOperatingCashFlow,quarterlyTotalRevenue,quarterlyIncomeTaxPayable,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOperatingIncome,quarterlyGrossPPE,quarterlyNetPPE,quarterlyOtherCurrentLiabilities,quarterlyTaxProvision,quarterlyBasicAverageShares,quarterlyStockBasedCompensation,quarterlyOtherShortTermInvestments,quarterlyBasicEPS,quarterlyCommonStockIssuance,quarterlyOtherNonCashItems,quarterlyRepurchaseOfCapitalStock,quarterlyChangeInCashSupplementalAsReported,quarterlyEbitda,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyFreeCashFlow,quarterlyRetainedEarnings,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlySellingGeneralAndAdministration,quarterlyGoodwill,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyTotalNonCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyPurchaseOfInvestment,quarterlyDepreciationAndAmortization,quarterlyChangeInAccountPayable,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentAssets,quarterlyNetOtherFinancingCharges,quarterlyInvestmentsAndAdvances,quarterlyGrossProfit,quarterlyDilutedAverageShares,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyLongTermDebt,quarterlyChangeInInventory,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyCurrentAccruedExpenses,quarterlyCashDividendsPaid,quarterlyCostOfRevenue,quarterlyAccountsReceivable,quarterlyResearchAndDevelopment
1990-12-31,,,,,,,,,,,,,7.8e-05,,,,,,,,,,,,,14400000,,,,14400000,,,,,809344000.0,,,7.8e-05,,,,,14400000,,,,,,,,,600000,,,,,,,,,,,809344000.0,600000,600000,,,,,,,,,,,,
1991-03-31,,,,,,,,,,,,,7.8e-05,,,,,,,,,,,,,14400000,,,,14400000,,,,,809344000.0,,,7.8e-05,,,,,14400000,,,,,,,,,600000,,,,,,,,,,,809344000.0,600000,600000,,,,,,,,,,,,
1991-06-30,,,,,,,,,,,,,7.8e-05,,,,,,,,,,,,,14400000,,,,14400000,,,,,809344000.0,,,7.8e-05,,,,,14400000,,,,,,,,,600000,,,,,,,,,,,809344000.0,600000,600000,,,,,,,,,,,,
1991-09-30,14800000.0,,,,,,,,22100000.0,1300000.0,-5800000.0,,,700000.0,1100000.0,1100000.0,,,,,3100000.0,,,,,14400000,,,,-40300000,28100000.0,22300000.0,4400000.0,,,,,,,,,,-40300000,7500000.0,,-100000.0,8200000.0,11400000.0,,,37800000.0,-900000,26400000.0,0.0,,,,15700000.0,4100000.0,,,,,600000,600000,,,,7500000.0,,,8100000.0,,,,900000.0,
1991-12-31,,,,,,,,,,,,,7.8e-05,,,,,,,,,,,,,21400000,,,,21400000,,,,,740672000.0,,,7.8e-05,,,,,21400000,,,,,,,,,1000000,,,,,,,,,,,740672000.0,1000000,1000000,,,,,,,,,,,,
1992-03-31,36100000.0,,,1700000.0,,3200000.0,,,43700000.0,1700000.0,-7600000.0,,7.8e-05,,12600000.0,12600000.0,100000.0,,,,1700000.0,,,,,21400000,,,,1800000,34600000.0,27000000.0,6100000.0,600000.0,740672000.0,,,7.8e-05,,,,,2800000,,,600000.0,7800000.0,23600000.0,2200000.0,,51500000.0,300000,27900000.0,,,,,7800000.0,900000.0,,,5000000.0,740672000.0,1100000,1100000,,,,,,0.0,8300000.0,,,16400000.0,1000000.0,
1992-06-30,36900000.0,,,1500000.0,0.0,3600000.0,,0.0,45300000.0,1500000.0,-8700000.0,,7.8e-05,,9400000.0,9400000.0,,,,,1900000.0,-1400000.0,,,600000.0,23500000,,-4200000.0,400000.0,1300000,38900000.0,30200000.0,5400000.0,600000.0,836608000.0,,,7.8e-05,200000.0,,,-3100000.0,2800000,,-3600000.0,500000.0,7300000.0,20800000.0,2100000.0,,52600000.0,-100000,31800000.0,,,1000000.0,,7300000.0,1600000.0,-3700000.0,,4900000.0,836608000.0,900000,900000,0.0,-4200000.0,,,-600000.0,100000.0,8800000.0,,,18600000.0,1100000.0,
1992-09-30,,,,1800000.0,0.0,3200000.0,,-17000000.0,75300000.0,19100000.0,-9400000.0,,,4600000.0,20800000.0,20800000.0,,,,,4000000.0,1600000.0,,,4200000.0,26900000,,-4800000.0,29000000.0,1600000,43000000.0,33600000.0,4000000.0,700000.0,,,,,29100000.0,200000.0,,11400000.0,2200000,,-600000.0,1400000.0,12600000.0,53200000.0,2600000.0,,87900000.0,1000000,34700000.0,,,600000.0,,12600000.0,1100000.0,3700000.0,,4800000.0,,1100000,1100000,0.0,-21800000.0,,,-2900000.0,200000.0,11700000.0,,,22100000.0,1600000.0,
1992-12-31,,,,5200000.0,20800000.0,3700000.0,,0.0,79400000.0,31000000.0,-9400000.0,,0.000156,5800000.0,17000000.0,17000000.0,,,,,6900000.0,7400000.0,,,11900000.0,38600000,,-4700000.0,200000.0,4800000,46300000.0,36900000.0,6900000.0,2000000.0,843136000.0,,,0.000156,200000.0,-100000.0,,-3800000.0,6100000,,7200000.0,4600000.0,19600000.0,60700000.0,2400000.0,,99000000.0,3200000,38300000.0,,-11300000.0,1300000.0,,19600000.0,1400000.0,0.0,,8500000.0,843136000.0,3200000,3200000,0.0,-16000000.0,,,600000.0,300000.0,11100000.0,,,30100000.0,1600000.0,
1993-03-31,,,,2000000.0,0.0,4100000.0,,0.0,82600000.0,32800000.0,-9400000.0,,7.8e-05,5900000.0,5200000.0,5200000.0,,,,,2100000.0,-9200000.0,,,-6400000.0,34000000,,-8100000.0,1900000.0,1700000,52900000.0,43500000.0,6100000.0,700000.0,867136000.0,,,7.8e-05,600000.0,,,-11800000.0,3100000,,-14500000.0,5800000.0,14100000.0,51100000.0,2800000.0,,96700000.0,1300000,45600000.0,,-11400000.0,1400000.0,,14100000.0,2100000.0,1300000.0,,5800000.0,867136000.0,1300000,1300000,0.0,-7100000.0,,,0.0,300000.0,11100000.0,,,28200000.0,2000000.0,
