date,quarterlyOtherCurrentAssets,quarterlyChangesInAccountReceivables,quarterlySaleOfInvestment,quarterlyStockholdersEquity,quarterlyChangeInAccountPayable,quarterlyAccountsPayable,quarterlyCapitalStock,quarterlyGrossProfit,quarterlyBeginningCashPosition,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyNetOtherInvestingChanges,quarterlyDilutedAverageShares,quarterlyAccumulatedDepreciation,quarterlyOtherNonCashItems,quarterlyRepaymentOfDebt,quarterlyTaxProvision,quarterlyBasicEPS,quarterlyStockBasedCompensation,quarterlyEbitda,quarterlyBasicAverageShares,quarterlyCapitalExpenditure,quarterlyOperatingIncome,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherShortTermInvestments,quarterlyCommonStockIssuance,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInWorkingCapital,quarterlyResearchAndDevelopment,quarterlyRetainedEarnings,quarterlyNetPPE,quarterlyPretaxIncome,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyDeferredIncomeTax,quarterlyPurchaseOfBusiness,quarterlyTotalRevenue,quarterlyOperatingCashFlow,quarterlyGrossPPE,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherNonCurrentLiabilities,quarterlyOtherCurrentLiabilities,quarterlyDilutedEPS,quarterlyLongTermDebt,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyAccountsReceivable,quarterlyInterestExpense,quarterlyCurrentDebt,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyInvestmentsAndAdvances,quarterlyOtherIncomeExpense,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyGoodwill,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlySellingGeneralAndAdministration,quarterlyCurrentDeferredRevenue,quarterlyCashAndCashEquivalents,quarterlyOperatingExpense,quarterlyInventory,quarterlyInvestingCashFlow,quarterlyOtherIntangibleAssets,quarterlyEndCashPosition,quarterlyNetIncomeCommonStockholders,quarterlyPurchaseOfInvestment,quarterlyDepreciationAndAmortization,quarterlyFreeCashFlow,quarterlyOtherNonCurrentAssets,quarterlyNetOtherFinancingCharges,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyRepurchaseOfCapitalStock,quarterlyChangeInInventory,quarterlyIncomeTaxPayable,quarterlyCashDividendsPaid
2014-09-30,,-19742000,,,-3157000,,,61139000,138563000,,0.0,,,-4480000,0.0,285000,,10332000,-30861000,,-6621000,-35991000,100171000,,,,-14496000,39483000,,,-37381000,,,-1731000,11644000,227420000,-36815000,,67761000,,,,,,,,166281000,,,,,,-957000.0,-37666000,-37666000,,,,50428000,,,97130000,,5023000,,206324000,-37666000,,5130000,-43436000,,0,,,,,
2014-12-31,3059000.0,7420000,,273672000.0,2095000,5436000.0,514945000.0,68327000,206324000,-807000.0,-3673000.0,,-26547000.0,-6153000,0.0,1697000,,11447000,-28822000,,-7533000,-34565000,52704000,,,,-8000,39670000,-395632000.0,63733000.0,-35375000,409867000.0,191106000.0,0,0,250894000,-21846000,90280000.0,18976000,17122000.0,1334000.0,,30000000.0,541888000.0,132021000.0,27840000.0,182567000,117265000.0,,,77110000.0,,-367000.0,-37072000,-37072000,40267000.0,225300000.0,0.0,56508000,909000.0,225300000.0,102892000,2991000.0,-11206000,10279000.0,225300000,-37072000,,5743000,-29379000,14625000.0,1348000,268216000.0,,,,
2015-03-31,,-34030000,,,4683000,,,74285000,225300000,,0.0,284311000.0,,-5398000,,418000,-0.168752,13461000,-40804000,284311000.0,-10519000,-46350000,1749000,,,,7125000,39545000,,,-47560000,,,-207000,-3750000,250557000,-10950000,,-24330000,,,-0.168752,,,,,176272000,,,,,,-796000.0,-47978000,-47978000,,,,64300000,,,120635000,,-14269000,,200970000,-47978000,0.0,5546000,-21469000,,0,,,,,
2015-06-30,8670000.0,-22296000,,262047000.0,-1275000,8864000.0,514945000.0,90342000,200970000,-1159000.0,0.0,284311000.0,-35468000.0,-8803000,,1152000,-0.104182,15232000,-21665000,284311000.0,-10111000,-28074000,6884000,,,,8765000,45887000,-473230000.0,81294000.0,-28468000,446805000.0,278147000.0,0,0,310013000,211000,116762000.0,-3030000,1339000.0,4675000.0,-0.104182,30000000.0,618559000.0,171754000.0,44463000.0,219671000,173999000.0,,,78365000.0,,50000.0,-29620000,-29620000,54279000.0,197940000.0,19653000.0,63534000,,197940000.0,118416000,4433000.0,-10111000,19618000.0,197940000,-29620000,,6409000,-9900000,15398000.0,0,356512000.0,,,,
2015-09-30,12559000.0,15597000,,236462000.0,-1360000,7528000.0,514945000.0,96310000,197940000,-1277000.0,-252000.0,322944713.0,-40465000.0,-11214000,-30000000.0,932000,-0.166995,22278000,-45646000,322944713.0,-9964000,-52217000,-26424000,,,,37070000,55020000,-527160000.0,85012000.0,-52998000,418487000.0,311240000.0,0,-750000,332188000,13629000,125477000.0,-23857000,1525000.0,8172000.0,-0.166995,0.0,597946000.0,179459000.0,52628000.0,235878000,158884000.0,,,50244000.0,,-644000.0,-53930000,-53930000,56899000.0,174083000.0,21780000.0,77079000,,174083000.0,148527000,5039000.0,-10966000,20726000.0,174083000,-53930000,,6571000,3665000,15684000.0,0,361484000.0,,,,
2015-12-31,42051000.0,13309000,,508048000.0,5783000,18869000.0,0.0,109093000,174083000,-1185000.0,-1626000.0,234548000.0,-45969000.0,-9240000,0.0,1244000,-0.34,31321000,-47433000,234548000.0,-8124000,-47817000,282554000,,,25543000.0,30364000,59186000,-607649000.0,87222000.0,-47045000,705563000.0,334202000.0,233000,0,374360000,24694000,133191000.0,296692000,52522000.0,28945000.0,-0.34,,894772000.0,189209000.0,61577000.0,265267000,142727000.0,,,52522000.0,,940000.0,-48289000,-48289000,56699000.0,470775000.0,299000.0,84171000,6623000.0,470775000.0,156910000,11864000.0,-9750000,26776000.0,470775000,-80489000,,9100000,16570000,18512000.0,250971000,386724000.0,,,,
2016-03-31,6408000.0,-46503000,,444884000.0,2576000,35888000.0,0.0,110240000,470775000,-346000.0,-313000.0,331324000.0,-52096000.0,-8939000,,339000,-0.29,31198000,-88015000,331324000.0,-7927000,-97133000,-4850000,43447000.0,,,42572000,64592000,-704404000.0,89039000.0,-96416000,720052000.0,449932000.0,78000,0,379269000,-15511000,141135000.0,-100129000,24262000.0,5851000.0,-0.29,,945069000.0,225017000.0,99237000.0,269029000,192317000.0,,,50253000.0,29715000.0,786000.0,-96755000,-96755000,56699000.0,414093000.0,299000.0,134603000,6213000.0,370646000.0,207373000,14878000.0,-81326000,24463000.0,370646000,-96755000,-73086000.0,9118000,-23438000,22925000.0,-5406000,500185000.0,,,,
2016-06-30,48473000.0,-15666000,,471459000.0,-38000,16211000.0,0.0,148959000,370646000,72000.0,-8140000.0,334488000.0,-59017000.0,-44515000,,312000,-0.08,36922000,-27138000,334488000.0,-8313000,-27360000,14816000,60991000.0,,,-10538000,68638000,-731749000.0,86325000.0,-27033000,721028000.0,411469000.0,-15000,0,438533000,-20260000,145342000.0,-28210000,50364000.0,42790000.0,-0.08,,933292000.0,212264000.0,42226000.0,289574000,204541000.0,,,50364000.0,19602000.0,198000.0,-27345000,-27345000,56699000.0,403427000.0,285000.0,90004000,5119000.0,342436000.0,176319000,17199000.0,-23880000,22329000.0,342436000,-27345000,-29159000.0,9018000,-28573000,27309000.0,-124000,461833000.0,,,,
2016-09-30,44244000.0,-29221000,25498000.0,510389000.0,-3405000,13719000.0,0.0,150314000,342436000,213000.0,-20000.0,343893000.0,-66412000.0,-7191000,,230000,-0.09,36779000,-22301000,343893000.0,-3834000,-31982000,32808000,76427000.0,32808000.0,,57361000,70418000,-764072000.0,89957000.0,-32093000,843027000.0,486024000.0,-167000,0,439002000,78006000,156369000.0,95464000,55795000.0,44500000.0,-0.09,,1052208000.0,209181000.0,63371000.0,288688000,233812000.0,,,55795000.0,15478000.0,-294000.0,-32323000,-32323000,56699000.0,514327000.0,285000.0,98829000,5303000.0,437900000.0,182296000,14695000.0,-15214000,20252000.0,437900000,-32323000,-36858000.0,9681000,74172000,26795000.0,0,541819000.0,,,,
2016-12-31,56331000.0,-87015000,30192000.0,576153000.0,-1280000,12602000.0,0.0,166525000,437900000,-1989000.0,-19000.0,356343000.0,-73332000.0,-28635000,-168000.0,1036000,-0.04,33887000,-4050000,356343000.0,-5759000,-13978000,47967000,103475000.0,48135000.0,,-33912000,64889000,-779239000.0,88328000.0,-14131000,1001425000.0,577464000.0,162000,-1360000,451917000,-19104000,161660000.0,23576000,57745000.0,117197000.0,-0.04,0.0,1211362000.0,209937000.0,59607000.0,285392000,321102000.0,153000.0,,57745000.0,27366000.0,-13034000.0,-15167000,-15167000,57173000.0,555505000.0,476000.0,102433000,5407000.0,452030000.0,180503000,13724000.0,-2313000,19292000.0,452030000,-15167000,-25663000.0,9928000,-24863000,17778000.0,0,635209000.0,,,,
