date,quarterlyEndCashPosition,quarterlyStockBasedCompensation,quarterlyInvestingCashFlow,quarterlyNetIncomeCommonStockholders,quarterlyTotalRevenue,quarterlyPurchaseOfInvestment,quarterlyEbitda,quarterlySellingGeneralAndAdministration,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyDilutedEPS,quarterlyGrossProfit,quarterlyRepurchaseOfCapitalStock,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyDeferredIncomeTax,quarterlyCashDividendsPaid,quarterlyGrossPPE,quarterlyOperatingIncome,quarterlyOtherShortTermInvestments,quarterlyBasicAverageShares,quarterlyOtherNonCashItems,quarterlyChangeInWorkingCapital,quarterlyRetainedEarnings,quarterlyNetOtherInvestingChanges,quarterlyBasicEPS,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyGoodwill,quarterlyAccountsReceivable,quarterlyStockholdersEquity,quarterlyChangeInInventory,quarterlyLongTermDebt,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyOtherNonCurrentLiabilities,quarterlyRepaymentOfDebt,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherCurrentAssets,quarterlyOtherIncomeExpense,quarterlyNetPPE,quarterlyInventory,quarterlyDilutedAverageShares,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,quarterlyOtherNonCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyOperatingExpense,quarterlyNetOtherFinancingCharges,quarterlyInvestmentsAndAdvances,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyOperatingCashFlow,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyCommonStockIssuance,quarterlyResearchAndDevelopment,quarterlyTaxProvision,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyChangesInAccountReceivables,quarterlyFreeCashFlow,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyOtherIntangibleAssets,quarterlyDepreciationAndAmortization,quarterlySaleOfInvestment,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyInterestExpense,quarterlyCurrentDebt,quarterlyCashAndCashEquivalents,quarterlyAccountsPayable,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyCurrentDeferredRevenue,quarterlyIncomeTaxPayable,quarterlyChangeInAccountPayable,quarterlyNonCurrentDeferredRevenue
2013-06-30,115486000,,-26592000,-492762000,0,0,-2265000,228000,,-10.287209,0,,,,23000.0,,,-2265000,,47900457.0,-313000,77000,,-1324000,-10.287209,,2037000,,,,0.0,,-11345000,-492762000,,,,,-9370000,,,47900457.0,,775000,-1324000,,,2265000,0.0,,,-11322000,55947000,15128000.0,,775000.0,,23000,,,0.0,55947000,,,,1045000,,,,,,,100358000,,,,
2013-09-30,121770000,0.0,-49363000,9755000,0,0,-1589000,220000,,0.203652,0,,,,20000.0,,,-1589000,,47900457.0,-275000,-163000,,275000,0.203652,,0,,,,0.0,,-3877000,9755000,,,,,-2543000,,,47900457.0,,1713000,-813000,,,1589000,0.0,,0.0,-3857000,70665000,6284000.0,,1713000.0,0.0,20000,,,0.0,69852000,,,,0,,,,,,,115486000,,,,
2013-12-31,161405000,0.0,-24823000,10488000,0,-19000,-22063000,192000,490933000.0,,-1475000,,290024000.0,157674000.0,60000.0,,2619555000.0,-1667000,,,6016000,-79000,-433964000.0,-933000,,28542000.0,1475000,,5306000.0,1731068000.0,0.0,245157000.0,-8468000,10488000,0.0,,333259000.0,0.0,-7148000,1870932000.0,79247000.0,,69603000.0,9727000,-1126000,48490000.0,-748623000.0,1667000,0.0,12555000.0,0.0,-8408000,51502000,39635000.0,0.0,9727000.0,0.0,60000,2222001000.0,1931977000.0,0.0,50376000,16000.0,,,0,161405000.0,,71794000.0,161405000.0,33635000.0,0.0,121770000,,,,
2014-03-31,209028000,0.0,-32645000,24241000,0,0,-3485000,271000,,0.50607,-1904000,,,,11000.0,0.0,,-2175000,,47900457.0,2000,-353000,,-662000,0.50607,,1904000,,,,,,-3496000,24241000,,,,,-1880000,,,47900457.0,,2931000,-662000,,,2175000,0.0,,0.0,-3485000,92437000,47623000.0,,2931000.0,0.0,11000,,,0.0,92437000,,,,50000,,0.0,,,,,161405000,,,,
2014-06-30,156741000,,-46438000,1645276000,0,-1000000,-2233000,403000,1545000.0,36.69,0,,157133000.0,1545000.0,-241000.0,,,-2233000,,44845000.0,-1178000,1575000,185180000.0,-169000,36.69,,1830000,,178000.0,187742000.0,-5000.0,0.0,-2250000,1645276000,,,0.0,0.0,-764000,2154000.0,5000.0,44845000.0,0.0,155336000,-169000,0.0,,2233000,0.0,16630000.0,,-2491000,21016000,-52287000.0,0.0,155336000.0,,-241000,189287000.0,32154000.0,-105000.0,21016000,2561000.0,,,0,156741000.0,,0.0,156741000.0,1545000.0,0.0,209028000,,,,
2014-09-30,156757000,126000.0,-5851000,5833000,9571000,-5899000,5896000,1508000,1721000.0,0.12,9537000,,157430000.0,1348000.0,2075000.0,,,5896000,,47900000.0,-658000,-459000,191013000.0,-150000,0.12,,34000,,404000.0,191196000.0,3000.0,0.0,5833000,5833000,0.0,,373000.0,0.0,1533000,2508000.0,2000.0,47900000.0,311000.0,0,-204000,0.0,,3641000,0.0,20245000.0,-150000.0,7908000,5686000,16000.0,0.0,0.0,607000.0,2075000,192917000.0,35487000.0,-149000.0,5482000,56000.0,,,0,156757000.0,,0.0,156757000.0,1290000.0,0.0,156741000,,,,
2014-12-31,175171000,1316000.0,-26660000,-2182000,7608000,-23782000,-249000,3129000,6739000.0,,6858000,,176048000.0,4913000.0,1446000.0,,962000.0,1052000,,,1271000,1364000,187280000.0,-1441000,,1061000.0,750000,,134000.0,263226000.0,2000.0,0.0,-2182000,-2182000,0.0,,1826000.0,211000.0,-2305000,948000.0,0.0,,1440000.0,39144000,-48000,1591000.0,-14000.0,6590000,-220000.0,79744000.0,-1441000.0,-736000,5518000,17821000.0,0.0,39364000.0,2711000.0,1446000,269965000.0,93917000.0,-308000.0,5470000,5549000.0,1591000.0,,16000,175171000.0,,0.0,175171000.0,721000.0,0.0,156757000,,,,
2015-03-31,348389000,545000.0,-19386000,10273000,10632000,-52689000,11818000,3905000,137660000.0,0.14,10125000,,364822000.0,10771000.0,1452000.0,-1551000.0,90532000.0,2535000,8736000.0,69330000.0,-1634000,-4141000,194771000.0,-1506000,0.15,4287000.0,507000,111204000.0,7165000.0,941122000.0,,,10243000,10273000,0.0,,126889000.0,532000.0,8225000,90532000.0,,71692000.0,119287000.0,189417000,-91000,412827000.0,,8097000,-10239000.0,91272000.0,34900000.0,11695000,1495000,171526000.0,0.0,1187000.0,3685000.0,1452000,1080372000.0,715550000.0,-1893000.0,1404000,-17718000.0,412827000.0,,0,357125000.0,123000.0,,348389000.0,1666000.0,0.0,175171000,,,,
2015-06-30,319960000,550000.0,-33823000,3990000,10248000,-30356000,5401000,4072000,134056000.0,0.04,9831000,,334113000.0,7126000.0,1314000.0,-2785000.0,92904000.0,4147000,6629000.0,93018000.0,405000,-1364000,195928000.0,-2417000,0.04,639000.0,417000,111204000.0,636000.0,947315000.0,0.0,,3928000,3990000,0.0,,126930000.0,540000.0,-9000,92904000.0,,95709000.0,119016000.0,-1138000,-50000,413827000.0,,6101000,-549000.0,121642000.0,-1000000.0,5242000,6823000,-28138000.0,0.0,2196000.0,1612000.0,1314000,1082899000.0,748786000.0,185000.0,6773000,-15398000.0,413827000.0,,0,326589000.0,159000.0,,319960000.0,1255000.0,0.0,348389000,,,,
2015-09-30,304091000,1014000.0,-31029000,9872000,11724000,-23841000,13442000,2829000,139636000.0,0.1,11203000,,311113000.0,12255000.0,3471000.0,-2830000.0,95109000.0,6180000,2022000.0,94356000.0,-4830000,2224000,202968000.0,-2186000,0.1,364000.0,521000,111204000.0,803000.0,956912000.0,0.0,,9809000,9872000,0.0,,127381000.0,493000.0,6275000,95109000.0,,94759000.0,118991000.0,-2508000,-2000,423827000.0,,5544000,-6000.0,150332000.0,-5000000.0,13280000,12428000,-21109000.0,0.0,328000.0,2194000.0,3471000,1098013000.0,786900000.0,2477000.0,12426000,-14246000.0,423827000.0,,0,306113000.0,162000.0,,304091000.0,1125000.0,0.0,319960000,,,,
