date,quarterlyOtherCurrentAssets,quarterlyNonCurrentDeferredRevenue,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyGrossPPE,quarterlyPretaxIncome,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyIncomeTaxPayable,quarterlyAccumulatedDepreciation,quarterlySellingGeneralAndAdministration,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCurrentDeferredRevenue,quarterlyInventory,quarterlyOtherIncomeExpense,quarterlyOperatingExpense,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyInvestmentsAndAdvances,quarterlyStockholdersEquity,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyBasicAverageShares,quarterlyGrossProfit,quarterlyGoodwill,quarterlyNetOtherInvestingChanges,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyLongTermDebt,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherNonCurrentLiabilities,quarterlyOtherCurrentLiabilities,quarterlyAccountsReceivable,quarterlyBasicEPS,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyOtherNonCurrentAssets,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyResearchAndDevelopment,quarterlyNetOtherFinancingCharges,quarterlyFreeCashFlow,quarterlyOtherShortTermInvestments,quarterlyDilutedAverageShares,quarterlyRetainedEarnings,quarterlyOperatingCashFlow,quarterlyNetPPE,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyCashAndCashEquivalents,quarterlyTaxProvision,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyEbitda,quarterlyNetIncomeCommonStockholders,quarterlyOtherIntangibleAssets,quarterlyBeginningCashPosition,quarterlyInterestExpense,quarterlyAccountsPayable,quarterlyCurrentDebt,quarterlyDilutedEPS,quarterlyCapitalStock,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyRepaymentOfDebt,quarterlyChangeInInventory,quarterlyCommonStockIssuance,quarterlySaleOfInvestment,quarterlyStockBasedCompensation,quarterlyRepurchaseOfCapitalStock,quarterlyPurchaseOfInvestment,quarterlyCapitalExpenditure,quarterlyPurchaseOfBusiness,quarterlyDeferredIncomeTax,quarterlyChangeInAccountPayable,quarterlyCashDividendsPaid,quarterlyOtherNonCashItems,quarterlyChangeInWorkingCapital,quarterlyDepreciationAndAmortization,quarterlyChangesInAccountReceivables
2016-09-30,,,,,-56786000,-52914000,90523000,,,79464000,,,,-4051000,84688000,-13401000,201933000,,,,261324809.0,31774000,,-13401000.0,-65592000,-64928000,,-17978000,,,,-0.248457,,,,58749000,,31541000.0,5591000,31541000.0,-36477000,,261324809.0,,-36477000,,,,,3522000,,-56781000,-64928000,,219911000,5000.0,,,-0.248457,,,,,,,,,,,,,,,,,,
2016-12-31,676000.0,137259000.0,611425000.0,76414000.0,-68004000,-85257000,88461000,6449000.0,-45291000.0,103067000,0.0,137677000.0,3947000.0,16991000,110541000,12861000,170078000,45072000.0,-125670000.0,347669000.0,,25284000,,38329000.0,-72236000,-72240000,,-31855000,5335000.0,0.0,35074000.0,,175891000.0,485775000.0,26414000.0,63177000,5919000.0,-2000.0,5786000,,-66657000,0.0,,-505006000.0,-42118000,31123000.0,309884000.0,263756000.0,170078000.0,-1047000,170078000.0,-67995000,-72240000,29963000.0,201933000,9000.0,5990000.0,1858000.0,,88000.0,8633000.0,,,,,,,,,,,,,,,,
2017-03-31,,,,,-70512000,-68033000,93945000,,,89106000,,,,-373000,95140000,-6697000,484861000,,,,261324809.0,27107000,,,-73076000,-73086000,,294037000,,,,-0.279675,,,,66838000,,,6252000,,-59271000,,261324809.0,,-59271000,,,,,1932000,,-68262000,-73086000,,190824000,2250000.0,,,-0.279675,,,,,,,,,,,,,,,,,,
2017-06-30,0.0,172990000.0,1138121000.0,90268000.0,-89659000,-82466000,101547000,7741000.0,-56144000.0,101731000,,154029000.0,5723000.0,-7193000,108307000,-10696000,651060000,45070000.0,-73930000.0,804367000.0,317769175.0,25841000,,,-92119000,-92119000,624769000.0,186945000,-205075000.0,0.0,46532000.0,-0.289893,195984000.0,1064225000.0,,75706000,2246000.0,,6739000,,-89858000,,317769175.0,-670150000.0,-71901000,34124000.0,868241000.0,333754000.0,651060000.0,2230000,651060000.0,-82466000,-92119000,24260000.0,484861000,6747000.0,8067000.0,1974000.0,-0.289893,134000.0,7105000.0,,,,,,,,,,,,,,,,
2017-09-30,0.0,200882000.0,1332359000.0,,-134914000,-160716000,94094000,8973000.0,,164833000,,185845000.0,7272000.0,32574000,171535000,-50081000,581474000,27132000.0,-219492000.0,882525000.0,317769175.0,10819000,30952000.0,-50081000.0,-132831000,-132681000,674411000.0,-69586000,2362000.0,0.0,57830000.0,-0.417539,254431000.0,1121199000.0,218451000.0,83275000,2280000.0,69466000.0,7661000,69466000.0,-89814000,,317769175.0,-843885000.0,-89814000,47934000.0,866768000.0,449834000.0,581474000.0,-2147000,581474000.0,-126453000,-132681000,42048000.0,651060000,8461000.0,9338000.0,1976000.0,-0.417539,205166000.0,9071000.0,,,,,,,,,,,,,,,,
2017-12-31,1523000.0,133481000.0,1513149000.0,143403000.0,-253424000,-191141000,124604000,9614000.0,-69055000.0,208172000,4378000.0,295396000.0,9790000.0,-54000000,214686000,-51140000,1347361000,28216000.0,469025000.0,875444000.0,293324598.0,23545000,30952000.0,69809000.0,-263140000,-262660000,726950000.0,765887000,3088000.0,0.0,61846000.0,-0.9,267567000.0,1988280000.0,88118000.0,101059000,2701000.0,927401000.0,8671000,-707823000.0,-192990000,18000000.0,293324598.0,-1106545000.0,-113244000,74348000.0,1720713000.0,637705000.0,1347361000.0,8730000,1365361000.0,-244381000,-262660000,37333000.0,581474000,9043000.0,8644000.0,2013000.0,-0.9,167000.0,10747000.0,,,,,,,,,,,,,,,,
2018-03-31,,162909000.0,1675899000.0,,-216341000,-198094000,155044000,9523000.0,,196636000,4104000.0,313988000.0,13382000.0,-12756000,206619000,-21837000,1334402000,58514000.0,289052000.0,923604000.0,335147405.0,8525000,30952000.0,,-216169000,-215613000,745746000.0,-110576000,2985000.0,,70899000.0,-0.64,328131000.0,1970452000.0,375466000.0,146519000,2455000.0,,10712000,,-94360000,0.0,335147405.0,-1322158000.0,-94360000,93939000.0,1642321000.0,752295000.0,1172426000.0,-755000,1172426000.0,-207759000,-215613000,33614000.0,1444978000,8582000.0,13937000.0,,-0.64,167000.0,35965000.0,,,,,,,,,,,,,,,,
2018-06-30,,184841000.0,2123921000.0,,-250269000,-219517000,183779000,8031000.0,,216924000,3954000.0,298404000.0,16906000.0,-30752000,228099000,-40014000,1633716000,71006000.0,228585000.0,1345998000.0,,8582000,30952000.0,,-250788000,-250788000,1145836000.0,299314000,2938000.0,,55114000.0,-0.748553,376067000.0,2355364000.0,404900000.0,175197000,2369000.0,,12882000,,-188753000,0.0,,-1572861000.0,-188753000,121920000.0,1979297000.0,777923000.0,1477140000.0,-170000,1477140000.0,-219517000,-250788000,29591000.0,1334402000,2973000.0,33920000.0,,-0.748553,170000.0,25030000.0,,,,,,,,,,,,,,,,
2018-09-30,,144366000.0,2224251000.0,,-215297000,-246200000,204921000,8114000.0,,237589000,3501000.0,375119000.0,19565000.0,30903000,251810000,-97087000,1459378000,118188000.0,25105000.0,1277712000.0,342598768.0,5610000,30952000.0,,-218019000,-218019000,1116384000.0,-174338000,2913000.0,,61220000.0,-0.650744,443956000.0,2252419000.0,503336000.0,199311000,2370000.0,,17293000,,-73916000,0.0,342598768.0,-1791163000.0,-73916000,147379000.0,1808463000.0,946539000.0,1209235000.0,2020000,1209235000.0,-246200000,-218019000,25668000.0,1633716000,9858000.0,25168000.0,,-0.650744,170000.0,23088000.0,,,,,,,,,,,,,,,,
2018-12-31,,171262000.0,2432124000.0,292741000.0,-271973000,-324957000,283224000,9539000.0,-100384000.0,294647000,679000.0,456030000.0,37689000.0,59913000,316998000,-65590000,1259312000,111022000.0,-243139000.0,1245631000.0,340397564.0,-7959000,30952000.0,,-276058000,-276623000,1062822000.0,-200066000,2974000.0,,97782000.0,-0.81,481956000.0,2192669000.0,153045000.0,291183000,2371000.0,,26642000,,-316676000,690000.0,340397564.0,-2067786000.0,-138191000,192357000.0,1710713000.0,1186493000.0,1002841000.0,2993000,1003531000.0,-262091000,-276623000,12887000.0,1459378000,9882000.0,37163000.0,856000.0,-0.81,170000.0,15245000.0,,,,,,,,,,,,,,,,
