date,quarterlyOtherNonCurrentAssets,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyOperatingCashFlow,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCommonStockIssuance,quarterlyOtherCurrentLiabilities,quarterlyNetPPE,quarterlyTaxProvision,quarterlyOtherIncomeExpense,quarterlyAccountsReceivable,quarterlyGoodwill,quarterlyLongTermDebt,quarterlyChangeInCashSupplementalAsReported,quarterlyCurrentDeferredRevenue,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCurrentAccruedExpenses,quarterlyOperatingExpense,quarterlyInvestmentsAndAdvances,quarterlyCostOfRevenue,quarterlyOtherIntangibleAssets,quarterlyDepreciationAndAmortization,quarterlyCapitalStock,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyBeginningCashPosition,quarterlyPurchaseOfInvestment,quarterlyDilutedAverageShares,quarterlyCurrentDebt,quarterlyFreeCashFlow,quarterlyInterestExpense,quarterlyNetOtherFinancingCharges,quarterlyChangesInAccountReceivables,quarterlyNetIncomeCommonStockholders,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyGrossProfit,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyGrossPPE,quarterlySaleOfInvestment,quarterlyRepurchaseOfCapitalStock,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyBasicAverageShares,quarterlyAccountsPayable,quarterlyOtherCurrentAssets,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyInvestingCashFlow,quarterlyNetOtherInvestingChanges,quarterlyEbitda,quarterlyStockBasedCompensation,quarterlyCashDividendsPaid,quarterlyEndCashPosition,quarterlyDilutedEPS,quarterlyChangeInAccountPayable,quarterlyRetainedEarnings,quarterlyCurrentAssets,quarterlyStockholdersEquity,quarterlyOtherNonCashItems,quarterlyBasicEPS,quarterlyOtherShortTermInvestments,quarterlyRepaymentOfDebt,quarterlyCurrentLiabilities,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyAccumulatedDepreciation,quarterlyOtherNonCurrentLiabilities,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInInventory,quarterlyInventory,quarterlySellingGeneralAndAdministration,quarterlyIncomeTaxPayable,quarterlyResearchAndDevelopment
2016-03-31,,-140748000,-140748000,155622000,-66204000,-9945000,,,,-74395000,-7558000,,,,79871000,,,,376165000,,189595000,,200889000,,,,8634921000,0,737069000.0,,89418000,275829000,-3965000,913000,-140748000,,,437994000,,,,,,61829000,627589000,737069000.0,,,-76941000,149062000,-65806000,0.0,261586000,0,,8714792000,-0.190956,4931000,,,,18549000,-0.190956,,-9945000,,-215143000,0,,,,,,,,,
2016-06-30,,-281765000,-282129000,17396000,-63366000,766920000,,,,91293000,-48113000,,,,-8267252000,,,,428574000,,249823000,,214111000,,,,8714792000,0,737069000.0,,-45970000,293795000,1186611000,-32243000,-281765000,,,573678000,,,,,,145104000,823501000,737069000.0,,,91010000,-4850000,-9051568000,0.0,317070000,0,,597554000,-0.382278,-13530000,,,,1986000,-0.382278,,-3991831000,,-190836000,-8988774000,,,,,,,,,
2016-09-30,,-172809000,-172553000,357910000,-248156000,1248436000,0.0,,,-118230000,-35540000,,,,1369763000,,,,1331236000,,738390000,,670929000,,,,597554000,-2866000,737069000.0,,109754000,446242000,-135784000,-8321000,-172809000,,,1521831000,,,,,,190595000,2260221000,737069000.0,,,-119537000,-21681000,-236583000,0.0,826388000,1670000,0.0,1968918000,-0.234454,46071000,,,,5296000,-0.234454,,-480168000,,-290783000,0,,,,,,,,,
2016-12-31,48545000.0,-236708000,-236049000,653527000,-247921000,-1873990000,,13158000.0,6597635000.0,-158334000,-257265000,349626000.0,7992700000.0,22414956000.0,-1465825000,94816000.0,7966815000.0,1170319000.0,1281182000,747121000.0,722186000,19372725000.0,614377000,0.0,1228307000.0,486792000.0,1968918000,-1742000,,1586954000.0,405606000,440675000,-9893000,-19109000,-236708000,36474249000.0,34769330000.0,1583715000,1979000.0,34444407000.0,7636932000.0,,,302533000,2305901000,,697310000.0,741515000.0,-158521000,315583000,-245362000,0.0,660669000,12698000,-365559000.0,503093000,,-49286000,-975978000.0,1704919000.0,2029555000.0,5266000,,741515000.0,-4813538000,3704933000.0,-394383000,0,30739474000.0,-1039297000.0,113485000.0,,,,,,
2017-03-31,49073000.0,-76425000,-76188000,234645000,-257610000,42267000,,36073000.0,6391270000.0,-45908000,-14197000,307080000.0,8067611000.0,21575959000.0,-24260000,109224000.0,7606359000.0,836296000.0,1222161000,1016134000.0,758352000,19134795000.0,608724000,7250000.0,915685000.0,313747000.0,503093000,-550000,737069000.0,1223255000.0,-22965000,433294000,-1290000,34707000,-76425000,36029146000.0,34658883000.0,1547324000,1979000.0,32992652000.0,7796654000.0,,,325163000,2305676000,737069000.0,660374000.0,601938000.0,-52184000,-213204000,-301172000,0.0,919922000,7848000,,478833000,-0.1,147999000,-1258424000.0,1370263000.0,3035970000.0,1812000,-0.1,601938000.0,-337579000,3229427000.0,-122096000,-43608000,29763225000.0,-1405384000.0,161076000.0,,,,,,
2017-06-30,69357000.0,-475155000,-474790000,466295000,-202796000,-114959000,,81506000.0,6228668000.0,-249068000,-572836000,328840000.0,7993469000.0,20980599000.0,146480000,103428000.0,7342729000.0,907641000.0,1300477000,1673837000.0,758694000,18872046000.0,706787000,7371000.0,274941000.0,274941000.0,478833000,-3000000,659145000.0,1839094000.0,263499000,420372000,-4927000,-42713000,-475155000,36016322000.0,34847245000.0,1569647000,-2305000.0,32752766000.0,8022778000.0,,,269170000,2328341000,659145000.0,684577000.0,81506000.0,-256206000,-122670000,-204856000,0.0,403301000,18079000,,625313000,-0.72,-80658000,-1219327000.0,1169077000.0,3262667000.0,5402000,-0.72,0.0,-4706593000,3650033000.0,-723858000,0,29102733000.0,-1794110000.0,157651000.0,,,,,,
2017-09-30,49394000.0,-182221000,-182086000,516053000,-304592000,-218011000,-696000.0,102904000.0,6161511000.0,-134688000,-126983000,344742000.0,7993499000.0,20929171000.0,-29977000,101577000.0,7194065000.0,859056000.0,1383762000,1654611000.0,755101000,18446676000.0,823265000,7371000.0,550131000.0,550131000.0,625313000,-25289000,737069000.0,1695219000.0,211461000,379064000,-2469000,-37487000,-182221000,35431152000.0,34305691000.0,1572074000,-4130000.0,32362730000.0,8342817000.0,,,188312000,2327175000,737069000.0,685026000.0,54578000.0,-150218000,-99909000,-328019000,0.0,885555000,15005000,0.0,595336000,-0.25,-16692000,-1401548000.0,1125461000.0,3067733000.0,11303000,-0.25,0.0,-1036403000,3483160000.0,-316774000,0,28879570000.0,-2181306000.0,144601000.0,,,,,,
2017-12-31,53254000.0,2253832000,2254682000,784750000,-228073000,-808338000,611000.0,52545000.0,6063829000.0,-2423303000,-33907000,370765000.0,7996760000.0,21335513000.0,-321755000,104220000.0,4775115000.0,938695000.0,1366730000,1721287000.0,763508000,18086535000.0,791699000,7371000.0,273329000.0,273329000.0,595336000,-73344000,,583818000.0,556677000,370402000,886000,-44190000,2253832000,34775225000.0,33921665000.0,1601870000,-10022000.0,29279385000.0,8663408000.0,-73371000.0,,235140000,2365378000,,790220000.0,52545000.0,-2412536000,82817000,-298167000,0.0,993480000,16498000,-79617000.0,273581000,,18439000,854824000.0,853560000.0,5494301000.0,12529000,,0.0,-906622000,2492983000.0,-168621000,-3095000,26786402000.0,-2599579000.0,141474000.0,,,,,,
2018-03-31,122786000.0,-128951000,-128949000,430952000,-257615000,958479000,,9211000.0,5819544000.0,-60703000,-132122000,330761000.0,8019849000.0,21789199000.0,1097804000,122395000.0,4729578000.0,719322000.0,1225728000,1467781000.0,787361000,17854718000.0,642705000,7371000.0,1427651000.0,1427651000.0,330100000,-2500000,737069000.0,1165127000.0,173337000,377258000,-20084000,25207000,-128951000,35279409000.0,33348021000.0,1542353000,-8420000.0,29882423000.0,8803240000.0,,,316625000,2329714000,737069000.0,725625000.0,,-65833000,-165047000,-291627000,,830311000,21623000,,1427904000,-0.17,11297000,713848000.0,1931388000.0,5395445000.0,16950000,-0.17,,-1670749000,2760457000.0,-189652000,-32477000,27121966000.0,-2983696000.0,144456000.0,,,,,,
2018-06-30,117696000.0,-97855000,-98004000,728291000,-240682000,-1563541000,,9623000.0,5694812000.0,-5590000,-63114000,382207000.0,8004808000.0,21829056000.0,-1046407000,121913000.0,4716681000.0,837698000.0,1224276000,1409361000.0,795127000,17628666000.0,648527000,7371000.0,381140000.0,381140000.0,1427904000,0,737069000.0,1156221000.0,487609000,390543000,-25997000,-62431000,-97855000,33914517000.0,32956350000.0,1569026000,-10438000.0,30047324000.0,9088440000.0,,,344750000,2364153000,737069000.0,801448000.0,,-14447000,103476000,-211157000,,935476000,12226000,,381393000,-0.13,38152000,6191000.0,958167000.0,3859806000.0,20021000,-0.13,,-1417921000,2956856000.0,-103594000,23632000,27090468000.0,-3393628000.0,141939000.0,,,,,,
2018-09-30,97537000.0,32553000,33739000,611019000,-335111000,-166819000,,,5760479000.0,95968000,-4271000,436550000.0,8012416000.0,22393991000.0,104588000,131133000.0,4809745000.0,773836000.0,1105123000,1521045000.0,790533000,17421077000.0,536053000,7238000.0,486208000.0,486208000.0,381393000,0,732963000.0,660729000.0,275908000,389594000,-353000,-74222000,32553000,33956567000.0,32844064000.0,1627268000,-2291000.0,30285594000.0,5773738000.0,,,522145000,2417801000,732963000.0,883408000.0,,94679000,-78524000,-339612000,0.0,1055354000,12327000,0.0,486461000,0.04,36048000,38744000.0,1112503000.0,3662400000.0,23555000,0.04,,-710007000,2476677000.0,129707000,-5445000,27808917000.0,-13259000.0,169473000.0,,,,,,
2018-12-31,84382000.0,213086000,213808000,738055000,-320765000,-619115000,0.0,70000.0,5828881000.0,-68330000,5945000,448399000.0,8012416000.0,22634713000.0,-187021000,140053000.0,4723937000.0,838845000.0,1117478000,1462626000.0,800055000,17212905000.0,555054000,7091000.0,298781000.0,298781000.0,486461000,2500000,,152697000.0,417290000,398887000,-6898000,-32633000,213086000,33613808000.0,32710554000.0,1654885000,-11783000.0,29933572000.0,9873552000.0,,-273197000.0,537407000,2454940000,,857502000.0,,-82002000,3773000,-305961000,,1099419000,13636000,0.0,299038000,,-73042000,251830000.0,903254000.0,3670941000.0,24595000,,,-1610833000,2021191000.0,145478000,0,27912381000.0,-4044671000.0,174760000.0,,,,,,
2019-03-31,75030000.0,-24999000,-25198000,503994000,-340386000,-339615000,,318873000.0,6031249000.0,-22586000,-119042000,405030000.0,8012416000.0,23137835000.0,-175528000,145019000.0,4717667000.0,372943000.0,1125860000,1717350000.0,812985000,17012286000.0,561428000,6797000.0,123007000.0,123007000.0,299038000,0,695528000.0,123966000.0,163608000,388283000,-13178000,28278000,-24999000,33559373000.0,32848331000.0,1583582000,-8212000.0,30548307000.0,10415809000.0,,-586759000.0,457722000,2396567000,695528000.0,835481000.0,,-19918000,-147642000,-339907000,,901927000,13790000,,123265000,-0.04,33889000,226831000.0,711042000.0,3002970000.0,26066000,-0.04,,-2884053000,1801820000.0,-47784000,0,28746487000.0,-4384560000.0,231721000.0,,,,,,
2019-06-30,92518000.0,86367000,86410000,788970000,-317734000,-282951000,,332692000.0,6104897000.0,41160000,14175000,420321000.0,8138086000.0,22980286000.0,16045000,141546000.0,4765958000.0,468880000.0,1138079000,1816147000.0,818994000,16885084000.0,568620000,6553000.0,138715000.0,138715000.0,123265000,0,668648000.0,653759000.0,471236000,381218000,-810000,-26474000,86367000,33779651000.0,33036732000.0,1632087000,-14474000.0,31245887000.0,10809409000.0,,-613194000.0,494008000,2451081000,668031000.0,909120000.0,,39522000,82769000,-489974000,,1077408000,16077000,,138975000,0.13,-15340000,313198000.0,742919000.0,2525625000.0,27810000,0.13,,-258803000,2518940000.0,127570000,-172659000,28726947000.0,-4704512000.0,238872000.0,,,,,,
2019-09-30,102322000.0,77239000,77396000,541023000,-378404000,-131401000,,316734000.0,6079805000.0,37871000,18647000,442710000.0,8138511000.0,23895580000.0,35797000,108070000.0,4797941000.0,407420000.0,1133870000,1936422000.0,820896000,16696035000.0,565637000,6369000.0,175091000.0,175091000.0,138975000,0,646006000.0,149584000.0,162619000,388800000,-3519000,-48653000,77239000,33773508000.0,32955729000.0,1617766000,-25520000.0,31684241000.0,11138003000.0,,-486920000.0,483896000,2438662000,643797000.0,878518000.0,,36090000,-169560000,-372860000,,1069704000,18024000,0.0,175352000,0.12,8469000,390437000.0,817779000.0,2080971000.0,28522000,0.12,,-768293000,1879347000.0,115267000,0,29804894000.0,-5058198000.0,245885000.0,,,,,,
