date,quarterlyNetOtherInvestingChanges,quarterlyChangesInAccountReceivables,quarterlyChangeInInventory,quarterlyStockholdersEquity,quarterlySaleOfInvestment,quarterlyDilutedEPS,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyOtherIntangibleAssets,quarterlyBeginningCashPosition,quarterlyAccountsPayable,quarterlyOtherCurrentAssets,quarterlyCapitalStock,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyStockBasedCompensation,quarterlyTaxProvision,quarterlyEbitda,quarterlyNetPPE,quarterlyTotalRevenue,quarterlyOperatingIncome,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyAccumulatedDepreciation,quarterlyCapitalExpenditure,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyGrossPPE,quarterlyOperatingCashFlow,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyBasicEPS,quarterlyBasicAverageShares,quarterlyOtherNonCashItems,quarterlyCommonStockIssuance,quarterlyTotalNonCurrentAssets,quarterlyAccountsReceivable,quarterlyGoodwill,quarterlyTotalAssets,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyFreeCashFlow,quarterlyLongTermDebt,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyDepreciationAndAmortization,quarterlyOtherNonCurrentLiabilities,quarterlyInterestExpense,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCurrentDebt,quarterlyEndCashPosition,quarterlyOtherIncomeExpense,quarterlyPurchaseOfInvestment,quarterlyInventory,quarterlyNetIncomeCommonStockholders,quarterlyRepaymentOfDebt,quarterlyInvestingCashFlow,quarterlyDilutedAverageShares,quarterlyInvestmentsAndAdvances,quarterlyNetOtherFinancingCharges,quarterlySellingGeneralAndAdministration,quarterlyOtherNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCurrentDeferredRevenue,quarterlyGrossProfit,quarterlyOperatingExpense,quarterlyChangeInAccountPayable,quarterlyCashDividendsPaid,quarterlyRepurchaseOfCapitalStock,quarterlyNonCurrentDeferredRevenue,quarterlyResearchAndDevelopment,quarterlyOtherShortTermInvestments,quarterlyIncomeTaxPayable,quarterlyRetainedEarnings
2012-12-31,15000000,24000000,2000000,0.0,,,-6000000.0,,2000000,83000000.0,24000000.0,,,,,43000000.0,141000000,4705000000.0,266000000,102000000,-27000000,-470000000.0,-86000000,93000000,2000000.0,5175000000.0,94000000,-45000000,64000000.0,739000000.0,922000000.0,-2000000,33000000.0,,,-5000000.0,,5743000000.0,78000000.0,629000000.0,6482000000.0,82000000,,8000000,1009000000.0,50000000,50000000,28000000,37000000.0,20000000,2339000000.0,753000000.0,0,5000000,1000000.0,57000000.0,50000000,,-69000000,,405000000.0,-27000000,,4000000.0,3261000000.0,1272000000.0,,184000000,82000000,-27000000,,,,,,,
2013-03-31,-22000000,-25000000,1000000,,,0.141926,,,0,,,,,,,37000000.0,150000000,,261000000,108000000,-53000000,,-45000000,96000000,,,123000000,-7000000,37000000.0,,,3000000,,0.141926,415710860.0,0.0,,,,,,75000000,,78000000,,59000000,59000000,30000000,,24000000,,,3000000,5000000,,,59000000,-53000000.0,-67000000,415710860.0,,0,,,,,,186000000,78000000,2000000,0.0,,,,,,
2013-06-30,453000000,7000000,0,,,3.216178,,,3000000,,,,,,,-1233000000.0,172000000,,612000000,116000000,-475000000,,-124000000,105000000,,,165000000,3000000,-1232000000.0,,,19000000,,3.216178,415710860.0,1000000.0,,,,,,374000000,,41000000,,1338000000,1337000000,51000000,,16000000,,,22000000,4000000,,,1337000000,-1786000000.0,329000000,415710860.0,,-94000000,,,,,,238000000,122000000,-11000000,0.0,,,,,,
2013-09-30,-2000000,-21000000,-10000000,0.0,,0.250174,0.0,392000000.0,22000000,289000000.0,19000000.0,8152000000.0,24000000.0,24000000.0,,1000000.0,186000000,8831000000.0,792000000,127000000,17000000,-626000000.0,-197000000,106000000,,9457000000.0,184000000,7000000,-2000000.0,425000000.0,622000000.0,2000000,47000000.0,0.250174,415710860.0,5000000.0,,10525000000.0,265000000.0,1061000000.0,10950000000.0,526000000,,-13000000,2090000000.0,105000000,104000000,67000000,52000000.0,13000000,2142000000.0,205000000.0,24000000,-9000000,,89000000.0,104000000,-290000000.0,-199000000,415710860.0,200000000.0,0,,41000000.0,2764000000.0,0.0,,266000000,139000000,19000000,-61000000.0,,,,,,
2013-12-31,4000000,-46000000,3000000,0.0,,,0.0,383000000.0,24000000,400000000.0,24000000.0,8148000000.0,108000000.0,108000000.0,,3000000.0,197000000,8990000000.0,824000000,130000000,111000000,-665000000.0,-207000000,119000000,0.0,9655000000.0,176000000,-16000000,3000000.0,549000000.0,720000000.0,84000000,56000000.0,,,8000000.0,,10683000000.0,306000000.0,1068000000.0,11232000000.0,550000000,,-31000000,2279000000.0,116000000,135000000,64000000,44000000.0,14000000,2331000000.0,204000000.0,108000000,3000000,0.0,83000000.0,135000000,-303000000.0,-203000000,,198000000.0,0,,44000000.0,3051000000.0,8000000.0,,274000000,144000000,55000000,-122000000.0,,,,,,
2014-03-31,0,-52000000,19000000,0.0,,0.358422,,376000000.0,108000000,284000000.0,38000000.0,,12000000.0,12000000.0,,1000000.0,232000000,9060000000.0,1002000000,162000000,-53000000,-721000000.0,-149000000,151000000,,9781000000.0,106000000,-108000000,0.0,500000000.0,1039000000.0,-96000000,55000000.0,0.358422,415710860.0,-3000000.0,,10758000000.0,365000000.0,1068000000.0,11258000000.0,700000000,,-43000000,1945000000.0,150000000,149000000,67000000,49000000.0,14000000,2002000000.0,635000000.0,12000000,3000000,,64000000.0,149000000,-487000000.0,-149000000,415710860.0,199000000.0,0,,55000000.0,3041000000.0,8000000.0,,302000000,140000000,-61000000,-114000000.0,,,,,,
2014-06-30,198000000,21000000,-12000000,0.0,,0.29,,370000000.0,12000000,247000000.0,76000000.0,,415000000.0,415000000.0,,0.0,206000000,9155000000.0,827000000,138000000,208000000,-776000000.0,-189000000,121000000,,9931000000.0,186000000,-11000000,-1000000.0,923000000.0,584000000.0,403000000,71000000.0,0.29,414000000.0,9000000.0,,10815000000.0,346000000.0,1068000000.0,11738000000.0,547000000,,-3000000,2293000000.0,121000000,120000000,69000000,43000000.0,16000000,2343000000.0,200000000.0,415000000,-1000000,,67000000.0,120000000,-1300000000.0,9000000,414000000.0,162000000.0,464000000,,60000000.0,2927000000.0,7000000.0,,280000000,142000000,-40000000,-158000000.0,,,,,,
2014-09-30,2000000,20000000,-1000000,0.0,0.0,0.33,,363000000.0,415000000,266000000.0,91000000.0,,18000000.0,18000000.0,3000000.0,1000000.0,229000000,9344000000.0,803000000,153000000,-233000000,-819000000.0,-248000000,140000000,,10163000000.0,269000000,53000000,0.0,520000000.0,519000000.0,-397000000,76000000.0,0.33,422000000.0,3000000.0,,11172000000.0,318000000.0,1068000000.0,11692000000.0,508000000,,21000000,2292000000.0,139000000,139000000,69000000,47000000.0,20000000,2347000000.0,95000000.0,18000000,7000000,,65000000.0,139000000,-200000000.0,-433000000,422000000.0,349000000.0,0,,48000000.0,2866000000.0,8000000.0,,295000000,142000000,5000000,-128000000.0,,,,,,
2014-12-31,11000000,64000000,1000000,0.0,0.0,,,356000000.0,18000000,275000000.0,82000000.0,,12000000.0,12000000.0,4000000.0,0.0,214000000,9582000000.0,735000000,141000000,28000000,-882000000.0,-251000000,123000000,-2000000.0,10464000000.0,208000000,2000000,2000000.0,438000000.0,671000000.0,-6000000,82000000.0,,,0.0,,11398000000.0,254000000.0,1068000000.0,11837000000.0,435000000,,-43000000,2291000000.0,123000000,122000000,71000000,43000000.0,20000000,2343000000.0,253000000.0,12000000,2000000,-2000000.0,63000000.0,122000000,-8000000.0,-242000000,,348000000.0,0,,44000000.0,3014000000.0,9000000.0,,300000000,159000000,-44000000,-129000000.0,,,,,,
2015-03-31,0,0,13000000,0.0,,0.22,,350000000.0,12000000,287000000.0,68000000.0,,8000000.0,8000000.0,3000000.0,1000000.0,185000000,9747000000.0,616000000,104000000,53000000,-948000000.0,-239000000,92000000,-6000000.0,10695000000.0,188000000,17000000,,407000000.0,841000000.0,-4000000,75000000.0,0.22,422000000.0,-1000000.0,,11561000000.0,252000000.0,1068000000.0,11968000000.0,365000000,,-51000000,2289000000.0,91000000,91000000,73000000,41000000.0,20000000,2340000000.0,436000000.0,8000000,8000000,-6000000.0,50000000.0,91000000,0.0,-245000000,422000000.0,349000000.0,0,,47000000.0,3181000000.0,10000000.0,,251000000,147000000,-3000000,-130000000.0,,,,,,
