date,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyDilutedAverageShares,quarterlyOtherNonCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyOtherShortTermInvestments,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyAccountsReceivable,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyInvestmentsAndAdvances,quarterlyLongTermDebt,quarterlyGoodwill,quarterlySellingGeneralAndAdministration,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyOtherIncomeExpense,quarterlyInvestingCashFlow,quarterlyNetIncomeCommonStockholders,quarterlyEndCashPosition,quarterlyInventory,quarterlyInterestExpense,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCurrentDebt,quarterlyCashAndCashEquivalents,quarterlyPurchaseOfInvestment,quarterlyCashDividendsPaid,quarterlyOtherIntangibleAssets,quarterlyDepreciationAndAmortization,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNetOtherFinancingCharges,quarterlyFreeCashFlow,quarterlyOtherNonCurrentAssets,quarterlyDilutedEPS,quarterlyNetOtherInvestingChanges,quarterlyChangeInInventory,quarterlyOtherCurrentAssets,quarterlySaleOfInvestment,quarterlyChangesInAccountReceivables,quarterlyRepurchaseOfCapitalStock,quarterlyCapitalStock,quarterlyChangeInAccountPayable,quarterlyBeginningCashPosition,quarterlyGrossProfit,quarterlyOperatingExpense,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyStockholdersEquity,quarterlyCurrentDeferredRevenue,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyRepaymentOfDebt,quarterlyBasicEPS,quarterlyTaxProvision,quarterlyNetPPE,quarterlyBasicAverageShares,quarterlyOtherNonCashItems,quarterlyCommonStockIssuance,quarterlyStockBasedCompensation,quarterlyEbitda,quarterlyPurchaseOfBusiness,quarterlyDeferredIncomeTax,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyResearchAndDevelopment,quarterlyChangeInWorkingCapital,quarterlyPretaxIncome,quarterlyRetainedEarnings,quarterlyOperatingIncome,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyGrossPPE,quarterlyAccumulatedDepreciation,quarterlyTotalRevenue,quarterlyOperatingCashFlow,quarterlyIncomeTaxPayable,quarterlyNonCurrentDeferredRevenue
2005-03-31,,,13671359.0,,,,,,,,,,,,,588534,508708,,,464814,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,0.01,,,13065496.0,,,,7062419,,,,,,,,,7062419,,,,,7062419,,,
2005-06-30,,,13671359.0,,,,,,,,,,,,,588534,508708,,,464814,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,0.01,,,13065496.0,,,,7062419,,,,,,,,,7062419,,,,,7062419,,,
2005-09-30,,,13671359.0,,,,,,,,,,,,,588534,508708,,,464814,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,0.01,,,13065496.0,,,,7062419,,,,,,,,,7062419,,,,,7062419,,,
2005-12-31,44419773.0,24320751.0,,346087.0,,8106546.0,3411266.0,,,2386078.0,75927754.0,,12000000.0,19657797.0,,588534,508708,,,464815,,,,12391104.0,131085.0,8979838.0,,,906382.0,,86826593.0,,,28299.0,,,,413735.0,,,,130959.0,,,,,2661208.0,-560542.0,-42406820.0,,,,,,2343623.0,,,,,-20375396,,,10898839.0,20099022.0,,,,-45126900.0,-20375396,,,5850848.0,-3507225.0,7062419,,,
2006-03-31,,,13114575.0,,,,,,,,,,,,,110342,110342,,,-13377,,,,,,,,,,,,,,,-0.00102,,,,,,,,,,,,,,,,,,-0.00102,,,13114575.0,,,,10989133,,,,,,,,,10989133,,,,,10989133,,,
2006-06-30,,,13149139.0,,,,,,,,,,,,,320580,320580,,,196860,,,,,,,,,,,,,,,0.014971,,,,,,,,,,,,,,,,,,0.014971,,,13149139.0,,,,13689919,,,,,,,,,13689919,,,,,13689919,,,
2006-09-30,,,13149139.0,,,,,,,,,,,,,320580,320580,,,196860,,,,,,,,,,,,,,,0.014971,,,,,,,,,,,,,,,,,,0.014971,,,13149139.0,,,,13689919,,,,,,,,,13689919,,,,,13689919,,,
2006-12-31,53812572.0,24692694.0,,1803315.0,,13854710.0,6320656.0,,,1983003.0,74879860.0,,9000000.0,20572792.0,,320580,320580,,,196860,,,,13463683.0,97527.0,7143027.0,,,769523.0,,94540779.0,,,28089.0,,,,246352.0,,,,131670.0,,,,,5708682.0,500536.0,-40728207.0,,,,,,2931470.0,,,,,-32971042,,,19660919.0,29119878.0,,,,-44054817.0,-32971042,,,8000208.0,-5068738.0,13689919,,,
2007-03-31,57178599.0,26798346.0,13375482.0,2417652.0,-752864.0,13900506.0,7736592.0,,3575535.0,2430730.0,75617916.0,,9000000.0,21018326.0,8991513.0,994187,994187,-689411.0,-3348139.0,870468,6390163.0,,447666.0,14126755.0,256076.0,6390163.0,-4904402.0,,689015.0,534556.0,96380269.0,0.0,1826353.0,1548689.0,0.02,0.0,,293981.0,2144755.0,,,133760.0,,7143027.0,12883802.0,9965133.0,6605771.0,1150830.0,-39201670.0,,,,0.02,885122.0,3076521.0,13375482.0,219474.0,50.0,,3453225,,44682.0,20762353.0,30380253.0,973620.0,464446.0,1879309.0,-43062670.0,2918669,-588492.0,1100.0,8145259.0,-5068738.0,16459337,2414845.0,,
2007-06-30,62223318.0,28816912.0,13987128.0,723764.0,2704767.0,18955727.0,7141477.0,,4071831.0,2164743.0,74047748.0,,9000000.0,22037255.0,9141326.0,590886,590886,-2360819.0,-696767.0,467166,9094930.0,,379874.0,16236407.0,415647.0,9094930.0,-2473818.0,,608580.0,566494.0,99679856.0,0.0,1602660.0,1595161.0,0.01,0.0,,386502.0,,,,138228.0,,6390163.0,14901457.0,10170422.0,6260734.0,2398135.0,-37456538.0,,,,0.01,1820978.0,4017032.0,13575158.0,1798916.0,22838.0,,5297529,,487284.0,25632108.0,33406406.0,1029096.0,-319442.0,2411864.0,-42471784.0,4731035,-1373875.0,23158.0,9085770.0,-5068738.0,18973288,2976535.0,,
