date,quarterlyOtherNonCashItems,quarterlyBasicEPS,quarterlySellingGeneralAndAdministration,quarterlyRetainedEarnings,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyFreeCashFlow,quarterlyPurchaseOfInvestment,quarterlyDepreciationAndAmortization,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyTotalNonCurrentAssets,quarterlyLongTermDebt,quarterlyNetIncome,quarterlyOtherNonCurrentLiabilities,quarterlyNetIncomeContinuousOperations,quarterlyNetOtherInvestingChanges,quarterlyOtherCurrentAssets,quarterlyBasicAverageShares,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyGoodwill,quarterlyStockholdersEquity,quarterlyGrossProfit,quarterlyInvestingCashFlow,quarterlyOtherIncomeExpense,quarterlyOperatingExpense,quarterlyInvestmentsAndAdvances,quarterlyEndCashPosition,quarterlyChangeInAccountPayable,quarterlyInventory,quarterlyChangeInInventory,quarterlyCashAndCashEquivalents,quarterlyCurrentDeferredRevenue,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyAccumulatedDepreciation,quarterlyTaxProvision,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyRepaymentOfDebt,quarterlyNetPPE,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyDilutedEPS,quarterlyCurrentDebt,quarterlyChangesInAccountReceivables,quarterlyOtherNonCurrentAssets,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,quarterlyInterestExpense,quarterlyOtherIntangibleAssets,quarterlyNetOtherFinancingCharges,quarterlyOtherCurrentLiabilities,quarterlyGrossPPE,quarterlyDilutedAverageShares,quarterlySaleOfInvestment,quarterlyChangeInCashSupplementalAsReported,quarterlyOperatingCashFlow,quarterlyResearchAndDevelopment,quarterlyChangeInWorkingCapital,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,quarterlyCommonStockIssuance,quarterlyOtherShortTermInvestments,quarterlyStockBasedCompensation,quarterlyEbitda,quarterlyRepurchaseOfCapitalStock,quarterlyNonCurrentDeferredRevenue,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCashDividendsPaid,quarterlyDeferredIncomeTax,quarterlyIncomeTaxPayable
2005-03-31,,-6.34,,,,,,,,,,,,-5041000,,,,-5041000,,-5041000,,,795267.0,,,,,,,,,,,,,,,,,,,,,,,,,,-6.34,,,,,,,,,,,795267.0,,,,,,,,,,,,,,,,,
2005-06-30,,-6.34,,,,,,,,,,,,-5041000,,,,-5041000,,-5041000,,,795267.0,,,,,,,,,,,,,,,,,,,,,,,,,,-6.34,,,,,,,,,,,795267.0,,,,,,,,,,,,,,,,,
2005-09-30,,-6.34,,,,,,,,,,,,-5041000,,,,-5041000,,-5041000,,,795267.0,,,,,,,,,,,,,,,,,,,,,,,,,,-6.34,,,,,,,,,,,795267.0,,,,,,,,,,,,,,,,,
2005-12-31,,,,-66058000.0,9683000.0,4515000.0,78368000.0,,,,,,16792000.0,-6514000,82883000.0,7109000.0,8302000.0,-6514000,315000.0,-6514000,,0.0,,,1296000.0,140000.0,,-66091000.0,,,,,,,,864000.0,,7660000.0,116000.0,7660000.0,-1881000.0,,1000.0,,,7054000.0,,,,1479000.0,,55000.0,,,,,,0.0,8935000.0,,,,,,,-62000.0,1624000.0,,,,,,,,,,
2006-03-31,,-9.19,,,,,,674000.0,674000.0,,,,,-8431000,,,,-8357000,,-8357000,,,917276.0,,,,,,,,,,,,,,,,,,,,,,,,,,-9.19,,,,,,,,,,,917276.0,,,,,,,,,,,674000.0,,,,,,
2006-06-30,,-9.19,,,,,,674000.0,674000.0,,,,,-8431000,,,,-8357000,,-8357000,,,917276.0,,,,,,,,,,,,,,,,,,,,,,,,,,-9.19,,,,,,,,,,,917276.0,,,,,,,,,,,674000.0,,,,,,
2006-09-30,,-9.19,3287000.0,-91160000.0,29171000.0,9237000.0,126586000.0,-8482000.0,674000.0,,,,44907000.0,-8431000,135823000.0,15736000.0,6339000.0,-8357000,487000.0,-8357000,,0.0,917276.0,3906000.0,2826000.0,1002000.0,,-90916000.0,-3232000.0,,,5250000.0,,,,2245000.0,,25090000.0,188000.0,25090000.0,-3590000.0,,1000.0,,,15682000.0,,,-9.19,2648000.0,,54000.0,,,264000.0,,,0.0,19272000.0,917276.0,,,,1964000.0,,-19000.0,3575000.0,,,,-8482000.0,,,,,,
2006-12-31,849000.0,,4694000.0,-102040000.0,39865000.0,39080000.0,119825000.0,-9198000.0,1641000.0,-13370000.0,,762000.0,57140000.0,-10880000,158905000.0,17275000.0,,-10880000,316000.0,-10880000,550000.0,0.0,,3942000.0,4193000.0,1417000.0,,-101765000.0,-2301000.0,-1780000.0,,6897000.0,,33231000.0,,3390000.0,-1145000.0,33231000.0,284000.0,33231000.0,-4016000.0,,1000.0,25090000.0,,16999000.0,,,,29222000.0,,276000.0,20961000.0,-2330000.0,1046000.0,,0.0,1931000.0,21015000.0,,,8141000.0,-11040000.0,2203000.0,-2198000.0,-19000.0,3450000.0,124000.0,,,-8436000.0,,,,,,
2007-03-31,357000.0,-23.86,5764000.0,-113600000.0,27247000.0,40931000.0,119826000.0,-10798000.0,2008000.0,-14196000.0,,906000.0,47682000.0,-11560000,160757000.0,20435000.0,,-11560000,317000.0,-11560000,0.0,0.0,484431.0,4572000.0,4325000.0,2118000.0,,-113075000.0,-2564000.0,-2331000.0,-84000.0,8234000.0,,19076000.0,,4256000.0,-866000.0,19076000.0,679000.0,19076000.0,-4862000.0,,0.0,33231000.0,,18484000.0,,,-23.86,29225000.0,,1951000.0,41000.0,-2331000.0,982000.0,,19000.0,2015000.0,23346000.0,484431.0,,-14155000.0,-11865000.0,2470000.0,-1568000.0,,4687000.0,22000.0,,,-9892000.0,,,,,,
2007-06-30,556000.0,-0.99,6202000.0,-126272000.0,127828000.0,17045000.0,22575000.0,-12409000.0,3212000.0,-12713000.0,,1232000.0,149140000.0,-12672000,39620000.0,21312000.0,21341000.0,-12672000,1234000.0,-12672000,0.0,0.0,12791190.0,6899000.0,2854000.0,2633000.0,,109520000.0,-3687000.0,-3179000.0,10000.0,8722000.0,,119818000.0,,4129000.0,127000.0,119818000.0,763000.0,119818000.0,-4862000.0,,27000.0,19076000.0,,20490000.0,,,-0.99,7943000.0,,822000.0,113455000.0,-3179000.0,986000.0,,-19000.0,0.0,25352000.0,12791190.0,,100742000.0,-9534000.0,2520000.0,1350000.0,,5485000.0,113474000.0,,,-11177000.0,,,,,,
