date,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyOtherCurrentLiabilities,quarterlyLongTermDebt,quarterlyFreeCashFlow,quarterlyOtherShortTermInvestments,quarterlyOtherNonCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyAccountsReceivable,quarterlyDepreciationAndAmortization,quarterlyNetIncome,quarterlyInvestmentsAndAdvances,quarterlySellingGeneralAndAdministration,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyNetIncomeContinuousOperations,quarterlyInventory,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyOtherIncomeExpense,quarterlyNetIncomeCommonStockholders,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyInterestExpense,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyCurrentDebt,quarterlyNetOtherFinancingCharges,quarterlyPurchaseOfInvestment,quarterlyCashDividendsPaid,quarterlyOtherIntangibleAssets,quarterlyOtherNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyBasicEPS,quarterlyBasicAverageShares,quarterlyOtherCurrentAssets,quarterlyChangeInInventory,quarterlySaleOfInvestment,quarterlyChangesInAccountReceivables,quarterlyGrossProfit,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,quarterlyChangeInAccountPayable,quarterlyOperatingExpense,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyStockholdersEquity,quarterlyRepaymentOfDebt,quarterlyNetOtherInvestingChanges,quarterlyTaxProvision,quarterlyEbitda,quarterlyNetPPE,quarterlyDilutedEPS,quarterlyStockBasedCompensation,quarterlyAccumulatedDepreciation,quarterlyCommonStockIssuance,quarterlyOtherNonCashItems,quarterlyDilutedAverageShares,quarterlyRetainedEarnings,quarterlyDeferredIncomeTax,quarterlyRepurchaseOfCapitalStock,quarterlyPretaxIncome,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOperatingCashFlow,quarterlyIncomeTaxPayable,quarterlyTotalRevenue,quarterlyChangeInWorkingCapital,quarterlyOperatingIncome,quarterlyCurrentLiabilities,quarterlyGrossPPE,quarterlyCurrentAssets,quarterlyCurrentDeferredRevenue,quarterlyNonCurrentDeferredRevenue,quarterlyResearchAndDevelopment,quarterlyPurchaseOfBusiness,quarterlyGoodwill
1984-03-31,,,,,,,,,,,,,101300000,,,,101300000,,,,,101300000,,,,,,,,,,,,0.1025,988292683.0,,,,,,,,,,,,,,,,1936300000,,0.1025,,,,,988292683.0,,,,,,,,,1936300000,,1936300000,,,,,,,,
1984-06-30,,,,,,,,,,,,,128400000,,,,128400000,,,,,128400000,,,,,,,,,,,,0.13,987692308.0,,,,,,,,,,,,,,,,1975300000,,0.13,,,,,987692308.0,,,,,,,,,1975300000,,1975300000,,,,,,,,
1984-09-30,,,,,,,,,,,,,136100000,,,,136100000,,,,,136100000,,,,,,,,,,,,0.1375,989818182.0,,,,,,,,,,,,,,,,1997300000,,0.1375,,,,,989818182.0,,,,,,,,,1997300000,,1997300000,,,,,,,,
1984-12-31,10392000000.0,8484000000.0,1520000000.0,1889000000.0,,,688000000.0,,,,,,128200000,,,4344000000.0,128200000,412000000.0,,,,96200000,1767000000.0,,503000000.0,503000000.0,297000000.0,,,,,583000000.0,6161000000.0,,,126000000.0,,,,,,,,,,,4231000000.0,,,,-4694300000,7901000000.0,,,-3001000000.0,,,,3282000000.0,,,,,,,,1880700000,,-4694300000,1817000000.0,10902000000.0,1908000000.0,,,,,
1985-03-31,,,,,,,,,,,,,113000000,,,,113000000,,,,,113000000,,,,,,,,,,,,0.1175,961702128.0,,,,,,,,,,,,,,,,1940000000,,0.1175,,,,,961702128.0,,,,,,,,,1940000000,,1940000000,,,,,,,,
1985-06-30,,,,,,,,,,,,,132000000,,,,132000000,,,,,132000000,,,,,,,,,,,,0.1375,960000000.0,,,,,,,,,,,,,,,,1929000000,,0.1375,,,,,960000000.0,,,,,,,,,1929000000,,1929000000,,,,,,,,
1985-09-30,,,,,,,,,,,,,120000000,,,,120000000,,,,,120000000,,,,,,,,,,,,0.1275,941176471.0,,,,,,,,,,,,,,,,1904000000,,0.1275,,,,,941176471.0,,,,,,,,,1904000000,,1904000000,,,,,,,,
1985-12-31,10710000000.0,8943000000.0,1436000000.0,1951000000.0,,,696000000.0,,,,,,136000000,,,4677000000.0,136000000,421000000.0,,,,105000000,2030000000.0,,453000000.0,453000000.0,241000000.0,,,,,626000000.0,6354000000.0,,,135000000.0,,,,,,,,,,,4356000000.0,,,,-4567000000,8317000000.0,,,-3206000000.0,,,,3783000000.0,,,,,,,,2025000000,,-4567000000,1677000000.0,11523000000.0,1767000000.0,,,,,
1986-03-31,,,,,,,,,,,,,103100000,,,,103100000,,,,,103100000,,,,,,,,,,,,0.11,937272727.0,,,,,,,,,,,,,,,,1835600000,,0.11,,,,,937272727.0,,,,,,,,,1835600000,,1835600000,,,,,,,,
1986-06-30,,,,,,,,,,,,,-834800000,,,,-834800000,,,,,-834800000,,,,,,,,,,,,-0.9775,854015345.0,,,,,,,,,,,,,,,,1596200000,,-0.9775,,,,,854015345.0,,,,,,,,,1596200000,,1596200000,,,,,,,,
