date,quarterlySellingGeneralAndAdministration,quarterlyNetIncomeCommonStockholders,quarterlyRetainedEarnings,quarterlyOperatingIncome,quarterlyNonCurrentDeferredRevenue,quarterlyTotalRevenue,quarterlyTotalAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyDilutedEPS,quarterlyDilutedAverageShares,quarterlyStockholdersEquity,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyNetIncome,quarterlyGoodwill,quarterlyNetIncomeContinuousOperations,quarterlyInvestmentsAndAdvances,quarterlyLongTermDebt,quarterlyNetPPE,quarterlyPretaxIncome,quarterlyTaxProvision,quarterlyCapitalStock,quarterlyCashAndCashEquivalents,quarterlyInterestExpense,quarterlyCurrentDebt,quarterlyOtherIntangibleAssets,quarterlyAccumulatedDepreciation,quarterlyGrossPPE,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyOtherShortTermInvestments,quarterlyBasicEPS,quarterlyBasicAverageShares,quarterlyDeferredIncomeTax,quarterlyCurrentDeferredRevenue,quarterlyStockBasedCompensation,quarterlyCapitalExpenditure,quarterlyOperatingCashFlow,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyRepaymentOfDebt,quarterlyRepurchaseOfCapitalStock,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyInventory,quarterlyResearchAndDevelopment,quarterlyCommonStockIssuance,quarterlyNetOtherFinancingCharges,quarterlyChangesInAccountReceivables,quarterlyOtherNonCashItems,quarterlyCurrentLiabilities,quarterlyOtherIncomeExpense,quarterlyBeginningCashPosition,quarterlyDepreciationAndAmortization,quarterlyGrossProfit,quarterlyChangeInCashSupplementalAsReported,quarterlyEndCashPosition,quarterlyPurchaseOfInvestment,quarterlyOtherCurrentAssets,quarterlySaleOfInvestment,quarterlyChangeInAccountPayable,quarterlyChangeInWorkingCapital,quarterlyInvestingCashFlow,quarterlyTotalNonCurrentAssets,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOperatingExpense,quarterlyChangeInInventory,quarterlyOtherNonCurrentLiabilities,quarterlyIncomeTaxPayable,quarterlyCostOfRevenue,quarterlyOtherCurrentLiabilities,quarterlyCashDividendsPaid,quarterlyOtherNonCurrentAssets,quarterlyPurchaseOfBusiness,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCurrentAssets,quarterlyFreeCashFlow,quarterlyNetOtherInvestingChanges,quarterlyEbitda
2001-06-30,,620510519.2,,,,,,,0.705643,879354998.0,,,,620510519.2,,620510519.2,,,,,,,,,,,,,,,,0.765303,810804174.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-09-30,,692426455.72,,,,,,,0.710005,975242094.0,,,,692426455.72,,692426455.72,,,,,,,,,,,,,,,,0.761134,909730069.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-12-31,,752674681.86,,,,,,,0.754222,997948895.0,,,,752674681.86,,752674681.86,,,,,,,,,,,,,,,,0.801933,938576090.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-03-31,,889820707.84,4677792960.0,,,,242519201471.0,220504338353.0,,,22014863118.0,4171032056.0,4073578036.0,889820707.84,,889820707.84,122153741369.0,2153733842.0,3649653049.0,,,2782312271.0,34518213884.0,,21551956523.0,,,,4171032056.0,2899257095.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-06-30,,817400167.5,,,,,,,0.8784,930555556.0,,,,817400167.5,,817400167.5,,,,,,,,,,,,,,,,0.8784,930555556.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-09-30,359903391.0,809178765.0,5159420424.0,1210144959.0,,2753623260.0,253164257790.0,229995175062.0,0.869565,931890790.0,23169082728.0,,,809178765.0,,809178765.0,126125607144.0,2140096674.0,,1210144959.0,400966194.0,2792270604.0,25719807432.0,2903381718.0,9149758692.0,,,,,3497584632.0,,0.869565,931890790.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-12-31,,991175045.58,,,,,,,0.983209,1008102479.0,,,,991175045.58,,991175045.58,,,,,,,,,,,,,,,,1.05564,938932581.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-03-31,,781323790.95,6511849038.0,,,,310943161233.0,284909983092.0,,,26033178141.0,6876777987.0,6265403514.0,781323790.95,,781323790.95,140928925032.0,2109004965.0,5260664070.0,,,2786730156.0,23876779806.0,,21516589980.0,,,,6876777987.0,5009479209.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-06-30,,1077767490.36,,,,,,,1.057674,1018997361.0,,,,1077767490.36,,1077767490.36,,,,,,,,,,,,,,,,1.14233,943481500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-09-30,498855831.0,1183066351.5,7940503365.0,1720823784.0,,4453089207.0,348288326559.0,320183063640.0,0.411899,938445790.0,28105262919.0,,,1183066351.5,,1183066351.5,168599540901.0,2100686481.0,,1720823784.0,537757432.5,2814645285.0,14421052509.0,3002288304.0,31034324679.0,,,,,5395880961.0,,0.411899,938445790.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
