date,quarterlyInvestmentsAndAdvances,quarterlyNetOtherFinancingCharges,quarterlyNetIncome,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherNonCurrentAssets,quarterlyCommonStockIssuance,quarterlyCapitalExpenditure,quarterlyBasicEPS,quarterlyOperatingCashFlow,quarterlyNetIncomeContinuousOperations,quarterlyNetPPE,quarterlyOtherIncomeExpense,quarterlyTaxProvision,quarterlyLongTermDebt,quarterlyOtherCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyOperatingExpense,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyDepreciationAndAmortization,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyNetIncomeCommonStockholders,quarterlyTotalAssets,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyFreeCashFlow,quarterlyCurrentDebt,quarterlyPurchaseOfInvestment,quarterlySaleOfInvestment,quarterlyInterestExpense,quarterlyDilutedAverageShares,quarterlyTotalNonCurrentAssets,quarterlyChangeInAccountPayable,quarterlyNonCurrentDeferredRevenue,quarterlyAccountsPayable,quarterlyGrossProfit,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyRepurchaseOfCapitalStock,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyDilutedEPS,quarterlyTotalRevenue,quarterlyGrossPPE,quarterlyOperatingIncome,quarterlyChangeInWorkingCapital,quarterlyEbitda,quarterlyStockBasedCompensation,quarterlyOtherNonCashItems,quarterlyEndCashPosition,quarterlyCashDividendsPaid,quarterlyInvestingCashFlow,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyRetainedEarnings,quarterlyOtherShortTermInvestments,quarterlyBasicAverageShares,quarterlyStockholdersEquity,quarterlySellingGeneralAndAdministration,quarterlyCurrentLiabilities,quarterlyPretaxIncome,quarterlyNetOtherInvestingChanges,quarterlyPurchaseOfBusiness,quarterlyRepaymentOfDebt,quarterlyCurrentAssets,quarterlyOtherCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyOtherNonCurrentLiabilities,quarterlyChangeInInventory,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyInventory,quarterlyDeferredIncomeTax,quarterlyIncomeTaxPayable,quarterlyCurrentAccruedExpenses,quarterlyOtherIntangibleAssets,quarterlyCurrentDeferredRevenue,quarterlyGoodwill,quarterlyResearchAndDevelopment,quarterlyChangesInAccountReceivables
1994-06-30,,-4800000.0,300000,29800000.0,,112100000.0,,0.05,100000.0,300000,198200000.0,,,91100000,,-1200000.0,-800000,,,400000.0,2800000.0,,300000,211300000,,,100000.0,,,,300000.0,6000000.0,,,,,,,,97000000,0.05,1700000,,2500000,,2900000,,-600000.0,,,-31200000.0,,-25100000,,6000000.0,87000000,100000,,,-31200000.0,,-147400000.0,,,,,,,,,,,,,,,
1994-09-30,,4100000.0,1600000,17200000.0,,0.0,,0.26,1300000.0,1600000,8700000.0,-100000.0,,105600000,,600000.0,-4000000,,,2000000.0,,,1600000,227100000,204500000.0,0.0,1300000.0,,,,1600000.0,6153846.0,,,,,,,,114100000,0.26,8800000,,12800000,,14800000,,4600000.0,,,-17800000.0,,-26100000,204500000.0,6153846.0,86000000,900000,,,21300000.0,,-1400000.0,,,,,,,,,,,,,,,
1995-03-31,,-200000.0,1500000,-4300000.0,,,-500000.0,0.18,4400000.0,1500000,246800000.0,,,149300000,,-400000.0,-5700000,,,,2400000.0,,1500000,267300000,,,3900000.0,,,,2700000.0,6275000.0,,,,,,,,157500000,0.18,10900000,,16600000,,16600000,,2900000.0,,-3400000.0,-500000.0,,-28500000,,6275000.0,83600000,500000,,,,,-700000.0,,,,,,,,,,,,,,,
1995-06-30,,-300000.0,1800000,-6200000.0,,,-900000.0,0.34,4300000.0,2000000,242000000.0,,,147000000,,-1500000.0,-5600000,,,,,,1800000,264900000,,,3400000.0,,,,2800000.0,5294118.0,,,,,,,,155900000,0.34,11700000,,17300000,,17300000,,2300000.0,,-3400000.0,,,-29100000,,5294118.0,83000000,500000,,,,,-18900000.0,,,,,,,,,,,,,,,
1995-09-30,,-100000.0,1600000,-2500000.0,,,-600000.0,0.25,5300000.0,1600000,240600000.0,,,148000000,,1100000.0,-5700000,,,,,,1600000,263900000,,,4700000.0,,,,2700000.0,6400000.0,,,,,,,,156400000,0.25,11000000,,16700000,,16700000,,3700000.0,,-3400000.0,,,-30200000,,6400000.0,81900000,500000,,,,,1000000.0,,,,,,,,,,,,,,,
1995-12-31,,-3500000.0,5900000,2900000.0,,,-7500000.0,,2600000.0,5500000,252700000.0,,,136100000,,2400000.0,-5900000,,,,,,5900000,273700000,,,-4900000.0,18500000.0,,,2700000.0,,,,,,,,,162600000,,16300000,,22200000,,22200000,,-11300000.0,,-300000.0,-3300000.0,,-27300000,,,84700000,500000,,,4200000.0,,1400000.0,,,,,,,,,,,,,,,
1996-03-31,,-200000.0,-100000,5600000.0,,,-12700000.0,-0.01,5700000.0,2100000,263200000.0,,,152400000,,-1300000.0,-5200000,,,,4000000.0,,-100000,282600000,,,-7000000.0,12900000.0,,,2900000.0,6275000.0,,,,,,,,175100000,-0.01,11600000,,16800000,,16800000,,3600000.0,,-3500000.0,-12600000.0,,-30100000,,6275000.0,82000000,1300000,,,100000.0,,-38200000.0,,,,,,,,,,,,,,,
1996-06-30,,-400000.0,3100000,-12400000.0,,,-700000.0,0.51,2400000.0,3800000,251300000.0,,,141800000,,3000000.0,-5700000,,,,,,3100000,273500000,,,1700000.0,12800000.0,,,3000000.0,6078431.0,,,,,,,,165300000,0.51,14200000,,19900000,,19900000,,-1400000.0,,-3400000.0,13100000.0,,-29600000,,6078431.0,82500000,600000,,,13800000.0,,-10900000.0,,,,,,,,,,,,,,,
1996-09-30,,-300000.0,2200000,51100000.0,,,-59200000.0,0.27,8700000.0,2700000,308200000.0,,,136700000,,600000.0,-6100000,,,,,,2200000,330500000,,,-50500000.0,,,,2800000.0,8148148.0,,,,,,,,152400000,0.27,12900000,,19000000,,19000000,,6000000.0,,-3500000.0,-59400000.0,,-31400000,,8148148.0,152700000,600000,,,-200000.0,,-37800000.0,,,,,,,,,,,,,,,
1996-12-31,8537000.0,-4299000.0,3581000,63477000.0,,90037000.0,-28829000.0,,3335000.0,3722000,346178000.0,,,153205000,,40616000.0,44458000,,,,,2000.0,3581000,417174000,46899000.0,46899000.0,-25494000.0,,,,2700000.0,,,,,7346000.0,,,,169086000,,12093000,393809000.0,-32365000,,-32365000,,-9134000.0,,-1609000.0,-26096000.0,,-33301000,,,222807000,3481000,,,-13035000.0,,-23405000.0,,,-47631000.0,,,,,,,,,,,,
