date,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyAccountsReceivable,quarterlyGoodwill,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyLongTermDebt,quarterlyFreeCashFlow,quarterlyDilutedEPS,quarterlyCashDividendsPaid,quarterlyOperatingCashFlow,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyRetainedEarnings,quarterlyResearchAndDevelopment,quarterlyOtherCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyCommonStockIssuance,quarterlyOtherNonCashItems,quarterlyPurchaseOfInvestment,quarterlyEbitda,quarterlyBasicEPS,quarterlyNetIncomeCommonStockholders,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNetOtherFinancingCharges,quarterlyOtherNonCurrentAssets,quarterlySaleOfInvestment,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyOtherIntangibleAssets,quarterlyCapitalStock,quarterlyAccountsPayable,quarterlyBeginningCashPosition,quarterlyBasicAverageShares,quarterlyInterestExpense,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyCurrentDebt,quarterlyDilutedAverageShares,quarterlyNetOtherInvestingChanges,quarterlyStockholdersEquity,quarterlyIncomeTaxPayable,quarterlyOperatingExpense,quarterlyGrossPPE,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyNonCurrentDeferredRevenue,quarterlyTaxProvision,quarterlyTotalRevenue,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyEndCashPosition,quarterlyOperatingIncome,quarterlyInvestingCashFlow,quarterlyNetPPE,quarterlyRepaymentOfDebt,quarterlyGrossProfit,quarterlyInvestmentsAndAdvances,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlySellingGeneralAndAdministration,quarterlyCurrentDeferredRevenue,quarterlyAccumulatedDepreciation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyChangeInInventory,quarterlyStockBasedCompensation,quarterlyRepurchaseOfCapitalStock,quarterlyOtherShortTermInvestments,quarterlyChangeInAccountPayable,quarterlyDepreciationAndAmortization,quarterlyChangesInAccountReceivables
2009-03-31,,1543000000,,,,,,30000000,0.69,0,682000000,,,,,,73000000,0.0,-130000000,,1014000000,0.69,515000000,,-129000000.0,,,,,,,188000000,750500000.0,45000000,,,,751400000.0,-66000000,,,600000000,,,589000000,-24000000,-59000000,,74000000,2736000000,41000000,,261000000,593000000,-718000000,,,1193000000,,,207000000,,,111000000,-652000000,515000000,515000000,,,,,,,,,,
2009-06-30,,1995000000,,,,,,304000000,0.21,0,793000000,,,,,,-134000000,0.0,27000000,,716000000,0.21,160000000,,-193000000.0,,13000000.0,,,,,261000000,751000000.0,104000000,,,,751400000.0,-56000000,,,434000000,,,230000000,-81000000,-152000000,,70000000,2871000000,-155000000,,127000000,442000000,-532000000,,-403000000.0,876000000,,,52000000,,,-392000000,-489000000,160000000,160000000,,,,,,,,,,
2009-09-30,,2103000000,,,,,,898000000,0.13,0,1414000000,,,,,,71000000,0.0,813000000,,647000000,0.13,101000000,,-203000000.0,,0.0,,,,,127000000,751200000.0,108000000,,,,751400000.0,-3860000000,,,634000000,,,148000000,-90000000,490000000,,47000000,3080000000,-131000000,,198000000,343000000,-4375000000,,-480000000.0,977000000,,,243000000,,,3035000000,-516000000,101000000,101000000,,,,,,,,,,
2009-12-31,,1235628400,915165400.0,1146574500.0,19128422800.0,21519999200.0,6308777500.0,444407100,,-158112100,771661600,1922475600.0,2391576400.0,40836900.0,,70155700.0,-15235500,1047100.0,207523900,,196268100,,-97479200,11907621200.0,-866595900.0,138217200.0,,2269065700.0,,0.0,1852319900.0,198000000,,-84732200,154970800.0,154970800.0,0.0,,3884572600,9612378000.0,0.0,849952800,27491610500.0,,27745000,-381952100,817313700,,125224200,1930594000,473267800,875375600.0,154970800,-154987200,3761162000,15221692700.0,-3432313200.0,694965600,,2468014700.0,214506000,,-12269917800.0,-4565483000,-327254500,-97479200,-97479200,9985145600.0,60731800.0,1208353400.0,,,,,,,
2010-03-31,,2224000000,1108000000.0,1146000000.0,19239000000.0,22181000000.0,5980000000.0,327000000,0.7,-150000000,820000000,2225000000.0,2942000000.0,420000000.0,,67000000.0,242000000,5000000.0,-228000000,,1029000000,0.7,525000000,12280000000.0,0.0,465000000.0,,-102000000.0,,0.0,,155000000,751500000.0,65000000,397000000.0,397000000.0,,751700000.0,49000000,9901000000.0,,679000000,,,640000000,100000000,99000000,,115000000,3602000000,6000000,845000000.0,397000000,699000000,-372000000,15171000000.0,-58000000.0,1378000000,,2569000000.0,343000000,,,-203000000,-493000000,525000000,525000000,10055000000.0,246000000.0,1506000000.0,,,,,,,
2010-06-30,,2630000000,1063000000.0,1146000000.0,19579000000.0,22449000000.0,3821000000.0,-6000000,0.23,-150000000,471000000,1974000000.0,2870000000.0,442000000.0,,8000000.0,12000000,2000000.0,35000000,,611000000,0.23,172000000,12394000000.0,0.0,489000000.0,0.0,27000000.0,,3690000000.0,1547000000.0,397000000,751700000.0,103000000,409000000.0,409000000.0,,751800000.0,9000000,10055000000.0,64000000.0,384000000,,,183000000,-4000000,-66000000,,11000000,3318000000,-55000000,809000000.0,409000000,304000000,-468000000,15469000000.0,,688000000,,2561000000.0,59000000,,,16000000,-477000000,172000000,172000000,10420000000.0,196000000.0,357000000.0,,,,,,,
2010-09-30,,2286000000,1051000000.0,1146000000.0,19207000000.0,22199000000.0,3574000000.0,161000000,0.3,-150000000,645000000,2163000000.0,2992000000.0,515000000.0,,22000000.0,55000000,4000000.0,949000000,,715000000,0.3,223000000,12040000000.0,0.0,490000000.0,1000000.0,55000000.0,,0.0,2042000000.0,409000000,751900000.0,114000000,464000000.0,464000000.0,,752000000.0,184000000,10159000000.0,99000000.0,577000000,,,286000000,33000000,136000000,,63000000,3222000000,6000000,862000000.0,464000000,359000000,-299000000,15258000000.0,,936000000,,2472000000.0,262000000,,,-288000000,-484000000,223000000,223000000,9877000000.0,262000000.0,2706000000.0,,,,,,,
2010-12-31,,2024000000,1055000000.0,1146000000.0,19320000000.0,22095000000.0,5608000000.0,-96000000,,-151000000,658000000,2485000000.0,2775000000.0,,,163000000.0,-164000000,17000000.0,-1010000000,,359000000,,73000000,12073000000.0,0.0,499000000.0,,,,,2168000000.0,464000000,,-41000000,300000000.0,300000000.0,,,100000000,10022000000.0,154000000.0,727000000,29020000000.0,,54000000,-41000000,10000000,,-19000000,2831000000,322000000,880000000.0,300000000,80000000,-657000000,15530000000.0,-22000000.0,807000000,,2404000000.0,436000000,,-13490000000.0,-156000000,-754000000,73000000,73000000,9588000000.0,163000000.0,1576000000.0,,,,,,,
2011-03-31,1076000000.0,2802000000,1141000000.0,1132000000.0,17153000000.0,20183000000.0,5394000000.0,-98000000,0.06,-151000000,631000000,3164000000.0,3030000000.0,421000000.0,,362000000.0,79000000,31000000.0,341000000,,510000000,0.06,47000000,11868000000.0,0.0,1269000000.0,,48000000.0,,0.0,2321000000.0,300000000,753200000.0,117000000,379000000.0,379000000.0,250000000.0,758100000.0,55000000,8315000000.0,231000000.0,681000000,25685000000.0,,87000000,-1000000,-62000000,37000000.0,40000000,3631000000,24000000,940000000.0,379000000,148000000,-684000000,12736000000.0,,829000000,,1524000000.0,113000000,,-12949000000.0,130000000,-729000000,47000000,47000000,8704000000.0,133000000.0,1786000000.0,,,,,,,
2011-06-30,,2985000000,1107000000.0,1132000000.0,17092000000.0,20078000000.0,5267000000.0,291000000,0.86,-151000000,769000000,2527000000.0,2986000000.0,925000000.0,,93000000.0,-134000000,7000000.0,-295000000,,1356000000,0.87,655000000,11247000000.0,0.0,927000000.0,,44000000.0,,0.0,2124000000.0,379000000,754100000.0,106000000,245000000.0,245000000.0,86000000.0,758000000.0,-102000000,8831000000.0,224000000.0,71000000,26363000000.0,,962000000,294000000,-170000000,,307000000,4085000000,8000000,1067000000.0,245000000,1029000000,-592000000,13127000000.0,,1100000000,,1810000000.0,55000000,,-13236000000.0,-310000000,-478000000,655000000,655000000,8720000000.0,128000000.0,1643000000.0,,,,,,,
