date,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyNetIncomeCommonStockholders,quarterlyPurchaseOfInvestment,quarterlyStockBasedCompensation,quarterlyDepreciationAndAmortization,quarterlyOtherNonCashItems,quarterlyBasicEPS,quarterlyEbitda,quarterlyChangeInWorkingCapital,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOperatingIncome,quarterlyFreeCashFlow,quarterlyRetainedEarnings,quarterlyDeferredIncomeTax,quarterlyTotalRevenue,quarterlyGrossPPE,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyChangeInInventory,quarterlyLongTermDebt,quarterlyOtherCurrentAssets,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyOtherNonCurrentLiabilities,quarterlyInvestmentsAndAdvances,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyGrossProfit,quarterlyChangeInAccountPayable,quarterlyOperatingExpense,quarterlyNetIncomeContinuousOperations,quarterlyDilutedAverageShares,quarterlyGoodwill,quarterlyNetOtherInvestingChanges,quarterlyCurrentDeferredRevenue,quarterlyNetIncome,quarterlySellingGeneralAndAdministration,quarterlyStockholdersEquity,quarterlyAccumulatedDepreciation,quarterlyRepaymentOfDebt,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyTaxProvision,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyNetPPE,quarterlyCommonStockIssuance,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCurrentDebt,quarterlyCashAndCashEquivalents,quarterlyInterestExpense,quarterlyOtherNonCurrentAssets,quarterlyResearchAndDevelopment,quarterlyPurchaseOfBusiness,quarterlyDilutedEPS,quarterlyOtherIntangibleAssets,quarterlyPretaxIncome,quarterlyNetOtherFinancingCharges,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOperatingCashFlow,quarterlyOtherCurrentLiabilities,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlySaleOfInvestment,quarterlyChangesInAccountReceivables,quarterlyOtherShortTermInvestments,quarterlyBasicAverageShares,quarterlyRepurchaseOfCapitalStock,quarterlyChangeInCashSupplementalAsReported,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,quarterlyIncomeTaxPayable,quarterlyCashDividendsPaid,quarterlyNonCurrentDeferredRevenue
2000-03-31,-6251259,15067452,-4845853,-8710766.0,,1180902.0,,-1.435,-4162100,1329482.0,3595851,-5343002,-1240962,-11509118.0,,83205,836780.0,1095851,33487535,,,398433.0,4923.0,,,,,2500000,78282,,5421284,-4845853,4349812.0,,0.0,,-4845853,615341,30834357,-34749.0,,,,,,802031,850566.0,32717116,,15067452,,74376,3625041,,-1.435,66266.0,,4500.0,-540493.0,855066.0,-700469,745974.0,34430208,942673,3000000.0,,17649664.0,4349812.0,,-6096662,21164114,37465046.0,-18807642.0,349877,,,
2000-06-30,5370068,19595187,-5269543,5127.0,,1917215.0,,-0.125,-3842041,1161819.0,6186800,-5759256,-2888568,,,78652,1621839.0,1415555,32072232,,1021245.0,932154.0,67738.0,,,3750000.0,,4771245,146390,,5905646,-5269543,42803520.0,,0.0,,-5269543,941545,27507392,-131055.0,,,,,,1490784,-4719.0,31140078,244650.0,19595187,,0,3046886,,-0.125,131176.0,,0.0,-785059.0,1261176.0,-2103509,0.0,33694192,1621960,6150000.0,,11544891.0,42803520.0,,4527735,15067452,,27507392.0,1170905,,,
2000-09-30,1988119,121582842,-3874653,-1589570.0,,1978077.0,,-0.075,-3404205,408243.0,8154162,-5382282,-2076364,,,662589,7097131.0,2199146,132394118,,955016.0,2025477.0,173818.0,,,5000000.0,,5955016,836407,,6218689,-3874653,52817204.0,,-6200000.0,,-3874653,1192307,126810842,-4972000.0,,,,,,2125131,101346120.0,124168641,252628.0,121582842,,0,3048305,,-0.075,445755.0,,0.0,-788031.0,101287869.0,-1288333,0.0,134965004,2570886,10565720.0,,2585799.0,52817204.0,,101987655,19595187,37449389.0,89361453.0,1946518,,,
2000-12-31,4852050,116101736,-4616416,-33476.0,,2119044.0,,,-4631776,-7521668.0,8692943,-6750820,-11533514,-25269730.0,,484665,3724343.0,2806316,129066653,,886627.0,11963702.0,161530.0,,,5000000.0,,5886627,646195,,7397015,-4616416,,,6200000.0,,-4616416,1443838,124099736,-434956.0,,,,,,3289387,-52466.0,117102951,260867.0,116101736,,398772,3834133,,,37867.0,,0.0,-1314474.0,-114116.0,-10219040,1818176.0,132792679,3726026,0.0,,1001215.0,,,-5481106,121582842,319649.0,-14029408.0,727273,,,
2001-03-31,-455074,113599120,-4918077,-1455074.0,,1800338.0,,-0.085,-4891849,674334.0,9446483,-6692187,-2443405,,,563692,4561409.0,3442975,125704140,,816008.0,3994398.0,13544.0,,,5187500.0,,6003508,550148,,7242335,-4918077,58447014.0,,0.0,,-4918077,1185219,121246239,,,,,,,4561409,457975.0,115230742,269374.0,113599120,,0,4450326,,-0.085,427173.0,,0.0,,395863.0,-2443405,0.0,130692722,4988582,1000000.0,,1631622.0,58447014.0,,-2502616,116101736,,121246239.0,3173601,,,
2001-06-30,-99221284,11423458,-5892927,-114679883.0,,1947989.0,,-0.1,-5466352,1008099.0,13047447,-7414341,-6807065,,,469840,7094737.0,3429361,123074905,,743086.0,6492470.0,,,,0.0,,9618086,469840,,7884181,-5892927,59311342.0,,-3870226.0,,-5892927,1301520,117104945,-434956.0,,8875000.0,,,,6659781,46598.0,109963935,278159.0,11423458,,0,5075104,,-0.1,417706.0,,0.0,,-17539.0,-2936839,0.0,130152392,7077487,19328825.0,,98540477.0,59311342.0,,-102175662,113599120,,117104945.0,3151202,,,
2001-09-30,-2807947,3743359,-5784894,-27610088.0,,1959061.0,,-0.095,-5321246,-1193049.0,13937076,-7280307,-10316831,-25269730.0,,691356,22548806.0,3206790,105009015,,667786.0,4515216.0,201582.0,,,10062500.0,,10730286,489774,,7770081,-5784894,59863100.0,,0.0,,-5784894,1205992,113607809,-434956.0,,,,,,22113850,399419.0,100493799,287230.0,3743359,,0,5152120,,-0.095,422020.0,,0.0,-5111489.0,333190.0,-5205342,0.0,127544885,22535870,29913630.0,,96750440.0,59863100.0,,-7680099,11423458,,138877539.0,2919560,,,
2001-12-31,818305,4165000,-8227102,-23016955.0,,2055612.0,,,-6876553,5645616.0,15674000,-8932165,-6329699,-50093000.0,,761112,27801000.0,4808000,96260000,,590000.0,0.0,272934.0,2536000.0,1266000.0,10276000.0,,10866000,488178,,9420343,-8227102,,,0.0,,-8227102,1970269,106791000,-1829000.0,,,,,971000.0,25972000,11008.0,90494000,297000.0,4165000,,233000,6126390,,,,,0.0,-5990285.0,-57514.0,-339414,0.0,122465000,26205000,29825545.0,,86329000.0,,,421377,3743359,322000.0,-7334000.0,1975000,,,
2002-03-31,-12903000,10417000,-8667000,-25222000.0,,2436000.0,,-0.14,-6593000,-868000.0,41421000,-9029000,-31403000,,,1269000,51146000.0,4889000,90647000,-109000.0,25619000.0,0.0,339000.0,,1525000.0,10913000.0,,36532000,930000,,9959000,-8667000,60910000.0,,0.0,,-8667000,1642000,99131000,-1829000.0,,,,,1080000.0,49317000,387000.0,87780000,625000.0,10417000,,0,7092000,,-0.14,588000.0,,0.0,-24304000.0,26254000.0,-7099000,0.0,140552000,49905000,36623000.0,,77363000.0,60910000.0,,6252000,4165000,,,4264000,,,
2002-06-30,-2483000,705000,-16447000,-49028000.0,,2389000.0,,-0.27,-14443000,6968000.0,48925000,-16832000,-8330000,-75207000.0,,1900000,51242000.0,12686000,83619000,-216000.0,25533000.0,0.0,596000.0,7700000.0,2064000.0,10706000.0,,36239000,1304000,,18136000,-16447000,61462000.0,,0.0,,-16447000,2281000,84689000,-1829000.0,,,,-7700000.0,1296000.0,49413000,13000.0,80083000,642000.0,705000,,0,7023000,,-0.27,582000.0,,0.0,-1240000.0,-139000.0,-7090000,0.0,133614000,49995000,47785000.0,,79378000.0,61462000.0,,-9712000,10417000,,159896000.0,4344000,,,
2002-09-30,5888000,1185000,-7602000,-19575000.0,,2828000.0,,-0.12,13829000,-778000.0,49770000,11001000,-6170000,,,2985000,50704000.0,13723000,78899000,-313000.0,25451000.0,0.0,965000.0,7860000.0,3048000.0,10596000.0,,36047000,2020000,,-8981000,-7602000,62142000.0,,0.0,,-7602000,2426000,78695000,-1829000.0,,,,-160000.0,1609000.0,48875000,293000.0,73724000,660000.0,1185000,,0,6405000,,-0.12,691000.0,,0.0,-619000.0,143000.0,-5551000,0.0,128465000,49566000,26082000.0,,72539000.0,62142000.0,,480000,705000,,,5203000,,,
2002-12-31,6857000,2037000,-7616000,-22743000.0,,1847000.0,,,-80038000,-84000.0,50162000,-81885000,-6520000,-90424000.0,,3886000,54631000.0,14297000,72819000,-690000.0,25620000.0,0.0,1636000.0,11850000.0,3731000.0,10245000.0,,35865000,2250000,,84135000,-7616000,,,-794000.0,,-7616000,2750000,71744000,-6352000.0,,,,-192000.0,2299000.0,48279000,3000.0,53764000,677000.0,2037000,,22000,6329000,,,786000.0,,0.0,-667000.0,-152000.0,-5853000,0.0,121906000,49087000,31061000.0,,51727000.0,,,852000,1185000,325000.0,-2640000.0,1770000,,,
2003-03-31,7599000,4879000,-8960000,-1940000.0,,2086000.0,,-0.14,-6904000,1897000.0,51333000,-8990000,-5847000,,,4276000,54428000.0,15656000,66170000,-41000.0,25273000.0,0.0,1910000.0,8241000.0,2890000.0,10404000.0,,35677000,2366000,,11356000,-8960000,63168000.0,,-16000.0,,-8960000,4580000,63886000,-6352000.0,,,,-189000.0,2340000.0,48076000,390000.0,47903000,692000.0,4879000,563000.0,0,5722000,,-0.14,973000.0,,0.0,-870000.0,220000.0,-4977000,0.0,115219000,49049000,10425000.0,,43024000.0,63168000.0,,2842000,2037000,,63886000.0,6723000,,,
2003-06-30,8915000,6466000,-8592000,0.0,,1980000.0,,-0.135,-6512000,-543000.0,50635000,-8492000,-7483000,,,4769000,53622000.0,15218000,58319000,-194000.0,25180000.0,0.0,2026000.0,8280000.0,2949000.0,10237000.0,,35417000,2743000,,11235000,-8592000,63616000.0,,0.0,,-8592000,4140000,55902000,-6352000.0,,,,-189000.0,2534000.0,47270000,-3000.0,40094000,778000.0,6466000,559000.0,0,6222000,,-0.135,948000.0,,0.0,-328000.0,-173000.0,-7155000,0.0,106537000,48218000,9243000.0,,33628000.0,63616000.0,,1587000,4879000,,55902000.0,6160000,,,
2003-09-30,3951000,9989000,-5511000,0.0,,1741000.0,,-0.085,-3601000,3106000.0,55217000,-5342000,-1209000,,,8249000,53095000.0,20127000,58513000,-112000.0,25090000.0,0.0,2681000.0,8469000.0,3825000.0,10000000.0,,35090000,5568000,,10910000,-5511000,64110000.0,,0.0,,-5511000,5096000,51059000,-6352000.0,,,,-189000.0,2646000.0,46743000,403000.0,38848000,699000.0,9989000,549000.0,0,5114000,,-0.085,1020000.0,,0.0,-545000.0,236000.0,-664000,0.0,106276000,47763000,4496000.0,,28859000.0,64110000.0,,3523000,6466000,,51059000.0,10959000,,,
2003-12-31,8003000,12465000,-4000000,0.0,,1624000.0,,,-2174000,-3259000.0,51846000,-3798000,-5749000,-117487000.0,,10741000,56331000.0,8189000,40418000,624000.0,24999000.0,0.0,3420000.0,5540000.0,4549000.0,18658000.0,,43657000,7321000,,11119000,-4000000,,,0.0,,-4000000,5083000,47388000,-10554000.0,,,,-189000.0,2022000.0,45777000,105000.0,32782000,619000.0,12465000,590000.0,12191000,5453000,,,848000.0,,0.0,-289000.0,-67000.0,-5460000,0.0,99234000,58816000,8292000.0,,20317000.0,,,2476000,9989000,329000.0,-768000.0,2030000,,,
2004-03-31,531000,8740000,-3931000,-6310000.0,,1672000.0,,-0.06,-1748000,-2451000.0,53505000,-3420000,-4710000,,,10803000,56027000.0,9765000,39663000,-129000.0,24893000.0,0.0,2802000.0,,8877000.0,18847000.0,,43740000,8001000,,11421000,-3931000,65098000.0,,-727000.0,,-3931000,5738000,44718000,-10554000.0,,,,-189000.0,2150000.0,45473000,674000.0,27789000,542000.0,8740000,511000.0,12146000,5176000,,-0.06,941000.0,,0.0,,491000.0,-4710000,0.0,98223000,58560000,7568000.0,,19049000.0,65098000.0,,-3725000,12465000,,44718000.0,9223000,,,
