date,quarterlyNetOtherFinancingCharges,quarterlyNetIncome,quarterlyInvestmentsAndAdvances,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherNonCurrentAssets,quarterlyCommonStockIssuance,quarterlyCapitalExpenditure,quarterlyOperatingCashFlow,quarterlyNetIncomeContinuousOperations,quarterlyNetPPE,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyTaxProvision,quarterlyBasicAverageShares,quarterlyLongTermDebt,quarterlyOtherCurrentLiabilities,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCurrentDeferredRevenue,quarterlyChangeInCashSupplementalAsReported,quarterlyOperatingExpense,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyDepreciationAndAmortization,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyNetIncomeCommonStockholders,quarterlyTotalAssets,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyFreeCashFlow,quarterlyCurrentDebt,quarterlyPurchaseOfInvestment,quarterlySaleOfInvestment,quarterlyInterestExpense,quarterlyChangesInAccountReceivables,quarterlyTotalNonCurrentAssets,quarterlyOtherIntangibleAssets,quarterlyDilutedEPS,quarterlyDeferredIncomeTax,quarterlyDilutedAverageShares,quarterlyChangeInAccountPayable,quarterlyAccountsPayable,quarterlyRepurchaseOfCapitalStock,quarterlyGrossProfit,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyTotalRevenue,quarterlyGrossPPE,quarterlyOperatingIncome,quarterlyChangeInWorkingCapital,quarterlyIncomeTaxPayable,quarterlyChangeInInventory,quarterlyEbitda,quarterlyStockBasedCompensation,quarterlyOtherNonCashItems,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyCashDividendsPaid,quarterlyBasicEPS,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyRetainedEarnings,quarterlyOtherShortTermInvestments,quarterlyStockholdersEquity,quarterlySellingGeneralAndAdministration,quarterlyCurrentLiabilities,quarterlyGoodwill,quarterlyPretaxIncome,quarterlyNetOtherInvestingChanges,quarterlyRepaymentOfDebt,quarterlyPurchaseOfBusiness,quarterlyCurrentAssets,quarterlyOtherCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyOtherNonCurrentLiabilities,quarterlyNonCurrentDeferredRevenue,quarterlyResearchAndDevelopment
1997-11-30,0.0,700000,,3000000,26600000,,-3700000,400000,700000,13000000,1900000,9100000,,5833333.0,,10200000.0,,,-57500000,6300000,,,16800000,200000,58400000,,700000,130500000,900000,900000,-3300000,,-68200000.0,10600000.0,,,39600000,,0.12,,5833333.0,,6900000,,5100000,,17000000,21900000,15200000.0,-1200000,-5900000.0,,,-1000000,,200000.0,0,-60900000,,0.12,-100000,700000,,108000000,6100000,17100000,,,400000.0,,,90900000,73500000.0,-2200000.0,-100000,,
1998-02-28,0.0,1100000,,1100000,26300000,,-1000000,1500000,1100000,13600000,1700000,9600000,200000.0,5789474.0,,6600000.0,,,2600000,7100000,,,20100000,400000,0,,1100000,131600000,3500000,3500000,500000,4100000.0,-8000000.0,8600000.0,,,39900000,,0.18,,6111111.0,,6000000,,6900000,,16700000,27000000,16200000.0,-200000,0.0,,,200000,,5000000.0,0,100000,,0.19,0,1800000,,109300000,6700000,16700000,,1300000.0,-400000.0,,,91700000,72800000.0,-2600000.0,0,,
1998-05-31,100000.0,300000,,0,25800000,,-400000,5600000,300000,13400000,2200000,9100000,,5000000.0,,7300000.0,,,-800000,7900000,,,17600000,500000,0,,300000,131800000,2700000,2700000,5200000,3900000.0,-8000000.0,1500000.0,,,39200000,,0.06,,5000000.0,,5200000,,6000000,,16400000,23600000,16000000.0,-1900000,9400000.0,,,-1400000,,,0,-6500000,,0.06,0,2200000,,109800000,7500000,16400000,,,1300000.0,,,92600000,73500000.0,-2600000.0,0,,
1998-08-31,14900000.0,800000,,6700000,25300000,500000.0,0,-9100000,800000,13000000,2000000,9200000,-100000.0,,,6600000.0,,,6000000,6900000,,,19000000,300000,0,,800000,124600000,8600000,8600000,-9100000,3800000.0,-2200000.0,10100000.0,,,38300000,,,,,,5500000,,5700000,,15900000,24700000,15800000.0,-1200000,-9700000.0,,,-900000,,,0,8400000,,,0,3000000,,103100000,6600000,15900000,,700000.0,500000.0,,,86300000,62000000.0,-2800000.0,0,,
1998-11-30,800000.0,500000,,-9500000,25000000,,-8400000,5700000,500000,16400000,2200000,8000000,,5000000.0,,7800000.0,,,43700000,7700000,,,16000000,300000,8600000,,500000,116300000,52400000,52400000,-2700000,,,55500000.0,,,41400000,,0.1,,5000000.0,,5400000,-6500000.0,6000000,,13200000,22000000,19600000.0,-1700000,4100000.0,,,-1400000,,,0,47600000,,0.1,0,3500000,,96700000,7400000,13200000,,,500000.0,,,74900000,9500000.0,-3200000.0,0,,
1999-02-28,1300000.0,-500000,,1400000,24200000,,-500000,2500000,-500000,21200000,1800000,8100000,100000.0,5555556.0,,9500000.0,,,-33000000,9100000,,,16900000,400000,0,,-500000,119800000,19400000,19400000,2000000,,,2600000.0,,,45400000,,-0.09,,5555556.0,,6300000,-100000.0,6900000,,15800000,23800000,24800000.0,-2200000,2300000.0,,,-1800000,,,0,-36900000,,-0.09,0,3100000,,97500000,8700000,15800000,,-400000.0,700000.0,,,74400000,42100000.0,-3600000.0,0,,
1999-05-31,9700000.0,-1400000,,14200000,25000000,400000.0,-9900000,-700000,-1400000,30700000,1700000,13500000,,5000000.0,4000000.0,7700000.0,,,16000000,9400000,,,19800000,400000,0,,-1400000,139100000,35300000,35300000,-10600000,,0.0,12200000.0,,,55700000,,-0.28,,5000000.0,,14700000,0.0,6000000,,26500000,25800000,34600000.0,-3400000,500000.0,,,-3000000,,-200000.0,0,2300000,,-0.28,4100000,1700000,,96900000,9000000,22400000,,,0.0,,,83400000,30600000.0,-3900000.0,100000,,
1999-08-31,4400000.0,-2500000,,8800000,33600000,0.0,-18400000,-15500000,-2500000,48500000,-2700000,25900000,100000.0,,7800000.0,7100000.0,,,-17400000,12300000,,,30500000,500000,0,0.0,-2500000,152100000,32600000,15000000,-33900000,700000.0,-4900000.0,12100000.0,,,82100000,,,,,,24700000,0.0,6800000,-2700000.0,40300000,37300000,53000000.0,-5500000,-13300000.0,,,-5000000,,,15000000,-10300000,,,7800000,-900000,17600000.0,93900000,11800000,32500000,,-2400000.0,900000.0,,,70000000,4900000.0,-4500000.0,0,,
1999-11-30,1800000.0,-2800000,,7500000,27900000,200000.0,-20500000,-4800000,-2800000,70300000,-200000,38100000,-700000.0,5087000.0,13200000.0,9400000.0,,,-4800000,14600000,,,43400000,900000,15000000,0.0,-2800000,161700000,15800000,10200000,-25300000,900000.0,,12100000.0,,,98200000,,-0.54,,5087000.0,,27500000,,10600000,-2200000.0,50900000,54000000,75600000.0,-4000000,,,,-3100000,,-2900000.0,10200000,-7400000,,-0.54,13100000,-3600000,5600000.0,91800000,13700000,37800000,,-3500000.0,1000000.0,,,63500000,5000000.0,-5300000.0,-100000,,
2000-02-29,2897000.0,207000,,21103000,24767000,997000.0,-18937000,5675000,207000,88108000,31000,34946000,87000.0,5114000.0,24074000.0,11282000.0,,,7502000,14925000,,,65173000,1048000,10200000,1000.0,207000,179552000,23130000,17659000,-13262000,7129000.0,,56000.0,,,112875000,,0.04,,5734000.0,,22425000,,14939000,-2139000.0,64910000,80112000,94519000.0,14000,,,,1111000,,,17659000,-19417000,,0.04,24074000,-3426000,5471000.0,93042000,13828000,40836000,,294000.0,-536000.0,,,66677000,6354000.0,-6411000.0,0,,
2000-05-31,12862000.0,1701000,,35175000,12421000,1259000.0,-16164000,-14521000,1701000,105454000,5158000,46861000,,5392000.0,44076000.0,10946000.0,,,10594000,15414000,,,62977000,507000,17659000,1000.0,1701000,212369000,33706000,28253000,-30685000,8229000.0,,18000.0,842000.0,,123102000,5227000.0,0.28,,5987000.0,,24438000,,11637000,-2070000.0,87689000,74614000,112328000.0,-3777000,-16429000.0,,,-3270000,,,28253000,-10124000,,0.32,44076000,-1723000,5453000.0,108573000,14907000,43613000,,,6022000.0,,,89267000,3957000.0,-6874000.0,0,,
2000-08-31,-11094000.0,-4585000,,4971000,19514000,-575000.0,-23500000,-90000,-4585000,128985000,18000,54949000,-206000.0,,50532000.0,12924000.0,,,-3750000,21508000,,,80215000,2378000,28253000,1000.0,-4585000,261400000,29985000,24503000,-23590000,18266000.0,,-29000.0,1216000.0,,167677000,19178000.0,,,,,43312000,,15684000,-2374000.0,125034000,95899000,137439000.0,-5824000,8550000.0,,,-3446000,,,24503000,-8138000,,,50532000,-6308000,5482000.0,131683000,19130000,74502000,,-4791000.0,-9083000.0,,,93723000,7057000.0,-8454000.0,0,,
2000-11-30,688000.0,846000,,3806000,19855000,383000.0,-6340000,332000,846000,132585000,1128000,63287000,-114000.0,6264000.0,51229000.0,20507000.0,,,1532000,18306000,,,88486000,2228000,24503000,1000.0,846000,279717000,31535000,26035000,-6008000,20303000.0,,,1978000.0,,171375000,18935000.0,0.13,114000.0,6732000.0,,48597000,,19677000,-2196000.0,140636000,108163000,143025000.0,1371000,-2447000.0,,,3599000,,,26035000,-2658000,,0.14,51229000,-5462000,5500000.0,133090000,16078000,89407000,,732000.0,3682000.0,,,108342000,7341000.0,-10440000.0,0,,
2001-02-28,1703000.0,2514000,,-1205000,15309000,316000.0,-10697000,3410000,2634000,140561000,639000,53726000,591000.0,6323000.0,50345000.0,12323000.0,,,-4068000,19364000,,,101515000,2320000,26035000,1000.0,2514000,269743000,27481000,21967000,-7287000,17964000.0,,,1906000.0,,174563000,18693000.0,0.38,,6696000.0,,45339000,,23195000,-2287000.0,125971000,124710000,151001000.0,3831000,-1495000.0,,,6151000,,,21967000,-6060000,,0.4,50345000,-2948000,5514000.0,135829000,17044000,75626000,,3225000.0,3711000.0,,,95180000,6663000.0,-10440000.0,0,,
2001-05-31,143000.0,-431000,,28888000,18506000,2941000.0,-6571000,-9036000,-431000,144555000,-29000,72322000,-202000.0,6236000.0,72136000.0,11689000.0,,,1639000,22037000,5562000.0,,97178000,2780000,21967000,1000.0,-431000,302432000,28909000,23606000,-15607000,21976000.0,,,1867000.0,,182552000,19491000.0,-0.07,,6236000.0,,60478000,,22482000,-2021000.0,166279000,119660000,159600000.0,445000,-11306000.0,,,3225000,,,23606000,-18243000,,-0.07,72136000,-3379000,5303000.0,128308000,19742000,94143000,,-633000.0,-3664000.0,,,119880000,7952000.0,-15045000.0,0,,
2001-08-31,885000.0,455000,,15692000,27709000,569000.0,-21813000,2626000,684000,163200000,141000,71297000,-861000.0,,79303000.0,6014000.0,,,2674000,16448000,6134000.0,10624000.0,118784000,3084000,23606000,1000.0,455000,324080000,26280000,26280000,-19187000,29047000.0,,,1970000.0,,213394000,20128000.0,,,,,60789000,,17390000,-2038000.0,185777000,136174000,181068000.0,942000,-253000.0,,,4026000,,,26280000,-15446000,,,79303000,-2924000,,130110000,22778000,106474000,,-177000.0,39000.0,,,110686000,726000.0,-17868000.0,0,,
2001-11-30,879000.0,1123000,,8284000,27968000,997000.0,-12293000,-2424000,1123000,172835000,-20000,89501000,242000.0,6257000.0,82603000.0,13739000.0,,,-7387000,22065000,7965000.0,,122288000,2658000,26280000,1000.0,1123000,344789000,18893000,18893000,-14717000,32155000.0,,,2341000.0,,223273000,20128000.0,0.17,,6577000.0,,75547000,,25260000,-2856000.0,204044000,147548000,193361000.0,3195000,-6857000.0,,,5853000,,,18893000,-12376000,,0.18,82603000,-1801000,,131412000,22065000,121441000,,1365000.0,-83000.0,,,121516000,726000.0,-20526000.0,0,,
2002-02-28,1786000.0,1772000,,24138000,31873000,21272000.0,-7557000,-2011000,1772000,176880000,-1715000,83562000,854000.0,6312000.0,82415000.0,4147000.0,,,16567000,24740000,7774000.0,10983000.0,144669000,3512000,18893000,19917000.0,1581000,368476000,35460000,35460000,-9568000,33423000.0,,,2284000.0,,231610000,20128000.0,0.24,,6613000.0,,73746000,,29027000,-4657000.0,204714000,173696000,200918000.0,4287000,-8354000.0,,,7799000,,,35460000,-3706000,,0.25,82415000,-220000,,152464000,23020000,122299000,,2626000.0,3851000.0,,,136866000,726000.0,-24038000.0,0,,
