date,quarterlyRetainedEarnings,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyGrossPPE,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyAccountsReceivable,quarterlyOtherCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyInvestmentsAndAdvances,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyLongTermDebt,quarterlyGoodwill,quarterlyStockholdersEquity,quarterlyNetPPE,quarterlyInventory,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyCurrentDebt,quarterlyOtherIntangibleAssets,quarterlyOtherNonCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyOtherShortTermInvestments,quarterlyOtherCurrentLiabilities,quarterlyCapitalStock,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,quarterlyDepreciationAndAmortization,quarterlyIncomeTaxPayable,quarterlyNetIncome,quarterlyChangeInWorkingCapital,quarterlyTaxProvision,quarterlyNetOtherFinancingCharges,quarterlyFreeCashFlow,quarterlyCommonStockIssuance,quarterlyOtherIncomeExpense,quarterlyInterestExpense,quarterlyBasicAverageShares,quarterlyOtherNonCashItems,quarterlyChangeInAccountPayable,quarterlyNonCurrentDeferredRevenue,quarterlyRepurchaseOfCapitalStock,quarterlyPurchaseOfBusiness,quarterlySellingGeneralAndAdministration,quarterlyDilutedAverageShares,quarterlyChangesInAccountReceivables,quarterlyOperatingExpense,quarterlyNetIncomeContinuousOperations,quarterlyCashDividendsPaid,quarterlyDeferredIncomeTax,quarterlyNetOtherInvestingChanges,quarterlyBeginningCashPosition,quarterlySaleOfInvestment,quarterlyBasicEPS,quarterlyPretaxIncome,quarterlyInvestingCashFlow,quarterlyCostOfRevenue,quarterlyRepaymentOfDebt,quarterlyOperatingIncome,quarterlyOperatingCashFlow,quarterlyEndCashPosition,quarterlyCurrentDeferredRevenue,quarterlyCapitalExpenditure,quarterlyChangeInCashSupplementalAsReported,quarterlyDilutedEPS,quarterlyStockBasedCompensation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentAccruedExpenses,quarterlyTotalRevenue,quarterlyResearchAndDevelopment,quarterlyPurchaseOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyGrossProfit,quarterlyEbitda,quarterlyChangeInInventory
2008-12-31,,47505488161.71962,14028175913.600891,2174407523.272018,30482323877.020622,8696489839.813267,206175402.173913,,16454147963.419731,,1338509419.871795,14995076350.961538,,29765572115.036232,1993276309.434225,33533180256.061874,4889829565.008361,4889829565.008361,3577397165.203456,,310498451.01728,-181131213.837793,62303001324.62375,14797513162.904125,,6125268013.377926,415188670.220178,,3721275115.872352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-06-30,,50882743194.11865,17816484421.19232,,33537614888.20633,8376239043.189519,195015308.14063,0.0,15721130467.01401,,1631436420.843946,14003983318.449963,,31750225630.782707,1735837478.173635,33646026556.72842,8412023391.008818,8412023391.008818,670088510.760929,,0.0,,66211773393.18552,15329030199.06687,,796727746.062713,442898404.874159,,3741910819.944105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-12-31,,66255622028.21104,26117482604.766914,2877376117.356018,50700036558.20026,12107436961.09151,0.0,0.0,24582553953.433346,,1906866535.414023,22567303228.34979,,33289774065.670162,2270546685.480044,35995521559.01134,17180714391.555515,17180714391.555515,1608762249.448107,,0.0,-606829431.875974,85037609567.4419,18781987539.230858,,17548600447.94278,442866879.943831,,5331834575.079431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-30,,73288242089.7397,26176876644.049248,,57135241221.08367,19606107149.069965,810574926.804645,0.0,30958364577.034424,,2513815845.288951,28296506875.18078,,35843678501.429535,2412593462.292602,38935003903.641785,13531242409.584702,13531242409.584702,1750202947.703109,,0.0,,95082721903.57114,21794479813.83144,,0.0,440473346.40381,,5929820924.45291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-31,11900342012.872124,81323634177.10541,37282600526.572365,3674623738.517817,64959335077.58095,16924582492.11136,0.0,0.0,27676734551.008583,897695000.0,2617153987.610999,24929617103.70552,,39130416068.90916,2811726328.713263,52795230280.616905,10203018325.93531,10203018325.93531,7290656156.32344,,0.0,-862897409.804554,107071737541.61469,25748103364.509277,,18535898780.20895,459114058.840687,718476000.0,7704100329.843975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-30,13591853239.362125,99182953528.27643,51170213074.63024,,87067613559.23465,18347185862.38162,1307388902.663805,0.0,35897400484.604416,,3280065610.138652,32505196646.686626,,41288868963.89664,2890849185.651688,62836338344.08193,15513938878.490381,15513938878.490381,13283627751.984682,,0.0,,131495953832.52078,32313000304.244354,,0.0,447948488.729263,,7941671193.503039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12-31,16242437583.86237,110682608520.15916,57648683175.37376,4039690487.657262,92444257527.33173,16960942163.616932,0.0,0.0,34795574351.95797,,3447059913.465624,31282363188.765984,,48815565135.78944,3294325114.284611,79529333988.5651,12437983193.401754,12437983193.401754,17864381474.30367,,0.0,-745365373.372652,146153122933.54108,35470514413.38192,,0.0,471552647.539823,,12261726079.426195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-06-30,,129803961820.66881,69370797018.2895,,112230312670.21544,774449891.249009,1050880190.402846,26048678.232402,42859515651.92594,,4143227725.541499,38690239248.15204,,51490582533.78531,3480463654.291072,146487110.027002,16227475966.353249,16227475966.353249,15202680544.044956,1203788014.996359,0.0,,169010071198.8709,39206109378.20211,,0.0,477968392.773134,,7057954082.753865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-31,29159946000.0,140194039544.9939,79671622994.6865,6207628740.043138,122192685238.97115,2238938150.426861,0.0,0.0,42521062244.28465,,4177935362.265446,38343126882.01921,,55645827861.51466,5253196910.791363,110373275617.72537,17041283708.226585,17041283708.226585,4253871530.176962,1552677000.0,0.0,-954431829.251774,183789797286.92816,43595757741.93428,,0.0,469218332.365834,,12904633021.039894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-30,31845047000.0,151880461005.7563,97457441087.67073,5546603624.176363,136611508099.0634,984176599.584878,0.0,0.0,39154067011.392654,,4936170295.429142,34217896715.963516,,58473093595.95578,5546603624.176363,121207185998.1268,16330930533.717085,16330930533.717085,7550816328.337255,1605509000.0,0.0,,201803524714.1264,49923063708.37013,,0.0,463268056.47984,,10965271101.18542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
