date,quarterlyOperatingIncome,quarterlyChangeInAccountPayable,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyAccountsPayable,quarterlyTotalRevenue,quarterlyNonCurrentDeferredRevenue,quarterlyGrossPPE,quarterlyGrossProfit,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyChangeInInventory,quarterlyIncomeTaxPayable,quarterlyCashDividendsPaid,quarterlyCurrentLiabilities,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyRepurchaseOfCapitalStock,quarterlyRetainedEarnings,quarterlyEbitda,quarterlyStockBasedCompensation,quarterlyDilutedAverageShares,quarterlyOtherNonCashItems,quarterlyStockholdersEquity,quarterlyCurrentAccruedExpenses,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCostOfRevenue,quarterlyPurchaseOfBusiness,quarterlyCurrentAssets,quarterlyNetOtherInvestingChanges,quarterlyOperatingExpense,quarterlyBasicEPS,quarterlyGoodwill,quarterlySellingGeneralAndAdministration,quarterlyOtherNonCurrentLiabilities,quarterlyOtherCurrentAssets,quarterlyRepaymentOfDebt,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyInterestExpense,quarterlyNetOtherFinancingCharges,quarterlyInvestmentsAndAdvances,quarterlyInventory,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyBasicAverageShares,quarterlyOtherIncomeExpense,quarterlyOperatingCashFlow,quarterlyAccumulatedDepreciation,quarterlyCapitalExpenditure,quarterlyOtherNonCurrentAssets,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOtherCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyLongTermDebt,quarterlyNetPPE,quarterlyPretaxIncome,quarterlyAccountsReceivable,quarterlyTaxProvision,quarterlyCommonStockIssuance,quarterlyOtherShortTermInvestments,quarterlyFreeCashFlow,quarterlyBeginningCashPosition,quarterlyOtherIntangibleAssets,quarterlyTotalNonCurrentAssets,quarterlyDilutedEPS,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyChangesInAccountReceivables,quarterlyDepreciationAndAmortization,quarterlySaleOfInvestment,quarterlyCapitalStock,quarterlyPurchaseOfInvestment,quarterlyCurrentDebt,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCurrentDeferredRevenue,quarterlyResearchAndDevelopment
2014-03-31,262709000,-25863000.0,-170721000,1054000,109798000,1099626000,,,781339000,1191343000,-34445000,,-93891000.0,787946000,463463000,-150860000,-174989000.0,-202148000.0,262709000,25805000.0,278750000.0,9937000.0,2389279000,467663000.0,403397000,318287000,-21518000.0,1790089000,-500000.0,518630000,0.69,363417000.0,518630000,403397000,233698000,0.0,-57033000,,-3855000,479295000.0,583743000,190740000,190740000,276107000.0,0.0,104867000,,-50862000,1048512000,,0.0,-104765000,0.0,742021000,260780000,197744000.0,70040000,5702000.0,311441000.0,54005000,568228000,,1790533000,0.68,3580622000,190740000,-16303000,31333000.0,45169000.0,67446000.0,2742000.0,-145426000.0,210485000.0,774904000,774904000,,
2014-06-30,99788000,43629000.0,113257000,-51134000,153870000,1136216000,,1481618000.0,706372000,1242478000,-8592000,,-92774000.0,813118000,591923000,-33823000,0.0,-219455000.0,99788000,26374000.0,,111680000.0,2420653000,518763000.0,429360000,429844000,-26152000.0,1855217000,0.0,606584000,,361407000.0,606584000,429360000,261839000,-160000000.0,-154877000,,4190000,484518000.0,526175000,75275000,75275000,,0.0,316073000,-767718000.0,-61963000,1094014000,59715000.0,0.0,128460000,0.0,713900000,100317000,198577000.0,25042000,3707000.0,276703000.0,254110000,463463000,9788000.0,1807914000,,3663131000,75275000,-8759000,236000.0,51252000.0,76975000.0,2744000.0,-22683000.0,140485000.0,868626000,868626000,,
2014-09-30,179800000,21600000.0,-83000000,22000000,173700000,1038800000,,,715400000,1230900000,-92700000,,-92600000.0,817500000,660900000,6000000,0.0,-193300000.0,179800000,21900000.0,276400000.0,-5100000.0,2440100000,473800000.0,413400000,323400000,-28900000.0,1938800000,0.0,535600000,0.43,339400000.0,535600000,413400000,224900000,-70500000.0,-71500000,,-17400000,467700000.0,597400000,119100000,119100000,275000000.0,0.0,138900000,,-40400000,1031000000,,0.0,69000000,0.0,701200000,180500000,209000000.0,61400000,9000000.0,246600000.0,98500000,591900000,,1732200000,0.43,3671000000,119100000,-35600000,-14100000.0,43300000.0,101600000.0,2800000.0,-26300000.0,170000000.0,907500000,907500000,,
2014-12-31,275400000,-10900000.0,189500000,-3400000,160500000,1219400000,,,840000000,1099200000,141400000,,-93000000.0,715400000,836300000,-19100000,0.0,-102900000.0,275400000,22400000.0,276500000.0,-6100000.0,2518000000,534900000.0,383800000,379400000,-35900000.0,1947400000,0.0,564600000,0.67,315500000.0,564600000,383800000,206800000,-280000000.0,-243200000,,-3600000,464600000.0,447200000,183500000,183500000,275600000.0,0.0,444700000,,-39200000,985800000,,0.0,175400000,,684000000,275800000,228500000.0,92300000,3400000.0,228600000.0,405500000,660900000,,1669800000,0.66,3617200000,183500000,-70300000,-28000000.0,46500000.0,81200000.0,2800000.0,-25200000.0,20000000.0,1064900000,1064900000,,
2015-03-31,124000000,4200000.0,-6000000,-1900000,165300000,929300000,,,665500000,1972400000,-17300000,,-93000000.0,691000000,1782000000,-5100000,0.0,-107900000.0,124000000,22700000.0,277400000.0,4800000.0,2540300000,518200000.0,1281400000,263800000,-32600000.0,2898000000,-11600000.0,541500000,0.32,315600000.0,541500000,392200000,223000000,-130000000.0,784000000,,-9000000,399700000.0,456900000,88100000,88100000,275900000.0,0.0,167200000,,-56500000,946300000,,0.0,945700000,889200000.0,668400000,122800000,196900000.0,34700000,9300000.0,239200000.0,110700000,836300000,,1614700000,0.32,4512700000,88100000,-74300000,32100000.0,47400000.0,83000000.0,2800000.0,1000000.0,7500000.0,2021200000,2021200000,,
2015-06-30,38800000,49500000.0,68500000,4800000,222800000,1004100000,,1573600000.0,687700000,2177000000,-2200000,,-93200000.0,834700000,1291800000,-594700000,0.0,-189600000.0,38800000,21900000.0,,3200000.0,2489900000,600600000.0,1342300000,316400000,-561300000.0,2506500000,0.0,648900000,,434200000.0,648900000,463200000,276100000,0.0,-80000000,,-1600000,406000000.0,485100000,11700000,11700000,,0.0,186600000,-841000000.0,-73700000,1427800000,60000000.0,0.0,-490200000,879100000.0,732600000,32500000,219500000.0,20800000,14800000.0,234000000.0,112900000,1782000000,359900000.0,2160400000,,4666900000,11700000,-77700000,10300000.0,54600000.0,39400000.0,2800000.0,900000.0,11300000.0,1525800000,1525800000,,
2015-09-30,141400000,-7000000.0,-194600000,20200000,215700000,1030300000,,,696500000,2080900000,-95500000,,-93300000.0,751000000,966000000,-220400000,,-186800000.0,141400000,22900000.0,278300000.0,-4600000.0,2473500000,520300000.0,1329900000,333800000,-51400000.0,2351600000,0.0,555100000,0.35,436300000.0,555100000,454300000,253800000,0.0,-110700000,,-20300000,480400000.0,574700000,96400000,96400000,277100000.0,0.0,8000000,,-69500000,1475400000,,-500000.0,-325800000,875600000.0,727400000,134700000,246900000.0,38300000,2900000.0,310200000.0,-61500000,1291800000,354000000.0,2202800000,0.35,4554400000,96400000,-103100000,-29300000.0,54400000.0,106100000.0,2800000.0,-205600000.0,15000000.0,1276200000,1276200000,,
2015-12-31,261000000,-68600000.0,64100000,-11500000,147700000,1273800000,,,859100000,2036400000,134400000,,-93700000.0,704000000,843800000,-325300000,,-110400000.0,261000000,21600000.0,278400000.0,500000.0,2567300000,541300000.0,1332400000,414700000,-35200000.0,2301600000,0.0,598100000,0.61,437100000.0,598100000,460400000,222400000,-3700000.0,-98200000,,-2600000,515100000.0,438500000,170100000,170100000,277600000.0,0.0,302000000,,-106000000,1517700000,,0.0,-122200000,872000000.0,784400000,254700000,303600000.0,84600000,1800000.0,493300000.0,196000000,966000000,350700000.0,2302100000,0.61,4603700000,170100000,-108300000,-58600000.0,52700000.0,60800000.0,2800000.0,-244900000.0,15000000.0,1337100000,1337100000,,
2016-03-31,134300000,26600000.0,4900000,8700000,174600000,1033100000,,,713000000,2051100000,-17800000,,-93700000.0,731500000,821600000,-129200000,,-91700000.0,134300000,21200000.0,279500000.0,-1800000.0,2625400000,541900000.0,1319600000,320100000,-31500000.0,2265100000,-8300000.0,578700000,0.4,453400000.0,578700000,451100000,255400000,-3800000.0,-95700000,,-2300000,567900000.0,464100000,112500000,112500000,277800000.0,0.0,199200000,,-109200000,1588200000,,0.0,-22200000,868500000.0,823200000,127800000,263200000.0,15300000,4100000.0,460800000.0,90000000,843800000,349800000.0,2411400000,0.4,4676500000,112500000,-92100000,40700000.0,49500000.0,106000000.0,2800000.0,-94500000.0,15000000.0,1282400000,1282400000,,
2016-06-30,116800000,600000.0,162900000,-69700000,186700000,1154600000,,1781300000.0,782700000,2209800000,19600000,,-93800000.0,826700000,859000000,-135100000,,-104100000.0,116800000,21100000.0,,8900000.0,2682900000,625000000.0,1383100000,371900000,-47800000.0,2172900000,-25600000.0,665900000,,502400000.0,665900000,521900000,149100000,-7500000.0,-80300000,,700000,558600000.0,459200000,81500000,81500000,,0.0,249400000,-861800000.0,-120600000,1800300000,57300000.0,0.0,37400000,861200000.0,919500000,109400000,245200000.0,27900000,20300000.0,460400000.0,128800000,821600000,346800000.0,2719800000,,4892700000,81500000,-72900000,18900000.0,54000000.0,153000000.0,2800000.0,-119700000.0,15000000.0,1319400000,1319400000,,
2016-09-30,165900000,-8000000.0,-234600000,4800000,173500000,1037600000,,,714700000,1856100000,-86100000,,-94000000.0,697200000,1000000000,555600000,,-81300000.0,165900000,16000000.0,281900000.0,6400000.0,2728500000,523700000.0,1158900000,322900000,0.0,2505200000,0.0,548800000,0.42,505900000.0,548800000,567500000,180100000,-285000000.0,-377400000,,-19100000,74400000.0,546800000,117400000,117400000,279500000.0,0.0,-38100000,,-74400000,1304800000,,0.0,141000000,591400000.0,774600000,160200000,245100000.0,42800000,20700000.0,533200000.0,-112500000,859000000,345100000.0,2079400000,0.42,4584600000,117400000,-67600000,600000.0,52300000.0,834200000.0,2800000.0,-204200000.0,0.0,1533200000,1533200000,,
2016-12-31,277400000,-19600000.0,78100000,7900000,152500000,1321700000,,,906200000,1867600000,59200000,,-94500000.0,715200000,1309700000,44200000,,23700000.0,277400000,20200000.0,281800000.0,11600000.0,2811100000,562700000.0,1152400000,415500000,0.0,2765700000,126000000.0,628800000,0.71,467300000.0,628800000,560800000,195300000,0.0,-89600000,,-1100000,110100000.0,464900000,199700000,199700000,280500000.0,0.0,366200000,,-51500000,1271800000,,0.0,309700000,591600000.0,641200000,272300000,269600000.0,72600000,6000000.0,526200000.0,314700000,1000000000,344600000.0,1913000000,0.71,4678700000,199700000,-115700000,-35700000.0,47900000.0,153600000.0,2800000.0,-183900000.0,0.0,1835900000,1835900000,,
2017-03-31,151100000,-24300000.0,-44100000,50300000,129200000,995200000,,,705700000,1769100000,-4200000,,-94700000.0,636300000,1394500000,-37300000,,51100000.0,151100000,18900000.0,282900000.0,5000000.0,2891900000,507100000.0,1132800000,289500000,0.0,2769600000,0.0,554600000,0.44,481100000.0,554600000,541000000,195600000,0.0,-83200000,,-2500000,104400000.0,478700000,122200000,122200000,280800000.0,0.0,201900000,,-70700000,1230200000,,0.0,84800000,591800000.0,661200000,147100000,203400000.0,24900000,14000000.0,497400000.0,131200000,1309700000,342900000.0,1891400000,0.43,4661000000,122200000,-93800000,71000000.0,48500000.0,143600000.0,2800000.0,-110200000.0,0.0,1891900000,1891900000,,
2017-06-30,193000000,60300000.0,104100000,15000000,194600000,1133800000,,1489500000.0,754500000,2829700000,11100000,,-94800000.0,753800000,2672900000,30500000,,107700000.0,257100000,18500000.0,,-33600000.0,3001900000,464100000.0,2075900000,379300000,0.0,3953300000,0.0,561500000,,480500000.0,561500000,228900000,31900000,0.0,919700000,,-12400000,75100000.0,469700000,151700000,151700000,,0.0,323800000,-798100000.0,-86500000,120000000,63300000.0,0.0,1278400000,1579500000.0,691400000,179400000,268000000.0,27700000,29700000.0,410700000.0,237300000,1394500000,340800000.0,1878300000,,5831600000,151700000,-86900000,-65300000.0,64100000.0,140400000.0,2800000.0,-25200000.0,0.0,2672900000,3083600000,,
2017-09-30,-21800000,-23800000.0,-239700000,-23600000,292700000,1288900000,,,764400000,4514400000,-156000000,,-95100000.0,1734900000,1373300000,-2221600000,,-5900000.0,43700000,20000000.0,286700000.0,91400000.0,2940000000,641600000.0,2779500000,524500000,-2320200000.0,3022300000,0.0,786200000,-0.06,1410200000.0,786200000,891300000,0,0.0,1022400000,,-26000000,70000000.0,852800000,-17700000,-17700000,283200000.0,0.0,-103800000,,-48900000,133900000,,0.0,-1299600000,1880400000.0,860800000,-42300000,302700000.0,-24600000,43500000.0,297600000.0,-152700000,2672900000,1753100000.0,4432100000,-0.06,7454400000,-17700000,-81300000,31600000.0,65500000.0,150500000.0,2800000.0,-3000000.0,800000000.0,1373300000,1670900000,,
2017-12-31,346400000,-68200000.0,440900000,-71000000,234800000,1785000000,,,1177400000,4531800000,168500000,,-95900000.0,1731400000,2065000000,233100000,,-38800000.0,346400000,18500000.0,286400000.0,22200000.0,2949400000,696000000.0,2800400000,607600000,0.0,3282300000,0.0,831000000,0.22,1400800000.0,831000000,912900000,176500000,0.0,-82400000,,-3300000,27300000.0,666200000,63200000,63200000,284500000.0,0.0,534800000,,-77600000,3321900000,173400000.0,0.0,691700000,1887500000.0,877000000,324200000,347800000.0,261000000,16800000.0,26800000.0,457200000,1373300000,1746900000.0,4198900000,0.22,7481200000,63200000,-72300000,-17600000.0,60800000.0,310700000.0,2800000.0,0.0,800600000.0,2091800000,2091800000,,
2018-03-31,159000000,-44700000.0,-136800000,55300000,221900000,1322400000,,,908900000,3450000000,-500000,,-96100000.0,860100000,1031700000,-92600000,,4500000.0,221300000,22400000.0,290100000.0,11500000.0,3138000000,637500000.0,2589900000,413500000,-53000000.0,2288300000,,749900000,0.49,1513500000.0,749900000,479000000,243400000,-1100000000.0,-1098400000,,-1900000,100000.0,714300000,140300000,140300000,286200000.0,,155500000,,-60100000,124400000,240100000.0,,-1033300000,1593900000.0,889400000,142100000,292300000.0,1800000,99600000.0,6600000.0,95400000,2065000000,1740300000.0,4299700000,0.48,6588000000,140300000,-46400000,64600000.0,62300000.0,21000000.0,2900000.0,-500000.0,700000.0,1031700000,1038300000,,
2018-06-30,187200000,59400000.0,104800000,-11600000,264300000,1483700000,,1839800000.0,1003200000,3433700000,18400000,,-97000000.0,938200000,1243400000,-83700000,,119000000.0,258900000,20400000.0,,12900000.0,3244600000,576000000.0,2495500000,480500000,-2600000.0,2432600000,,816000000,,1484300000.0,816000000,266300000,86300000,0.0,-91500000,,-300000,,673800000,211700000,211700000,,,410200000,-954400000.0,-80800000,118800000,206200000.0,,211700000,1593900000.0,885400000,172800000,314100000.0,-38900000,5800000.0,6600000.0,329400000,1031700000,1732900000.0,4245700000,,6678300000,211700000,-82800000,-84200000.0,71700000.0,0.0,2900000.0,-300000.0,700000.0,1243400000,1250000000,,
2018-09-30,157700000,23400000.0,-251400000,17200000,292900000,1381200000,,,935100000,3393700000,-150700000,,-97200000.0,899400000,904700000,-223000000,,163700000.0,218700000,22000000.0,292000000.0,7000000.0,3309600000,605800000.0,2494300000,446100000,-15700000.0,2467500000,,777400000,0.42,1485000000.0,777400000,450600000,98400000,,-94100000,,-23100000,,820900000,122300000,122300000,288800000.0,,-19300000,,-55200000,111200000,225500000.0,,-338700000,1594500000.0,888300000,144600000,283100000.0,22300000,26200000.0,158500000.0,-74500000,1243400000,1728500000.0,4235800000,0.42,6703300000,122300000,-88100000,25500000.0,61000000.0,7800000.0,2900000.0,-159900000.0,700000.0,904700000,1063200000,,
2018-12-31,380700000,-10800000.0,267300000,13800000,299100000,1800800000,,,1203500000,3630900000,108600000,,-97700000.0,1081100000,1237000000,-182500000,,320700000.0,446000000,21100000.0,291000000.0,-4600000.0,3488400000,781300000.0,2549800000,597300000,-22000000.0,2828500000,,822800000,0.88,1503400000.0,822800000,472400000,95400000,,-93700000,,-600000,100000.0,732400000,254800000,254800000,289900000.0,,618300000,,-61200000,137600000,243100000.0,,332300000,1595000000.0,896000000,367500000,360500000.0,112700000,,258200000.0,557100000,904700000,1721900000.0,4290800000,0.88,7119300000,254800000,-91500000,-59700000.0,65300000.0,27000000.0,2900000.0,-126300000.0,700000.0,1237000000,1495200000,,
2019-03-31,105800000,-56100000.0,-218800000,10500000,260600000,1331400000,,,915900000,3438700000,-81000000,76300000.0,-97900000.0,996600000,1075300000,-72200000,,340200000.0,169300000,22300000.0,290900000.0,5100000.0,3531200000,659000000.0,2442100000,415500000,-1700000.0,2662400000,,810100000,0.4,1504100000.0,810100000,439400000,99500000,,-99500000,,-2400000,100000.0,811100000,117400000,117400000,290000000.0,,3200000,,-67800000,138900000,245300000.0,,-161700000,1595900000.0,921600000,95200000,285700000.0,-22200000,,262000000.0,-64600000,1237000000,1716800000.0,4307500000,0.4,6969900000,117400000,-90500000,85100000.0,63500000.0,47500000.0,2900000.0,-50200000.0,700000.0,1075300000,1337300000,,
2019-06-30,169900000,3700000.0,-70400000,-7000000,243600000,1513700000,,2139300000.0,999200000,3363900000,18400000,,-97900000.0,918000000,969200000,-96500000,,291600000.0,248300000,19400000.0,,19500000.0,3513400000,576800000.0,2445900000,514500000,-4100000.0,2556800000,,829300000,,1516200000.0,829300000,232400000,91000000,0.0,-197600000,,-3400000,100000.0,778300000,148900000,148900000,,,189500000,-1200500000.0,-90000000,134100000,234100000.0,,-106100000,1596600000.0,938800000,158900000,298100000.0,10000000,,264600000.0,99500000,1075300000,1711900000.0,4320500000,,6877300000,148900000,-83200000,-25200000.0,78400000.0,76700000.0,2900000.0,-79100000.0,800000.0,969200000,1233800000,,
2019-09-30,51600000,37100000.0,-158600000,-34100000,254300000,1357900000,,2946400000.0,914500000,5363200000,-116700000,,-96800000.0,1212000000,522100000,-73600000,-267000000.0,-134300000.0,115800000,17100000.0,285700000.0,20600000.0,3086900000,628800000.0,4151200000,443400000,0.0,2203900000,,862900000,0.07,1511600000.0,862900000,238700000,104400000,-200000.0,-377400000,,-13500000,,880200000,20000000,20000000,284400000.0,-12700000.0,5700000,,-71900000,108000000,196900000.0,,-447100000,1597300000.0,2946400000,26600000,313100000.0,6600000,,266300000.0,-66200000,969200000,1651500000.0,6246200000,0.07,8450100000,20000000,-96000000,-38100000.0,64200000.0,94000000.0,2800000.0,-95700000.0,,522100000,788400000,,
