date,quarterlyOperatingCashFlow,quarterlyOtherCurrentLiabilities,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherNonCurrentLiabilities,quarterlyResearchAndDevelopment,quarterlyBasicAverageShares,quarterlyOtherShortTermInvestments,quarterlyCostOfRevenue,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,quarterlyGoodwill,quarterlyInvestmentsAndAdvances,quarterlyLongTermDebt,quarterlyInventory,quarterlyOtherIncomeExpense,quarterlyCashAndCashEquivalents,quarterlyCashDividendsPaid,quarterlyBasicEPS,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyFreeCashFlow,quarterlyChangesInAccountReceivables,quarterlyPurchaseOfInvestment,quarterlyOtherNonCurrentAssets,quarterlyInterestExpense,quarterlyCurrentDebt,quarterlyNetIncomeCommonStockholders,quarterlyDepreciationAndAmortization,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyTotalNonCurrentAssets,quarterlyOtherIntangibleAssets,quarterlyNetOtherFinancingCharges,quarterlyTotalAssets,quarterlySaleOfInvestment,quarterlyGrossPPE,quarterlyIncomeTaxPayable,quarterlyRepurchaseOfCapitalStock,quarterlyDeferredIncomeTax,quarterlyAccountsPayable,quarterlyOtherCurrentAssets,quarterlyNetOtherInvestingChanges,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyDilutedAverageShares,quarterlyChangeInWorkingCapital,quarterlyEbitda,quarterlyStockBasedCompensation,quarterlyStockholdersEquity,quarterlyGrossProfit,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyChangeInInventory,quarterlyOperatingExpense,quarterlyChangeInAccountPayable,quarterlyCurrentDeferredRevenue,quarterlyOtherNonCashItems,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlySellingGeneralAndAdministration,quarterlyAccumulatedDepreciation,quarterlyTaxProvision,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyPurchaseOfBusiness,quarterlyRepaymentOfDebt,quarterlyRetainedEarnings,quarterlyNetPPE,quarterlyPretaxIncome,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyDilutedEPS,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,quarterlyNonCurrentDeferredRevenue,quarterlyCommonStockIssuance
2005-03-31,,,-815000,-815000,,,,522945205.0,,,,,,,,,,,,-0.0015,,,,,,,,,,-815000,,,,,,,,,,,,,,,,522945205.0,,4332000,,,,,,,,,,,,,,,,,,,,,,,-0.0015,4332000,4332000,,,,
2005-06-30,,,-815000,-815000,,,,522945205.0,,,,,,,,,,,,-0.0015,,,,,,,,,,-815000,,,,,,,,,,,,,,,,522945205.0,,4332000,,,,,,,,,,,,,,,,,,,,,,,-0.0015,4332000,4332000,,,,
2005-09-30,,,-815000,-815000,,,,522945205.0,,,,,,,,,,,,-0.0015,,,,,,,,,,-815000,,,,,,,,,,,,,,,,522945205.0,,4332000,,,,,,,,,,,,,,,,,,,,,,,-0.0015,4332000,4332000,,,,
2005-12-31,,126710000.0,-815000,-815000,,9278000.0,,,,,37000.0,11879000.0,34417000.0,,,87000.0,,19769000.0,,,19769000.0,5000000.0,,,,,153552000.0,,3000.0,-815000,,163024000.0,399276000.0,143513000.0,,421208000.0,,72785000.0,,,,149000.0,0.0,,,,,-16718000,,238692000.0,,,,,,,,,14997000.0,,-4991000.0,,21932000.0,138741000.0,,,-4087000.0,67794000.0,,24283000.0,,-16718000,4332000,,,,
2006-03-31,,,-6829000,-6829000,,,,503663004.0,,,,,,,,,,,,-0.013701,,,,,,,,,,-6829000,,,,,,,,,,,,,,,,503663004.0,,6068000,,,,,,,,,,,,,,,,,,,,,,,-0.013701,6068000,6068000,,,,
2006-06-30,,,-6829000,-6829000,,,,503663004.0,,,,,,,,,,,,-0.013701,,,,,,,,,,-6829000,,,,,,,,,,,,,,,,503663004.0,,6068000,,,,,,,,,,,,,,,,,,,,,,,-0.013701,6068000,6068000,,,,
2006-09-30,,145945000.0,-6829000,-6829000,,37449000.0,,503663004.0,,5981000.0,5000.0,56201000.0,64797000.0,,,103000.0,-2439000.0,7300000.0,,-0.013701,7300000.0,10000000.0,,,,,15124000.0,275000.0,7000.0,-6829000,,254036000.0,598664000.0,341649000.0,,636088000.0,,187574000.0,,,,886000.0,26392000.0,,,503663004.0,,-6282000,,368206000.0,87000.0,,,,9063000.0,,,,13538000.0,3823000.0,-10480000.0,-534000.0,37424000.0,203039000.0,,,-24573000.0,177094000.0,-9035000.0,50997000.0,-0.013701,-8976000,6068000,,,,
2006-12-31,-15631000.0,190513000.0,-52993000,-52993000,576696000.0,42238000.0,,,,10724000.0,414000.0,14585000.0,81915000.0,,115647000.0,196000.0,-12681000.0,583996000.0,,,583996000.0,11809000.0,7300000.0,50109000.0,,,904286000.0,10360000.0,6000.0,-52993000,21110000.0,389554000.0,1693372000.0,427286000.0,-63736000.0,2279920000.0,,292878000.0,,,-212000.0,2509000.0,407000.0,22850000.0,740000.0,,16186000.0,-9615000,,1890366000.0,7173000.0,88590000.0,583996000.0,-93000.0,37898000.0,,,,24046000.0,19312000.0,-12993000.0,-283000.0,586548000.0,207613000.0,,,-77566000.0,279885000.0,-53276000.0,181941000.0,,-30725000,17897000,503737000.0,65740000.0,,
2007-03-31,0.0,13516000.0,-27192000,-27192000,,157458000.0,,401978299.0,,13945000.0,543000.0,130161000.0,81915000.0,,,293000.0,954000.0,500408000.0,,-0.069,500408000.0,12080000.0,0.0,0.0,,,26311000.0,,5000.0,-27192000,,327095000.0,1837955000.0,1294413000.0,,2352490000.0,,448309000.0,,,,2163000.0,0.0,,740000.0,401978299.0,,-17285000,,2025395000.0,6347000.0,0.0,0.0,,42196000.0,,,,23783000.0,23632000.0,-12993000.0,-263000.0,514535000.0,145845000.0,,,-104758000.0,435316000.0,-27455000.0,181250000.0,-0.069,-35849000,20292000,,,,
2007-06-30,0.0,121835000.0,-69217000,-69217000,,37398000.0,,402681215.0,,42376000.0,33042000.0,220219000.0,81705000.0,,,1877000.0,1701000.0,275147000.0,,-0.171,275147000.0,12080000.0,0.0,0.0,,,28301000.0,1000.0,5000.0,-69217000,,410049000.0,2044220000.0,1272590000.0,,2362617000.0,,674617000.0,,,,8358000.0,0.0,,-4402000.0,403527852.0,,-49093000,,1952568000.0,2771000.0,0.0,0.0,,79362000.0,,,,22226000.0,51864000.0,-12993000.0,-1497000.0,318397000.0,350417000.0,,,-173975000.0,661624000.0,-70714000.0,59632000.0,-0.171,-76591000,45147000,,,,
