date,quarterlyOperatingCashFlow,quarterlyNetIncomeContinuousOperations,quarterlyOtherCurrentLiabilities,quarterlyOtherNonCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyNetIncome,quarterlyLongTermDebt,quarterlyBasicEPS,quarterlyResearchAndDevelopment,quarterlyCostOfRevenue,quarterlyGoodwill,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,quarterlyOtherShortTermInvestments,quarterlyOtherIncomeExpense,quarterlyInvestmentsAndAdvances,quarterlyInventory,quarterlyDilutedAverageShares,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlySellingGeneralAndAdministration,quarterlyOtherNonCashItems,quarterlyAccumulatedDepreciation,quarterlyRetainedEarnings,quarterlyTaxProvision,quarterlyPretaxIncome,quarterlyNetPPE,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyRepaymentOfDebt,quarterlyPurchaseOfBusiness,quarterlyTotalRevenue,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyBasicAverageShares,quarterlyCapitalExpenditure,quarterlyGrossPPE,quarterlySaleOfInvestment,quarterlyRepurchaseOfCapitalStock,quarterlyAccountsPayable,quarterlyDilutedEPS,quarterlyOtherCurrentAssets,quarterlyNetOtherInvestingChanges,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyOperatingIncome,quarterlyChangeInWorkingCapital,quarterlyStockholdersEquity,quarterlyEbitda,quarterlyStockBasedCompensation,quarterlyChangeInAccountPayable,quarterlyChangeInInventory,quarterlyGrossProfit,quarterlyEndCashPosition,quarterlyOperatingExpense,quarterlyInvestingCashFlow,quarterlyCashDividendsPaid,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyPurchaseOfInvestment,quarterlyChangesInAccountReceivables,quarterlyFreeCashFlow,quarterlyInterestExpense,quarterlyCurrentDebt,quarterlyOtherNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyDepreciationAndAmortization,quarterlyTotalNonCurrentAssets,quarterlyNetOtherFinancingCharges,quarterlyTotalAssets,quarterlyOtherIntangibleAssets,quarterlyNetIncomeCommonStockholders,quarterlyNonCurrentDeferredRevenue,quarterlyCommonStockIssuance,quarterlyDeferredIncomeTax,quarterlyCurrentDeferredRevenue,quarterlyIncomeTaxPayable
2011-03-31,1281720000,723199000,,,629000,723199000,,0.457721,587097000,1207311000,,,,,-66114000,,,1580000000.0,,1177918000,178161000,,,135123000,858322000,,,,,,0.0,3896762000,-1196451000,1580000000.0,-96848000,,,,,0.457721,,60000.0,,924436000,-8536000,,1238911000,74421000,,35394000,2689451000,10273000,1765015000,-84640000,,,,,9644000,,-43930000.0,1184872000,,,,,314475000,,-1196451000,,,723199000,,,,,
2011-06-30,2147060000,1540031000,,,27429000,1540031000,,,589759000,1107338000,,,,,-155612000,,,,,1041004000,55912000,,,-159299000,1380732000,,,,,,-187500000.0,4274445000,-1774248000,,-91088000,,,,,,,1870060000.0,,1536344000,209349000,,1853954000,24158000,,-30894000,3167107000,37702000,1630763000,-345383000,,,,,10273000,,240243000.0,2055972000,,,,,317610000,,-1774248000,,,1540031000,,,,,
2011-09-30,1769416000,12335000,,,-7720000,12335000,,,665521000,1148681000,,,,,17960000,,,,,2540866000,1497709000,,,59238000,71573000,,,,,,-85000000.0,4408681000,-2251235000,,-63169000,,,,,,,0.0,,53613000,-79809000,,368846000,23948000,,-16537000,3260000000,29982000,3206387000,474099000,,,,,37702000,,-63272000.0,1706247000,,,,,315233000,,-2251235000,,,12335000,,,,,
2011-12-31,1048764000,1157563000,0.0,,-2500000,1157563000,,,775129000,1176063000,6099652000.0,3817486000.0,3507858000.0,626099000.0,-420939000,229342000.0,871582000.0,,,1134032000,-1059282000,-3803510000.0,,200337000,1357900000,2144200000.0,5896678000.0,7354155000.0,1536775000.0,,0.0,4864063000,-1561087000,,-104410000,5947710000.0,,,417030000.0,,0.0,121000.0,-25166000.0,1778839000,585158000,12223713000.0,2103715000,40449000,,-75565000,3688000000,27482000,1909161000,509823000,,27482000.0,653581000.0,,29982000,-640819000.0,-630780000.0,944354000,,,0.0,7433453000.0,324876000,12303011000.0,-1540001000,19657166000.0,2910167000.0,1157563000,,,,,
2012-03-31,1593950000,883278000,0.0,,13517000,883278000,,0.559037,641968000,1156167000,6164149000.0,3646763000.0,4679315000.0,1992000.0,-122097000,221466000.0,915794000.0,1580000000.0,,1246924000,87268000,-3985294000.0,,122514000,1005792000,2168582000.0,5514959000.0,6751048000.0,1395835000.0,,-670849000.0,4172948000,-1376011000,1580000000.0,-162204000,6153876000.0,,,476129000.0,0.559037,0.0,241000.0,194180000.0,1127889000,213158000,12050769000.0,1447130000,91005000,,-7575000,3016781000,40999000,1888892000,-204422000,,40999000.0,42991000.0,,27482000,,220733000.0,1431746000,,,0.0,6910794000.0,319241000,12210515000.0,-1376011000,18961563000.0,2744549000.0,883278000,,,,,
2012-06-30,1561337000,1267000000,0.0,,33538000,1267000000,,0.801899,642000000,1073000000,5973558000.0,2994005000.0,4064236000.0,0.0,-132000000,237003000.0,862775000.0,1580000000.0,,1246000000,-518241000,-4043525000.0,,135000000,1402000000,2092021000.0,4839721000.0,5992960000.0,1364758000.0,,-110000000.0,4493000000,-1326116000,1580000000.0,-93917000,6135546000.0,,,337118000.0,0.801899,0.0,241000.0,-325493000.0,1532000000,482824000,11505075000.0,1697094000,35084000,,-47974000,3420000000,74537000,1888000000,-201683000,,74537000.0,74537000.0,,40999000,,530798000.0,1467420000,0.0,,0.0,6204479000.0,295094000,11716594000.0,-1326116000,17709554000.0,2540297000.0,1267000000,,,,,
2012-09-30,2248186000,1585000000,0.0,,2686451000,1585000000,,1.003165,813000000,1014000000,6092202000.0,3097510000.0,4423525000.0,1824617000.0,7000000,202619000.0,958878000.0,1580000000.0,,1085000000,488597000,-4169500000.0,,19000000,1604000000,2138898000.0,5367892000.0,10930739000.0,1693251000.0,,0.0,4508000000,2244414000,1580000000.0,17661000,6308398000.0,,,423907000.0,1.003165,0.0,118000.0,-164918000.0,1596000000,-82172000,15668836000.0,1840805000,29452000,,-43709000,3494000000,2760988000,1898000000,-1806149000,,2760988000.0,4585605000.0,,74537000,,-38463000.0,2265847000,10000000.0,,0.0,7061143000.0,226805000,11799240000.0,2244414000,22729979000.0,2431057000.0,1585000000,,,,,
2012-12-31,941527000,1539642000,0.0,900000000.0,3140494000,1539642000,14630000000.0,,681221000,1265327000,6130000000.0,3602000000.0,4255000000.0,2075000000.0,-51973000,119000000.0,1091000000.0,,360000000.0,1410357000,296376000,-4295000000.0,,173275000,1712917000,2247000000.0,6776000000.0,15354000000.0,16869000000.0,,92849000.0,5205795000,2388713000,,-94540000,6542000000.0,,,556000000.0,,0.0,-600000.0,-350000000.0,1848890000,-1234810000,3363000000.0,1881750000,31459000,,-103742000,3940468000,5901000000,2091578000,-205746000,,5901000000.0,7976000000.0,3713000000.0,2760988000,-1356455000.0,-490068000.0,846987000,,1042000000.0,835000000.0,23645000000.0,308860000,11654000000.0,-13197287000,27008000000.0,2323000000.0,1539642000,,,,,
2013-03-31,1187000000,968000000,0.0,2845000000.0,1078000000,968000000,14601000000.0,0.611216,634000000,1153000000,6060000000.0,4299000000.0,,500000000.0,-132000000,118000000.0,1037000000.0,1605000000.0,,1237000000,14000000,-4345000000.0,330000000.0,271000000,1239000000,2200000000.0,6766000000.0,14923000000.0,17446000000.0,-601000000.0,0.0,4329000000,-1582000000,1583729114.0,-88000000,6545000000.0,1575000000.0,-97000000.0,,0.6,0.0,0.0,-1237000000.0,1305000000,-109000000,2957000000.0,1305000000,87000000,,11000000,3176000000,6979000000,1871000000,1487000000,-636000000.0,6979000000.0,7479000000.0,16000000.0,5901000000,,,1099000000,72000000.0,436000000.0,1715000000.0,24212000000.0,227000000,12246000000.0,-339000000,27169000000.0,2153000000.0,968000000,,,,,
2013-06-30,2037000000,1068000000,0.0,3221000000.0,1764000000,1068000000,14326000000.0,0.673635,709000000,1054000000,6120000000.0,3755000000.0,,11000000.0,-80000000,121000000.0,1085000000.0,1609000000.0,,1406000000,89000000,-4433000000.0,758000000.0,300000000,1368000000,2213000000.0,6805000000.0,15662000000.0,17547000000.0,-3000000.0,-134000000.0,4692000000,-500000000,1585428724.0,-119000000,6646000000.0,500000000.0,-24000000.0,,0.66,0.0,0.0,-1169000000.0,1523000000,598000000,3558000000.0,1523000000,46000000,,-61000000,3638000000,8743000000,2115000000,233000000,-638000000.0,8743000000.0,8754000000.0,16000000.0,6979000000,,,1918000000,79000000.0,432000000.0,1693000000.0,24352000000.0,236000000,12248000000.0,66000000,27910000000.0,2101000000.0,1068000000,,,,,
