date,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyNetIncomeCommonStockholders,quarterlyCashDividendsPaid,quarterlyEbitda,quarterlyDilutedAverageShares,quarterlyOtherNonCashItems,quarterlyStockBasedCompensation,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyDepreciationAndAmortization,quarterlyOperatingIncome,quarterlyFreeCashFlow,quarterlyRetainedEarnings,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyTotalRevenue,quarterlyGrossPPE,quarterlyLongTermDebt,quarterlyOtherCurrentAssets,quarterlyBasicEPS,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyOtherNonCurrentLiabilities,quarterlyInvestmentsAndAdvances,quarterlyGrossProfit,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyChangeInAccountPayable,quarterlyOperatingExpense,quarterlyGoodwill,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyOtherIncomeExpense,quarterlySellingGeneralAndAdministration,quarterlyStockholdersEquity,quarterlyAccumulatedDepreciation,quarterlyRepaymentOfDebt,quarterlyNetPPE,quarterlyTaxProvision,quarterlyInterestExpense,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyCommonStockIssuance,quarterlyCurrentDebt,quarterlyNetOtherFinancingCharges,quarterlyOtherNonCurrentAssets,quarterlyOtherIntangibleAssets,quarterlyBasicAverageShares,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyOperatingCashFlow,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyChangesInAccountReceivables,quarterlySaleOfInvestment,quarterlyChangeInCashSupplementalAsReported,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,quarterlyDilutedEPS,quarterlyCurrentDeferredRevenue,quarterlyRepurchaseOfCapitalStock,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyInventory,quarterlyNonCurrentDeferredRevenue,quarterlyResearchAndDevelopment,quarterlyPurchaseOfInvestment,quarterlyChangeInInventory,quarterlyOtherShortTermInvestments,quarterlyIncomeTaxPayable,quarterlyOtherCurrentLiabilities,quarterlyNetOtherInvestingChanges
2017-09-30,-117637000,205499000,82117000,,163526000,254906512.0,,0,,22244000,141282000,84843000,,8637000,20545000,,,206293000,,,,0.322146,22244000,,,,,184049000,,-577000,42767000,,82117000,115451000,6662000,23178000,,,-119000000,,22283000,10210000.0,,,,,-262445000,,,254906512.0,137734000,-43508000,160021000,-197471000,-75178000,,,-507000.0,1049000,-155087000,,360586000,,,0.322146,,,,,,,,,,,,
2017-12-31,-210599000,121004000,-277505000,,156517000,,,17000,2090032000.0,38023000,118494000,33671000,,146124000,40668000,606218000.0,354840000.0,292378000,5516527000.0,1453352000.0,14565000.0,,38023000,32062000.0,60551000.0,30462000.0,460546000.0,254355000,1483814000.0,-11549000,135861000,1384872000.0,-277505000,-27861000,7621000,105751000,1143769000.0,-405665000.0,-115000000,5110862000.0,144045000,9931000.0,121004000.0,121004000.0,55000.0,,-219853000,142888000.0,617660000.0,,116184000,-56102000,189231000,-124714000,-155560000,8328796000.0,7973956000.0,-33820000.0,1063000,-146082000,,205499000,,105364000.0,,,,,,,,,,,,,
2018-03-31,-286529000,166313000,82729000,0.0,301068000,254906512.0,-1065000.0,707000,,51728000,249340000,124133000,,699000,27720000,,,371026000,,,,0.324546,51728000,,,,,319298000,,52215000,69958000,,82729000,223744000,9715000,42786000,,,-128047000,,23209000,12102000.0,,,,,-138837000,,,254906512.0,246953000,-117019000,294722000,37116000,-170589000,,,-20791000.0,1079000,45309000,,121004000,,,0.324546,,,,,,,,,,,,
2018-06-30,-277050000,1847431000,101067000,,287426000,254906512.0,,101000,4654294000.0,52558000,234868000,-57438000,,-164738000,59401000,908484000.0,2095946000.0,374697000,5877876000.0,3713975000.0,14629000.0,0.396487,52558000,41289000.0,56603000.0,31835000.0,1003299000.0,322139000,3745810000.0,-35892000,87271000,1384872000.0,101067000,219607000,11882000,44001000,1385257000.0,-476061000.0,-2468453000,5401815000.0,7259000,19884000.0,1847431000.0,1847431000.0,,,-314657000,155086000.0,596887000.0,254906512.0,226866000,-65786000,154919000,1803249000,-212357000,11062887000.0,8966941000.0,24739000.0,1093000,1681118000,,166313000,,115463000.0,0.396487,,,,,,,,,,,,
2018-09-30,-503548000,184102000,103141000,,272431000,254900000.0,,485000,4467367000.0,54109000,218322000,10339000,,-294000,29021000,958252000.0,420259000.0,364584000,6138895000.0,3477296000.0,10318000.0,0.404633,54109000,67314000.0,58358000.0,31819000.0,1300430000.0,310475000,3509115000.0,11300000,92153000,1384872000.0,103141000,185966000,17432000,44061000,258200000.0,-518718000.0,-371500000,5620177000.0,12926000,36862000.0,184102000.0,184102000.0,,,-1173706000,157071000.0,586500000.0,254900000.0,198892000,-263244000,251752000,-1411533000,-241413000,9942784000.0,9522525000.0,-1755000.0,1109000,-1663329000,,1847431000,,133569000.0,0.404633,,,,,,,,,,,,
2018-12-31,-718846000,294172000,-48223000,,202495000,254271000.0,,2897000,5264202000.0,58973000,202495000,-221206000,33932000.0,189579000,-347106000,549456000.0,568839000.0,384791000,6469846000.0,4660244000.0,19171000.0,-0.189652,58973000,164247000.0,255496000.0,54502000.0,1510289000.0,325818000,4714746000.0,-118125000,123323000,1239269000.0,-48223000,-118040000,-234181000,78665000,457793000.0,-602199000.0,-303168000,5867647000.0,39748000,46606000.0,294172000.0,294172000.0,,6000000.0,-410701000,164357000.0,576113000.0,254271000.0,-78292000,-478448000,20317000,808599000,-241523000,10523835000.0,9954996000.0,-38418000.0,1125000,110070000,0.0,184102000,-1509000.0,210007000.0,-0.189652,,,,,,,,,,,,
2019-03-31,-352588000,79049000,56299000,-104251000.0,260041000,254827000.0,-1997000.0,1108000,5598323000.0,60898000,260041000,-86765000,-13704000.0,32450000,-138761000,393305000.0,311021000.0,389782000,6658545000.0,5115181000.0,16835000.0,0.22,60898000,88347000.0,265137000.0,89837000.0,1673325000.0,328884000,5205018000.0,-47827000,68843000,1239269000.0,56299000,199566000,32924000,40960000,1363165000.0,-651032000.0,-232000000,6007513000.0,32450000,60949000.0,29049000.0,29049000.0,,6000000.0,-332485000,266216000.0,565726000.0,254776000.0,232016000,-144763000,122201000,15264000,-208966000,10275372000.0,9964351000.0,-9989000.0,1141000,-215123000,0.0,294172000,-1804000.0,142546000.0,0.22,,,,,,,,,,,,
2019-06-30,-1277492000,25501000,74521000,-114608000.0,316819000,254967000.0,-854000.0,1510000,6191276000.0,70509000,246310000,26730000,-53791000.0,11470000,43874000,693900000.0,333274000.0,406167000,8165435000.0,5394118000.0,24968000.0,0.29,70509000,150600000.0,282805000.0,103258000.0,2066330000.0,335658000,5497376000.0,-1080000,89348000,1347138000.0,74521000,130480000,-42647000,42792000,1326237000.0,-785176000.0,-469825000,7380259000.0,11470000,61713000.0,25501000.0,25501000.0,,6000000.0,-95278000,237008000.0,868965000.0,254917000.0,141950000,-1005037000,300342000,923602000,-273612000,12436453000.0,12103179000.0,,1157000,-53548000,0.0,79049000,-1782000.0,181077000.0,0.29,,,,,,,,,,,,
2019-09-30,-486469000,153756000,-65825000,-114634000.0,341006000,254915000.0,-1015000.0,-718000,6634738000.0,74000000,267006000,-19433000,-234250000.0,1948000,-5811000,558310000.0,422181000.0,408434000,8439361000.0,5978097000.0,24885000.0,-0.26,74000000,118263000.0,243540000.0,98331000.0,2227321000.0,334434000,6076428000.0,-23462000,67428000,1070363000.0,-65825000,-61489000,-260941000,24407000,1145081000.0,-824931000.0,-1656500000,7614430000.0,1948000,,153756000.0,153756000.0,,6000000.0,-122068000,238719000.0,812020000.0,254915000.0,-59541000,-200283000,267926000,346798000,-287359000,12575988000.0,12153807000.0,,1173000,128255000,0.0,25501000,-1761000.0,172958000.0,-0.26,,,,,,,,,,,,
