date,quarterlyLongTermDebt,quarterlyGoodwill,quarterlyOtherNonCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyAccountsReceivable,quarterlyFreeCashFlow,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyDepreciationAndAmortization,quarterlyInvestmentsAndAdvances,quarterlyNetIncome,quarterlyInterestExpense,quarterlyDilutedEPS,quarterlyNetIncomeContinuousOperations,quarterlyCurrentDebt,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyNetIncomeCommonStockholders,quarterlyInvestingCashFlow,quarterlyOtherIncomeExpense,quarterlySellingGeneralAndAdministration,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyPurchaseOfInvestment,quarterlyOperatingExpense,quarterlyInventory,quarterlyEndCashPosition,quarterlyOtherIntangibleAssets,quarterlyNetOtherFinancingCharges,quarterlyChangeInAccountPayable,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentAssets,quarterlyBasicAverageShares,quarterlyOtherCurrentAssets,quarterlyNetOtherInvestingChanges,quarterlyBasicEPS,quarterlyChangesInAccountReceivables,quarterlyChangeInInventory,quarterlyAccountsPayable,quarterlyGrossProfit,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyStockholdersEquity,quarterlyCashAndCashEquivalents,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyRepaymentOfDebt,quarterlyTaxProvision,quarterlyEbitda,quarterlyAccumulatedDepreciation,quarterlyStockBasedCompensation,quarterlyDilutedAverageShares,quarterlyDeferredIncomeTax,quarterlyRetainedEarnings,quarterlyResearchAndDevelopment,quarterlyRepurchaseOfCapitalStock,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOperatingCashFlow,quarterlyOtherNonCashItems,quarterlyCommonStockIssuance,quarterlyIncomeTaxPayable,quarterlyTotalRevenue,quarterlyGrossPPE,quarterlyOperatingIncome,quarterlyOtherCurrentLiabilities,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyPurchaseOfBusiness,quarterlyChangeInWorkingCapital,quarterlyNetPPE,quarterlyPretaxIncome,quarterlyCashDividendsPaid,quarterlyCurrentDeferredRevenue,quarterlySaleOfInvestment,quarterlyOtherShortTermInvestments,quarterlyNonCurrentDeferredRevenue
2013-09-30,,,,,,739100000,,75300000,,,87400000,,5000000,,0.02,6400000,,,5000000,-53900000,9300000,276700000,,,-26300000.0,310200000,,447200000,,0,15300000,,,228100000.0,,0.0,0.02,,-8400000,,343700000,,385200000,,,,-12200000,-26300000,120900000,,2900000,228100000.0,-13000000,,12500000,,-27000000,,102300000,9800000,,,1082800000,,33500000,,,,-600000.0,-15100000,,-19900000,,,,,
2013-12-31,3874200000.0,1113600000.0,8800000.0,,265100000.0,706100000,637500000.0,56000000,6737100000.0,4781500000.0,72700000,20700000.0,-49300000,,,-47000000,46700000.0,4521900000.0,-49300000,-85100000,1200000,366900000,280400000.0,459300000.0,-28200000.0,397300000,550200000.0,459300000,1439600000.0,4300000,4200000,5525300000.0,202500000.0,,0.0,0.0,,,6800000,428800000.0,400600000,229100000.0,447200000,1142900000.0,459300000.0,34000000.0,-23600000,-10400000,76000000,-183600000.0,4500000,,-49300000,-253900000.0,9500000,,-56900000,,112900000,9600000,,25100000.0,1106700000,1806200000.0,3300000,1200000.0,1003400000.0,1955600000.0,0.0,119500000,1622600000.0,-57400000,,,,,
2014-03-31,,,,-116400000.0,,703500000,,-117600000,,,81100000,,-4300000,59000000.0,-0.018772,-3700000,,,-4300000,-52400000,-4500000,246700000,,,,279100000,,339600000,,-3900000,29300000,,,229069356.0,,-2000000.0,-0.018772,-65300000.0,-28300000,,350900000,,459300000,,,,-9600000,12000000,152900000,,1800000,229069356.0,-15100000,,11300000,,-50400000,3200000.0,-67200000,300000,,,1054400000,,71800000,,,,0.0,-141200000,,8300000,,,,,
2014-06-30,3857200000.0,1110100000.0,327900000.0,15100000.0,275400000.0,742500000,722300000.0,30300000,6690400000.0,4743700000.0,71800000,,53800000,54900000.0,0.234863,55800000,43700000.0,4455500000.0,53800000,-50400000,1600000,250600000,270400000.0,333100000.0,,284000000,576400000.0,350300000,1394400000.0,-700000,30200000,5447900000.0,227500000.0,229069356.0,0.0,200000.0,0.234863,-47000000.0,4000000,527100000.0,391800000,229100000.0,339600000,1173700000.0,333100000.0,25700000.0,-14700000,-1300000,179600000,-279900000.0,2000000,229069356.0,1000000,-218600000.0,12100000,,-50600000,-15400000.0,80900000,2500000,,,1134300000,1901200000.0,107800000,0.0,992400000.0,1946700000.0,0.0,-30300000,1621300000.0,54500000,,,,,
2014-09-30,3696100000.0,1046900000.0,296200000.0,-108800000.0,386600000.0,728100000,718000000.0,-8900000,6382000000.0,4544100000.0,76200000,,-19900000,52600000.0,-0.086873,-18300000,35500000.0,4251500000.0,-19900000,-46200000,-62200000,249400000,259200000.0,233300000.0,-6500000.0,283700000,580400000.0,233300000,1339500000.0,0,-7100000,5169400000.0,230500000.0,229069356.0,0.0,14900000.0,-0.086873,2600000.0,-26300000,487900000.0,387700000,229800000.0,350300000,1147200000.0,233300000.0,-200000.0,-120700000,7500000,180200000,-312900000.0,2300000,229069356.0,-1800000,-224300000.0,13400000,,-54600000,-108300000.0,45700000,-13100000,2500000.0,,1115800000,1869100000.0,104000000,0.0,917900000.0,1837900000.0,-6500000.0,-67800000,1556200000.0,-10800000,,,,,
2014-12-31,3656300000.0,1001100000.0,23200000.0,159800000.0,404800000.0,723100000,820400000.0,159000000,6252800000.0,4379900000.0,79600000,4500000.0,-2200000,51200000.0,-0.01,900000,40100000.0,4194100000.0,-2200000,-29500000,-49900000,244800000,208200000.0,382100000.0,0.0,278000000,538300000.0,382100000,1300000000.0,-600000,1200000,5140800000.0,473700000.0,229800000.0,0.0,3500000.0,-0.01,69500000.0,25900000,494500000.0,363900000,229800000.0,233300000,1044700000.0,382100000.0,-103300000.0,-9900000,-16100000,106400000,-344100000.0,1900000,234700000.0,-22300000,-226500000.0,12700000,,-33000000,-2700000.0,192000000,6000000,0.0,20800000.0,1087000000,1858200000.0,85900000,1500000.0,946700000.0,1872900000.0,0.0,100600000,1514100000.0,-15200000,,,,,
2015-03-31,3566700000.0,916800000.0,22300000.0,-148600000.0,291700000.0,649800000,664100000.0,-130200000,5898400000.0,4147600000.0,72600000,,45100000,50000000.0,0.19,46700000,41600000.0,4052200000.0,45100000,-30200000,-3900000,213000000,190600000.0,222900000.0,,245900000,541300000.0,222900000,1246800000.0,-3700000,-1000000,4850200000.0,485500000.0,229800000.0,0.0,1800000.0,0.2,-53500000.0,-25900000,458300000.0,347700000,229800000.0,382100000,978900000.0,222900000.0,-215400000.0,-17500000,1200000,174400000,-364600000.0,1800000,237000000.0,-17200000,-181400000.0,12900000,,-31500000,-19700000.0,-98700000,3900000,,,997500000,1776300000.0,101800000,0.0,798000000.0,1750800000.0,-3200000.0,-212500000,1411700000.0,47900000,,,,,
2015-06-30,3508600000.0,944000000.0,21400000.0,120100000.0,334600000.0,679700000,702700000.0,78600000,5930800000.0,4067000000.0,77500000,,-25100000,49200000.0,-0.11,-24300000,50700000.0,3981500000.0,-25100000,-26700000,-88600000,245500000,179400000.0,307800000.0,,278400000,555000000.0,307800000,1233200000.0,6100000,-15200000,4818600000.0,464700000.0,232300000.0,0.0,300000.0,-0.11,-71400000.0,-15200000,445500000.0,421400000,234600000.0,222900000,1042500000.0,307800000.0,-190100000.0,-9800000,29500000,220500000,-409900000.0,12400000,232300000.0,10100000,-206500000.0,12800000,,-25100000,43100000.0,103700000,8600000,,,1101100000,1835000000.0,143000000,0.0,837100000.0,1863800000.0,-1500000.0,-73000000,1425100000.0,5200000,,,,,
2015-09-30,3504700000.0,944500000.0,26400000.0,111300000.0,330500000.0,628600000,833300000.0,121600000,5898900000.0,3983700000.0,75400000,,35100000,50800000.0,0.15,36400000,48800000.0,3964700000.0,35100000,-54200000,-18900000,219200000,167900000.0,411600000.0,,252600000,540700000.0,411600000,1214400000.0,400000,6100000,4794600000.0,450200000.0,235900000.0,0.0,-200000.0,0.15,13300000.0,-3600000,443900000.0,376500000,236600000.0,307800000,1035700000.0,411600000.0,-255900000.0,-8800000,17800000,144300000,-437800000.0,7900000,240900000.0,6000000,-171400000.0,13000000,,-37200000,6700000.0,158800000,5700000,,,1005100000,1812400000.0,123900000,0.0,829900000.0,1915200000.0,-15200000.0,2500000,1374600000.0,54200000,,,,,
2015-12-31,3391400000.0,928200000.0,22200000.0,78000000.0,370200000.0,639200000,765800000.0,191100000,5854200000.0,3936900000.0,82200000,4200000.0,38600000,46500000.0,0.16,39100000,50100000.0,3831400000.0,38600000,-53200000,200000,237100000,165500000.0,485000000.0,,270200000,530700000.0,485000000,1191600000.0,-7700000,3400000,4713000000.0,434200000.0,236900000.0,0.0,600000.0,0.16,50500000.0,9500000,454700000.0,370400000,237000000.0,411600000,1073700000.0,485000000.0,-269300000.0,-108100000,14800000,182400000,-472400000.0,8100000,241500000.0,-3900000,-132800000.0,12900000,,-44700000,-104600000.0,235800000,14400000,0.0,18800000.0,1009600000,1855300000.0,100200000,1800000.0,881600000.0,1917300000.0,-10400000.0,91900000,1382900000.0,53900000,,,,,
