date,quarterlyBasicEPS,quarterlyStockholdersEquity,quarterlyNetOtherInvestingChanges,quarterlyCashAndCashEquivalents,quarterlyOtherIntangibleAssets,quarterlyRepaymentOfDebt,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,quarterlyOtherCurrentAssets,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCommonStockIssuance,quarterlyCapitalExpenditure,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyDilutedAverageShares,quarterlyChangeInWorkingCapital,quarterlyAccumulatedDepreciation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherCurrentLiabilities,quarterlyOperatingCashFlow,quarterlyGrossPPE,quarterlyCurrentLiabilities,quarterlyPretaxIncome,quarterlyIncomeTaxPayable,quarterlyPurchaseOfBusiness,quarterlyCurrentAssets,quarterlyTaxProvision,quarterlyDeferredIncomeTax,quarterlyNetPPE,quarterlyRetainedEarnings,quarterlyStockBasedCompensation,quarterlyEbitda,quarterlyRepurchaseOfCapitalStock,quarterlyResearchAndDevelopment,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherShortTermInvestments,quarterlyOtherNonCashItems,quarterlyFreeCashFlow,quarterlyGoodwill,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyTotalNonCurrentAssets,quarterlyCurrentAccruedExpenses,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyTotalAssets,quarterlyLongTermDebt,quarterlySellingGeneralAndAdministration,quarterlyNetIncomeContinuousOperations,quarterlyNetIncomeCommonStockholders,quarterlyDepreciationAndAmortization,quarterlyDilutedEPS,quarterlyOtherNonCurrentLiabilities,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyNetOtherFinancingCharges,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyGrossProfit,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyInvestmentsAndAdvances,quarterlyNetIncome,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOtherNonCurrentAssets,quarterlyBasicAverageShares,quarterlyCashDividendsPaid,quarterlyOperatingExpense,quarterlyChangesInAccountReceivables,quarterlyNonCurrentDeferredRevenue,quarterlySaleOfInvestment,quarterlyChangeInAccountPayable,quarterlyChangeInInventory,quarterlyPurchaseOfInvestment,quarterlyCurrentDeferredRevenue
2000-03-31,0.176866,0,,18100000,,,,123800000,93300000,,,18100000,,,-1200000,359900000,95552711.0,,-536200000,,214600000,,1005900000,524500000,-4100000,,,880000000,-19800000,,469700000,,,-1200000,,14200000,,,,,,356700000.0,192600000,796000000,,1151500000,1676000000,412400000,133100000,15700000,16900000,,0.176866,739100000,186100000,2900000,,,,167300000,0,411900000,326300000.0,16900000,1676000000,,0,95552711.0,,168500000,,,,,,,
2000-06-30,0.24,707700000,-22800000.0,21800000,,,-100400000.0,115900000,239400000,18100000.0,1000000.0,21800000,,-19400000.0,53500000,402800000,96666667.0,,-541700000,-18800000.0,232400000,44700000.0,1010900000,495500000,42800000,,,902000000,19600000,,469200000,23200000.0,,53500000,,11500000,3700000.0,,-52600000.0,25300000.0,,,205900000,858100000,,556900000,1760100000,407000000,131900000,23200000,23200000,,0.24,149900000,147200000,10700000,19500000.0,21800000.0,-21900000.0,196900000,0,460500000,,23200000,1052400000,,388900000,96666667.0,,143400000,,,,,,,
2000-09-30,,738200000,-4700000.0,11900000,,,-106500000.0,145000000,278700000,21800000.0,1000000.0,11900000,,-22700000.0,74500000,478000000,,-99800000.0,-534400000,-50400000.0,248600000,66500000.0,1019800000,528600000,66800000,,,930300000,30200000,,485400000,59800000.0,,74500000,,12300000,-9900000.0,,,43800000.0,,,172000000,863200000,,526700000,1793500000,370000000,137200000,36600000,36600000,,,156700000,135000000,11300000,0.0,11900000.0,-26000000.0,306000000,3600000,459100000,,36600000,1055300000,,377800000,,,231500000,,,,,,,
2000-12-31,0.57,745100000,2100000.0,28300000,,,-108600000.0,91500000,211600000,16000000.0,1000000.0,28300000,,-17200000.0,103700000,558700000,95087719.0,72900000.0,-550200000,-128500000.0,340300000,150200000.0,1030300000,570900000,92700000,,,894000000,38500000,,480100000,110700000.0,,103700000,-41900000.0,11500000,12300000.0,,100000.0,133000000.0,,,292000000,857700000,,435700000,1751700000,275000000,151500000,54200000,54200000,,0.57,160700000,139100000,9900000,0.0,28300000.0,-9800000.0,266700000,-1100000,385500000,,54200000,1006600000,,377600000,95087719.0,,163000000,,,,,,,
2001-03-31,0.06,700900000,-1000000.0,16300000,,,-120700000.0,84900000,185300000,28300000.0,1000000.0,16300000,,-18800000.0,18800000,351900000,93333333.0,-16000000.0,-557500000,13400000.0,201100000,-4700000.0,1036500000,430800000,9500000,,,773100000,3900000,,479000000,116300000.0,,18800000,-37700000.0,11100000,-12000000.0,,3800000.0,-23500000.0,,179100000.0,189600000,845300000,,486700000,1618400000,320000000,132400000,5600000,5600000,,0.06,166700000,144800000,8800000,0.0,16300000.0,-19800000.0,162300000,-500000,392400000,,5600000,917500000,,366300000,93333333.0,,143500000,,,,,,,
2001-06-30,0.17,715800000,500000.0,15100000,,,-121700000.0,83700000,188800000,16300000.0,1000000.0,15100000,,-23100000.0,18800000,346600000,92352941.0,5400000.0,-548400000,-28700000.0,216500000,45200000.0,1028000000,414100000,31400000,,,775600000,15700000,,479600000,132000000.0,,18800000,0.0,11800000,-1200000.0,,69000000.0,22100000.0,,174500000.0,201600000,840200000,,485900000,1615800000,320000000,114400000,15700000,15700000,,0.17,165900000,113900000,7900000,0.0,15100000.0,-17900000.0,145000000,20500000,397200000,,15700000,900000000,,360600000,92352941.0,,126200000,,,,,,,
2001-09-30,,607900000,200000.0,23000000,,,-115100000.0,109200000,209900000,15100000.0,1000000.0,23000000,,-18800000.0,53500000,437000000,,83100000.0,-553900000,-100700000.0,275700000,131400000.0,1030000000,495200000,-102100000,,,783300000,12400000,,476100000,17500000.0,,53500000,0.0,12000000,12000000.0,,-68900000.0,112600000.0,,189100000.0,315900000,714300000,,394500000,1497600000,225000000,55600000,-114500000,-114500000,,,169500000,110300000,6600000,200000.0,23000000.0,-17800000.0,121100000,-149000000,361300000,,-114500000,889700000,,238200000,,,67600000,,,,,,,
2001-12-31,0.77,663700000,700000.0,50600000,,,-123400000.0,81600000,276500000,23000000.0,1000000.0,50600000,100000.0,-9200000.0,126100000,567700000,92631579.0,-34000000.0,-562800000,-20000000.0,353700000,55700000.0,1027200000,579400000,117200000,,,884900000,46800000,,464400000,87800000.0,,126100000,-6300000.0,9200000,27600000.0,,2300000.0,46500000.0,,256600000.0,305000000,703600000,,345400000,1588500000,175000000,127400000,70400000,70400000,,0.76,170400000,144100000,6200000,0.0,50600000.0,-7900000.0,262700000,-2700000,301200000,,70400000,924800000,,239200000,91428571.0,,136600000,,,,,,,
2002-03-31,0.22,677600000,-400000.0,34600000,,,-128800000.0,88900000,237900000,50600000.0,1000000.0,34600000,200000.0,-10800000.0,36800000,339700000,95238095.0,106800000.0,-570600000,-59800000.0,275800000,56900000.0,1032300000,450100000,26800000,,,771600000,6800000,,461700000,107800000.0,,36800000,-900000.0,9100000,-16000000.0,,-300000.0,46100000.0,,179200000.0,189800000,703000000,,346900000,1474600000,175000000,104000000,20000000,20000000,,0.21,171900000,85400000,5300000,0.0,34600000.0,-11600000.0,149900000,-4700000,319900000,,20000000,797000000,,241300000,90909091.0,,113100000,,,,,,,
2002-06-30,0.44,718300000,-900000.0,52100000,,,-110900000.0,98100000,230400000,34600000.0,1000000.0,52100000,1500000.0,-9900000.0,61900000,389900000,92558140.0,-43500000.0,-584400000,-39800000.0,288000000,62800000.0,1045500000,466900000,57900000,,,812800000,18100000,,461100000,147700000.0,,61900000,-19100000.0,8900000,17500000.0,,1400000.0,52900000.0,,183100000.0,220500000,708100000,,335700000,1520900000,160000000,98600000,39800000,39800000,,0.43,175700000,80800000,4700000,0.0,52100000.0,-9800000.0,169400000,700000,347200000,,39800000,802600000,,247000000,90454545.0,,107500000,,,,,,,
2002-09-30,,704800000,600000.0,33900000,,,-112400000.0,119400000,306000000,52100000.0,1000000.0,33900000,,-10800000.0,82500000,442400000,,-1000000.0,-584600000,-42600000.0,305600000,30700000.0,1040300000,534600000,76500000,,,887900000,20300000,,455700000,202400000.0,,82500000,-77000000.0,9900000,-18200000.0,,400000.0,19900000.0,,189000000.0,248500000,700200000,,348700000,1588100000,160000000,101500000,56200000,56200000,,,188700000,109600000,4900000,8900000.0,33900000.0,-4100000.0,193900000,-1100000,359000000,,56200000,883300000,,244500000,,,111400000,,,,,,,
2002-12-31,0.98,777000000,0.0,134000000,,,-110800000.0,90200000,335700000,33900000.0,1000000.0,134000000,1900000.0,-5900000.0,133100000,572400000,90947368.0,40700000.0,-601800000,-38600000.0,418700000,143200000.0,1051500000,599600000,135000000,,,1037400000,48600000,,449700000,288300000.0,,133100000,-18000000.0,8800000,100100000.0,,-1600000.0,137300000.0,,271300000.0,307700000,700900000,,361700000,1738300000,160000000,122800000,86400000,86400000,,0.95,201700000,90700000,4400000,0.0,134000000.0,-5400000.0,264700000,6300000,296400000,,86400000,961300000,,251200000,88163265.0,,131600000,,,,,,,
2003-03-31,0.38,698900000,-932200000.0,34100000,,,-111600000.0,160900000,248900000,134000000.0,1000000.0,34100000,2300000.0,-8200000.0,49800000,362600000,89189189.0,300000.0,-613300000,737800000.0,382800000,102400000.0,1313400000,1265000000,45900000,,,1129200000,12900000,,700100000,320700000.0,,49800000,-110900000.0,9300000,-99900000.0,,2300000.0,94200000.0,,325600000.0,207300000,1478100000,,643400000,2607300000,375000000,96200000,33000000,33000000,,0.37,268400000,721300000,4700000,0.0,34100000.0,-939900000.0,155300000,800000,520600000,,33000000,1908400000,,778000000,86842105.0,,105500000,,,,,,,
2003-06-30,0.21,755600000,0.0,63400000,,,-84800000.0,205300000,254000000,34100000.0,1000000.0,63400000,9200000.0,-20100000.0,20900000,594000000,87500000.0,11500000.0,-633500000,-36100000.0,373100000,70300000.0,1327700000,630500000,13200000,,,1195200000,-4300000,,694200000,336200000.0,,20900000,-2500000.0,16000000,29300000.0,,5300000.0,50200000.0,,384800000.0,359000000,1493800000,,1302900000,2689000000,1008000000,198100000,17500000,17500000,,0.2,294900000,52100000,10200000,0.0,63400000.0,-4700000.0,235000000,2500000,493000000,,17500000,1933400000,,799600000,83333333.0,,214100000,,,,,,,
2003-09-30,,808000000,-100000.0,71700000,639000000.0,,-83900000.0,213200000,100700000,63400000.0,1000000.0,71700000,13000000.0,-38800000.0,69400000,703500000,,158700000.0,-637900000,-51300000.0,123700000,126200000.0,1339100000,727500000,43500000,,,1243100000,10500000,,701200000,367100000.0,,69400000,0.0,17400000,8300000.0,,-3300000.0,87400000.0,,432300000.0,400200000,1489000000,304500000.0,1196600000,2732100000,913600000,216500000,33000000,33000000,,,254200000,86100000,8900000,0.0,71700000.0,-75000000.0,303300000,-17000000,430600000,,33000000,1924100000,28800000.0,148800000,,,233900000,,,,,,,
2003-12-31,1.37,841700000,-1600000.0,88500000,658100000.0,,-41500000.0,178700000,327800000,71700000.0,1000000.0,88500000,,-18700000.0,171000000,811700000,87121212.0,8000000.0,-664900000,-124000000.0,512300000,158300000.0,1370500000,785100000,165700000,,,1313800000,50700000,,705600000,480900000.0,,171000000,-127900000.0,16100000,16800000.0,,1000000.0,139600000.0,,496500000.0,402500000,1513600000,,910200000,2827400000,910200000,222100000,115000000,115000000,,1.32,0,94100000,7200000,2900000.0,88500000.0,-20100000.0,409200000,1900000,401000000,,115000000,1695300000,,149900000,83941606.0,,238200000,,,,,,,
