date,quarterlyTotalRevenue,quarterlyPurchaseOfInvestment,quarterlyStockBasedCompensation,quarterlyEbitda,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyOperatingIncome,quarterlyNetIncomeCommonStockholders,quarterlyGrossProfit,quarterlyDilutedAverageShares,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCashItems,quarterlyRepurchaseOfCapitalStock,quarterlyIncomeTaxPayable,quarterlyGrossPPE,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyCashDividendsPaid,quarterlyDeferredIncomeTax,quarterlyBasicEPS,quarterlyChangeInWorkingCapital,quarterlyRetainedEarnings,quarterlyOtherShortTermInvestments,quarterlyStockholdersEquity,quarterlyBasicAverageShares,quarterlyNetOtherInvestingChanges,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyChangeInInventory,quarterlyLongTermDebt,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlySellingGeneralAndAdministration,quarterlyOtherCurrentAssets,quarterlyRepaymentOfDebt,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentLiabilities,quarterlyCapitalExpenditure,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyDilutedEPS,quarterlyOtherNonCurrentAssets,quarterlyNetOtherFinancingCharges,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyInventory,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyAccumulatedDepreciation,quarterlyOtherIncomeExpense,quarterlyInvestmentsAndAdvances,quarterlyCurrentDeferredRevenue,quarterlyChangeInCashSupplementalAsReported,quarterlyOperatingExpense,quarterlyOperatingCashFlow,quarterlyTaxProvision,quarterlyNetPPE,quarterlyPretaxIncome,quarterlyCommonStockIssuance,quarterlyOtherCurrentLiabilities,quarterlyTotalNonCurrentAssets,quarterlyChangesInAccountReceivables,quarterlyTotalAssets,quarterlyFreeCashFlow,quarterlyCashAndCashEquivalents,quarterlySaleOfInvestment,quarterlyOtherIntangibleAssets,quarterlyDepreciationAndAmortization,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyNonCurrentDeferredRevenue,quarterlyPurchaseOfBusiness,quarterlyChangeInAccountPayable,quarterlyGoodwill,quarterlyResearchAndDevelopment
2002-09-30,207000.0,,,-6516000,,,-8683000,-8194000,-6184000,40000000.0,40767000,,,,403938000,13112000,172162000,,,-0.2,,-49312000,,536754000,40000000.0,,6391000,3317000,171000,,27655000,-8194000,-8194000,193000,0.0,,27655000,0,,1146000.0,328000,-0.2,10367000,,,208000,,-15058000,-139000,,,,2499000,,,388880000,,,1928000.0,407542000,,579704000,,167608000,,7400000.0,,5826000,,167608000,,400000,,,,,
2002-12-31,220000.0,,,-9833000,109644000.0,-822902000.0,-12314000,-10743000,-9642000,,402805000,,,,437723000,20652000,904927000,,,,8762000.0,-60055000,746490000.0,991613000,,-794174000.0,9862000,10406000,184000,-994000.0,382153000,-10743000,-10743000,1033000,0.0,,382153000,0,-28726000.0,38000.0,1116000,,65778000,-52714000.0,,212000,765400000.0,-17227000,530000,,,-57964000.0,2672000,-462000.0,,420496000,,,0.0,493674000,,1398601000,-29188000.0,109644000,,7400000.0,2481000.0,10208000,-14771000.0,856134000,167608000.0,790000,,,,,
2003-03-31,193000.0,,,-8557000,107410000.0,7002000.0,-11316000,-9006000,-8808000,77834000.0,425935000,,,,507216000,42971000,109971000,,,-0.12,-1894000.0,-69061000,,983986000,77834000.0,48552000.0,9001000,22377000,154000,-185000.0,382964000,-9006000,-9006000,101000,0.0,,382964000,0,-41555000.0,39000.0,1650000,-0.12,807837000,0.0,,219000,-9000.0,-19401000,-234000,,,-2234000.0,2508000,-9227000.0,,487815000,-9006000.0,,0.0,1303052000,,1413023000,-50782000.0,107410000,,7400000.0,2759000.0,20555000,-13392000.0,107410000,109644000.0,790000,,,,,
2003-06-30,285000.0,,,-9813000,149451000.0,6164000.0,-13535000,-12677000,-10947000,78164000.0,433151000,,,,605646000,42165000,188585000,,,-0.16,1632000.0,-81738000,,1018075000,78164000.0,96609000.0,11232000,11273000,59000,-156000.0,383775000,-12677000,-12677000,150000,0.0,,390986000,7211000,-90445000.0,40000.0,2285000,-0.16,673666000,43821000.0,,212000,43812000.0,-21581000,-258000,,,42041000.0,2588000,-7935000.0,,584065000,-12677000.0,,0.0,1265131000,,1453716000,-98380000.0,149451000,,7400000.0,3722000.0,30852000,-14250000.0,149451000,107410000.0,822000,,,,,
2003-09-30,261000.0,,,-2817000,346574000.0,-54814000.0,-13274000,-14843000,-11863000,80834000.0,721035000,,,,741621000,72611000,417703000,,,-0.18,14638000.0,-96580000,,1010403000,80834000.0,63851000.0,12124000,27952000,207000,-181000.0,634604000,-14843000,-14843000,193000,0.0,,648424000,13820000,-118666000.0,40000.0,4878000,-0.18,588806000,-7691000.0,,216000,242299000.0,-22217000,-580000,,,197123000.0,1411000,9638000.0,,719404000,,0.0,0.0,1315610000,,1733313000,-109028000.0,346574000,,7400000.0,10457000.0,44619000,-7080000.0,346574000,149451000.0,822000,,,,,
2003-12-31,279000.0,,,-10424000,341552000.0,9146000.0,-15427000,-12367000,-14699000,,730454000,,,,920785000,71176000,402347000,,,,-6066000.0,-108947000,,1001815000,,173469000.0,14978000,21381000,78000,339000.0,635432000,-12367000,-12367000,1050000,0.0,,659278000,23846000,-164323000.0,41000.0,0,,425761000,45296000.0,,204000,82000.0,-22970000,1075000,,,-5022000.0,728000,-14250000.0,,897815000,,,0.0,1330976000,,1733323000,-178573000.0,341552000,,7400000.0,5003000.0,49754000,-871000.0,341552000,346574000.0,820000,,,,,
2004-03-31,198000.0,,,-10419000,315477000.0,-25146000.0,-15414000,-13248000,-14458000,80840000.0,757807000,,,,1120207000,84720000,393077000,,,-0.16,7838000.0,-122195000,,978115000,80840000.0,-3415000.0,14656000,29888000,44000,52000.0,636252000,-13248000,-13248000,183000,0.0,,673087000,36835000,-183360000.0,42000.0,103000,-0.16,239394000,0.0,,584000,-10000.0,-23752000,8000,,,-26075000.0,956000,-918000.0,,1096455000,,,0.0,1343249000,,1736326000,-184278000.0,315477000,161629000.0,7400000.0,4995000.0,54790000,-11323000.0,315477000,341552000.0,820000,,,,,
2004-06-30,103000.0,,,-2031000,361009000.0,-249652000.0,-18112000,-41919000,-16441000,84687000.0,903893000,,,,1413122000,119552000,436153000,,,-0.49,-5291000.0,-164114000,,1223943000,84687000.0,-10670000.0,16544000,51669000,8000,-133000.0,708185000,-41919000,-41919000,109000,0.0,,784341000,76156000,-257678000.0,555000.0,94000,-0.49,291302000,257521000.0,,559000,322188000.0,-20141000,-26148000,,,45532000.0,1671000,-27005000.0,,1392981000,,,0.0,1691683000,,2127836000,-284683000.0,361009000,18658000.0,7400000.0,16081000.0,67328000,8319000.0,361009000,315477000.0,890000,,,,,
2004-09-30,1000.0,,,-18750000,209246000.0,-438983000.0,-24214000,-22706000,-21524000,88063000.0,1225046000,,,,1700748000,134152000,219080000,,,-0.26,10185000.0,-186819000,,1244938000,88063000.0,-1828000.0,21525000,53040000,145000,-1323000.0,1002277000,-22706000,-22706000,5000,0.0,,1090894000,88617000,-290698000.0,708000.0,336000,-0.26,546993000,318000.0,,657000,294213000.0,-4237000,-781000,,,-151763000.0,2690000,-6993000.0,,1696511000,,213000.0,0.0,2250904000,,2469984000,-297691000.0,209246000,,7400000.0,5464000.0,80404000,545000.0,209246000,361009000.0,903000,,,,,
2004-12-31,0.0,,,12382000,330261000.0,-833309000.0,-32058000,-127714000,-29429000,,1819921000,,,,1993450000,169953000,451229000,,,,3361000.0,-314533000,,1644291000,,-556452000.0,29429000,34115000,227000,-771000.0,1600328000,-127714000,-127714000,38000,0.0,,1649968000,49640000,-276257000.0,718000.0,2154000,,1018551000,-59346000.0,,757000,1034173000.0,-6418000,-96499000,,,121015000.0,2629000,-79849000.0,,1987032000,,523534000.0,48600000.0,3012983000,,3464212000,-356106000.0,330261000,,7400000.0,44440000.0,86520000,5928000.0,330261000,209246000.0,990000,,,,,
2005-03-31,,,,-34867000,366288000.0,-327116000.0,-41660000,-37627000,-38108000,98229000.0,2252886000,,,,2318735000,248545000,575092000,,,-0.38,24954000.0,-352160000,,1615490000,98229000.0,-35170000.0,38108000,62729000,802000,-5801000.0,1973601000,-37627000,-37627000,5000,0.0,,2004341000,30740000,-291969000.0,728000.0,2149000,-0.38,976452000,0.0,,5050000,369035000.0,-9303000,-53000,,,36027000.0,3552000,-5892000.0,,2309432000,,534000.0,74446000.0,3293284000,,3868376000,-297861000.0,366288000,,7400000.0,6793000.0,110642000,-4315000.0,366288000,330261000.0,993000,,,,,
2005-06-30,201120000.0,,,16272000,485796000.0,93265000.0,-15804000,-35162000,93092000,98203000.0,2335751000,,,,2551059000,287755000,714482000,,,-0.36,-16908000.0,-387322000,,1575778000,98203000.0,11135000.0,108028000,67549000,55544000,-25632000.0,2041949000,-35162000,-35162000,82974000,0.0,,2047996000,6047000,-268226000.0,9876000.0,26341000,-0.36,671639000,-7768000.0,,29324000,37872000.0,-33051000,203000,,,119508000.0,108896000,-11629000.0,,2518008000,,531000.0,94632000.0,3197047000,,3911529000,-279855000.0,485796000,,7400000.0,32076000.0,115698000,-9396000.0,485796000,366288000.0,993000,,,,,
2005-09-30,251441000.0,,,51916000,552880000.0,-27573000.0,13278000,-14190000,110757000,98472000.0,2373977000,,,,2665245000,248046000,760262000,,,-0.14,23000.0,-401512000,,1568787000,98472000.0,502352000.0,140684000,110701000,55455000,-18141000.0,2117234000,-14190000,-14190000,54004000,0.0,,2125931000,8697000,-179655000.0,9734000.0,34935000,-0.14,577198000,7768000.0,,33355000,62450000.0,-67341000,-5589000,,,67084000.0,97479000,32207000.0,,2597904000,,707000.0,60634000.0,3182502000,,3942764000,-147448000.0,552880000,,7400000.0,38638000.0,66977000,-2903000.0,552880000,485796000.0,993000,,,,,
