date,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyOtherNonCurrentLiabilities,quarterlyOperatingCashFlow,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyAccountsReceivable,quarterlyGoodwill,quarterlyCostOfRevenue,quarterlyOtherIncomeExpense,quarterlyCurrentAccruedExpenses,quarterlyOtherShortTermInvestments,quarterlyDilutedEPS,quarterlyLongTermDebt,quarterlyInvestmentsAndAdvances,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyInventory,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyNetOtherFinancingCharges,quarterlyOtherNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyFreeCashFlow,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyOtherIntangibleAssets,quarterlyDilutedAverageShares,quarterlyTotalNonCurrentAssets,quarterlyBasicEPS,quarterlyIncomeTaxPayable,quarterlyGrossPPE,quarterlyOperatingIncome,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyOtherCurrentAssets,quarterlyEbitda,quarterlyNetOtherInvestingChanges,quarterlyBasicAverageShares,quarterlyStockholdersEquity,quarterlyGrossProfit,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyCurrentLiabilities,quarterlyOperatingExpense,quarterlyCurrentAssets,quarterlyCurrentDeferredRevenue,quarterlySellingGeneralAndAdministration,quarterlyTaxProvision,quarterlyRetainedEarnings,quarterlyNetPPE,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyPretaxIncome,quarterlyTotalRevenue,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyAccumulatedDepreciation,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyCashDividendsPaid,quarterlyOtherNonCashItems,quarterlyRepurchaseOfCapitalStock,quarterlyChangeInInventory,quarterlyNonCurrentDeferredRevenue,quarterlyPurchaseOfInvestment,quarterlyChangesInAccountReceivables,quarterlyStockBasedCompensation,quarterlyChangeInAccountPayable,quarterlyCommonStockIssuance,quarterlyDepreciationAndAmortization,quarterlyResearchAndDevelopment,quarterlyPurchaseOfBusiness,quarterlySaleOfInvestment,quarterlyRepaymentOfDebt,quarterlyCapitalExpenditure
2001-03-31,2314956000.0,2314956000.0,,,,,,,,,,,0.059941,,,,,,,,,,,,,,,,2314956000.0,,38620689655.0,,0.059941,,,5622036000.0,,,,5622036000.0,,38620689655.0,,,,,,,,,,,,,,,5622036000.0,,,,,,,,,,,,,,,,,,,,
2001-06-30,2305855431.1,2305855431.1,1559405487.9,,,4601724688.6,2282964938.8,,1186345850.3,56775695.6,,,0.059917,3559401285.7,,1613329172.0,561457730.6,7588070063.6,7588070063.6,,875765931.3,1258530674.7,,,505128436.8,13825320013.7,,44625051939.0,2305855431.1,,38249878900.0,23462291672.3,0.059917,,38465856170.3,3151034572.4,1232928704.8,1215874502.7,10730267533.7,3797746780.1,,38246622600.0,30799731925.3,4426338381.4,,,7093184068.1,1275303809.0,21162760266.7,,383244212.0,917893034.5,7975579892.8,22957163235.5,6732135945.6,3223748465.6,5612684231.7,,-15508692934.8,,,,,,,,,,,,,,,,,,
2001-09-30,1626145694.4,1626145694.4,,,,,,,,,,,0.039945,,,,,,,,,,,,,,,,1626145694.4,,40709437086.0,,0.039945,,,5419573544.4,,,,5419573544.4,,40709437086.0,,,,,,,,,,,,,,,5419573544.4,,,,,,,,,,,,,,,,,,,,
2001-12-31,1719656955.36,1719656955.36,1598124734.4,,,2568191539.2,1194170986.56,,,,,8895732383.04,,3255669527.04,,1763620109.76,627329458.56,6393674424.96,15289406808.0,,876971517.12,1231827972.48,,,461983088.64,11009051704.32,,44319292319.04,1719656955.36,,,24289293993.6,,,42059806939.2,-5713417874.88,591617821.44,,692593841.28,-5713417874.88,,,33310240614.72,,,,4391637333.12,,20029998325.44,,,,,23827310904.96,6617414371.2,,4174318224.96,,-18232496034.24,,,,,,,,,,,,,,,,,,
2002-03-31,1807080024.6,1807080024.6,,,,,,,,,,,0.043941,,,,,,,,,,,,,,,,1807080024.6,,41124929445.0,,0.043941,,,5313292632.0,,,,5313292632.0,,41124929445.0,,,,,,,,,,,,,,,5313292632.0,,,,,,,,,,,,,,,,,,,,
2002-06-30,1807014450.9,1807014450.9,1944240043.8,,,2572440438.6,2252602873.8,,1289593196.1,-1488078.0,,8801204262.6,0.04394,6753030237.6,,5978072283.6,725371888.2,7829629869.3,16630834131.9,,875808306.9,178594161.3,69013750.8,,439975062.0,19071645804.3,,54946469974.2,1807014450.9,,41082719300.0,34070223712.2,0.04394,,51838561201.5,2523532275.0,1645268639.4,1803947356.8,921186418.8,3317512826.1,,41070828300.0,35874824169.9,4023506631.9,,,4396303239.3,1499974356.9,20876246262.0,,495819322.5,685706342.4,12461570259.9,33630248650.2,14675342565.0,2492720793.3,5313099828.0,,-18208312551.3,,,,,,,,,,,,,,,,,,
2002-09-30,2801304832.68,2801304832.68,,,,,,,,,,,0.068058,,,,,,,,,,,,,,,,2801304832.68,,41160655738.0,,0.068058,,,7850757661.32,,,,7850757661.32,,41160655738.0,,,,,,,,,,,,,,,7850757661.32,,,,,,,,,,,,,,,,,,,,
2002-12-31,2818578216.72,2818578216.72,2239303420.8,,,4177168836.48,3063245557.44,,,,,6531223002.24,,5012236712.64,,6141110204.16,848594258.88,7839052027.2,14370275029.44,,876971517.12,297514195.2,,,537371563.2,20527055639.04,,61095218786.88,2818578216.72,,,36608906489.28,,,59239819604.16,-5695097496.84,2659722269.76,2493465311.04,5750914625.28,-5695097496.84,,,40568163147.84,,,,7134405301.44,,24486312297.6,,,,16436690749.44,36071534926.08,13392650337.6,,7900042955.64,,-23168284678.08,,,,,,,,,,,,,,,,,,
2003-03-31,3361260026.0,3361260026.0,,,,,,,,,,,0.081714,,,,,,,,,,,,,,,,3361260026.0,,41134636815.0,,0.081714,,,9500468516.4,,,,9500468516.4,,41134636815.0,,,,,,,,,,,,,,,9500468516.4,,,,,,,,,,,,,,,,,,,,
2003-06-30,3361260026.0,3361260026.0,2423569141.05,,,4109207434.8,2915903834.15,,3171152311.25,176622608.4,,13712275342.3,0.081714,9524102634.65,,5961965020.75,891349801.25,10520551828.3,24232827170.6,,930704126.35,9983448.9,58004997.05,,639503643.8,24882777839.7,,71884077114.8,3361260026.0,,41099354000.0,42122447400.35,0.081714,,64651424347.2,4544679515.55,2853950159.55,46070595148.75,983361438.5,5682544345.65,,41070828300.0,47001299275.1,6329324483.3,,,6973141043.25,1784644967.75,29761629714.45,,320621027.65,1277898015.5,,41482943756.55,17909636796.45,4639158041.5,9500476794.55,,-23168480590.65,,,,,,,,,,,,,,,,,,
