date,quarterlyOtherNonCurrentLiabilities,quarterlyOtherCurrentLiabilities,quarterlyLongTermDebt,quarterlyOtherShortTermInvestments,quarterlyInventory,quarterlyAccountsReceivable,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyCapitalStock,quarterlyOtherNonCurrentAssets,quarterlyCurrentDebt,quarterlyTotalAssets,quarterlyOtherIntangibleAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyTotalNonCurrentAssets,quarterlyGrossPPE,quarterlyAccountsPayable,quarterlyOtherCurrentAssets,quarterlyStockholdersEquity,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyAccumulatedDepreciation,quarterlyNetPPE,quarterlyRetainedEarnings,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyDepreciationAndAmortization,quarterlyGoodwill,quarterlyIncomeTaxPayable,quarterlyNetIncome,quarterlyChangeInWorkingCapital,quarterlyTaxProvision,quarterlyNetOtherFinancingCharges,quarterlyFreeCashFlow,quarterlyCommonStockIssuance,quarterlyOtherIncomeExpense,quarterlyInterestExpense,quarterlyBasicAverageShares,quarterlyOtherNonCashItems,quarterlyInvestmentsAndAdvances,quarterlyChangeInAccountPayable,quarterlyNonCurrentDeferredRevenue,quarterlyRepurchaseOfCapitalStock,quarterlyPurchaseOfBusiness,quarterlySellingGeneralAndAdministration,quarterlyDilutedAverageShares,quarterlyChangesInAccountReceivables,quarterlyOperatingExpense,quarterlyNetIncomeContinuousOperations,quarterlyCashDividendsPaid,quarterlyDeferredIncomeTax,quarterlyNetOtherInvestingChanges,quarterlyBeginningCashPosition,quarterlySaleOfInvestment,quarterlyBasicEPS,quarterlyPretaxIncome,quarterlyInvestingCashFlow,quarterlyCostOfRevenue,quarterlyRepaymentOfDebt,quarterlyOperatingIncome,quarterlyOperatingCashFlow,quarterlyEndCashPosition,quarterlyCurrentDeferredRevenue,quarterlyCapitalExpenditure,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyChangeInCashSupplementalAsReported,quarterlyDilutedEPS,quarterlyStockBasedCompensation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentAccruedExpenses,quarterlyTotalRevenue,quarterlyResearchAndDevelopment,quarterlyPurchaseOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyGrossProfit,quarterlyEbitda,quarterlyChangeInInventory
2010-03-31,12266000.0,0.0,150878000.0,,1735964000,73806000,286946000,286946000,49250000,31411000.0,162822000.0,2600941000,233121000,913660000,450400000,336465000.0,530434000,0.0,1664336000,7115000,-168781000.0,167684000,,2150541000,743401000,170259000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-09-30,12398000.0,0.0,,,2208476000,80004000,273753000,273753000,49250000,33158000.0,607960000.0,3121792000,7519000,1224490000,479644000,,511371000,0.0,1869549000,14069000,,335527000,,2642148000,1198023000,26467000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-03-31,27966000.0,0.0,,,2630824000,108591000,965892000,965892000,54250000,39540000.0,0.0,4281699000,16268000,823311000,530623000,567057000.0,686400000,0.0,3423681000,18503000,-197115000.0,369942000,,3751076000,776842000,46469000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-09-30,27966000.0,0.0,,,3926971000,145031000,413206000,413206000,54250000,35437000.0,95000000.0,5158271000,41574000,1181566000,591847000,,865333000,0.0,3933113000,27017000,,385361000,,4566424000,1126583000,54983000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-03-31,53921000.0,0.0,,,4330499000,162516000,1538057000,1538057000,58910000,64182000.0,,6738461000,49654000,1094179000,609346000,644349000.0,877089000,0.0,5595524000,23988000,-249189000.0,395160000,,6129115000,1016270000,77909000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-09-30,0.0,828557000.0,,,4807026000,170543000,1052276000,1052276000,58910000,0.0,,7025115000,167990000,1070622000,846015000,,828557000,0.0,5903705000,35040000,,470485000,,6179100000,981661000,88961000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-31,0.0,938404000.0,,,4955374000,316629000,1186808000,1186808000,58910000,0.0,,7561875000,1080000,1084282000,875925000,1042942000.0,445530000,0.0,6424748000,42428000,-338053000.0,704889000,,6685950000,1003940000,80342000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-09-30,0.0,1052825000.0,,5558000.0,5592475000,252244000,1481574000,1481574000,58910000,121389000.0,,8492798000,1080000,1301808000,931588000,714277000.0,1052825000,0.0,7137186000,49395000,,714277000,,7561210000,1214499000,87309000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-31,0.0,979123000.0,,158462000.0,6225280000,225938000,1804937000,1646475000,58910000,0.0,568000000.0,9586156000,1080000,1887001000,1040593000,1187235000.0,337992000,0.0,7640769000,54793000,-438338000.0,748897000,,8545563000,1797691000,89310000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-30,0.0,1304250000.0,,985816000.0,6931662000,217911000,2250054000,1264238000,58910000,0.0,1317132000.0,11178631000,1080000,3033591000,1485849000,868142000.0,1304250000,985816000.0,8083413000,64454000,,868142000,,9692782000,2934620000,98971000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-31,0.0,902126000.0,,715048000.0,7394696000,200759000,2090127000,1375079000,58910000,0.0,1713435000.0,11511237000,1080000,2910730000,1450958000,1403715000.0,217909000,740273000.0,8536363000,85421000,-560820000.0,842895000,,10060279000,2791301000,119429000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-30,0.0,772167000.0,,552181000.0,6656888000,206230000,1992986000,1440805000,58910000,0.0,768694000.0,10521818000,1080000,1847869000,1369483000,826474000.0,772167000,552181000.0,8580456000,72061000,,826474000,,9152335000,1741800000,106069000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-03-31,0.0,0.0,,70590000.0,6344728000,214534000,2432185000,2361595000,58710000,0.0,710692000.0,10629499000,1080000,1860580000,1299762000,1463279000.0,246076000,70590000.0,8673796000,79892000,-644156000.0,819123000,,9329737000,1756770000,103810000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-09-30,0.0,984052000.0,,200000000.0,6714566000,201875000,1838468000,1638468000,58710000,0.0,336203000.0,10390419000,1080000,1595075000,1234712000,789814000.0,984052000,0.0,8695597000,71616000,,789814000,,9155707000,1499541000,95534000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-31,0.0,1004664000.0,,332568000.0,6972770000,217258000,1861774000,1529206000,58710000,0.0,437151000.0,10679250000,1080000,1699310000,1247820000,1523162000.0,381575000,332568000.0,8873350000,81670000,-711111000.0,812051000,6311156000.0,9431430000,1593886000,105424000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-30,0.0,937993000.0,,83556000.0,7283925000,259627000,1403609000,1320053000,58710000,0.0,0.0,10554399000,1080000,1225076000,1251782000,814591000.0,283892000,132655000.0,9217823000,90329000,,814591000,,9302617000,1110993000,114083000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-31,,,,197808000.0,7991727000,359796000,2097867000,1900059000,58710000,,726283000.0,12214878000,1080000,2135141000,1336226000,1634625000.0,380134000,,10034769000,100714000,-813947000.0,820678000,,10878652000,2026190000,108951000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-30,,155874000.0,,,8839243000,341366000,1640261000,1640261000,58710000,,1762490000.0,13482068000,1080000,3537579000,2023415000,1337506000.0,486158000,96477000.0,9899168000,112242000,,1337506000,,11458653000,3417100000,120479000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-31,,155768000.0,,,9321522000,362675000,2086522000,2086522000,58710000,,2306113000.0,14423572000,1080000,3860656000,2023074000,2229866000.0,292456000,85897000.0,10517270000,133690000,-794953000.0,1434913000,,12400498000,3716143000,144513000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-30,,178566000.0,,,8114106000,221081000,2503903000,2503903000,58710000,,1740470000.0,14373087000,1080000,4024867000,3041075000,2260074000.0,123837000,97989000.0,10308142000,138821000,,2260074000,,11332012000,3459019000,565848000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
