date,quarterlyAccountsPayable,quarterlyChangeInAccountPayable,quarterlyChangeInWorkingCapital,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyDeferredIncomeTax,quarterlyOperatingIncome,quarterlyRepurchaseOfCapitalStock,quarterlyTotalRevenue,quarterlyGrossPPE,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyDilutedEPS,quarterlyInvestingCashFlow,quarterlySellingGeneralAndAdministration,quarterlyBasicAverageShares,quarterlyNetOtherInvestingChanges,quarterlyStockBasedCompensation,quarterlyEbitda,quarterlyEndCashPosition,quarterlyGrossProfit,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCurrentAssets,quarterlyStockholdersEquity,quarterlyOtherNonCashItems,quarterlyCurrentLiabilities,quarterlyOtherShortTermInvestments,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyOtherCurrentAssets,quarterlyRetainedEarnings,quarterlyAccumulatedDepreciation,quarterlyOtherNonCurrentLiabilities,quarterlyOperatingCashFlow,quarterlyOtherNonCurrentAssets,quarterlyDilutedAverageShares,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyCommonStockIssuance,quarterlyOtherCurrentLiabilities,quarterlyResearchAndDevelopment,quarterlyTaxProvision,quarterlyNetPPE,quarterlyRepaymentOfDebt,quarterlyLongTermDebt,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyGoodwill,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyCurrentDeferredRevenue,quarterlyOtherIncomeExpense,quarterlyOperatingExpense,quarterlyDepreciationAndAmortization,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyBasicEPS,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyNetIncomeCommonStockholders,quarterlyTotalAssets,quarterlyPurchaseOfInvestment,quarterlySaleOfInvestment,quarterlyChangesInAccountReceivables,quarterlyOtherIntangibleAssets,quarterlyFreeCashFlow,quarterlyTotalNonCurrentAssets,quarterlyNetOtherFinancingCharges,quarterlyInvestmentsAndAdvances,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInInventory,quarterlyCashDividendsPaid,quarterlyInventory,quarterlyIncomeTaxPayable
2012-09-30,,-2215000,-13549000,,9000,-21301000,,82327000,,,,73042000,37616000,,-121000.0,4268000,-1345000,195215000,48634000,,,,0,,,-21129000,,,,,,-10303000,,,-10897000,-13555000,,,-21590000,-21590000,,,32319000,461000,,-11397000,,,51842000,,,,33693000,,938000,69935000,19956000,143183000,,,,,-21590000,,-81570000,168316000,-13732000,,-23858000,,-11397000,,,,,,
2012-12-31,8432000.0,3745000,-14478000,1079740000.0,-974000,-8776000,,112247000,258811000.0,-657000.0,,15046000,43765000,,-1114000.0,5346000,12225000,203328000,75329000,969861000.0,554466000.0,-248172000.0,690000,109879000.0,221528000.0,-10133000,,0.0,-349303000.0,-73237000.0,19437000.0,5362000,18962000.0,,-12076000,-10511000,,,-8705000,-8705000,,0.0,40340000,-1428000,185574000.0,-12844000,,,8332000,68813000.0,38433000.0,112155000.0,36918000,,-527000,84105000,21001000,195215000,1000.0,,203328000.0,424856000.0,-8705000,831568000.0,-101717000,130213000,-24600000,3753000.0,-5149000,277102000.0,-12844000,,,,,,
2013-03-31,,-4420000,-8016000,,-436000,-23907000,0.0,114343000,,,-0.057374,-77146000,49421000,471052000.0,-1125000.0,12922000,-1177000,118248000,73088000,,,,566000,,,-26669000,,,,,,2615000,,471052000.0,-9919000,-11622000,,,-27026000,-27026000,,,47574000,357000,,-14658000,,,-84450000,,,,41255000,,-1529000,96995000,22730000,203328000,,-0.057374,,,-27026000,,-140768000,76191000,-972000,,-9007000,,-14658000,,,,,,
2013-06-30,10421000.0,2497000,-637000,247163000.0,-72000,-38916000,,139292000,357031000.0,-653000.0,-0.08964,54672000,63372000,471052000.0,-1287000.0,22646000,-12999000,164509000,88719000,107263000.0,522720000.0,716896000.0,0,139900000.0,210549000.0,-41448000,,0.0,-748186000.0,-114478000.0,14976000.0,7044000,20632000.0,471052000.0,-15451000,-15139000,,,-42225000,-42225000,,0.0,64263000,777000,242553000.0,-16410000,,,46265000,163715000.0,49200000.0,123709000.0,50573000,,-1019000,127635000,25917000,118248000,2000.0,-0.08964,164509000.0,375058000.0,-42225000,964059000.0,-94857000,168455000,-10377000,14439000.0,-8095000,441339000.0,-16410000,,,,,,
2013-09-30,9408000.0,-6369000,-13025000,287758000.0,16000,-63332000,,168580000,423517000.0,-343000.0,-0.1186,13591000,82366000,544696816.0,-5129000.0,43602000,-34309000,155704000,106341000,121590000.0,498165000.0,705045000.0,0,166168000.0,165371000.0,-64241000,-5750000.0,0.0,-868370000.0,-139493000.0,19734000.0,-5393000,27487000.0,544696816.0,-18060000,-19867000,,,-64601000,-64601000,,0.0,87307000,360000,284024000.0,-18174000,,,-9862000,171031000.0,61464000.0,147542000.0,62239000,,818000,169673000,29023000,164509000,2000.0,-0.1186,155704000.0,321075000.0,-64601000,992803000.0,-45949000,90286000,-22913000,12096000.0,-25260000,494638000.0,-19299000,,,,,,
2013-12-31,27994000.0,16249000,-39678000,416234000.0,-8410000,-509676000,,242675000,332662000.0,-323000.0,,-1297183000,244852000,,-3306000.0,521197000,-476452000,841010000,130024000,190804000.0,2574679000.0,2950006000.0,138000,225430000.0,1393044000.0,-514788000,-36000000.0,0.0,-994626000.0,-167065000.0,20784000.0,-2868000,17795000.0,,1985606000,-29116000,,,-511471000,-511471000,2019704000.0,0.0,394848000,-3317000,332662000.0,-21203000,,59500000.0,685555000,363477000.0,110310000.0,247328000.0,112651000,14479000.0,-2725000,639700000,33224000,155704000,3000.0,,841010000.0,2234054000.0,-511471000,3366240000.0,-1291915000,63154000,-77798000,77627000.0,-31984000,791561000.0,-14637000,,,,,,
2014-03-31,19714000.0,-303000,5682000,419363000.0,10000,-129371000,-1162000.0,250492000,383272000.0,-296000.0,-0.23,112963000,144969000,570205000.0,-12138000.0,126369000,-89420000,960755000,164989000,158112000.0,2505380000.0,2936846000.0,128624000,261251000.0,1215840000.0,-131140000,,0.0,-1126988000.0,-199993000.0,26004000.0,42683000,32629000.0,570205000.0,-36473000,-49620000,,,-132362000,-132362000,,0.0,149391000,1222000,383272000.0,-21521000,,29574000.0,119173000,363477000.0,151284000.0,237860000.0,85503000,15405000.0,798000,294360000,39951000,841010000,3000.0,-0.23,960755000.0,2176595000.0,-132362000,3356209000.0,-470750000,645471000,8861000,71451000.0,-6937000,850829000.0,-16302000,,,,,,
2014-06-30,23084000.0,1710000,30975000,538224000.0,-7747000,-149911000,0.0,312166000,467634000.0,199000.0,-0.24,-212602000,184955000,595607000.0,422000.0,158411000,-104280000,844976000,212139000,167849000.0,2463886000.0,3046593000.0,307000,370375000.0,1252055000.0,-150241000,-132896000.0,0.0,-1271630000.0,-237307000.0,33991000.0,81697000,33199000.0,595607000.0,13388000,-44457000,,,-144642000,-144642000,21224000.0,0.0,177095000,-5599000,467634000.0,-21365000,,31929000.0,-117517000,514601000.0,247547000.0,287082000.0,100027000,21443000.0,1780000,362050000,45631000,960755000,3000.0,-0.24,844976000.0,2097031000.0,-144642000,3584817000.0,-568264000,532593000,-46074000,105497000.0,37240000,1120931000.0,-1028000,,,,,,
2014-09-30,30619000.0,3891000,-151188000,1923616000.0,-2000000,-161431000,,361266000,503958000.0,-1220000.0,-0.29,-136071000,215189000,614395000.0,687000.0,169602000,-101276000,2252795000,237100000,1481140000.0,4173885000.0,3525038000.0,2424000,442476000.0,1394887000.0,-175305000,-32281000.0,0.0,-1447094000.0,-284382000.0,36495000.0,-85902000,32827000.0,614395000.0,1635635000,-38762000,,,-175464000,-175464000,0.0,0.0,183342000,159000,503958000.0,-59665000,1293604000.0,29420000.0,1413662000,622638000.0,301330000.0,324731000.0,124166000,21881000.0,-8079000,398531000,60155000,844976000,3000.0,-0.29,2252795000.0,3647682000.0,-175464000,5448654000.0,-578401000,512686000,-40620000,115346000.0,-124664000,1274769000.0,-388950000,,,,,,
2014-12-31,53241000.0,12761000,-87444000,1956679000.0,128000,-98153000,,479078000,557019000.0,-10024000.0,,-861562000,258903000,,-13000.0,177215000,-35725000,1510724000,342465000,1562885000.0,4255853000.0,3626403000.0,16412000,393794000.0,2111154000.0,-121665000,0.0,0.0,-1572446000.0,-331251000.0,43209000.0,43318000,42629000.0,,79172000,-68791000,,,-125352000,-125352000,21178000.0,0.0,181715000,3687000,557019000.0,-29394000,1376020000.0,24706000.0,-739072000,622570000.0,228233000.0,418454000.0,136613000,18679000.0,1000,440618000,62428000,2252795000,3000.0,,1510724000.0,3621878000.0,-125352000,5583082000.0,-1319618000,526860000,-99750000,105011000.0,-25473000,1327229000.0,-19385000,,,,,,
