date,quarterlyChangesInAccountReceivables,quarterlyNetOtherInvestingChanges,quarterlyBasicEPS,quarterlyBasicAverageShares,quarterlyStockholdersEquity,quarterlyOtherIntangibleAssets,quarterlyChangeInInventory,quarterlyOperatingExpense,quarterlySaleOfInvestment,quarterlyCashAndCashEquivalents,quarterlyCurrentDeferredRevenue,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyAccountsPayable,quarterlyRepaymentOfDebt,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyOtherCurrentAssets,quarterlyTotalRevenue,quarterlyCommonStockIssuance,quarterlyOperatingIncome,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,quarterlyEbitda,quarterlyAccumulatedDepreciation,quarterlyDilutedAverageShares,quarterlyOtherNonCashItems,quarterlyGrossPPE,quarterlyIncomeTaxPayable,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyChangeInCashSupplementalAsReported,quarterlyRepurchaseOfCapitalStock,quarterlyOperatingCashFlow,quarterlyNonCurrentDeferredRevenue,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyOtherCurrentLiabilities,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyTaxProvision,quarterlyRetainedEarnings,quarterlyNetPPE,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyFreeCashFlow,quarterlyCostOfRevenue,quarterlyGoodwill,quarterlyDepreciationAndAmortization,quarterlyLongTermDebt,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyOtherNonCurrentLiabilities,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlySellingGeneralAndAdministration,quarterlyDilutedEPS,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyPurchaseOfInvestment,quarterlyChangeInAccountPayable,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNetIncomeCommonStockholders,quarterlyOtherNonCurrentAssets,quarterlyInvestmentsAndAdvances,quarterlyInvestingCashFlow,quarterlyInventory,quarterlyEndCashPosition,quarterlyOtherIncomeExpense,quarterlyGrossProfit,quarterlyNetOtherFinancingCharges,quarterlyCashDividendsPaid,quarterlyStockBasedCompensation,quarterlyOtherShortTermInvestments,quarterlyResearchAndDevelopment
2012-12-31,-175000000.0,21000000.0,,,5100000000,325000000.0,24000000.0,366000000,,154000000,,718000000.0,154000000,498000000.0,-31000000.0,147000000,1108000000,-96000000.0,185000000,999000000,12000000,203000000,154000000,-336000000,346000000,-4162000000.0,,31000000,14411000000.0,24000000.0,1308000000,1093000000,7000000,,172000000,6000000.0,9000000.0,-103000000,170000000,-7000000.0,119000000,17000000,952000000,10249000000,85000000.0,544000000.0,-164000000,430000000.0,1568000000.0,119000000.0,5830000000.0,13857000000,14950000000,15000000,102000000,100000000,,,8232000000.0,253000000.0,108000000,,,9540000000,87000000,120000000,3000000.0,-319000000,133000000.0,154000000,5000000,569000000,81000000,-54000000.0,,,
2013-03-31,-79000000.0,15000000.0,0.79,192000000.0,5222000000,319000000.0,55000000.0,350000000,,168000000,,721000000.0,168000000,886000000.0,-40000000.0,154000000,1108000000,-93000000.0,129000000,1113000000,10000000,258000000,23000000,-250000000,400000000,,202800000.0,-13000000,10414000000.0,,1181000000,1087000000,14000000,,280000000,,-11000000.0,9000000,110000000,-55000000.0,175000000,30000000,1043000000,10414000000,,675000000.0,30000000,505000000.0,1585000000.0,129000000.0,5933000000.0,14068000000,15155000000,635000000,145000000,165000000,,0.76,8419000000.0,170000000.0,96000000,,-30000000.0,9600000000,151000000,206000000,,-289000000,78000000.0,168000000,5000000,608000000,20000000,-55000000.0,,,
2013-06-30,205000000.0,9000000.0,0.28,193400000.0,5807000000,361000000.0,-37000000.0,336000000,,267000000,,1021000000.0,267000000,962000000.0,-25000000.0,168000000,1108000000,-88000000.0,178000000,790000000,579000000,172000000,1097000000,-298000000,262000000,,194100000.0,-14000000,11923000000.0,,1393000000,1237000000,99000000,,291000000,,-11000000.0,120000000,114000000,-1000000000.0,36000000,-34000000,1032000000,11923000000,,591000000.0,-7000000,282000000.0,2077000000.0,130000000.0,6985000000.0,16396000000,17633000000,811000000,70000000,68000000,,0.28,10077000000.0,300000000.0,96000000,,-43000000.0,11470000000,54000000,238000000,,-1289000000,138000000.0,267000000,-45000000,508000000,18000000,-58000000.0,,,
2013-09-30,64000000.0,13000000.0,0.23,212000000.0,5917000000,356000000.0,-35000000.0,440000000,,155000000,,1064000000.0,155000000,847000000.0,-192000000.0,267000000,1229000000,-101000000.0,146000000,971000000,3000000,175000000,35000000,-262000000,323000000,,212700000.0,8000000,12005000000.0,,1451000000,1083000000,-112000000,-125000000.0,102000000,,4000000.0,-130000000,108000000,0.0,74000000,7000000,1013000000,12005000000,,523000000.0,-160000000,356000000.0,2064000000.0,141000000.0,6750000000.0,16487000000,17570000000,808000000,67000000,64000000,,0.23,9847000000.0,480000000.0,108000000,,-112000000.0,11298000000,48000000,233000000,,-249000000,172000000.0,155000000,-1000000,615000000,-1000000,-65000000.0,,,
2013-12-31,-234000000.0,36000000.0,,,6001000000,345000000.0,24000000.0,452000000,,72000000,,1078000000.0,72000000,463000000.0,-103000000.0,155000000,1229000000,-72000000.0,150000000,1173000000,4000000,247000000,31000000,-366000000,400000000,-4333000000.0,,-23000000,16600000000.0,9000000.0,2084000000,1296000000,-80000000,0.0,219000000,,12000000.0,-30000000,247000000,0.0,147000000,29000000,1044000000,12267000000,91000000.0,682000000.0,-147000000,474000000.0,2075000000.0,141000000.0,6474000000.0,16612000000,17908000000,76000000,118000000,113000000,,,9448000000.0,940000000.0,112000000,,89000000.0,11532000000,100000000,143000000,10000000.0,-330000000,143000000.0,72000000,3000000,699000000,15000000,-59000000.0,,,
2014-03-31,-145000000.0,127000000.0,0.67,213600000.0,6139000000,340000000.0,70000000.0,467000000,,528000000,,1075000000.0,528000000,978000000.0,-254000000.0,72000000,1229000000,-41000000.0,179000000,1455000000,11000000,309000000,301000000,-237000000,470000000,,220900000.0,-1000000,12424000000.0,,2542000000,1714000000,456000000,,265000000,,-7000000.0,-25000000,149000000,0.0,193000000,39000000,1118000000,12424000000,,865000000.0,28000000,679000000.0,2097000000.0,148000000.0,6421000000.0,16876000000,18590000000,616000000,154000000,157000000,319000000.0,0.66,9516000000.0,1400000000.0,129000000,,53000000.0,12058000000,143000000,287000000,,-110000000,75000000.0,528000000,3000000,776000000,11000000,-61000000.0,,,
2014-06-30,233000000.0,10000000.0,0.22,214800000.0,6123000000,340000000.0,-54000000.0,456000000,,612000000,,1088000000.0,612000000,901000000.0,-161000000.0,528000000,1229000000,-69000000.0,147000000,1056000000,12000000,197000000,55000000,-298000000,351000000,,215300000.0,5000000,12508000000.0,,2484000000,1576000000,84000000,,321000000,,-9000000.0,105000000,155000000,0.0,72000000,9000000,1097000000,12508000000,,628000000.0,23000000,403000000.0,2074000000.0,149000000.0,6443000000.0,17010000000,18586000000,678000000,63000000,60000000,307000000.0,0.22,9584000000.0,1413000000.0,130000000,,-87000000.0,12068000000,47000000,290000000,,-288000000,127000000.0,612000000,-4000000,653000000,1000000,-61000000.0,,,
2014-09-30,83000000.0,16000000.0,0.06,215600000.0,6786000000,458000000.0,-67000000.0,565000000,,458000000,,1773000000.0,458000000,1284000000.0,-157000000.0,612000000,1820000000,34000000.0,225000000,1197000000,5000000,226000000,2748000000,-340000000,370000000,,216100000.0,31000000,16929000000.0,,4175000000,3243000000,-154000000,0.0,62000000,,23000000.0,-214000000,209000000,-2648000000.0,24000000,-8000000,1042000000,16929000000,,782000000.0,-278000000,406000000.0,3652000000.0,181000000.0,10886000000.0,23497000000,26740000000,886000000,32000000,29000000,384000000.0,0.06,15374000000.0,2451000000.0,165000000,,-128000000.0,19549000000,14000000,411000000,,-2972000000,347000000.0,458000000,-46000000,791000000,4000000,-66000000.0,,,
2014-12-31,-118000000.0,21000000.0,,,8691000000,488000000.0,40000000.0,693000000,,230000000,,1837000000.0,230000000,612000000.0,-542000000.0,458000000,1820000000,129000000.0,295000000,1693000000,23000000,291000000,257000000,-850000000,522000000,-7712000000.0,,25000000,25528000000.0,0.0,2684000000,1963000000,-228000000,0.0,334000000,26000000.0,16000000.0,-70000000,355000000,0.0,162000000,26000000,1060000000,17816000000,128000000.0,479000000.0,-516000000,709000000.0,3732000000.0,210000000.0,10049000000.0,24665000000,26628000000,147000000,136000000,133000000,483000000.0,,14832000000.0,835000000.0,150000000,,39000000.0,17516000000,113000000,183000000,12000000.0,-829000000,321000000.0,230000000,9000000,984000000,12000000,-68000000.0,,,
2015-03-31,-24000000.0,1000000.0,0.72,276700000.0,9143000000,508000000.0,60000000.0,688000000,,299000000,,1923000000.0,299000000,1437000000.0,-189000000.0,230000000,1820000000,426000000.0,279000000,1915000000,17000000,394000000,156000000,-554000000,635000000,,283100000.0,-8000000,18675000000.0,,2710000000,2068000000,72000000,,450000000,,-9000000.0,29000000,210000000,,277000000,57000000,1164000000,18675000000,,945000000.0,-104000000,833000000.0,3942000000.0,215000000.0,10637000000.0,25918000000,27986000000,1203000000,220000000,218000000,473000000.0,0.71,15699000000.0,875000000.0,143000000,,-10000000.0,18409000000,198000000,361000000,,-553000000,272000000.0,299000000,14000000,1082000000,1000000,-80000000.0,,,
2015-06-30,117000000.0,482000000.0,0.88,277900000.0,9287000000,523000000.0,-18000000.0,678000000,,797000000,,1946000000.0,797000000,1401000000.0,-267000000.0,299000000,1820000000,378000000.0,253000000,1538000000,3000000,329000000,166000000,-617000000,719000000,,284200000.0,27000000,18122000000.0,,2710000000,2760000000,497000000,,468000000,,48000000.0,74000000,223000000,,354000000,76000000,1313000000,18122000000,,814000000.0,-149000000,531000000.0,3908000000.0,220000000.0,10648000000.0,25309000000,28069000000,1180000000,278000000,263000000,458000000.0,0.87,15612000000.0,1030000000.0,145000000,,8000000.0,18322000000,244000000,391000000,,-135000000,287000000.0,797000000,165000000,1007000000,12000000,-74000000.0,,,
2015-09-30,51000000.0,66000000.0,0.54,279100000.0,9634000000,546000000.0,-48000000.0,678000000,,347000000,,2069000000.0,347000000,1386000000.0,-939000000.0,797000000,1820000000,633000000.0,235000000,1566000000,5000000,355000000,-388000000,-512000000,582000000,,285300000.0,33000000,18933000000.0,,2600000000,2337000000,-452000000,,358000000,,65000000.0,-95000000,238000000,0.0,219000000,40000000,1359000000,18933000000,,796000000.0,-154000000,533000000.0,4075000000.0,217000000.0,10800000000.0,26300000000,28637000000,1167000000,179000000,170000000,461000000.0,0.54,15929000000.0,940000000.0,146000000,,-77000000.0,18529000000,151000000,354000000,,-446000000,349000000.0,347000000,3000000,1033000000,-2000000,-75000000.0,,,
2015-12-31,-130000000.0,364000000.0,,,9880000000,541000000.0,21000000.0,693000000,,242000000,,2050000000.0,242000000,574000000.0,-311000000.0,347000000,1820000000,791000000.0,246000000,1708000000,15000000,351000000,-280000000,-560000000,580000000,-8273000000.0,,4000000,27868000000.0,,2638000000,1857000000,-105000000,,397000000,38000000.0,60000000.0,-56000000,492000000,-38000000.0,213000000,50000000,1388000000,19595000000,127000000.0,517000000.0,-163000000,664000000.0,4173000000.0,221000000.0,10840000000.0,26947000000,28804000000,159000000,163000000,154000000,472000000.0,,15813000000.0,895000000.0,146000000,,-3000000.0,18451000000,135000000,93000000,125000000.0,-234000000,337000000.0,242000000,-3000000,1044000000,-14000000,-80000000.0,,,
2016-03-31,63000000.0,13000000.0,0.57,282400000.0,9719000000,528000000.0,51000000.0,692000000,,232000000,,1978000000.0,232000000,1306000000.0,-40000000.0,242000000,1820000000,525000000.0,247000000,1757000000,19000000,373000000,-66000000,-426000000,611000000,,288600000.0,14000000,19181000000.0,,2491000000,1707000000,-10000000,,483000000,,2000000.0,32000000,285000000,,230000000,42000000,1444000000,19181000000,,877000000.0,57000000,692000000.0,4005000000.0,234000000.0,10478000000.0,26309000000,28016000000,1122000000,188000000,181000000,458000000.0,0.57,15342000000.0,873000000.0,147000000,,-69000000.0,17833000000,162000000,356000000,,-413000000,271000000.0,232000000,-6000000,1065000000,-9000000,-96000000.0,,,
2016-06-30,21000000.0,-11000000.0,0.38,283700000.0,9851000000,539000000.0,-6000000.0,686000000,,296000000,,2128000000.0,296000000,1167000000.0,-69000000.0,232000000,1820000000,506000000.0,201000000,1477000000,8000000,311000000,380000000,-433000000,558000000,,284300000.0,27000000,19772000000.0,,2147000000,1694000000,64000000,,448000000,,28000000.0,10000000,304000000,-318000000.0,170000000,28000000,1551000000,19772000000,,834000000.0,15000000,480000000.0,4018000000.0,232000000.0,11144000000.0,26929000000,28623000000,1123000000,142000000,125000000,454000000.0,0.38,16150000000.0,649000000.0,156000000,,5000000.0,18297000000,107000000,336000000,,-762000000,292000000.0,296000000,7000000,997000000,-5000000,-88000000.0,,,
2016-09-30,43000000.0,-7000000.0,0.45,285000000.0,9668000000,549000000.0,-39000000.0,673000000,,301000000,,2203000000.0,301000000,1438000000.0,-215000000.0,296000000,1623000000,565000000.0,209000000,1510000000,13000000,352000000,51000000,-522000000,601000000,,289500000.0,-1000000,20205000000.0,,2318000000,1785000000,5000000,-200000000.0,478000000,,29000000.0,57000000,312000000,0.0,198000000,40000000,1456000000,20205000000,,837000000.0,-44000000,485000000.0,4058000000.0,234000000.0,11624000000.0,27406000000,29191000000,1126000000,158000000,149000000,439000000.0,0.45,16737000000.0,541000000.0,169000000,,85000000.0,19055000000,127000000,308000000,,-529000000,337000000.0,301000000,9000000,1025000000,-17000000,-88000000.0,,,
2016-12-31,-84000000.0,16000000.0,,,14597000000,1011000000.0,11000000.0,947000000,,269000000,287000000.0,3263000000.0,269000000,554000000.0,-12000000.0,301000000,1623000000,745000000.0,313000000,2094000000,5000000,463000000,4685000000,-680000000,774000000,-10856000000.0,,-13000000,40193000000.0,,3944000000,2166000000,-32000000,0.0,475000000,69000000.0,39000000.0,-94000000,690000000,-4523000000.0,260000000,35000000,1455000000,29337000000,218000000.0,507000000.0,-205000000,684000000.0,12364000000.0,283000000.0,20876000000.0,45738000000,47904000000,171000000,225000000,205000000,664000000.0,,27510000000.0,1406000000.0,231000000,,4000000.0,31454000000,189000000,136000000,99000000.0,-5187000000,372000000.0,269000000,16000000,1410000000,1339000000,-116000000.0,,,
2017-03-31,-13000000.0,-10000000.0,0.72,406200000.0,15211000000,1015000000.0,51000000.0,879000000,,298000000,,3323000000.0,298000000,1966000000.0,-16000000.0,269000000,1623000000,653000000.0,325000000,2274000000,514000000,641000000,208000000,-709000000,978000000,,406900000.0,5000000,29598000000.0,,4156000000,2152000000,29000000,,541000000,,72000000.0,-171000000,479000000,,443000000,106000000,1583000000,29598000000,,1133000000.0,-168000000,754000000.0,12261000000.0,297000000.0,20277000000.0,45897000000,48049000000,1232000000,337000000,310000000,582000000.0,0.72,26831000000.0,1635000000.0,238000000,,-6000000.0,30987000000,294000000,428000000,,-719000000,320000000.0,298000000,27000000,1520000000,-16000000,-114000000.0,,,
2017-06-30,19000000.0,-22000000.0,0.62,416800000.0,15314000000,1040000000.0,-40000000.0,869000000,,231000000,,3368000000.0,231000000,1803000000.0,-260000000.0,298000000,1623000000,407000000.0,306000000,2015000000,30000000,622000000,27000000,-719000000,953000000,,417400000.0,-52000000,29419000000.0,,4080000000,2063000000,-67000000,,649000000,,102000000.0,-20000000,455000000,0.0,414000000,102000000,1840000000,29419000000,,1106000000.0,-70000000,524000000.0,11991000000.0,298000000.0,19926000000.0,45518000000,47581000000,1182000000,312000000,274000000,571000000.0,0.62,26357000000.0,1754000000.0,241000000,,-15000000.0,30437000000,257000000,451000000,,-741000000,355000000.0,231000000,21000000,1491000000,-16000000,-121000000.0,,,
2017-09-30,23000000.0,23000000.0,0.66,418600000.0,15124000000,1051000000.0,-36000000.0,794000000,,252000000,,3404000000.0,252000000,1769000000.0,-326000000.0,231000000,1623000000,35000000.0,270000000,1901000000,8000000,629000000,-87000000,-706000000,952000000,,419300000.0,-3000000,29067000000.0,,3962000000,2075000000,21000000,0.0,800000000,,110000000.0,82000000,463000000,0.0,427000000,106000000,1951000000,29067000000,,1047000000.0,94000000,478000000.0,11588000000.0,290000000.0,19495000000.0,44770000000,46845000000,1184000000,321000000,294000000,504000000.0,0.66,25992000000.0,1665000000.0,235000000,,14000000.0,29954000000,278000000,444000000,,-683000000,382000000.0,252000000,19000000,1423000000,-30000000,-122000000.0,,,
2017-12-31,-103000000.0,8000000.0,,,15003000000,1081000000.0,19000000.0,898000000,,327000000,204000000.0,2298000000.0,327000000,696000000.0,-2341000000.0,252000000,1623000000,61000000.0,303000000,2111000000,9000000,608000000,191000000,-890000000,923000000,-10581000000.0,,-40000000,40249000000.0,,3504000000,2207000000,75000000,,766000000,67000000.0,260000000.0,80000000,705000000,,429000000,274000000,1727000000,29668000000,223000000.0,492000000.0,-124000000,605000000.0,11644000000.0,294000000.0,20754000000.0,45615000000,47822000000,91000000,155000000,150000000,604000000.0,,27569000000.0,914000000.0,200000000,,126000000.0,31073000000,134000000,171000000,124000000.0,-882000000,367000000.0,327000000,46000000,1506000000,-51000000,-127000000.0,,,
2018-03-31,-16000000.0,7000000.0,0.77,422000000.0,15489000000,1105000000.0,52000000.0,855000000,,333000000,,2330000000.0,333000000,1980000000.0,-1252000000.0,327000000,1623000000,328000000.0,316000000,2197000000,15000000,613000000,89000000,-685000000,924000000,,422500000.0,3000000,,,3526000000,2238000000,6000000,,589000000,,-15000000.0,-61000000,505000000,,386000000,22000000,1870000000,30506000000,,570000000.0,-96000000,729000000.0,11927000000.0,302000000.0,21267000000.0,46845000000,49083000000,1225000000,364000000,339000000,,0.76,28281000000.0,995000000.0,236000000,,-107000000.0,31807000000,323000000,502000000,,-678000000,322000000.0,333000000,5000000,1468000000,-26000000,-132000000.0,,,
2018-06-30,,,0.57,423800000.0,16014000000,1165000000.0,,862000000,,197000000,,2465000000.0,197000000,1769000000.0,-1164000000.0,333000000,1623000000,540000000.0,331000000,1947000000,5000000,578000000,-31000000,-792000000,905000000,,424300000.0,26000000,,,3508000000,2069000000,-136000000,,682000000,,76000000.0,-28000000,587000000,,353000000,61000000,2110000000,31559000000,,488000000.0,-110000000,507000000.0,12150000000.0,309000000.0,21572000000.0,48180000000,50249000000,1234000000,292000000,257000000,,0.57,28877000000.0,1106000000.0,243000000,,,32385000000,240000000,526000000,,-792000000,346000000.0,197000000,18000000,1440000000,6000000,-131000000.0,,,
2018-09-30,,5000000.0,0.65,425600000.0,15984000000,1165000000.0,,870000000,,195000000,,2533000000.0,195000000,1906000000.0,-1487000000.0,197000000,1623000000,337000000.0,329000000,2040000000,6000000,596000000,-12000000,-788000000,932000000,,426200000.0,-1000000,,,3601000000,2133000000,-2000000,,796000000,,62000000.0,106000000,680000000,,374000000,52000000,2206000000,31727000000,,498000000.0,8000000,574000000.0,11939000000.0,313000000.0,21533000000.0,48111000000,50244000000,1232000000,322000000,292000000,,0.65,28836000000.0,969000000.0,245000000,,,32437000000,276000000,536000000,,-783000000,368000000.0,195000000,23000000,1466000000,-24000000,-126000000.0,,,
2018-12-31,,-46000000.0,,,16533000000,1200000000.0,,943000000,,332000000,267000000.0,2686000000.0,332000000,679000000.0,-2183000000.0,195000000,1623000000,928000000.0,324000000,2206000000,8000000,578000000,598000000,-953000000,907000000,-11701000000.0,,0,44355000000.0,,4252000000,3261000000,152000000,,537000000,57000000.0,13000000.0,-106000000,934000000,,338000000,30000000,2082000000,32654000000,230000000.0,538000000.0,-416000000,685000000.0,12530000000.0,319000000.0,23159000000.0,49790000000,53051000000,74000000,308000000,278000000,,,30343000000.0,986000000.0,250000000,,,34595000000,261000000,204000000,153000000.0,-999000000,398000000.0,332000000,-5000000,1521000000,-5000000,-136000000.0,,,
2019-03-31,,8000000.0,0.72,429500000.0,16527000000,1178000000.0,23000000.0,950000000,,233000000,,2720000000.0,233000000,2220000000.0,-1435000000.0,332000000,1623000000,695000000.0,330000000,2436000000,32000000,653000000,94000000,-740000000,1025000000,,430100000.0,16000000,,,4588000000,3225000000,-105000000,,541000000,,23000000.0,-188000000,726000000,,422000000,66000000,2200000000,32593000000,,1452000000.0,-199000000,833000000.0,12298000000.0,334000000.0,22611000000.0,49580000000,52805000000,1220000000,356000000,328000000,,0.72,29797000000.0,1406000000.0,269000000,,-57000000.0,34385000000,311000000,609000000,,-732000000,368000000.0,233000000,34000000,1603000000,-20000000,-135000000.0,,,
2019-06-30,,-53000000.0,1.66,433100000.0,17259000000,1156000000.0,-7000000.0,941000000,,191000000,,2797000000.0,191000000,1862000000.0,-3467000000.0,233000000,1623000000,468000000.0,333000000,1970000000,164000000,533000000,-776000000,-843000000,1491000000,,433700000.0,21000000,,,3418000000,2125000000,-51000000,,631000000,,88000000.0,2000000,640000000,,890000000,125000000,2919000000,32752000000,,1170000000.0,-212000000,496000000.0,12092000000.0,338000000.0,22230000000.0,49574000000,51699000000,1249000000,765000000,737000000,,1.66,29467000000.0,685000000.0,263000000,,-199000000.0,32885000000,720000000,617000000,,99000000,369000000.0,191000000,616000000,1474000000,-23000000,-135000000.0,,,
2019-09-30,,-18000000.0,0.64,437400000.0,17381000000,1222000000.0,-16000000.0,944000000,,228000000,,2891000000.0,228000000,2204000000.0,-1274000000.0,191000000,1623000000,593000000.0,348000000,2051000000,51000000,585000000,209000000,-1013000000,953000000,,438000000.0,20000000,,,3922000000,2202000000,37000000,,857000000,,53000000.0,125000000,682000000,,356000000,32000000,2791000000,33598000000,,1118000000.0,-156000000,522000000.0,12210000000.0,335000000.0,22598000000.0,50598000000,52800000000,1263000000,324000000,294000000,,0.63,29912000000.0,794000000.0,262000000,,93000000.0,33834000000,278000000,620000000,,-1031000000,389000000.0,228000000,29000000,1529000000,-6000000,-139000000.0,,,
