date,quarterlyNetOtherFinancingCharges,quarterlyResearchAndDevelopment,quarterlyDilutedAverageShares,quarterlyLongTermDebt,quarterlyOtherNonCurrentAssets,quarterlyCapitalExpenditure,quarterlyNetIncomeContinuousOperations,quarterlyOperatingCashFlow,quarterlyNetIncome,quarterlyNetPPE,quarterlyInventory,quarterlyTaxProvision,quarterlyOtherCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherShortTermInvestments,quarterlyCommonStockIssuance,quarterlyCostOfRevenue,quarterlyAccountsReceivable,quarterlyOtherIntangibleAssets,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyBasicEPS,quarterlyFreeCashFlow,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyInterestExpense,quarterlyCashAndCashEquivalents,quarterlyCurrentDebt,quarterlyPurchaseOfInvestment,quarterlyDepreciationAndAmortization,quarterlySaleOfInvestment,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyChangeInWorkingCapital,quarterlyAccountsPayable,quarterlyNonCurrentDeferredRevenue,quarterlyGrossProfit,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyGrossPPE,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyChangeInInventory,quarterlyBasicAverageShares,quarterlyOtherNonCashItems,quarterlyCashDividendsPaid,quarterlyEbitda,quarterlyPurchaseOfBusiness,quarterlyCurrentAssets,quarterlyPretaxIncome,quarterlyCurrentLiabilities,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOperatingExpense,quarterlyRetainedEarnings,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlySellingGeneralAndAdministration,quarterlyStockholdersEquity,quarterlyRepaymentOfDebt,quarterlyGoodwill,quarterlyNetOtherInvestingChanges,quarterlyOtherCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyDilutedEPS,quarterlyIncomeTaxPayable,quarterlyOtherIncomeExpense,quarterlyInvestmentsAndAdvances,quarterlyChangeInAccountPayable,quarterlyRepurchaseOfCapitalStock,quarterlyChangesInAccountReceivables,quarterlyDeferredIncomeTax,quarterlyCurrentDeferredRevenue,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyStockBasedCompensation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentAccruedExpenses,quarterlyAccumulatedDepreciation
2003-12-31,0.0,,,15095888.0,0.0,-3754158.05,71567042.23,-46034891.64,69943805.04,597061905.68,676908303.93,124302.88,0.0,71687138.4,0.0,,282776166.56,494163297.46,224788264.17,390000000,345656120.17,,-49789049.69,875017392.03,2598075982.61,69943805.04,417343258.57,5765164.7,417343258.57,651086113.52,-5520000.0,6694355.34,,1327239343.08,-131498980.16,406617123.49,,126428070.37,77707376.8,409204236.93,597061905.68,417343258.57,-188116259.93,-12643063.55,,9164571.64,-5466146.15,84150865.15,,1723058590.58,71691345.11,1283678347.71,43560995.37,48720693.57,268654956.08,,46926100.11,1236860810.68,0.0,,-179400000.0,0.0,33975828.85,,,,,,,,,,,,,,
2004-03-31,0.0,,,8630000.0,0.0,-55359327.85,106170761.39,36286425.6,106815035.88,642804712.86,778309365.15,346957.22,76828.99,-38971891.61,0.0,,597329640.55,532615706.01,222564875.92,507000000,417343258.57,0.019644,-19072902.25,919626736.64,2840979173.78,106815035.88,378371366.96,9500556.68,378371366.96,657192901.54,-1568000.0,11649402.08,,1473721772.86,-96118326.8,557084283.12,,216212543.98,116519605.28,813542184.53,642804712.86,378371366.96,-56927327.85,-101401061.22,,10427150.69,-17971889.38,127667677.37,,1921352437.14,106517718.61,1439428188.87,34293583.99,99692938.7,365719991.96,,92820161.84,1333925846.56,-6465888.0,,0.0,0.0,33331554.36,0.019644,,,,,,,,,,,,,
2004-06-30,0.0,,,8630000.0,0.0,-60218346.42,147091786.18,3581808.91,146589609.01,702088193.36,717010933.4,4683141.3,0.0,-64360551.06,0.0,,704836934.72,773667354.1,219592029.48,507000000,378371366.96,,-56636537.51,990928205.65,3078706627.36,146589609.01,314010815.9,9935346.25,314010815.9,677192901.54,-17000000.0,12795381.0,,1558643857.53,-184252857.55,543842485.9,,297272964.28,160022493.98,1002109899.0,702088193.36,314010815.9,-76728346.42,61298431.75,,10227920.64,-11214013.55,174505654.73,,2087778421.71,151774927.48,1526220373.99,32423483.54,137250470.3,512309600.97,,133284654.61,1480515455.57,-83000000.0,,0.0,0.0,39547314.26,,,,,,,,,,,,,,
2004-09-30,0.0,,,8630000.0,0.0,-84503378.6,88289502.62,,89443812.18,768451848.24,818191777.81,-1241326.04,3758478.71,-62972731.07,0.0,,598016129.78,949937666.23,217670651.08,507000000,,0.016449,-78495352.66,1066001868.34,3322999843.71,89443812.18,251038084.83,8736441.61,251038084.83,703192901.54,-2811435.83,,,1711651775.66,,698185792.27,,204062543.13,97933043.68,802078672.91,768451848.24,,-86115709.43,,,,-8865047.58,95784618.19,,2256997975.37,87048176.58,1680182228.48,31469547.18,106129499.45,601753413.15,,102471637.17,1572955063.35,0.0,,0.0,0.0,38393004.7,0.016449,,,,,,,,,,,,,
2004-12-31,0.0,,,8630000.0,0.0,-53324446.85,37410699.87,,40003996.41,774708291.15,934692267.23,967170.26,2278200.0,255725991.73,0.0,,577709705.95,822536772.43,283875555.08,507000000,,,133854788.21,1141924548.67,3581083661.15,40003996.41,506764076.56,8637353.16,506764076.56,850875770.0,-12994496.08,,,1921998667.14,,765138194.27,,197115550.95,62784450.11,774825256.9,774708291.15,,-66306907.99,,,,-8001329.34,47015223.29,,2439159112.48,38377870.13,1894135479.64,27863187.5,134331100.84,582709141.06,,132355747.94,1620492099.51,-515500000.0,,0.0,0.0,38592894.5,,,,,,,,,,,,,,
2005-03-31,0.0,,,,0.0,-67192982.91,70182237.67,-132617953.5,70645254.57,829003491.91,948318360.39,327714.48,2627198.0,-136664610.32,0.0,,511434269.86,999096412.38,280710375.11,507000000,506764076.56,0.012992,-199810936.41,1192578394.11,3718658951.53,70645254.57,370099466.24,8856217.58,370099466.24,930424421.19,,14821388.38,,2192167326.85,-236961074.71,749180076.58,,191147685.13,80652689.33,702581954.99,829003491.91,370099466.24,-65973641.61,-13626093.16,,9833871.0,-8991666.4,94187558.11,,2526080557.42,70509952.15,2174465038.42,17702288.43,110494995.8,450554395.63,,103947937.84,1488359307.78,-152004500.0,,0.0,0.0,38132316.9,0.012992,,,,,,,,,,,,,
2005-06-30,0.0,,,,0.0,-81848330.59,94051330.16,270309085.69,95916888.31,883539788.71,902559653.78,2322680.87,2429917.17,99781635.41,0.0,,764436099.58,1066922887.83,284532065.93,507000000,370099466.24,,188460755.1,1250490719.13,3927936759.27,95916888.31,469881101.65,14877509.22,469881101.65,1044267087.12,,15455847.74,,2307349149.43,143853232.45,904002499.29,,238681523.07,104925602.49,1003117622.65,883539788.71,469881101.65,-76079826.59,44982525.62,,5355581.07,-217542060.4,126707367.99,,2677446040.14,96374011.03,2289688932.15,17660217.28,133755920.58,546471283.94,,124858879.06,1584316910.94,-194368595.71,,0.0,0.0,36270698.9,,,,,,,,,,,,,,
2005-09-30,0.0,,,,0.0,-27751952.13,76718314.8,83416108.87,75230727.04,896034848.08,929401786.53,575103.7,2626446.48,74236748.14,0.0,,522208905.83,1053732943.25,282055853.29,507000000,469881101.65,0.013835,55664156.74,1272400599.01,4011132186.49,75230727.04,544117849.79,9097145.31,544117849.79,1083563806.02,,15369074.99,,2313690519.0,-21102496.81,882801734.06,,211075760.5,89516359.69,733284666.33,896034848.08,544117849.79,-38797867.06,-26842132.75,,9342037.45,-13913547.7,101759638.8,,2738731587.48,77293418.5,2297714063.93,15976455.07,121559400.81,621702010.98,,117871262.36,1659683380.83,-103545568.38,,-12800000.0,0.0,37758286.66,0.013835,,,,,,,,,,,,,
2005-12-31,1149563093.65,,,8630000.0,0.0,-66305248.59,68502365.47,241617861.61,68685761.07,1032476499.81,979849045.43,947702.29,1944035.9,106907983.02,0.0,,606603620.63,917203218.63,280826380.11,507000000,544117849.79,,175312613.02,1392497625.22,4173381910.84,68685761.07,651025832.81,27935575.7,651025832.81,1020663093.65,10500000.0,18132384.5,,2403458518.92,118977647.26,1001901591.71,,236117195.52,85040877.54,842720816.15,1032476499.81,651025832.81,-52864893.53,-50447258.9,,27598129.17,-14087166.78,115518027.96,,2780884285.62,69450067.76,2381876599.29,21581919.63,151076317.98,643589828.72,,144050300.18,1731753500.86,-529857105.91,,0.0,0.0,38169891.06,,,,,,,,,,,,,,
2006-03-31,0.0,,,8630000.0,0.0,-42008253.53,70592631.84,-43683046.49,71952116.02,1054028844.3,1042251221.73,143801.65,2003569.0,-47440002.95,0.0,,666077735.62,1036371564.4,277584055.82,507000000,651025832.81,0.013232,-85691300.02,1408353054.31,4418706641.95,71952116.02,603585829.86,13100996.26,603585829.86,1070923101.19,,21642382.46,,2578190618.19,-167347050.72,1055453059.0,,219676995.93,86832179.09,885754731.55,1054028844.3,603585829.86,-40282227.93,-62402176.3,,14531027.06,-13734736.07,105479812.21,,3010353587.64,70736433.49,2558171248.27,20019369.92,132844816.84,715541944.74,,126101161.54,1803705616.88,-139169702.2,,0.0,0.0,36810406.88,0.013232,,,,,,,,,,,,,
2006-06-30,597600000.0,,,8630000.0,0.0,-73406332.33,182807356.32,160528643.04,182555571.49,1114022810.38,1034500586.86,944933.04,600000000.0,235773903.06,0.0,,1076728273.78,1236460620.27,274443173.2,507000000,603585829.86,,87122310.71,1449782896.59,4923120196.93,182555571.49,839359732.92,13879236.56,839359732.92,643693118.5,,22307382.63,,2918904171.23,-73120930.21,1147432362.74,,374458496.04,198367972.29,1451186769.82,1114022810.38,839359732.92,-61599260.54,7750634.87,,14651100.24,-33525496.75,219938908.55,,3473337300.34,183752289.36,2900783456.39,18120714.84,176090523.75,877817516.23,,169022842.36,1966284941.77,-616493391.45,,-1060239.0,0.0,37931083.93,,,,,,,,,,,,,,
2006-09-30,0.0,,,8630000.0,0.0,-20872721.22,126275679.33,25153416.68,124605117.59,1124166470.98,1256789537.62,1087701.13,600000000.0,-182839140.49,0.0,,773626603.56,1165267971.59,271216889.23,507000000,839359732.92,0.022916,4280695.46,1456414214.72,4873125619.61,124605117.59,656520592.43,7015604.78,656520592.43,457870998.97,0.0,17981908.17,0.0,2742633914.59,-132983242.38,1097302422.94,,302392618.79,142796359.16,1076019222.35,1124166470.98,656520592.43,-17028364.36,-218885095.98,,5434471.02,-7542073.28,152360893.41,,3416711404.89,127363380.46,2725992920.26,16640994.33,159596259.63,1002422633.82,,158008092.33,2090890059.36,-270000000.0,,0.0,0.0,39601645.66,0.022916,,,,,,,,,,,,,
2006-12-31,274149831.0,,,8630000.0,0.0,-98737282.89,102591855.84,295077909.92,101787365.26,1175467782.08,1501178023.5,1484398.53,600000000.0,333408649.42,0.0,,867165201.06,932706984.55,194385290.95,507000000,656520592.43,,196340627.03,1609136278.9,5348138843.94,101787365.26,989929241.85,19122799.06,989929241.85,320761225.78,0.0,30154194.4,0.0,3010522387.91,153276126.84,1396657048.74,,349070176.39,133388007.22,1216235377.45,1175467782.08,989929241.85,-89669680.47,-247092233.69,,9880226.05,-9039637.84,153353247.83,,3739002565.04,104076254.37,2997195600.74,13326787.17,215682169.17,1056089449.72,,211937239.53,2297616406.89,-295000000.0,,0.0,0.0,40000049.14,,,,,,,,,,,,,,
2007-03-31,137690169.0,,3600740821.0,8630000.0,0.0,-66805396.16,210075412.08,,211512048.22,1147575729.8,1868896862.26,-1606124.73,600000000.0,-28840968.51,,,902913882.03,1122011728.29,250844158.9,507000000,989929241.85,0.058741,-309086689.27,1475613336.71,5932830982.06,211512048.22,961088273.34,15150490.58,961088273.34,340000000.0,-53100000.0,,175221200.0,3387071481.49,,1649093656.23,,393941441.5,243471598.37,1296855323.53,1147575729.8,961088273.34,70157977.73,,3600740821.0,,-13646596.35,223619777.93,,4457217645.35,208469287.35,3375535354.29,11536127.2,150469843.13,1264426583.04,,146046569.67,2506170350.09,-60761225.78,,0.0,0.0,39589150.48,0.058741,,,,,,,,,,,,,
2007-06-30,26422057.0,,,300000000.0,0.0,-42578034.46,304539680.61,,304278895.94,1158366752.84,2069105730.63,-3245413.96,0.0,133543936.36,,,1707628014.32,1428461401.61,249482603.77,760500000,961088273.34,,290773215.12,1499663091.56,6991713259.33,304278895.94,1094632209.7,12251857.3,1094632209.7,710122443.27,-3000000.0,,2059659.54,4143826246.26,,2003721200.69,,599984950.97,347496766.01,2307612965.29,1158366752.84,1094632209.7,-262319502.55,,,,-34032310.94,313546123.95,,5492050167.77,301294266.65,3843095839.86,300730406.4,252488184.96,1568705479.0,,243765681.5,2808818151.54,-680000000.0,,-223884150.89,0.0,39068861.53,,,,,,,,,,,,,,
2007-09-30,-140830000.0,,5437336844.0,300000000.0,0.0,-95011651.9,389666716.2,,390575692.71,1141375819.38,2373610491.43,-1475448.86,0.0,-159753606.85,,0.0,1854363206.32,1573636581.54,256388404.22,760500000,1094632209.7,0.071832,-35172014.22,1562500378.64,7528564299.48,390575692.71,934878602.85,18388815.58,934878602.85,655231000.0,0.0,,34725789.57,4290996000.28,,2135615993.36,,715034475.93,439515532.86,2569397682.25,1141375819.38,934878602.85,-4773051.98,,5437336844.0,,-19098749.28,406580082.92,,5966063920.84,388191267.34,3990996000.28,300000000.0,275518943.07,1959281171.71,,269448582.35,3199408414.18,-64394136.73,,0.0,0.0,38159885.02,0.071832,,,,,,,,,,,,,
2007-12-31,-70122057.0,,,323837054.0,0.0,-305573437.67,426805950.56,,427219755.83,1383423679.02,2631682354.52,39563388.86,0.0,115150564.44,,0.0,1939888482.97,1679734033.06,393030581.2,760500000,934878602.85,,3433327.84,2200553454.48,8532161738.17,427219755.83,1050427463.23,17968873.7,1050427463.23,846731843.28,,,202614.55,4781402794.54,,2197528666.93,,859806957.31,451437334.24,2799695440.28,1383423679.02,1050427463.23,-290433724.97,,,,-18327388.76,484338213.12,,6331608283.69,466369339.42,4444699306.33,336703488.21,408369623.07,2247846097.55,12866434.21,399381377.42,3629139331.28,-265750851.3,,-45799568.08,125977436.0,121619612.35,,,,,,,,,,,,,,
2008-03-31,699440000.0,,5437439669.0,542088520.06,0.0,-106035998.94,367697853.58,,365563251.61,1465374306.46,3304427641.97,96046688.97,900000000.0,140341845.33,,,1717347000.77,2384495916.27,390939866.94,760500000,1050427463.23,0.067231,-785989773.84,2319462574.39,10787541896.74,365563251.61,1190769308.56,39353335.4,1190769308.56,1262886015.29,-383629232.24,,,6672020483.11,,2438146480.08,,819264265.04,548295048.67,2536611265.81,1465374306.46,1190769308.56,-489125430.77,,5437439669.0,,-24424587.07,503097877.95,,8468079322.35,463744542.55,6118237093.79,553783389.32,270969216.37,2613409349.16,11694869.26,266973739.12,3991767199.31,-496632252.35,,0.0,203401864.45,123754214.32,0.067231,,,,,,,,,,,,,
