date,quarterlyTotalNonCurrentAssets,quarterlyCostOfRevenue,quarterlyTotalAssets,quarterlyDilutedEPS,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyGoodwill,quarterlyLongTermDebt,quarterlyFreeCashFlow,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyDepreciationAndAmortization,quarterlyOtherNonCurrentLiabilities,quarterlyInterestExpense,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCurrentDebt,quarterlyBasicAverageShares,quarterlyInventory,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyNetIncomeCommonStockholders,quarterlyPurchaseOfInvestment,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlySellingGeneralAndAdministration,quarterlyNetOtherFinancingCharges,quarterlyOtherNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyInvestmentsAndAdvances,quarterlyGrossProfit,quarterlyOtherIncomeExpense,quarterlyOperatingExpense,quarterlyNetOtherInvestingChanges,quarterlyChangesInAccountReceivables,quarterlyDilutedAverageShares,quarterlyStockholdersEquity,quarterlyChangeInInventory,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyOtherIntangibleAssets,quarterlySaleOfInvestment,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyRepaymentOfDebt,quarterlyOtherCurrentAssets,quarterlyAccountsPayable,quarterlyCapitalStock,quarterlyBasicEPS,quarterlyBeginningCashPosition,quarterlyNetPPE,quarterlyEbitda,quarterlyStockBasedCompensation,quarterlyTotalRevenue,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,quarterlyAccumulatedDepreciation,quarterlyPretaxIncome,quarterlyRepurchaseOfCapitalStock,quarterlyGrossPPE,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyPurchaseOfBusiness,quarterlyOperatingCashFlow,quarterlyOperatingIncome,quarterlyOtherCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherShortTermInvestments,quarterlyChangeInWorkingCapital,quarterlyOtherNonCashItems,quarterlyDeferredIncomeTax,quarterlyCommonStockIssuance,quarterlyTaxProvision,quarterlyRetainedEarnings,quarterlyResearchAndDevelopment,quarterlyCurrentDeferredRevenue,quarterlyIncomeTaxPayable,quarterlyChangeInAccountPayable,quarterlyCashDividendsPaid,quarterlyNonCurrentDeferredRevenue
2013-12-31,,180997000,,0.041995,,,,,,6235000,6235000,,,1469000.0,,,148468717.0,,,,6235000,,,35820000.0,,,,,107523000,427000,92131000,,,148468717.0,,,,,,,,,,,,0.041995,,,15865000,,288520000,,,,14396000,,,,,,,15392000,,,,,,,,8161000,,50378000.0,,,,,
2014-03-31,382894000.0,156720000,920312000.0,,51824000.0,137417000.0,103901000.0,,23793000.0,-1046000,-1046000,40312000.0,23104000.0,1602000.0,23988000.0,87263000.0,,125703000.0,10757000.0,171898000.0,-1046000,-9999000.0,884000.0,33703000.0,11000.0,24166000.0,243961000.0,3841000.0,99279000,1138000,100021000,0.0,6176000.0,,676351000.0,10216000.0,-785000.0,54990000.0,28585000.0,243965000.0,171898000.0,47000.0,12000.0,79783000.0,1284402000.0,,117482000.0,195996000.0,40759000,5151000.0,255999000,12204000.0,-7928000.0,-552901000.0,-1155000,0.0,748897000.0,219973000.0,537418000.0,,31721000.0,-742000,1103000.0,54416000.0,72067000.0,-1706000.0,-20234000.0,-1150000.0,12146000.0,-109000,-607266000.0,49362000.0,,,,,
2014-06-30,0.0,0,0.0,0.0,,,,,0.0,0,0,,,,0.0,,148468717.0,,0.0,0.0,0,,,,,,0.0,,0,0,0,,,148468717.0,0.0,,0.0,,,,,,,,0.0,0.0,0.0,,0,,0,,,,0,,,0.0,0.0,,0.0,0,,0.0,,,,,,0,0.0,,,,,,
2014-09-30,0.0,195216000,0.0,0.0,,,,,0.0,0,0,,,195000.0,0.0,,148468717.0,,0.0,0.0,0,,,36933000.0,,,0.0,,167451000,137000,0,,,148468717.0,0.0,,0.0,,,,,,,,0.0,0.0,0.0,,0,,0,,,,0,,,0.0,0.0,,0.0,0,,0.0,,,,,,0,0.0,48567000.0,,,,,
2014-12-31,410358000.0,206384000,1165615000.0,0.591795,67569000.0,215248000.0,103901000.0,,116169000.0,87863000,87863000,12950000.0,50300000.0,197000.0,50300000.0,0.0,148468717.0,170019000.0,-142206000.0,118093000.0,87863000,-89469000.0,,29965000.0,1372000.0,39195000.0,270053000.0,2150000.0,190702000,-195000,87067000,,2743000.0,148468717.0,895562000.0,-10989000.0,1823000.0,36533000.0,40999000.0,296703000.0,118093000.0,-52000.0,7436000.0,130461000.0,1311184000.0,0.591795,0.0,228579000.0,103628000,4119000.0,397086000,4200000.0,-21857000.0,-576112000.0,103431000,0.0,804691000.0,219753000.0,755257000.0,,167099000.0,103635000,21723000.0,-53805000.0,178610000.0,-37021000.0,,1011000.0,2880000.0,15568000,-417445000.0,48865000.0,,,,,
2015-03-31,5392274000.0,446006000,6892379000.0,0.04,131871000.0,353830000.0,2140586000.0,,18493000.0,6482000,6482000,179964000.0,83720000.0,555000.0,393909000.0,0.0,149059000.0,346900000.0,78264000.0,299814000.0,6482000,-115156000.0,310189000.0,145033000.0,-10319000.0,57005000.0,719219000.0,4083000.0,188886000,-580000,291431000,0.0,47471000.0,150470000.0,6173160000.0,55086000.0,-124000.0,2307229000.0,89051000.0,544644000.0,299814000.0,52000.0,26538000.0,182468000.0,6584247000.0,0.043486,118093000.0,883371000.0,77026000,42110000.0,634892000,-34408000.0,-120032000.0,-609576000.0,-103493000,-50874000.0,1492947000.0,325310000.0,1500105000.0,,138525000.0,-102545000,10971000.0,181721000.0,244830000.0,48939000.0,-18880000.0,-118715000.0,26733000.0,-109975000,-410963000.0,115476000.0,,,,,
2015-06-30,5329884000.0,394124000,6909870000.0,0.01,128583000.0,408074000.0,2136773000.0,,52037000.0,2036000,2036000,42738000.0,86489000.0,548000.0,396183000.0,,149431000.0,363914000.0,-75137000.0,325602000.0,2036000,-86145000.0,309694000.0,145728000.0,-8850000.0,64631000.0,731679000.0,4397000.0,279517000,4119000,280852000,0.0,-54245000.0,154461000.0,6178191000.0,-21606000.0,-1083000.0,2184013000.0,100263000.0,558429000.0,325602000.0,0.0,24927000.0,206071000.0,6588201000.0,0.013625,299814000.0,940070000.0,45914000,48170000.0,673641000,-40473000.0,-89395000.0,-644052000.0,2628000,-50009000.0,1584122000.0,335496000.0,1579986000.0,,141432000.0,-1335000,842000.0,25788000.0,232827000.0,-75007000.0,123121000.0,3849000.0,18386000.0,592000,-408927000.0,117210000.0,,,,,
2015-09-30,5256115000.0,423487000,6532097000.0,0.029746,147326000.0,438266000.0,2135697000.0,75000000.0,88504000.0,4448000,4448000,46069000.0,86342000.0,660000.0,464525000.0,,140976000.0,393760000.0,100669000.0,169597000.0,4448000,-88959000.0,303183000.0,134994000.0,-11836000.0,64101000.0,819999000.0,28761000.0,284848000,381000,266809000,0.0,-30251000.0,150783000.0,5712098000.0,-30197000.0,-1281000.0,2055228000.0,269804000.0,195557000.0,169597000.0,-50000000.0,22532000.0,204857000.0,6117858000.0,0.029746,325602000.0,972328000.0,64961000,35730000.0,708335000,-425445000.0,-80291000.0,-682261000.0,18232000,-499931000.0,1654589000.0,355474000.0,1275982000.0,,168795000.0,18039000,3291000.0,-156005000.0,25960000.0,-44580000.0,127819000.0,-1461000.0,11322000.0,13784000,-404479000.0,118293000.0,,,,,
2015-12-31,5167393000.0,389693000,7011110000.0,-0.08,111449000.0,296592000.0,2135697000.0,987888000.0,156538000.0,-11127000,-11127000,48522000.0,85362000.0,7668000.0,1216353000.0,,137051000.0,406692000.0,-207962000.0,851597000.0,-11127000,-168362000.0,143103000.0,126294000.0,-13081000.0,62207000.0,1517038000.0,29287000.0,230988000,-639000,244201000,0.0,141363000.0,139343000.0,5494072000.0,-13194000.0,-1353000.0,1927366000.0,21455000.0,1025166000.0,851597000.0,-75000000.0,24827000.0,188521000.0,5911031000.0,-0.078724,169597000.0,1012836000.0,35189000,30308000.0,620681000,672616000.0,-61468000.0,-719382000.0,-21001000,-250069000.0,1732218000.0,300685000.0,1843717000.0,,218006000.0,-13213000,715000.0,682000000.0,173569000.0,43770000.0,128647000.0,-21441000.0,10766000.0,-9874000,-415606000.0,105992000.0,,,,,
2016-03-31,5087609000.0,353869000,6596819000.0,-0.18,137889000.0,316356000.0,2135697000.0,988130000.0,75224000.0,-24202000,-24202000,537622000.0,83056000.0,14440000.0,1223346000.0,,127386000.0,427551000.0,-96284000.0,425881000.0,-24202000,-22061000.0,152160000.0,127083000.0,-951000.0,66459000.0,1597147000.0,26050000.0,254200000,2557000,245723000,0.0,-20185000.0,132713000.0,4999672000.0,-19119000.0,-3133000.0,1812515000.0,10062000.0,612689000.0,425881000.0,-50000000.0,41384000.0,205364000.0,5442613000.0,-0.176522,851597000.0,1046888000.0,549341000,25308000.0,608069000,-489550000.0,-84470000.0,-751898000.0,-2721000,-500000000.0,1798786000.0,373801000.0,1509210000.0,,159694000.0,8477000,30548000.0,-425716000.0,186808000.0,-5875000.0,-379466000.0,6864000.0,11401000.0,21481000,-439808000.0,107268000.0,,,,,
