date,quarterlyNetIncomeCommonStockholders,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyPurchaseOfInvestment,quarterlyStockBasedCompensation,quarterlyOtherNonCashItems,quarterlyDepreciationAndAmortization,quarterlyEbitda,quarterlyNonCurrentDeferredRevenue,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyFreeCashFlow,quarterlyRetainedEarnings,quarterlyTotalRevenue,quarterlyGrossPPE,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyOperatingIncome,quarterlyLongTermDebt,quarterlyOtherCurrentAssets,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyAccountsReceivable,quarterlyOtherNonCurrentLiabilities,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyInvestmentsAndAdvances,quarterlyChangeInAccountPayable,quarterlyDilutedAverageShares,quarterlyGrossProfit,quarterlyOperatingExpense,quarterlyCurrentDeferredRevenue,quarterlyStockholdersEquity,quarterlyGoodwill,quarterlySellingGeneralAndAdministration,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyRepaymentOfDebt,quarterlyAccumulatedDepreciation,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOtherIncomeExpense,quarterlyTaxProvision,quarterlyNetPPE,quarterlyCashAndCashEquivalents,quarterlyCommonStockIssuance,quarterlyInterestExpense,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyOtherNonCurrentAssets,quarterlyResearchAndDevelopment,quarterlyOtherIntangibleAssets,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyNetOtherFinancingCharges,quarterlyBasicAverageShares,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyBasicEPS,quarterlyCapitalExpenditure,quarterlyOperatingCashFlow,quarterlyOtherCurrentLiabilities,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlySaleOfInvestment,quarterlyDilutedEPS,quarterlyChangesInAccountReceivables,quarterlyOtherShortTermInvestments,quarterlyChangeInCashSupplementalAsReported,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyChangeInInventory,quarterlyInventory,quarterlyCurrentDebt,quarterlyRepurchaseOfCapitalStock,quarterlyNetOtherInvestingChanges,quarterlyIncomeTaxPayable,quarterlyCashDividendsPaid
2017-04-30,-19737000,-6770000,190091000,,8406000,6210000,7686000,-11688000,,,-3604000,-13000,-7467000,,113498000,,,,-19264000,,,,27124000,,,,,-2125000.0,29761804.0,86374000,105638000,,,,82930000,-19382000,-19382000,,,,,-143000,,,,151000,,,22708000,,,-19525000,,29761804.0,5830000,-0.66,-6770000,-697000,,,,,-0.66,11577000,,-1153000,,191244000,,,,,,,,,
2017-07-31,-12403000,-3852000,207675000,,8512000,6255000,7699000,-4048000,,,1656000,13000,7779000,,125543000,,,,-13781000,,,,28458000,,,,,-4146000.0,31638340.0,97085000,110866000,,,,87099000,-12037000,-12037000,,,,,121000,,,,169000,,,23767000,,,-11916000,,31638340.0,7679000,-0.39,-4319000,12098000,,,,,-0.39,1531000,,17584000,,190091000,,,,,,,,,
2017-10-31,-14505000,-4603000,222166000,,6595000,9536000,8318000,-5250000,,,1616000,58000,7015000,,130589000,,,,-12343000,,,,31216000,,,,,726000.0,33353000.0,99373000,111716000,,,,89194000,-14505000,-14505000,,,,,783000,,,0.0,154000,,,22522000,,,-13722000,,33353000.0,8047000,-0.45,-4603000,11618000,,,,,-0.45,-146000,,14491000,,207675000,,,,,,,,,
2018-01-31,-6326000,-3536000,257436000,,6234000,6642000,8017000,4188000,7736000.0,410675000.0,20319000,-1054000,28723000,-743601000.0,148874000,129179000.0,418795000.0,373819000.0,-6265000,,7287000.0,15734000.0,31475000,123750000.0,3565000.0,36856000.0,,8409000.0,,117399000,123664000,270188000.0,209298000.0,37306000.0,100233000,-6352000,-6352000,0.0,-66160000.0,2511000.0,,2373000,63019000.0,256867000.0,,150000,256867000.0,11170000.0,23431000,14148000.0,-299000.0,-3979000,-315000.0,,4172000,,-3237000,31960000,11574000.0,201178000.0,619973000.0,,,-41039000,,35270000,14000.0,222166000,23713000.0,3403000.0,,,,,,,
2018-04-30,-270687000,-6184000,269796000,,269794000,11471000,8600000,-261186000,8065000.0,948200000.0,-4180000,-6000,8808000,-773007000.0,155808000,60095000.0,415733000.0,362495000.0,-267558000,,12030000.0,19023000.0,58294000,104128000.0,4419000.0,585705000.0,,-7218000.0,36334395.0,97514000,365072000,282470000.0,-333728000.0,36074000.0,294202000,-270687000,-270687000,,-54034000.0,2505000.0,,708000,60095000.0,269429000.0,,193000,269429000.0,12891000.0,70870000,11278000.0,,-269979000,-2194000.0,36334395.0,5621000,-7.46,-6184000,14992000,12017000.0,198739000.0,614472000.0,,-7.46,19622000,,12360000,4000.0,257436000,13269000.0,1075000.0,,,,,,,
2018-07-31,-36714000,-4336000,819162000,,40165000,6800000,7081000,-27641000,7703000.0,426228000.0,5369000,-6000,18359000,-809721000.0,167044000,60415000.0,968063000.0,389590000.0,-37720000,,13760000.0,18368000.0,36361000,108365000.0,3803000.0,36638000.0,,2184000.0,166083686.0,130683000,168403000,289724000.0,743470000.0,35369000.0,134630000,-36714000,-36714000,,-58151000.0,2499000.0,,1945000,60415000.0,818795000.0,529305000.0,47000,818795000.0,9513000.0,33773000,10139000.0,,-34769000,-1328000.0,166083686.0,530480000,-0.22,-4336000,22695000,11761000.0,201635000.0,1169698000.0,,-0.22,-4237000,,549366000,16000.0,269796000,16653000.0,-2010000.0,,,,,,,
2018-10-31,-52813000,-227355000,1094500000,,51748000,12686000,10343000,-44679000,7135000.0,909267000.0,-10368000,-7335000,-4315000,-862534000.0,178385000,73965000.0,1265511000.0,434636000.0,-58417000,432572000.0,,22669000.0,45073000,130611000.0,9374000.0,474631000.0,,-956000.0,167736000.0,133312000,191729000,316619000.0,810169000.0,194533000.0,153325000,-52813000,-52813000,-67563000.0,-64458000.0,2500000.0,,-5712000,73965000.0,1094133000.0,0.0,3503000,1094133000.0,9175000.0,38404000,79161000.0,-218779000.0,-58525000,-67733000.0,167736000.0,498070000,-0.31,-8576000,4261000,17574000.0,453925000.0,1719436000.0,,-0.31,-14019000,,275338000,16000.0,819162000,22059000.0,-3493000.0,,,,,,,
2019-01-31,-66244000,-426449000,518178000,-415132000.0,49271000,21462000,12003000,-45831000,7712000.0,1001055000.0,15299000,2346000,22820000,-928778000.0,199732000,75832000.0,984521000.0,516313000.0,-62628000,438932000.0,11561000.0,21755000.0,52693000,174548000.0,9696000.0,484742000.0,164220000.0,-1390000.0,,147039000,209667000,381060000.0,614362000.0,195225000.0,166746000,-66244000,-66244000,0.0,-66479000.0,4207000.0,,1309000,75832000.0,517811000.0,0.0,7101000,769014000.0,8833000.0,42921000,74203000.0,0.0,-64935000,-215901000.0,,-181055000,,-11317000,34137000,13903000.0,630896000.0,1615417000.0,,,-43937000,251203000.0,-576322000,17000.0,1094500000,19590000.0,-1965000.0,,,,,,,
2019-04-30,-45722000,-313491000,236643000,-390711000.0,42271000,19603000,16099000,-21121000,7586000.0,1140718000.0,13352000,52000,30418000,-974548000.0,213962000,227455000.0,922126000.0,522607000.0,-42437000,445385000.0,,28133000.0,52019000,117134000.0,6095000.0,618111000.0,184683000.0,282000.0,172101000.0,161943000,204380000,385460000.0,597682000.0,194775000.0,167197000,-45722000,-45722000,,-70448000.0,4267000.0,1538000.0,1346000,227455000.0,236476000.0,,7156000,752124000.0,23947000.0,37183000,69490000.0,,-44376000,-56137000.0,172101000.0,-13320000,-0.27,-15237000,45655000,12973000.0,816274000.0,1738400000.0,92457000.0,-0.27,57414000,515648000.0,-281535000,17000.0,518178000,21436000.0,-3258000.0,,,,,,,
2019-07-31,-68632000,-18237000,224423000,-155675000.0,55792000,26912000,12290000,-47901000,7784000.0,1195157000.0,67000,-24000,11851000,-1043180000.0,235612000,229370000.0,943493000.0,574149000.0,-64722000,451934000.0,,34227000.0,61176000,138652000.0,6527000.0,621008000.0,180146000.0,1306000.0,175389000.0,174436000,239158000,402734000.0,566679000.0,195427000.0,191641000,-68632000,-68632000,,-73942000.0,4270000.0,591000.0,1168000,229370000.0,224290000.0,0.0,7273000,750253000.0,23896000.0,47517000,65070000.0,,-67464000,-29841000.0,175389000.0,-19647000,-0.39,-14554000,26405000,16563000.0,818343000.0,1761836000.0,151992000.0,-0.39,-21518000,525963000.0,-12220000,18000.0,236643000,23452000.0,-2945000.0,,,,,,,
