date,quarterlyDilutedEPS,quarterlyOperatingExpense,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyOtherIntangibleAssets,quarterlyCashAndCashEquivalents,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyTaxProvision,quarterlyNetPPE,quarterlyChangesInAccountReceivables,quarterlyIncomeTaxPayable,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,quarterlyOtherNonCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyAccountsPayable,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyResearchAndDevelopment,quarterlyGrossPPE,quarterlyNetOtherFinancingCharges,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyCommonStockIssuance,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyOtherCurrentLiabilities,quarterlySaleOfInvestment,quarterlyStockBasedCompensation,quarterlyPurchaseOfInvestment,quarterlyRepurchaseOfCapitalStock,quarterlyEbitda,quarterlyChangeInCashSupplementalAsReported,quarterlyDilutedAverageShares,quarterlyRetainedEarnings,quarterlyDepreciationAndAmortization,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherNonCashItems,quarterlyCurrentAccruedExpenses,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyTotalNonCurrentAssets,quarterlyFreeCashFlow,quarterlyOperatingCashFlow,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyGrossProfit,quarterlyBasicAverageShares,quarterlyChangeInAccountPayable,quarterlyBasicEPS,quarterlyOtherNonCurrentLiabilities,quarterlyInvestingCashFlow,quarterlyOtherCurrentAssets,quarterlyInventory,quarterlyOtherIncomeExpense,quarterlyNetOtherInvestingChanges,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyChangeInInventory,quarterlyEndCashPosition,quarterlyRepaymentOfDebt,quarterlyLongTermDebt,quarterlyGoodwill,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlySellingGeneralAndAdministration,quarterlyStockholdersEquity,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyInvestmentsAndAdvances,quarterlyCurrentDeferredRevenue,quarterlyOtherShortTermInvestments,quarterlyCashDividendsPaid,quarterlyNonCurrentDeferredRevenue
2013-03-31,0.039015,61932000.0,,21645000.0,,,143351000.0,,,6308000.0,,-4328000.0,,-20024000.0,-1331000.0,,,,,,5952000.0,,-156000.0,,-2733000.0,0.0,,11718000.0,,,,,,43250000.0,-310000.0,88529000.0,,9887000.0,,,,625000.0,,,3454000.0,,21785000.0,23116000.0,31382000.0,182132000.0,93314000.0,88529000.0,,0.039015,,-2621000.0,,,1981000.0,-1290000.0,,88818000.0,-5758000.0,143041000.0,-19868000.0,,,15337000.0,15248000.0,55980000.0,,,,,,,
2013-06-30,-0.170938,59863000.0,,1996000.0,,,143041000.0,,,7760000.0,,-6292000.0,,-113581000.0,-2356000.0,,,,,,5874000.0,,-12702000.0,0.0,-16229000.0,0.0,,12849000.0,,,,-359933000.0,0.0,14845000.0,-100133000.0,88529000.0,,9854000.0,,,,2528000.0,,,-15133000.0,,11775000.0,14131000.0,36678000.0,189992000.0,96541000.0,88529000.0,,-0.170938,,-9000.0,,,-21833000.0,2347000.0,,93451000.0,2940000.0,42908000.0,-710392000.0,,,-5764000.0,-5855000.0,53989000.0,,,,,,,
2013-09-30,-0.05,4773000.0,,-4710000.0,,,42908000.0,,,0.0,,3183000.0,,-2483000.0,-3185000.0,,,,,,0.0,,-1149000.0,-1762000.0,3356000.0,0.0,,63000.0,,,,-472000.0,0.0,-4647000.0,22293000.0,88529000.0,,12273000.0,,,,-1359000.0,,,-4710000.0,,23959000.0,27144000.0,-4773000.0,0.0,0.0,88529000.0,,-0.05,,-3428000.0,,,0.0,-595000.0,,0.0,-1610000.0,65201000.0,-1334000.0,,,-4710000.0,-4710000.0,4773000.0,,,,,,,
2013-12-31,,,,,683004000.0,123040000.0,,0.0,123040000.0,,139670000.0,,6610000.0,,,33089000.0,-3900000.0,56156000.0,1113272000.0,14779000.0,,143570000.0,,,,,7958000.0,,0.0,,,,,,,,-194222000.0,,383239000.0,119420000.0,993852000.0,,48696000.0,2241888000.0,,1858649000.0,,,,,,,,,65187000.0,,0.0,89618000.0,,,140525000.0,,,,,744291000.0,1002886000.0,,,,1032595000.0,138273000.0,,,,,
2014-03-31,-0.07,80230000.0,,-3839000.0,665577000.0,316604000.0,123040000.0,1202000.0,316604000.0,2109000.0,135743000.0,-1035000.0,4656000.0,170259000.0,-2025000.0,31957000.0,-7473000.0,54230000.0,1090199000.0,5484000.0,6198000.0,143216000.0,-191000.0,,-12701000.0,172463000.0,7911000.0,7742000.0,31559000.0,,,,,20793000.0,193564000.0,107160000.0,-201639000.0,16890000.0,559205000.0,107126000.0,983073000.0,22824000.0,40329000.0,2394230000.0,-7417000.0,1835025000.0,19040000.0,21065000.0,3992000.0,183726000.0,84222000.0,107160000.0,,-0.07,83927000.0,2802000.0,0.0,79870000.0,-89000.0,-1114000.0,141384000.0,99504000.0,-1886000.0,316604000.0,-2013000.0,742327000.0,1001748000.0,-5948000.0,-7417000.0,74032000.0,1206720000.0,135287000.0,,,,,
2014-06-30,-0.002924,90677000.0,,-2568000.0,699443000.0,642760000.0,316604000.0,1373000.0,642760000.0,-4056000.0,133641000.0,-955000.0,3434000.0,299707000.0,-2562000.0,39707000.0,-14202000.0,56990000.0,1140488000.0,24372000.0,5898000.0,147843000.0,327000.0,,4566000.0,301162000.0,7953000.0,7662000.0,0.0,,,,,26490000.0,326156000.0,128595000.0,-202016000.0,21396000.0,889544000.0,115325000.0,1025163000.0,14500000.0,46948000.0,2766689000.0,-376000.0,1877145000.0,25587000.0,28149000.0,6010000.0,189132000.0,96687000.0,128595000.0,,-0.002924,94556000.0,-2562000.0,0.0,80511000.0,-916000.0,1114000.0,142011000.0,92445000.0,186000.0,642760000.0,-1782000.0,740497000.0,1004354000.0,1488000.0,-376000.0,84779000.0,1527212000.0,166298000.0,,,,,
2014-09-30,0.08,79294000.0,,12322000.0,664920000.0,281676000.0,642760000.0,1373000.0,281676000.0,-1595000.0,133942000.0,-8698000.0,11841000.0,-6406000.0,-2204000.0,47376000.0,,58217000.0,1150038000.0,-33440000.0,6368000.0,,-4164000.0,-17507000.0,6974000.0,-241000.0,7904000.0,7971000.0,0.0,,,0.0,0.0,39621000.0,-361084000.0,152694000.0,-190145000.0,19328000.0,911704000.0,141310000.0,1008728000.0,4903000.0,63348000.0,2729620000.0,11871000.0,1817916000.0,28038000.0,30242000.0,23930000.0,196782000.0,103224000.0,137299000.0,,0.09,118409000.0,-381048000.0,0.0,79325000.0,-3637000.0,-314990000.0,145095000.0,93558000.0,-2204000.0,281676000.0,-2001000.0,738474000.0,971678000.0,13917000.0,11871000.0,72926000.0,1481195000.0,151845000.0,,,,,
2014-12-31,,133899000.0,-1302773000.0,-36815000.0,1341500000.0,397300000.0,281676000.0,1900000.0,397300000.0,-3158000.0,175000000.0,15588000.0,16700000.0,1705340000.0,-11709000.0,57400000.0,-18100000.0,106700000.0,2005000000.0,-130600000.0,7736000.0,193100000.0,-9372000.0,-11892000.0,6961000.0,1039216000.0,15100000.0,14525000.0,0.0,0.0,,0.0,0.0,8096000.0,115664000.0,,-224100000.0,30386000.0,1578400000.0,242600000.0,1762400000.0,27073000.0,89800000.0,4557600000.0,-266677000.0,2979200000.0,7035000.0,18744000.0,-21432000.0,273560000.0,112467000.0,,8496000.0,,120500000.0,-1601892000.0,0.0,205800000.0,-858000.0,-287410000.0,327300000.0,161093000.0,15304000.0,397300000.0,-3304000.0,1400800000.0,1405300000.0,-33657000.0,-33977000.0,126163000.0,2459600000.0,202300000.0,,,,,
2015-03-31,-0.14,203300000.0,-2789200000.0,-1600000.0,2769600000.0,297300000.0,397300000.0,1900000.0,297300000.0,24700000.0,280000000.0,,27500000.0,2198900000.0,-20800000.0,128100000.0,-30700000.0,389500000.0,5941200000.0,-547800000.0,12900000.0,310700000.0,-40400000.0,,-129327000.0,1000000.0,194100000.0,39400000.0,129591000.0,,,-8400000.0,,37800000.0,-100000000.0,191916000.0,-250800000.0,47936000.0,1981300000.0,998400000.0,4942800000.0,37623000.0,383100000.0,8067900000.0,-26700000.0,6086600000.0,-90800000.0,-70000000.0,3800000.0,534800000.0,207100000.0,191916000.0,,-0.14,179700000.0,-2218300000.0,0.0,460900000.0,34000000.0,600100000.0,1054100000.0,327700000.0,,297300000.0,-3600000.0,3424400000.0,2908900000.0,-26300000.0,-26700000.0,190400000.0,2017600000.0,647200000.0,,,,,
2015-06-30,-0.06,224600000.0,-67500000.0,-9300000.0,2777300000.0,672200000.0,297300000.0,2100000.0,672200000.0,-200000.0,280600000.0,,1500000.0,285000000.0,-8500000.0,88400000.0,-41900000.0,386700000.0,5797900000.0,-387600000.0,18400000.0,322500000.0,-24600000.0,,,468400000.0,39200000.0,51100000.0,190800000.0,,,-6200000.0,,41800000.0,374900000.0,192800000.0,-263000000.0,,2387300000.0,858000000.0,4939900000.0,,239800000.0,8546400000.0,-12200000.0,6159100000.0,161800000.0,170300000.0,44000000.0,675100000.0,268600000.0,192800000.0,,-0.06,171600000.0,-82200000.0,0.0,470000000.0,-2200000.0,0.0,1050100000.0,406500000.0,,672200000.0,-6700000.0,3401600000.0,3012800000.0,-9100000.0,-12200000.0,206200000.0,2639400000.0,675600000.0,,,,,
2015-09-30,-0.58,211400000.0,-1200000.0,-104200000.0,2577900000.0,682000000.0,672200000.0,2100000.0,682000000.0,17600000.0,266900000.0,,102700000.0,-2900000.0,-2800000.0,76300000.0,-57900000.0,386100000.0,5807500000.0,-741400000.0,16600000.0,324800000.0,1700000.0,,,100000.0,36100000.0,52700000.0,252200000.0,,,-11600000.0,,-51500000.0,9800000.0,210900000.0,-385200000.0,,2312700000.0,965100000.0,4842400000.0,,188000000.0,8075800000.0,-122300000.0,5763100000.0,28000000.0,30800000.0,31300000.0,597300000.0,242700000.0,210900000.0,,-0.58,183800000.0,-5300000.0,0.0,466900000.0,-82800000.0,-1800000.0,943400000.0,354600000.0,,682000000.0,-5200000.0,3401400000.0,2842000000.0,-121800000.0,-122300000.0,194800000.0,2162800000.0,567100000.0,,,,,
2015-12-31,,279300000.0,-1815500000.0,-114200000.0,3314300000.0,432200000.0,682000000.0,2300000.0,432200000.0,33100000.0,491600000.0,,65100000.0,1520200000.0,-15800000.0,91900000.0,-69800000.0,450300000.0,7916900000.0,-886100000.0,15000000.0,561400000.0,-30700000.0,,,0.0,54700000.0,70700000.0,222400000.0,,,-8200000.0,,-43500000.0,-249800000.0,,-532700000.0,,2270500000.0,1062400000.0,6854500000.0,,269900000.0,10190200000.0,-147500000.0,7919700000.0,174000000.0,189800000.0,-5900000.0,735000000.0,273400000.0,,,,275700000.0,-1950700000.0,100300000.0,517500000.0,-37600000.0,-99100000.0,1023000000.0,461600000.0,,432200000.0,-280600000.0,5173600000.0,4021900000.0,-147300000.0,-147500000.0,264300000.0,2103900000.0,678800000.0,,,,,
2016-03-31,-0.59,303900000.0,-1200000.0,-116000000.0,3453600000.0,329700000.0,432200000.0,2300000.0,329700000.0,18400000.0,496500000.0,,69800000.0,120700000.0,-11600000.0,98600000.0,-84700000.0,419800000.0,8142600000.0,-587700000.0,19900000.0,581200000.0,-4500000.0,,,200000.0,188900000.0,93800000.0,0.0,,,-8600000.0,,-22200000.0,-102500000.0,229500000.0,-667500000.0,,2296100000.0,1175600000.0,6967000000.0,,497100000.0,10592700000.0,-134800000.0,8296600000.0,-222000000.0,-210400000.0,52100000.0,823800000.0,356000000.0,229500000.0,,-0.59,297100000.0,-19900000.0,0.0,612500000.0,-74300000.0,-700000.0,1172800000.0,467800000.0,,329700000.0,-8700000.0,5218400000.0,4247900000.0,-134400000.0,-134800000.0,284000000.0,2268800000.0,723800000.0,,,,,
2016-06-30,-0.04,285700000.0,,18800000.0,3454100000.0,341700000.0,329700000.0,2300000.0,341700000.0,26900000.0,480300000.0,12000000.0,76000000.0,-73200000.0,-11000000.0,99300000.0,-100400000.0,393900000.0,8104100000.0,-473700000.0,20500000.0,580700000.0,-34200000.0,-10000000.0,50000000.0,200000.0,161500000.0,97400000.0,-1000000.0,,3000000.0,-11300000.0,,116200000.0,12000000.0,230000000.0,-676300000.0,85000000.0,2268300000.0,1136000000.0,6968100000.0,3000000.0,504600000.0,10672000000.0,-8800000.0,8403700000.0,86100000.0,97100000.0,94900000.0,921600000.0,380600000.0,230000000.0,-15000000.0,-0.04,325700000.0,-10300000.0,-1000000.0,572700000.0,21300000.0,-400000.0,1181700000.0,541000000.0,45000000.0,341700000.0,-9600000.0,5187200000.0,4370000000.0,-8100000.0,-8800000.0,265200000.0,2376500000.0,733700000.0,,,,,
2016-09-30,0.396226,295200000.0,,86300000.0,3393200000.0,714100000.0,341700000.0,2800000.0,714100000.0,20400000.0,472700000.0,29100000.0,100600000.0,289900000.0,-10200000.0,93900000.0,-117900000.0,394800000.0,7866400000.0,-464100000.0,20900000.0,590600000.0,-8300000.0,-33700000.0,38400000.0,391100000.0,81400000.0,98500000.0,504000000.0,,,-2500000.0,,271700000.0,372400000.0,265000000.0,-571600000.0,86900000.0,2600600000.0,1568200000.0,6298200000.0,-73700000.0,487400000.0,10926700000.0,104700000.0,8326100000.0,79100000.0,89300000.0,79900000.0,890500000.0,375100000.0,234000000.0,11200000.0,0.45,328800000.0,-7300000.0,1000000.0,564300000.0,104900000.0,5000000.0,1141000000.0,515400000.0,7200000.0,714100000.0,-7700000.0,5196900000.0,4366300000.0,65900000.0,71800000.0,274300000.0,2888200000.0,696700000.0,,,,,
