date,quarterlyOtherCurrentAssets,quarterlyChangeInInventory,quarterlyRepurchaseOfCapitalStock,quarterlyChangesInAccountReceivables,quarterlyGrossProfit,quarterlyAccountsPayable,quarterlyChangeInAccountPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyOperatingExpense,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyStockholdersEquity,quarterlyNetOtherInvestingChanges,quarterlyTaxProvision,quarterlyRepaymentOfDebt,quarterlyAccumulatedDepreciation,quarterlyNetPPE,quarterlyCommonStockIssuance,quarterlyOtherNonCashItems,quarterlyStockBasedCompensation,quarterlyEbitda,quarterlyDeferredIncomeTax,quarterlyPurchaseOfBusiness,quarterlyChangeInWorkingCapital,quarterlyPretaxIncome,quarterlyRetainedEarnings,quarterlyBasicEPS,quarterlyOperatingCashFlow,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyBasicAverageShares,quarterlyGrossPPE,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyIncomeTaxPayable,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyLongTermDebt,quarterlyOtherCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherNonCurrentLiabilities,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyInvestmentsAndAdvances,quarterlyNetIncome,quarterlySellingGeneralAndAdministration,quarterlyNetIncomeContinuousOperations,quarterlyGoodwill,quarterlyNetIncomeCommonStockholders,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyInventory,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyDilutedEPS,quarterlyOtherIncomeExpense,quarterlyCashAndCashEquivalents,quarterlyInterestExpense,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCurrentDebt,quarterlyCashDividendsPaid,quarterlyDilutedAverageShares,quarterlyDepreciationAndAmortization,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentAssets,quarterlyOtherIntangibleAssets,quarterlyNetOtherFinancingCharges,quarterlyFreeCashFlow,quarterlyCurrentDeferredRevenue,quarterlyPurchaseOfInvestment,quarterlyResearchAndDevelopment,quarterlySaleOfInvestment,quarterlyOtherShortTermInvestments,quarterlyNonCurrentDeferredRevenue
1993-06-30,,,,,,,,,,,,,,,,,,,,,43600000,,,,,,0.03663,,,,70980071.0,,,,,43600000,43600000,,,,,,,,,,,,2600000,,2600000,,2600000,,,,,0.03663,,,,,,,70980071.0,,,,,,,,,,,,
1993-09-30,,,,,,,,,,,,,,,,,,,,,43600000,,,,,,0.03663,,,,70980071.0,,,,,43600000,43600000,,,,,,,,,,,,2600000,,2600000,,2600000,,,,,0.03663,,,,,,,70980071.0,,,,,,,,,,,,
1993-12-31,,,,,,,,,,,,,,,,,,,,,43600000,,,,,,0.03663,,,,70980071.0,,,,,43600000,43600000,,,,,,,,,,,,2600000,,2600000,,2600000,,,,,0.03663,,,,,,,70980071.0,,,,,,,,,,,,
1994-03-31,0.0,,,,,13400000.0,,,,,,170800000.0,,,,-112900000.0,186600000.0,,,,-113900000,,,,,148400000.0,,,,,,299500000.0,33000000.0,62200000.0,,-113900000,36000000,257300000.0,195100000.0,15600000.0,19000000.0,,0.0,,,,53500000.0,,2400000,,2400000,,2400000,,,29500000.0,37900000.0,,,2300000.0,,2300000.0,600000.0,,,,86500000.0,8500000.0,,,,,,,,,
1994-06-30,0.0,1600000.0,,,12200000.0,15800000.0,,,4300000.0,,2300000.0,167000000.0,0.0,2700000.0,,-116000000.0,184200000.0,153800000.0,-600000.0,,11600000,1800000.0,,-1900000.0,7600000.0,4900000.0,0.06993,7900000.0,-1700000.0,3200000.0,70070070.0,300200000.0,70700000.0,78000000.0,,7900000,50400000,271700000.0,193700000.0,27500000.0,54500000.0,9400000.0,0.0,,38200000.0,,34000000.0,,4900000,600000.0,4900000,,4900000,-1700000.0,0.0,28000000.0,6500000.0,0.06993,0.0,11600000.0,300000.0,11600000.0,400000.0,-162600000.0,70070070.0,3700000.0,104700000.0,9500000.0,,100000.0,6200000.0,,,,,,
1994-09-30,0.0,3700000.0,,,15400000.0,18400000.0,,,4100000.0,,0.0,174400000.0,0.0,4200000.0,,-118700000.0,182500000.0,,800000.0,,14900000,-100000.0,,-9500000.0,11800000.0,12500000.0,0.10989,2300000.0,-1800000.0,-2100000.0,69160069.0,301200000.0,56900000.0,71600000.0,,11300000,55400000,262800000.0,191200000.0,25500000.0,38300000.0,-1700000.0,100000.0,,40000000.0,,31500000.0,,7600000,500000.0,7600000,,7600000,-1800000.0,0.0,24200000.0,5900000.0,0.10989,800000.0,10000000.0,300000.0,10000000.0,200000.0,0.0,69160069.0,3500000.0,88400000.0,8700000.0,,153700000.0,500000.0,,,,,,
1994-12-31,100000.0,-2800000.0,,,12900000.0,15000000.0,,,4200000.0,,0.0,179800000.0,-300000.0,3100000.0,,-120800000.0,179400000.0,,2700000.0,,12400000,800000.0,,16400000.0,8800000.0,18200000.0,0.08325,29300000.0,-1400000.0,-27400000.0,68468468.0,300200000.0,44200000.0,68800000.0,,8700000,45600000,255200000.0,186400000.0,24500000.0,29200000.0,200000.0,0.0,,32700000.0,,31200000.0,,5700000,600000.0,5700000,,5700000,-1700000.0,0.0,27000000.0,6700000.0,0.08325,400000.0,10200000.0,200000.0,10200000.0,,0.0,68468468.0,3700000.0,75400000.0,7000000.0,,-179600000.0,27900000.0,,,,,,
1995-03-31,0.0,-4500000.0,,,11600000.0,13400000.0,,,4300000.0,,0.0,183400000.0,300000.0,2000000.0,,-123700000.0,177100000.0,-100000.0,-3000000.0,,11000000,200000.0,,-2800000.0,5600000.0,21800000.0,,1700000.0,-800000.0,-9000000.0,,300800000.0,35500000.0,66600000.0,,7300000,43000000,250100000.0,183500000.0,24500000.0,22100000.0,-7700000.0,0.0,,31400000.0,,31200000.0,,3600000,600000.0,3600000,,3600000,-500000.0,0.0,31500000.0,6700000.0,,-1200000.0,2500000.0,500000.0,2500000.0,,0.0,,3700000.0,66700000.0,6400000.0,,-8500000.0,900000.0,,,,,,
1995-06-30,0.0,500000.0,,,16900000.0,14900000.0,,,4300000.0,,2500000.0,191200000.0,0.0,4200000.0,,-126600000.0,179400000.0,,-300000.0,,16300000,-300000.0,,1700000.0,12000000.0,29700000.0,0.11322,12600000.0,-5900000.0,500000.0,68892422.0,306000000.0,40600000.0,76900000.0,,12600000,55100000,263200000.0,186300000.0,25000000.0,25700000.0,7300000.0,0.0,,38200000.0,,31400000.0,,7800000,600000.0,7800000,,7800000,-5900000.0,0.0,31000000.0,6400000.0,0.11322,-100000.0,9700000.0,500000.0,9700000.0,,,68892422.0,3700000.0,72000000.0,6900000.0,,0.0,6700000.0,,,,,,
1995-09-30,0.0,6200000.0,,,20000000.0,15900000.0,,,4100000.0,,0.0,201900000.0,0.0,5700000.0,,-129800000.0,178500000.0,,0.0,,19400000,100000.0,,4100000.0,16200000.0,40200000.0,0.15318,18200000.0,-2400000.0,-12300000.0,68546808.0,308300000.0,43700000.0,79000000.0,,15900000,67000000,264700000.0,185700000.0,12500000.0,27800000.0,3300000.0,100000.0,,47000000.0,,19100000.0,,10500000,600000.0,10500000,,10500000,-2400000.0,0.0,24800000.0,6500000.0,0.15318,600000.0,13100000.0,300000.0,13100000.0,,,68546808.0,3500000.0,62800000.0,7200000.0,,200000.0,15800000.0,,,,,,
