date,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyAccumulatedDepreciation,quarterlyNetPPE,quarterlyCashAndCashEquivalents,quarterlyCapitalStock,quarterlyOtherNonCurrentAssets,quarterlyCurrentDebt,quarterlyOtherIntangibleAssets,quarterlyGrossPPE,quarterlyOtherShortTermInvestments,quarterlyAccountsPayable,quarterlyOtherCurrentLiabilities,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyRetainedEarnings,quarterlyNonCurrentDeferredRevenue,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyLongTermDebt,quarterlyOtherNonCurrentLiabilities,quarterlyOtherCurrentAssets,quarterlyStockholdersEquity,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyAccountsReceivable,quarterlyGoodwill,quarterlyInventory,quarterlyOperatingIncome,quarterlyRepurchaseOfCapitalStock,quarterlyBasicEPS,quarterlyCurrentAccruedExpenses,quarterlyPurchaseOfBusiness,quarterlyNetIncomeContinuousOperations,quarterlyOperatingCashFlow,quarterlyChangeInInventory,quarterlyCommonStockIssuance,quarterlyDepreciationAndAmortization,quarterlyNetOtherInvestingChanges,quarterlyChangeInCashSupplementalAsReported,quarterlyTaxProvision,quarterlyCapitalExpenditure,quarterlyStockBasedCompensation,quarterlyCashDividendsPaid,quarterlySellingGeneralAndAdministration,quarterlyFreeCashFlow,quarterlyDilutedAverageShares,quarterlyBasicAverageShares,quarterlyInterestExpense,quarterlyPurchaseOfInvestment,quarterlyDilutedEPS,quarterlyTotalRevenue,quarterlyEbitda,quarterlyIncomeTaxPayable,quarterlyOtherIncomeExpense,quarterlyNetIncome,quarterlyGrossProfit,quarterlyPretaxIncome,quarterlyCostOfRevenue,quarterlyChangesInAccountReceivables,quarterlyChangeInWorkingCapital,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyInvestmentsAndAdvances,quarterlyRepaymentOfDebt,quarterlyDeferredIncomeTax,quarterlyNetOtherFinancingCharges,quarterlyResearchAndDevelopment,quarterlyEndCashPosition,quarterlySaleOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyBeginningCashPosition,quarterlyCurrentDeferredRevenue,quarterlyChangeInAccountPayable,quarterlyInvestingCashFlow,quarterlyOtherNonCashItems,quarterlyOperatingExpense
2009-12-31,1890000000,13169300000,,24452600000,12817400000,1632300000,477000000.0,4859000000,2461700000.0,24452600000.0,351900000,5190700000,0.0,10628800000,19622300000,1501800000.0,,46483200000,66105500000,29317400000,15684200000,1114400000.0,540900000.0,32845800000,18688600000,3324100000,,2588000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-30,2001200000,12683400000,-8649200000.0,25703100000,8607600000,1795600000,2185300000.0,8911600000,2463400000.0,34352300000.0,4075800000,4892700000,0.0,14682800000,17898100000,861900000.0,,51021800000,68919900000,30319900000,12517600000,1118300000.0,4800000.0,34393500000,15637100000,4055700000,,1154200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-31,2017500000,11867000000,-9198600000.0,27825800000,0,1795600000,2371800000.0,10008600000,2575600000.0,37024400000.0,11867000000,5801600000,0.0,16523400000,16957600000,1651900000.0,,55706500000,72664100000,31455500000,11780700000,1133900000.0,0.0,37464100000,14932100000,3787300000,,1303300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-30,2107500000,12398500000,,29362800000,10463500000,1975100000,2573500000.0,5403600000,2698300000.0,,1935000000,6170700000,0.0,12568400000,18188500000,948100000.0,,59125800000,77314300000,33884700000,18062000000,1146800000.0,0.0,39280300000,21316300000,4464000000,,1326000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12-31,2444100000,493700000,-10481000000.0,33606300000,0,1975100000,2258900000.0,4503200000,3434800000.0,44087300000.0,493700000,7990500000,0.0,13403400000,19955100000,3199700000.0,,65133800000,85088900000,38756700000,21628400000,1165700000.0,11555500000.0,41584100000,25353300000,6283500000,,1622400000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-06-30,4272100000,10545600000,,38306500000,10170000000,2172600000,2256700000.0,5298300000,3453300000.0,38306500000.0,375600000,8231000000,0.0,14640700000,20022900000,1042900000.0,,71389600000,91412500000,44222400000,23890100000,1245900000.0,321500000.0,42362000000,29581700000,7014000000,,2141800000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-31,4446200000,12794800000,-11761300000.0,41914100000,12186400000,2172600000,2329600000.0,6702300000,75700000.0,53675400000.0,608400000,2345200000,0.0,17252900000,21437800000,1998800000.0,1205100000.0,77585900000,99023700000,48556800000,25269500000,78000000.0,0.0,45318500000,31303900000,3065100000,3769700000.0,1831800000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-30,4584500000,12347000000,-12478400000.0,44399600000,11587800000,2389900000,2348700000.0,6670400000,4989200000.0,56878000000.0,759200000,2259300000,0.0,17962200000,21747200000,1147200000.0,1208100000.0,81134300000,102881500000,49256800000,25098100000,78300000.0,0.0,47533100000,31294600000,5897600000,,2009400000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-31,4711300000,10799600000,-13288700000.0,47002300000,8849000000,2389900000,1551400000.0,6496500000,70100000.0,60291000000.0,1950600000,2622500000,8649800000.0,19261800000,21688700000,2198700000.0,1233400000.0,84706500000,106395200000,50024700000,24423200000,29200000.0,0.0,49867600000,30762900000,3517300000,5183200000.0,2383100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-30,4913900000,13327500000,-14047300000.0,48274700000,11920600000,5474700000,2349900000.0,6842600000,5696300000.0,62322000000.0,1406900000,2435600000,0.0,19139900000,24606800000,1261900000.0,1241400000.0,86116600000,110723400000,50827100000,25213200000,31200000.0,0.0,53144200000,31687200000,3324200000,,2366600000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
