date,quarterlyGoodwill,quarterlyOtherShortTermInvestments,quarterlyTotalNonCurrentAssets,quarterlyAccountsReceivable,quarterlyTotalAssets,quarterlyOtherNonCurrentLiabilities,quarterlyLongTermDebt,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCurrentDebt,quarterlyOtherNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyInvestmentsAndAdvances,quarterlyInventory,quarterlyStockholdersEquity,quarterlyCapitalStock,quarterlyOtherIntangibleAssets,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyOtherCurrentAssets,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyOtherCurrentLiabilities,quarterlyAccumulatedDepreciation,quarterlyNetPPE,quarterlyRetainedEarnings,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyGrossPPE,quarterlyNonCurrentDeferredRevenue,quarterlyDepreciationAndAmortization,quarterlyIncomeTaxPayable,quarterlyNetIncome,quarterlyChangeInWorkingCapital,quarterlyTaxProvision,quarterlyNetOtherFinancingCharges,quarterlyFreeCashFlow,quarterlyCommonStockIssuance,quarterlyOtherIncomeExpense,quarterlyInterestExpense,quarterlyBasicAverageShares,quarterlyOtherNonCashItems,quarterlyChangeInAccountPayable,quarterlyRepurchaseOfCapitalStock,quarterlyPurchaseOfBusiness,quarterlySellingGeneralAndAdministration,quarterlyDilutedAverageShares,quarterlyChangesInAccountReceivables,quarterlyOperatingExpense,quarterlyNetIncomeContinuousOperations,quarterlyCashDividendsPaid,quarterlyDeferredIncomeTax,quarterlyNetOtherInvestingChanges,quarterlyBeginningCashPosition,quarterlySaleOfInvestment,quarterlyBasicEPS,quarterlyPretaxIncome,quarterlyInvestingCashFlow,quarterlyCostOfRevenue,quarterlyRepaymentOfDebt,quarterlyOperatingIncome,quarterlyOperatingCashFlow,quarterlyEndCashPosition,quarterlyCurrentDeferredRevenue,quarterlyCapitalExpenditure,quarterlyChangeInCashSupplementalAsReported,quarterlyDilutedEPS,quarterlyStockBasedCompensation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentAccruedExpenses,quarterlyTotalRevenue,quarterlyResearchAndDevelopment,quarterlyPurchaseOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyGrossProfit,quarterlyEbitda,quarterlyChangeInInventory
2010-03-31,,5291000.0,1196734000,,2130783000,0.0,401727000,527013000,6962000,3205000,964179000,,196345000,1115136000,5925000,726512000,83777000,372351000,367060000,0.0,341144000,,39056000.0,-836903000.0,368609000,1080496000.0,934049000,437166000,1205512000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-09-30,,8817000.0,1244611000,,2298077000,0.0,399180000,533802000,5165000,0,1018084000,,244435000,1224610000,75955000,757049000,81341000,394613000,385796000,0.0,411174000,,0.0,,389095000,14203000.0,1053466000,484282000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-03-31,,14682000.0,1284612000,,2342373000,0.0,179458000,326203000,134248000,0,920081000,,252763000,1362202000,69970000,784034000,78160000,369397000,354715000,0.0,414522000,,0.0,-896575000.0,403985000,28285000.0,1057761000,593878000,1300560000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-09-30,,,1261827000,389470000.0,2265515000,6292000.0,109846000,264674000,139937000,1097000,858543000,21437000.0,252076000,1383735000,46440000,781413000,77726000,344080000,344080000,11615000.0,370426000,1323476000.0,26992000.0,,364179000,13819000.0,1003688000,593869000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-03-31,516614000.0,3359000.0,1252443000,319821000.0,2279931000,6856000.0,2258000,152047000,203104000,0,792450000,,240103000,1461559000,36422000,245846000,78192000,388476000,385117000,0.0,195299000,,17867000.0,-897541000.0,374668000,32311000.0,1027488000,640403000,1272209000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-09-30,501696000.0,3764000.0,1212613000,339802000.0,2242897000,6360000.0,2016000,143059000,159880000,1095000,743558000,,241454000,1473481000,31716000,225873000,72022000,350686000,346922000,0.0,201160000,,12785000.0,-35892000.0,369606000,13836000.0,1030284000,600499000,369606000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-31,436573000.0,15934000.0,1124189000,344235000.0,2243949000,4102000.0,1735000,107088000,123260000,4540000,645186000,,208095000,1568512000,5777000,188762000,64663000,480924000,480924000,0.0,184655000,,9856000.0,-879534000.0,358566000,1473057000.0,1119760000,538098000,1238100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-09-30,456649000.0,19040000.0,1148595000,358818000.0,2377401000,3890000.0,1655000,114895000,130335000,6307000,687367000,,216164000,1655653000,5773000,188586000,59441000,563387000,563387000,0.0,196750000,,8613000.0,,365968000,13740000.0,1228806000,572472000,365968000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-31,465011000.0,11675000.0,1194369000,378222000.0,2500712000,3508000.0,1394000,141039000,115459000,6513000,734394000,,207041000,1732299000,5773000,185722000,53609000,643986000,643986000,0.0,386406000,,6816000.0,-923348000.0,392226000,38910000.0,1306343000,593355000,1315574000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-30,438228000.0,23706000.0,1211721000,346125000.0,2689126000,3709000.0,196022000,327818000,108140000,7080000,892040000,,230498000,1758375000,5720000,176327000,58552000,810014000,810014000,0.0,214024000,,6107000.0,,404546000,1701023000.0,1477405000,564222000,404546000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
