date,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyCashDividendsPaid,quarterlyDepreciationAndAmortization,quarterlyRetainedEarnings,quarterlyEbitda,quarterlyStockBasedCompensation,quarterlyOtherNonCashItems,quarterlyFreeCashFlow,quarterlyPurchaseOfInvestment,quarterlyTotalRevenue,quarterlyOperatingIncome,quarterlyTotalNonCurrentAssets,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInWorkingCapital,quarterlyNetIncomeCommonStockholders,quarterlyTotalAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyDilutedEPS,quarterlyNetIncomeContinuousOperations,quarterlyOtherCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyCurrentAccruedExpenses,quarterlyStockholdersEquity,quarterlyGoodwill,quarterlyNetOtherInvestingChanges,quarterlyAccountsReceivable,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCostOfRevenue,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyChangeInAccountPayable,quarterlyOtherIncomeExpense,quarterlyInvestmentsAndAdvances,quarterlyChangeInInventory,quarterlyInventory,quarterlyGrossProfit,quarterlyLongTermDebt,quarterlyNetIncome,quarterlySellingGeneralAndAdministration,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCurrentDeferredRevenue,quarterlyOperatingExpense,quarterlyPretaxIncome,quarterlyRepaymentOfDebt,quarterlyOtherIntangibleAssets,quarterlyPurchaseOfBusiness,quarterlyNetPPE,quarterlyTaxProvision,quarterlyBeginningCashPosition,quarterlyBasicEPS,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyBasicAverageShares,quarterlyCapitalStock,quarterlyCashAndCashEquivalents,quarterlyCommonStockIssuance,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyNetOtherFinancingCharges,quarterlyChangesInAccountReceivables,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherNonCurrentAssets,quarterlyCapitalExpenditure,quarterlyAccumulatedDepreciation,quarterlyOperatingCashFlow,quarterlyDilutedAverageShares,quarterlySaleOfInvestment,quarterlyGrossPPE,quarterlyIncomeTaxPayable,quarterlyDeferredIncomeTax,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyRepurchaseOfCapitalStock,quarterlyResearchAndDevelopment,quarterlyOtherCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherShortTermInvestments
2013-12-31,1471000000.0,1980000000.0,,61000000,,193000000,,4000000,370000000,,1656000000,132000000,3641000000.0,11000000.0,344000000,110000000,5621000000.0,2342000000.0,,111000000,0.0,25000000.0,86000000.0,3276000000.0,198000000.0,13000000.0,764000000.0,871000000.0,1300000000,0,-147000000,183000000,15000000.0,123000000.0,-12000000,1055000000.0,356000000,,110000000,183000000,415000000.0,32000000.0,224000000,147000000,0.0,17000000.0,,2972000000.0,36000000,0,,,,,,,,,-383000000,173000000,-383000000,163000000.0,-160000000,-5849000000.0,530000000,,,8821000000.0,,-1000000,1026000000.0,19000000.0,,41000000,81000000.0,0,
2014-03-31,,,,64000000,,183000000,,5000000,-405000000,0.0,1569000000,119000000,,,-433000000,98000000,,,0.536211,98000000,,,,,,3000000.0,,,1240000000,0,-128000000,-282000000,13000000.0,,-15000000,,329000000,,98000000,173000000,,,210000000,132000000,,,0.0,,34000000,0,0.540341,,181367000.0,,,,,,402000000,-136000000,402000000,,-131000000,,-274000000,182764000.0,,,,-4000000,,,,37000000,,0,
2014-06-30,,,,64000000,,212000000,,-6000000,-55000000,0.0,1682000000,148000000,,,-118000000,116000000,,,0.634698,116000000,,,,,,26000000.0,,,1311000000,0,-74000000,-47000000,7000000.0,,-10000000,,371000000,,116000000,183000000,,,223000000,155000000,,,0.0,,39000000,0,0.639587,,181367000.0,,,,,0.0,29000000,-61000000,29000000,,-100000000,,45000000,182764000.0,,,,-4000000,,,,40000000,,0,
2014-09-30,1181000000.0,2219000000.0,,57000000,,207000000,,7000000,69000000,,1632000000,150000000,3825000000.0,,90000000,107000000,6044000000.0,2078000000.0,0.585454,108000000,0.0,481000000.0,321000000.0,3963000000.0,198000000.0,-2000000.0,929000000.0,897000000.0,1273000000,0,-175000000,63000000,-7000000.0,136000000.0,19000000,1072000000.0,359000000,,107000000,176000000,416000000.0,,209000000,143000000,,12000000.0,,3163000000.0,35000000,0,0.589964,,181367000.0,,,,,0.0,-66000000,8000000,-67000000,156000000.0,-173000000,-5932000000.0,242000000,182764000.0,,9095000000.0,,-18000000,852000000.0,19000000.0,,33000000,0.0,0,
2014-12-31,1407000000.0,1962000000.0,,72000000,,187000000,,12000000,292000000,,1549000000,115000000,4016000000.0,13000000.0,351000000,79000000,5978000000.0,2305000000.0,,79000000,0.0,30000000.0,7000000.0,3669000000.0,198000000.0,25000000.0,757000000.0,898000000.0,1248000000,0,-183000000,181000000,5000000.0,124000000.0,-23000000,1052000000.0,301000000,,79000000,153000000,434000000.0,38000000.0,186000000,120000000,1000000.0,11000000.0,,3308000000.0,41000000,0,,,,,,,,,-310000000,193000000,-309000000,212000000.0,-200000000,-5974000000.0,492000000,,,9282000000.0,,4000000,1004000000.0,19000000.0,,33000000,104000000.0,0,
2015-03-31,1231000000.0,2097000000.0,,64000000,,126000000,,11000000,-375000000,-30000000.0,1363000000,62000000,4126000000.0,,-364000000,43000000,6223000000.0,2094000000.0,0.1,43000000,0.0,460000000.0,297000000.0,4125000000.0,196000000.0,8000000.0,833000000.0,863000000.0,1111000000,0,-159000000,-178000000,-4000000.0,164000000.0,-88000000,1116000000.0,252000000,,43000000,167000000,403000000.0,,190000000,58000000,,10000000.0,-30000000.0,3285000000.0,15000000,0,0.1,,181367000.0,,,,,,397000000,-98000000,397000000,188000000.0,-137000000,-6035000000.0,-238000000,182764000.0,,9320000000.0,,11000000,925000000.0,-404000000.0,,23000000,0.0,0,
2015-06-30,1441000000.0,2483000000.0,,67000000,,109000000,,16000000,-145000000,-2000000.0,1508000000,42000000,4202000000.0,,-10000000,-18000000,6685000000.0,6280000000.0,-0.1,-18000000,0.0,485000000.0,380000000.0,401000000.0,196000000.0,0.0,926000000.0,4839000000.0,1282000000,247000000,-164000000,77000000,-32000000.0,145000000.0,20000000,1054000000.0,226000000,3927000000.0,-18000000,157000000,427000000.0,,184000000,-18000000,,12000000.0,-2000000.0,3378000000.0,0,0,-0.1,247000000.0,180996833.0,,247000000.0,,16000000.0,28000000.0,-3084000000,-107000000,406000000,188000000.0,-150000000,-6057000000.0,5000000,180996833.0,,9435000000.0,,-42000000,919000000.0,-435000000.0,,27000000,0.0,247000000,
2015-09-30,1505000000.0,2481000000.0,,70000000,-30000000.0,159000000,,186000000,8000000,0.0,1486000000,89000000,3970000000.0,,-52000000,-29000000,6451000000.0,6361000000.0,-0.16,-29000000,0.0,553000000.0,444000000.0,86000000.0,169000000.0,0.0,988000000.0,4856000000.0,1222000000,215000000,-32000000,-46000000,-145000000.0,154000000.0,39000000,993000000.0,264000000,3924000000.0,-29000000,157000000,379000000.0,,175000000,-107000000,,11000000.0,0.0,3170000000.0,-78000000,247000000,-0.16,215000000.0,180968049.0,2000000.0,215000000.0,,38000000.0,51000000.0,-2000000,-45000000,-108000000,172000000.0,-105000000,-5873000000.0,113000000,180968049.0,,9043000000.0,,-55000000,1009000000.0,-531000000.0,,18000000,0.0,-32000000,
2015-12-31,1466000000.0,2301000000.0,-5000000.0,66000000,-115000000.0,99000000,,8000000,175000000,0.0,1360000000,33000000,3997000000.0,11000000.0,399000000,-86000000,6298000000.0,6168000000.0,,-86000000,0.0,89000000.0,32000000.0,126000000.0,166000000.0,4000000.0,757000000.0,4702000000.0,1147000000,366000000,-142000000,165000000,-101000000.0,136000000.0,48000000,972000000.0,213000000,3915000000.0,-86000000,151000000,234000000.0,20000000.0,180000000,-121000000,-4000000.0,10000000.0,0.0,3177000000.0,-35000000,215000000,,366000000.0,,2000000.0,366000000.0,,39000000.0,53000000.0,0,186000000,-8000000,187000000.0,-127000000,-5838000000.0,302000000,,-19000000.0,9015000000.0,32000000.0,-112000000,945000000.0,-536000000.0,,29000000,117000000.0,151000000,
2016-03-31,1487000000.0,2371000000.0,-5000000.0,66000000,-64000000.0,112000000,,63000000,-53000000,-1000000.0,1297000000,46000000,4009000000.0,,-60000000,51000000,6380000000.0,6188000000.0,0.28,51000000,0.0,542000000.0,611000000.0,188000000.0,165000000.0,140000000.0,906000000.0,4701000000.0,1095000000,435000000,50000000,-38000000,81000000.0,144000000.0,18000000,948000000.0,202000000,3920000000.0,51000000,133000000,239000000.0,,156000000,70000000,-9000000.0,10000000.0,0.0,3199000000.0,19000000,366000000,0.28,435000000.0,180966833.0,2000000.0,435000000.0,,34000000.0,57000000.0,-2000000,-40000000,-16000000,491000000.0,-89000000,-5893000000.0,36000000,180966833.0,,9092000000.0,,10000000,842000000.0,-525000000.0,,23000000,0.0,69000000,
