date,quarterlyOtherShortTermInvestments,quarterlyGoodwill,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyLongTermDebt,quarterlyFreeCashFlow,quarterlyOtherNonCurrentLiabilities,quarterlySellingGeneralAndAdministration,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyDilutedAverageShares,quarterlyDepreciationAndAmortization,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyPurchaseOfInvestment,quarterlyGrossProfit,quarterlyNetIncomeCommonStockholders,quarterlyInvestingCashFlow,quarterlyInventory,quarterlyChangeInAccountPayable,quarterlyEndCashPosition,quarterlyNetOtherFinancingCharges,quarterlyInvestmentsAndAdvances,quarterlyOtherNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOtherIncomeExpense,quarterlyBasicEPS,quarterlyCashDividendsPaid,quarterlyBasicAverageShares,quarterlyStockholdersEquity,quarterlyChangesInAccountReceivables,quarterlyNetOtherInvestingChanges,quarterlyOtherIntangibleAssets,quarterlyOperatingExpense,quarterlyChangeInInventory,quarterlyCurrentDeferredRevenue,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyRepaymentOfDebt,quarterlySaleOfInvestment,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyOtherCurrentAssets,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyCommonStockIssuance,quarterlyDilutedEPS,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,quarterlyEbitda,quarterlyTotalRevenue,quarterlyOperatingIncome,quarterlyAccumulatedDepreciation,quarterlyOtherNonCashItems,quarterlyOperatingCashFlow,quarterlyChangeInCashSupplementalAsReported,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyIncomeTaxPayable,quarterlyGrossPPE,quarterlyRetainedEarnings,quarterlyTaxProvision,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyNetPPE,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyNonCurrentDeferredRevenue,quarterlyStockBasedCompensation,quarterlyResearchAndDevelopment,quarterlyOtherCurrentLiabilities,quarterlyRepurchaseOfCapitalStock
2004-03-31,,,30718000,,29932000,697884000,577713000,524685000,19722000,18024000,4186000,2737000,2737000,30769230.0,9142000,557612000,53395000,8523000,,16887000,2737000,-151446000,4285000,,28901000,-35889000,,105108000.0,653544000,14903000,442000,0.09,,30769230.0,44271000,,-65905000.0,35985000,4488000,-573000,,28901000,28901000,,,36236000.0,-76000,0.0,8873000,31000,,0.09,148978000,-2774000,21541000,47605000,12399000,-36801000.0,,22496000,20028000,95932000,120171000,,473421000.0,37322000,1717000,4562000,,436620000,10250000,1053000,,,302000.0,6301000.0,
2004-06-30,,,33016000,,37031000,778183000,668812000,581124000,-3677000,19583000,4979000,3542000,3542000,30786136.0,5116000,616635000,55028000,10952000,,19085000,3542000,-81683000,7456000,,21170000,22215000,,105092000.0,714882000,15928000,1341000,0.11,,30786136.0,63232000,,13649000.0,49758000,5879000,-3171000,,21170000,21170000,,,34764000.0,-10344000,0.0,28901000,33000,,0.11,73788000,-3841000,18322000,52101000,13206000,-43979000.0,,164000,-7731000,98247000,109371000,,557941000.0,46551000,240000,1747000,,513962000,-12974000,539000,,,900000.0,8455000.0,
2004-09-30,,,35971000,,37607000,774023000,659916000,565161000,6303000,20011000,4776000,6763000,6763000,30786136.0,11626000,605547000,44847000,11737000,,27312000,6763000,9175000,10900000,,29639000,45406000,,97752000.0,708681000,20375000,97000,0.28,,24374995.0,65274000,,19088000.0,49078000,4776000,-3444000,,29639000,29639000,,,38160000.0,-196000,1784000.0,21170000,24000,,0.28,-16922000,-9913000,34162000,63283000,22536000,-439793000.0,,16216000,8469000,103134000,114107000,,952879000.0,38445000,4197000,10747000,,513086000,-4684000,4224000,,,,20127000.0,
2004-12-31,89166000.0,,36373000,,26913000,850088000,676766000,517578000,2988000,23183000,4235000,4749000,4749000,,11224000,559129000,38746000,11573000,,19868000,4749000,-86629000,6046000,,36750000,101464000,,97789000.0,682110000,18368000,3197000,,,,167914000,,27573000.0,48930000,6264000,4854000,,36750000,125916000,,,37565000.0,-566000,0.0,29639000,31000,,,69158000,-21594000,24828000,56241000,13604000,-58825000.0,,24582000,7111000,122981000,173322000,,585828000.0,44441000,455000,3885000,,527003000,12490000,-2031000,,,,46670000.0,
2005-03-31,29045000.0,,34295000,,29450000,828395000,683414000,508311000,3365000,23741000,5835000,3908000,3908000,31563000.0,9500000,551811000,48045000,10298000,,19601000,3908000,30074000,6521000,,44447000,-18339000,,93175000.0,657115000,19759000,1490000,0.12,-2500000.0,31563000.0,171216000,,-10889000.0,48253000,6215000,-475000,,44447000,73492000,,60122000.0,51183000.0,-225000,0.0,36750000,31000,,0.12,-44901000,-19159000,22886000,53896000,13386000,-58825000.0,,22524000,7697000,105304000,144981000,,596923000.0,47402000,1480000,3855000,,538098000,10352000,-28000,,,380000.0,6076000.0,
2005-06-30,57756000.0,,38932000,,35344000,894624000,700409000,490726000,-16938000,94309000,4626000,4094000,4094000,31563000.0,8764000,604948000,55416000,9502000,,16807000,4094000,-66983000,9141000,,47224000,14629000,,88546000.0,721027000,19913000,2208000,0.13,-1894000.0,31563000.0,173533000,,-9722000.0,47540000,5340000,-2620000,,47224000,104980000,,-27647000.0,49819000.0,-1055000,3457000.0,44447000,31000,,0.13,57084000,-29614000,20231000,55739000,11467000,-58825000.0,,12676000,2777000,116079000,194215000,,618803000.0,50549000,1154000,3151000,,559978000,-754000,-193000,,,714000.0,10844000.0,
2005-09-30,54447000.0,,37928000,,36386000,925116000,728829000,487687000,-12180000,94052000,5322000,12318000,12318000,31563000.0,8262000,607098000,57382000,9011000,,31362000,12318000,-30612000,5241000,,48538000,-18421000,,83070000.0,738458000,25359000,1673000,0.39,-953000.0,31563000.0,186594000,,5648000.0,46854000,6099000,3900000,,48538000,102985000,,2272000.0,61617000.0,641000,0.0,47224000,31000,,0.39,5574000,-38532000,33525000,69290000,25263000,-58825000.0,,26352000,1314000,131360000,196287000,,652723000.0,61914000,6977000,17654000,,593898000,2125000,3342000,,,777000.0,12361000.0,
2005-12-31,43560000.0,,37410000,,34039000,914480000,751518000,478059000,43942000,105748000,6413000,-5143000,-5143000,,8049000,605811000,63641000,26506000,,21371000,-5143000,-15887000,5224000,,26976000,-17900000,,78136000.0,732157000,22004000,1596000,,-947000.0,,182259000,,2698000.0,47915000,7578000,17000,,26976000,70536000,,10859000.0,50048000.0,2396000,0.0,48538000,31000,,,-79061000,-29444000,21842000,58781000,13793000,-88439000.0,,73386000,-21562000,126346000,162962000,,708530000.0,55824000,-4921000,-11687000,,620091000,71755000,-5303000,,,1165000.0,12657000.0,
2006-03-31,9070000.0,,37399000,,39446000,942953000,820088000,488779000,-15847000,105094000,7379000,7892000,7892000,31697000.0,9440000,619276000,32808000,7453000,,22922000,7892000,-19822000,6191000,,19094000,-7198000,,71354000.0,748712000,25403000,1374000,0.25,,31563000.0,189443000,,750000.0,47210000,8152000,-967000,,19094000,28164000,,34492000.0,63548000.0,2577000,0.0,26976000,31000,,0.248983,-11915000,-39702000,24210000,60321000,14770000,-88439000.0,,23855000,-7882000,129436000,122865000,,785278000.0,62769000,1914000,8527000,,696839000,4364000,1846000,,,773000.0,33080000.0,
2006-06-30,83823000.0,,40516000,,41014000,1053304000,850225000,466412000,-35241000,105472000,7230000,8395000,8395000,35254000.0,9980000,597642000,33594000,7741000,,23570000,8395000,-110000000,5117000,,24736000,-10122000,,69437000.0,716252000,25758000,1066000,0.24,,35105000.0,331679000,,2994000.0,46505000,8120000,1074000,,24736000,108559000,,-32430000.0,53835000.0,2358000,0.0,19094000,35000,,0.24,110570000,-40313000,25430000,64086000,15450000,-88439000.0,,5072000,5642000,118610000,203079000,,815614000.0,69741000,2156000,10191000,,727175000,-11410000,-2402000,,,890000.0,31181000.0,
