date,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyOperatingCashFlow,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherNonCurrentLiabilities,quarterlyCommonStockIssuance,quarterlyOtherCurrentLiabilities,quarterlyTotalNonCurrentAssets,quarterlyCurrentDebt,quarterlyCapitalExpenditure,quarterlyInterestExpense,quarterlyOtherNonCurrentAssets,quarterlyNetOtherFinancingCharges,quarterlyTotalAssets,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyAccumulatedDepreciation,quarterlyFreeCashFlow,quarterlyDilutedAverageShares,quarterlyCurrentLiabilities,quarterlyPretaxIncome,quarterlyOtherNonCashItems,quarterlyPurchaseOfBusiness,quarterlyOtherIntangibleAssets,quarterlyCurrentAssets,quarterlyDepreciationAndAmortization,quarterlyCapitalStock,quarterlyOtherShortTermInvestments,quarterlyRetainedEarnings,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyTaxProvision,quarterlyCashAndCashEquivalents,quarterlyNetPPE,quarterlyBeginningCashPosition,quarterlyEbitda,quarterlyStockBasedCompensation,quarterlySaleOfInvestment,quarterlyIncomeTaxPayable,quarterlyRepurchaseOfCapitalStock,quarterlyDilutedEPS,quarterlyGrossPPE,quarterlyNonCurrentDeferredRevenue,quarterlyAccountsPayable,quarterlyOtherCurrentAssets,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyPurchaseOfInvestment,quarterlyChangesInAccountReceivables,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNetIncomeCommonStockholders,quarterlyCashDividendsPaid,quarterlyOperatingExpense,quarterlyBasicAverageShares,quarterlySellingGeneralAndAdministration,quarterlyRepaymentOfDebt,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyGoodwill,quarterlyEndCashPosition,quarterlyBasicEPS,quarterlyInvestingCashFlow,quarterlyStockholdersEquity,quarterlyAccountsReceivable,quarterlyNetOtherInvestingChanges,quarterlyInvestmentsAndAdvances,quarterlyChangeInInventory,quarterlyLongTermDebt,quarterlyChangeInAccountPayable,quarterlyInventory,quarterlyGrossProfit,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCurrentDeferredRevenue,quarterlyOtherIncomeExpense,quarterlyResearchAndDevelopment
2009-03-31,-27231000,-27507000,,,,,,,,,1338000,,,,,,,54071000.0,,-32808000,,,,,,,,,,-5577000,,,,-31470000,,,,,-0.51,,,,,,,,,,-31738000,253536000,,-27507000,,43624000,54071000.0,43624000,,,241650000,,,,-0.51,,,,,,,,,,11886000,,,-3000,
2009-06-30,29672000,27947000,,,,,,,,,2422000,,,,,,,181332000.0,,35750000,,,,,,,,,,6078000,,,,38172000,,,,,0.15,,,,,,,,,,37958000,315296000,,27947000,,38248000,55539000.0,38248000,,,239090000,,,,0.16,,,,,,,,,,76206000,,,8000,
2009-09-30,26090000,22264000,,,,,,,,,2493000,,,,,,,,,35202000,,,,,,,,,,9112000,,,,37695000,,,,,,,,,,,,,,,37053000,341109000,,22264000,,47788000,,47788000,,,256268000,,,,,,,,,,,,,,84841000,,,12000,
2009-12-31,22917089,19840530,,,20452463.0,,0.0,1164505809.0,57000000.0,,2534096,61170258.0,,1581131515.0,,-277529412.0,,,365550819.0,31293764,,,20394760.0,416625706.0,,124918.0,,-245456912.0,270587296.0,8376675,270587296.0,1028266722.0,,33827860,,,3869445.0,,,1305796134.0,206333261.0,141570710.0,28974813.0,,,-12529459.0,,,33141360,350250124,678874774.0,19840530,,49644611,,49644611,,313323955.0,267464153,118980077.0,18452163.0,,,,890891839.0,15157758.0,,,,80000000.0,,8883092.0,82785971,6538231.0,43203003.0,-76677,
2010-03-31,13671000,12448000,,,23106000.0,,1021000.0,1187346000.0,12140000.0,,1545000,62285000.0,,1597994000.0,,,,196751000.0,319083000.0,16297000,,,20389000.0,410648000.0,,178000.0,,-233010000.0,258374000.0,2626000,258374000.0,1048778000.0,,17842000,,,4195000.0,,0.06,,219725000.0,137657000.0,37381000.0,,,-12537000.0,,,17208000,340945000,625812000.0,12448000,,51535000,68582000.0,51535000,,306729000.0,272202000,90118000.0,18452000.0,,0.07,,964310000.0,20946000.0,,,,57360000.0,,7818000.0,68743000,6538000.0,50423000.0,-29000,
2010-06-30,82025000,79702000,,,273740000.0,,90788000.0,1251290000.0,12140000.0,,739000,108794000.0,,2720611000.0,,,,246305000.0,375358000.0,105428000,,,34138000.0,1469321000.0,,178000.0,,-153307000.0,1285430000.0,23403000,1285430000.0,1089906000.0,,106167000,,,24880000.0,,0.32,,,156329000.0,46551000.0,,,-14240000.0,,,104538000,438863000,712496000.0,79702000,,60692000,241018000.0,60692000,,337138000.0,273633000,91221000.0,18452000.0,,0.33,,2001026000.0,24174000.0,,,,56860000.0,,7864000.0,165230000,6538000.0,,103000,
2010-09-30,90062000,88682000,,,38297000.0,,0.0,1381727000.0,24000000.0,,127000,76806000.0,,2870849000.0,,,,,466429000.0,113202000,,,36963000.0,1489122000.0,,178000.0,,-64625000.0,1271710000.0,23140000,1271710000.0,1212064000.0,,113329000,,,37360000.0,,,,272985000.0,213161000.0,27585000.0,,,-18712000.0,,,103687000,506056000,784249000.0,88682000,,91254000,,91254000,,317820000.0,311115000,92129000.0,18452000.0,,,,2079109000.0,22212000.0,,,,0.0,,10535000.0,194941000,6538000.0,58925000.0,4410000,
2010-12-31,36036431,34919477,,,46619134.0,,15121157.879,1629261311.0,0.0,,271367,79953202.0,,3044079406.0,,-441053871.0,,,574342336.0,44128971,,,57348030.0,1414818095.0,,177687.0,100000000.0,-29705435.0,1160066663.0,8092540,1060066663.0,1422432435.0,,44400338,,,15.121,,,1863486306.0,285871742.0,283202773.0,40176914.0,,,-22702974.0,,,30873921,452629710,918770162.0,34919477,,98503742,,98503742,,344427826.0,323252047,148925942.0,41372983.0,,,,2116133443.0,21535528.0,,,,0.0,,18290222.0,129377663,11936950.0,68599015.0,5002585,
2011-03-31,-13348000,-13955000,38620000.0,-158065000.0,50087000.0,,0.0,1692871000.0,,-157150000.0,224000,82263000.0,225000.0,2965899000.0,-878000.0,,-118530000.0,241156000.0,489111000.0,-15757000,12259000.0,-40252000.0,56075000.0,1273028000.0,52061000.0,178000.0,100000000.0,-43661000.0,1002002000.0,-2409000,902002000.0,1485005000.0,1060067000.0,36528000,3393000.0,0.0,0.0,,-0.06,,302039000.0,243487000.0,36525000.0,-16000.0,-15842000.0,-26041000.0,,-10520000.0,-23555000,424435000,853174000.0,-13955000,,86723000,241156000.0,86723000,,364063000.0,361267000,115701000.0,41373000.0,902002000.0,-0.06,-192472000.0,2102717000.0,31942000.0,4930000.0,,-2514000.0,,1465000.0,20804000.0,63168000,11937000.0,89628000.0,4118000,
2011-06-30,40670000,40311000,161193000.0,72699000.0,53011000.0,,0.0,1825401000.0,,-181668000.0,232000,89517000.0,-299000.0,3093933000.0,2264000.0,,-20475000.0,246470000.0,532331000.0,49529000,27154000.0,-4290000.0,57872000.0,1268532000.0,54885000.0,178000.0,0.0,-3350000.0,974701000.0,8859000,974701000.0,1608484000.0,902002000.0,104646000,4186000.0,100000000.0,0.0,,0.16,,334915000.0,231830000.0,35889000.0,16000.0,34190000.0,-30309000.0,,3872000.0,40465000,547740000,932194000.0,40311000,,111602000,241814000.0,111602000,,399863000.0,395673000,145683000.0,41373000.0,1876703000.0,0.17,-86489000.0,2154203000.0,31245000.0,-531000.0,,-906000.0,,-1658000.0,21710000.0,152067000,11937000.0,99011000.0,4779000,
2011-09-30,59176000,58177000,124002000.0,-137600000.0,57714000.0,918000.0,0.0,2040081000.0,,-222830000.0,213000,130386000.0,2042000.0,3241185000.0,2708000.0,,-98828000.0,246272000.0,581460000.0,66350000,25548000.0,-3740000.0,56906000.0,1201104000.0,59583000.0,179000.0,30000000.0,54827000.0,867101000.0,7174000,837101000.0,1811416000.0,974701000.0,126146000,5046000.0,,0.0,,0.24,,367781000.0,274915000.0,37659000.0,,-25259000.0,-36325000.0,-30000000.0,-1817000.0,55876000,626686000,1018892000.0,58177000,,118231000,242264000.0,118231000,-252000.0,437432000.0,452579000,187320000.0,41373000.0,837101000.0,0.24,-258294000.0,2213716000.0,33154000.0,-1724000.0,,-4637000.0,,4255000.0,26347000.0,174107000,11937000.0,117905000.0,6197000,
2011-12-31,31640000,30299000,134925000.0,-55500000.0,61574000.0,-918000.0,0.0,2351133000.0,,-221782000.0,213000,102056000.0,3664000.0,3524950000.0,9740000.0,-663002000.0,-86857000.0,,793343000.0,42832000,27966000.0,-9540000.0,69779000.0,1173817000.0,70328000.0,179000.0,0.0,85127000.0,781601000.0,11192000,781601000.0,2095794000.0,837101000.0,113373000,2858000.0,,14148000.0,,,2758796000.0,401472000.0,417605000.0,53862000.0,,44907000.0,-39166000.0,,-7936000.0,34360000,650736000,1269066000.0,30299000,,122558000,,122558000,252000.0,475723000.0,493818000,75442000.0,42536000.0,781601000.0,,-197322000.0,2246094000.0,37416000.0,4000000.0,,-4735000.0,,-627000.0,31232000.0,156918000,12677000.0,138148000.0,3485000,
2012-03-31,-8700000,-9429000,100973000.0,-165919000.0,64862000.0,,0.0,2455676000.0,,-250280000.0,213000,107073000.0,357000.0,3476965000.0,762000.0,,-149307000.0,242629000.0,714906000.0,-9667000,25496000.0,-4610000.0,67700000.0,1021289000.0,76512000.0,179000.0,,75698000.0,615682000.0,-967000,615682000.0,2197399000.0,781601000.0,67058000,3288000.0,0.0,0.0,,-0.04,,77494000.0,343526000.0,48999000.0,0.0,3624000.0,-38935000.0,,-5540000.0,-12288000,649458000,1225041000.0,-9429000,-804000.0,112378000,242629000.0,112378000,,510135000.0,549368000,157591000.0,42536000.0,615682000.0,-0.04,-267885000.0,2242204000.0,41851000.0,-12995000.0,,3570000.0,,53000.0,27662000.0,100090000,12677000.0,150317000.0,-268000,
2012-06-30,70488000,70331000,180563000.0,-74539000.0,75791000.0,,0.0,2799366000.0,250000.0,-206850000.0,209000,118803000.0,-2614000.0,3799891000.0,1070000.0,,-26287000.0,245900000.0,889990000.0,86024000,34948000.0,-21895000.0,120750000.0,1000525000.0,83238000.0,179000.0,,146029000.0,541143000.0,15536000,541143000.0,2448027000.0,615682000.0,169471000,4657000.0,,0.0,,0.29,,85977000.0,471839000.0,61478000.0,,-13527000.0,-37773000.0,-28129000.0,-7151000.0,82404000,798234000,1454842000.0,70331000,-2331000.0,135394000,242894000.0,135394000,-30000.0,564852000.0,580436000,163674000.0,42689000.0,541143000.0,0.29,-257334000.0,2321042000.0,50871000.0,-460000.0,28129000.0,-4095000.0,720000.0,-381000.0,31783000.0,217798000,12677000.0,163931000.0,-381000,
2012-09-30,97904000,95792000,242822000.0,-75448000.0,85129000.0,7770000.0,0.0,3026693000.0,240000.0,-278753000.0,200000,126508000.0,2892000.0,4017229000.0,9898000.0,,-35931000.0,247620000.0,926006000.0,124193000,46155000.0,-3040000.0,117881000.0,990536000.0,90991000.0,180000.0,,241822000.0,465695000.0,26289000,465695000.0,2670518000.0,541143000.0,215384000,7789000.0,,2474000.0,,0.39,,528024000.0,502034000.0,63886000.0,,2230000.0,-37648000.0,,2129000.0,120332000,893637000,1552476000.0,95792000,,143280000,243282000.0,143280000,-764000.0,626470000.0,630025000,176318000.0,42689000.0,465695000.0,0.39,-328293000.0,2438608000.0,48125000.0,-46500000.0,28129000.0,-1198000.0,640000.0,-1775000.0,32980000.0,263612000,12677000.0,183703000.0,129000,
2012-12-31,19810000,18192000,191362000.0,-15851000.0,92407000.0,,0.0,3333281000.0,0.0,-265700000.0,200000,133536000.0,3029000.0,4330187000.0,8166000.0,-1013694000.0,-74338000.0,248265000.0,1154642000.0,33121000,37259000.0,-510000.0,100980000.0,996906000.0,96834000.0,180000.0,8074000.0,260014000.0,457918000.0,13311000,449844000.0,2951509000.0,465695000.0,130155000,5103000.0,0.0,23142000.0,,0.07,3965203000.0,99800000.0,624824000.0,83058000.0,-18226000.0,47561000.0,-38408000.0,-8074000.0,-1773000.0,29284000,883197000,1839622000.0,18192000,-168000.0,159838000,244318000.0,90003000,-880000.0,684980000.0,694075000,187380000.0,64180000.0,449844000.0,0.07,-214619000.0,2465189000.0,50633000.0,59665000.0,28129000.0,-4991000.0,0.0,5493000.0,37971000.0,189122000,22335000.0,200515000.0,728000,
2013-03-31,943000,69000,71062000.0,-275706000.0,105073000.0,,0.0,3445216000.0,1254000.0,-346842000.0,211000,166156000.0,63000.0,4211415000.0,2872000.0,,-275780000.0,248840000.0,966229000.0,-3608000,46207000.0,-2770000.0,98905000.0,766199000.0,104363000.0,180000.0,8074000.0,260083000.0,182212000.0,-4551000,174138000.0,3032899000.0,449844000.0,100966000,7673000.0,,,,0.000277,,103890000.0,464146000.0,67292000.0,,-90165000.0,-38622000.0,,-33803000.0,-4924000,866937000,1710432000.0,69000,-144000.0,136680000,244542000.0,82713000,-44540000.0,744203000.0,735181000,206510000.0,64180000.0,174138000.0,0.000282,-349424000.0,2474877000.0,81847000.0,188000.0,28129000.0,5505000.0,,-120000.0,32466000.0,131756000,22335000.0,214740000.0,298000,
