date,quarterlyAccumulatedDepreciation,quarterlyRepaymentOfDebt,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOtherIncomeExpense,quarterlyTaxProvision,quarterlyInventory,quarterlyNetPPE,quarterlyCurrentDebt,quarterlyCommonStockIssuance,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyDilutedAverageShares,quarterlyCashAndCashEquivalents,quarterlyInterestExpense,quarterlyNetOtherFinancingCharges,quarterlyOtherNonCurrentAssets,quarterlyResearchAndDevelopment,quarterlyOtherIntangibleAssets,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyCapitalExpenditure,quarterlyOperatingCashFlow,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherCurrentLiabilities,quarterlyTotalAssets,quarterlyBasicEPS,quarterlyTotalNonCurrentAssets,quarterlySaleOfInvestment,quarterlyChangesInAccountReceivables,quarterlyOtherShortTermInvestments,quarterlyRepurchaseOfCapitalStock,quarterlyChangeInCashSupplementalAsReported,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,quarterlyNetIncomeCommonStockholders,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyCashDividendsPaid,quarterlyStockBasedCompensation,quarterlyPurchaseOfInvestment,quarterlyEbitda,quarterlyDepreciationAndAmortization,quarterlyOtherNonCashItems,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOperatingIncome,quarterlyFreeCashFlow,quarterlyRetainedEarnings,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyNonCurrentDeferredRevenue,quarterlyCurrentLiabilities,quarterlyBasicAverageShares,quarterlyCurrentAssets,quarterlyTotalRevenue,quarterlyGrossPPE,quarterlyIncomeTaxPayable,quarterlyChangeInInventory,quarterlyLongTermDebt,quarterlyOtherCurrentAssets,quarterlyCostOfRevenue,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,quarterlyOtherNonCurrentLiabilities,quarterlyInvestmentsAndAdvances,quarterlyGrossProfit,quarterlyChangeInAccountPayable,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyDilutedEPS,quarterlyNetIncomeContinuousOperations,quarterlyOperatingExpense,quarterlyNetIncome,quarterlyGoodwill,quarterlyNetOtherInvestingChanges,quarterlyCurrentDeferredRevenue,quarterlySellingGeneralAndAdministration,quarterlyStockholdersEquity
2000-07-31,-142501000.0,,,-78914000.0,11567000,,167707000,2580000.0,,1693051000,,416953000,,-71049000,143523000,42554000.0,438878000.0,,28712000,-23261000,-212415000,-443000,725112000,2878902000,,750108000,999939000.0,,1276098000.0,,-545154000,962107000,2043000.0,29064000.0,79145000,17145000,416953000,-332296000,,,710174000.0,142890000,53658000,,807375000,89232000,-235676000,520666000,-137247000.0,-157435000,,806837000,,2128794000,162259000,310208000.0,,,538000.0,368323000.0,-116259000,,,0.0,,278518000,,538000.0,,17145000,189286000,17145000,,1128000,,93074000,2071289000
2000-10-31,-163307000.0,,,-3868000.0,-30916000,,183243000,,33901000.0,1526031000,411454000.0,278719000,,0,155529000,47878000.0,529318000.0,,-78995000,-29383000,-15198000,31515000,686186000,2858423000,-0.08,868090000,980595000.0,,1247312000.0,,-138234000,416953000,1587467000.0,-2801000.0,81877000,-33765000,278719000,-154551000,,,-998903000.0,-33475000,57720000,,786568000,-91195000,-44581000,486901000,2170000.0,-53340000,,768063000,411454000.0,1990333000,187522000,346550000.0,,,18505000.0,396364000.0,69881000,67938000.0,,0.0,,117641000,,18505000.0,-0.08,-48079000,208836000,-33765000,,-1000000,,121279000,2071567000
2001-01-31,-163307000.0,,,-70296000.0,14188000,,184461000,,23149000.0,1646070000,431854000.0,377407000,,0,137412000,54599000.0,542744000.0,,40750000,-16581000,83877000,27782000,826875000,3179129000,0.065,864617000,873575000.0,,1268663000.0,,98688000,278719000,1669583000.0,31803000.0,118234000,26562000,377407000,-12971000,,,-881441000.0,145922000,51327000,,963895000,94595000,67296000,513463000,43293000.0,-75595000,,945109000,415188000.0,2314512000,457560000,347768000.0,,,18786000.0,414783000.0,107677000,253659000.0,,0.0,,349883000,,18786000.0,0.06,26562000,255288000,26562000,,-254000,,157615000,2214849000
2001-04-30,-163307000.0,,,-134317000.0,55294000,,181635000,,8036000.0,1685027000,417430000.0,437604000,,0,131665000,52697000.0,487667000.0,,40993000,-12047000,166125000,4304000,692688000,3091916000,-0.035,800967000,672675000.0,,1247423000.0,,60197000,377407000,1682138000.0,7905000.0,74709000,-14301000,437604000,-112713000,,,-704666000.0,160691000,-63839000,,901875000,160691000,154078000,499162000,4330000.0,15049000,,886089000,417430000.0,2290949000,425210000,344942000.0,,,15786000.0,367908000.0,81888000,103310000.0,,0.0,,343322000,,15786000.0,-0.035,-14301000,182631000,-14301000,,1254000,82374000.0,129934000,2189205000
2001-07-31,-156566000.0,,,-70574000.0,-38795000,,185969000,38672000.0,31714000.0,1654716000,,450104000,,0,66606000,51911000.0,88348000.0,,-100084000,-19091000,-1591000,17060000,374619000,2961736000,,813814000,607821000.0,,1204612000.0,,12500000,437604000,2105000.0,6460000.0,66400000,-61289000,450104000,-3079000,,,-587499000.0,238472000,280416000,,800375000,-41944000,-20682000,437873000,-126475000.0,21318000,,787962000,,2147922000,191169000,342535000.0,,,12413000.0,353651000.0,52594000,27990000.0,183253000.0,0.0,,138575000,,12413000.0,,-61289000,180519000,-61289000,326986000.0,0,125018000.0,113659000,2161326000
2001-10-31,-156566000.0,,,-80341000.0,-30790000,,184973000,39532000.0,22019000.0,1505809000,422078000.0,415044000,,0,28108000,49940000.0,374770000.0,,-123217000,-16343000,-90875000,1482000,524255000,2854000000,-0.22,733666000,419760000.0,,1090765000.0,-21137000.0,-35060000,450104000,0.0,-18507000.0,83540000,-92427000,415044000,54992000,,,-347531000.0,-22189000,59484000,,798990000,-81673000,-107218000,345446000,198000.0,-107453000,,786837000,422078000.0,2120334000,208766000,341539000.0,,,12153000.0,441848000.0,72352000,43024000.0,,0.0,,136414000,,12153000.0,-0.22,-92427000,218087000,-92427000,,-894000,139510000.0,139441000,2054975000
2002-01-31,-156566000.0,,,-60467000.0,13745000,,183389000,36753000.0,35593000.0,1536113000,438710000.0,488555000,,0,26821000,53263000.0,348600000.0,,133613000,-15210000,63062000,-20351000,631969000,3150878000,0.28,705015000,545503000.0,,1047558000.0,-53131000.0,73511000,415044000,0.0,-12579000.0,100440000,119868000,488555000,28659000,,,-496940000.0,271532000,85978000,,937748000,185554000,47852000,465314000,-293000.0,-156441000,,925499000,425040000.0,2445863000,547245000,339955000.0,,,12249000.0,524338000.0,121064000,262513000.0,,0.0,,426181000,,12249000.0,0.275,119868000,240627000,119868000,,2838000,156337000.0,180193000,2213095000
2002-04-30,-156566000.0,,,-41135000.0,67938000,,181442000,17451000.0,14974000.0,1800393000,434346000.0,454791000,,0,29317000,52908000.0,310949000.0,,212437000,-16666000,364604000,-85294000,710003000,3223498000,0.34,667728000,947671000.0,,1345602000.0,-74997000.0,-33764000,488555000,0.0,-7059000.0,77310000,144481000,454791000,-312116000,,,-1240602000.0,290463000,58436000,,913482000,232027000,347938000,609795000,138000.0,151055000,,902273000,423228000.0,2555770000,545226000,338008000.0,,,11209000.0,563254000.0,80513000,69216000.0,,0.0,,464713000,,11209000.0,0.335,144481000,232686000,144481000,,-2519000,97509000.0,164976000,2310016000
2002-07-31,-207449000.0,,,-49288000.0,-35714000,,181758000,17926000.0,60979000.0,1267220000,,435087000,,0,54800000,47411000.0,125474000.0,,-137894000,5660000,240439000,-106295000,386917000,2963026000,,967533000,1262757000.0,,832133000.0,-169085000.0,336099000,454791000,2112000.0,-16303000.0,76669000,-31762000,435087000,202909000,,,-764475000.0,-50701000,-129054000,,747387000,-52682000,246099000,511342000,-24748000.0,63454000,,732777000,,1995493000,57111000,389207000.0,,,14610000.0,553278000.0,22901000,56467000.0,91507000.0,0.0,,34210000,,14610000.0,,-102162000,86892000,-31762000,428948000.0,-30300000,159758000.0,77737000,2215639000
2002-10-31,-207449000.0,,,-16991000.0,-25818000,,189550000,18026000.0,43328000.0,858618000,415930000.0,308176000,,0,34066000,65682000.0,707402000.0,,-86059000,-27747000,41948000,-257147000,395209000,2679747000,-0.13,1102446000,569687000.0,,550442000.0,-300349000.0,-126911000,435087000,1864172000.0,-8970000.0,80847000,-54685000,308176000,88606000,,,-279300000.0,-55284000,22120000,,752136000,-77404000,14201000,424190000,5967000.0,-58293000,,737752000,415930000.0,1577301000,223282000,396999000.0,,,14384000.0,492687000.0,71313000,65353000.0,77595000.0,0.0,,151969000,,14384000.0,-0.13,-60241000,229373000,-54685000,,-2292000,166075000.0,160714000,1927611000
2003-01-31,-207449000.0,,,-7397000.0,55905000,,195990000,2717000.0,47265000.0,1116900000,424910000.0,379915000,,0,35546000,66080000.0,708196000.0,,181276000,-27223000,389195000,-76874000,458202000,2840630000,0.31,1112567000,195427000.0,,736985000.0,-122861000.0,92078000,308176000,0.0,-5660000.0,107189000,128430000,379915000,-219297000,,,-373984000.0,202664000,21761000,,842972000,180903000,361972000,519029000,-3334000.0,56373000,,830206000,411364000.0,1728063000,558076000,403439000.0,,,12766000.0,265936000.0,115783000,244437000.0,91598000.0,0.0,,442293000,,12766000.0,0.3,125371000,261390000,128430000,,-32000,170500000.0,191792000,1997658000
2003-04-30,-207449000.0,,,-1392000.0,100766000,,192629000,,35050000.0,1522403000,420896000.0,450279000,,0,30232000,62002000.0,719694000.0,,323734000,-15622000,491591000,-41685000,592591000,3182249000,0.715,1115390000,814529000.0,,1072124000.0,-75336000.0,70364000,379915000,0.0,-8103000.0,73406000,293977000,450279000,-379900000,,,-1147589000.0,341402000,24469000,,922742000,316933000,475969000,782311000,-6000.0,154569000,,910935000,411418000.0,2066859000,634698000,400078000.0,,,11807000.0,325170000.0,88706000,119475000.0,115753000.0,0.0,,545992000,,11807000.0,0.7,222968000,229059000,293977000,,-481000,129185000.0,163395000,2259507000
2003-07-31,-275260000.0,,,64207000.0,-1066000,,188253000,,30218000.0,1207666000,,170043000,,0,33547000,63612000.0,716536000.0,,-25754000,20193000,-353298000,-286057000,560539000,2790267000,,1121397000,535947000.0,,1037623000.0,-315781000.0,-274436000,450279000,1995000.0,-26639000.0,56786000,-24688000,170043000,23972000,,,-501663000.0,-8972000,24613000,,825430000,-33585000,-333105000,742248000,19914000.0,-42872000,,796165000,,1668870000,175845000,463513000.0,,,29265000.0,306007000.0,69561000,88156000.0,,0.0,,106284000,,29265000.0,,-24688000,139869000,-24688000,,-31662000,178840000.0,142939000,1964837000
2003-10-31,-275260000.0,,,-5902000.0,-27812000,,188997000,,31935000.0,1201797000,397494000.0,147607000,,0,37639000,71331000.0,823789000.0,,-81777000,-21105000,-75132000,-69344000,452462000,2599683000,-0.135,1233486000,801237000.0,,1054190000.0,-103072000.0,-22436000,170043000,0.0,-25319000.0,84633000,-53965000,147607000,123853000,,,-534373000.0,-57310000,26055000,,751342000,-83365000,-96237000,669801000,,-61904000,,720284000,397494000.0,1366197000,242528000,464257000.0,,,31058000.0,0.0,74638000,76828000.0,,0.0,,167890000,,31058000.0,-0.135,-53965000,251255000,-53965000,,-3908000,183189000.0,176635000,1848341000
2004-01-31,-275260000.0,,,-6690000.0,76804000,,196913000,,54621000.0,978912000,406860000.0,87831000,,0,36836000,73333000.0,815631000.0,,225870000,-26557000,203739000,-115784000,636025000,2873138000,0.375,1232441000,424306000.0,,891081000.0,-158055000.0,-59776000,147607000,0.0,-24604000.0,104448000,149066000,87831000,-149799000,,,-545629000.0,250575000,25185000,,963023000,225390000,177182000,785951000,,10713000,,944159000,395330000.0,1640697000,636289000,472173000.0,,,18864000.0,281448000.0,115256000,283959000.0,,0.0,,521033000,,18864000.0,0.365,149066000,295643000,149066000,,893000,203686000.0,218986000,1910115000
2004-04-30,-275260000.0,,,-6284000.0,87979000,,215825000,,18334000.0,1178496000,397496000.0,18520000,,0,34053000,71167000.0,803487000.0,,352012000,-38544000,469738000,-232627000,656527000,2963868000,0.68,1236426000,1402396000.0,,1159976000.0,-250374000.0,-69311000,87831000,0.0,-24349000.0,77905000,264033000,18520000,-306224000,,,-1673066000.0,378712000,25190000,,1018514000,353522000,431194000,1039476000,,170310000,,1000747000,389034000.0,1727442000,712953000,491085000.0,,,17767000.0,323022000.0,96071000,138446000.0,113594000.0,0.0,,616882000,,17767000.0,0.665,264033000,263360000,264033000,,2890000,152721000.0,188771000,1945354000
2004-07-31,-336658000.0,,,-23260000.0,-1101000,,233101000,,14250000.0,1019220000,,27249000,,0,33494000,65298000.0,777331000.0,,-43205000,33946000,-23770000,-88781000,428495000,2696178000,,1179637000,862594000.0,,991971000.0,-98683000.0,8729000,18520000,1901000.0,-22809000.0,70443000,-42104000,27249000,121165000,,,-801795000.0,7259000,39293000,,873759000,-32034000,10176000,984391000,,-97464000,,857365000,,1516541000,275893000,569759000.0,,,16394000.0,323041000.0,75632000,92265000.0,135047000.0,0.0,,200261000,,16394000.0,,-42104000,232295000,-42104000,,29260000,223380000.0,162897000,1822419000
2004-10-31,-336658000.0,,,-4286000.0,-30786000,,236999000,,30958000.0,759653000,376692000.0,52008000,,0,52213000,75107000.0,755220000.0,,-73256000,-24407000,-88684000,-139009000,418575000,2455519000,-0.12,1183399000,948003000.0,,707645000.0,-170562000.0,24710000,27298000,0.0,-19016000.0,83526000,-46136000,52008000,251526000,,,-667184000.0,-41165000,31756000,,809890000,-72921000,-113091000,914205000,7160000.0,-95052000,,792893000,376692000.0,1272120000,265990000,573657000.0,,,16997000.0,334075000.0,76472000,69122000.0,72800000.0,0.0,,189518000,,16997000.0,-0.12,-42470000,262439000,-46136000,,-4886000,217992000.0,183978000,1645629000
2005-01-31,-336658000.0,,,-4112000.0,78627000,,226542000,,29412000.0,884629000,380200000.0,36566000,,0,38147000,77743000.0,749525000.0,,227470000,-13158000,220254000,-85076000,580458000,2775819000,0.395,1150437000,532529000.0,,848063000.0,-113649000.0,-15442000,52008000,0.0,-16772000.0,102284000,147252000,36566000,-150607000,,,-683721000.0,261081000,32587000,,1061019000,228494000,207096000,1044356000,-6890000.0,38200000,,1044851000,372662000.0,1625382000,662639000,563200000.0,,,16168000.0,330886000.0,117607000,307765000.0,109297000.0,0.0,,545032000,,16168000.0,0.385,148843000,316538000,147252000,,8280000,252812000.0,235356000,1714800000
2005-04-30,-336658000.0,,,-3846000.0,131485000,,217801000,,37035000.0,1260396000,373774000.0,122353000,,0,38106000,79422000.0,739934000.0,,431992000,-18765000,586810000,-182226000,743863000,3028784000,0.82,1137744000,392351000.0,,1138043000.0,-216456000.0,85787000,36566000,1963378000.0,-16665000.0,96174000,300507000,122353000,-318426000,,,-716055000.0,471898000,41862000,,1187619000,430036000,568045000,1332726000,-43333000.0,269714000,,1169914000,366844000.0,1891040000,849505000,554459000.0,,,17705000.0,361232000.0,103121000,141728000.0,119781000.0,0.0,,746384000,,17705000.0,0.805,300507000,316348000,300507000,,30511000,210096000.0,233572000,1841165000
2005-07-31,-431349000.0,,,924000.0,1748000,,208548000,,68392000.0,994258000,,83842000,,0,195912000,72969000.0,579177000.0,,-30149000,18145000,-120676000,-141788000,513387000,2716451000,,1102112000,1139312000.0,,910416000.0,-209220000.0,-37205000,122353000,1793000.0,-16109000.0,65812000,-19996000,83842000,225568000,,,-870626000.0,-16705000,28261000,,1020952000,-44966000,-102531000,1291487000,61523000.0,-190580000,,1003404000,,1614339000,259569000,639897000.0,,,13830000.0,379827000.0,75453000,86125000.0,144823000.0,0.0,,184116000,,17548000.0,,-31897000,229082000,-19996000,,-70701000,279382000.0,156009000,1695499000
2005-10-31,-431349000.0,,,508000.0,-34439000,,210974000,,21468000.0,697304000,354812000.0,74974000,,939000,198814000,97280000.0,581495000.0,,-92050000,-25057000,-83779000,-173027000,473050000,2442366000,-0.13,1100630000,575844000.0,,622330000.0,-194800000.0,-8868000,83842000,1756000.0,1291000.0,96928000,-45804000,74974000,247066000,,,-289119000.0,-69643000,29219000,,941743000,-98862000,-108836000,1238527000,2520000.0,-90786000,,924829000,354812000.0,1341736000,304071000,642323000.0,,,16914000.0,366148000.0,91679000,73226000.0,80536000.0,0.0,,212392000,,16914000.0,-0.13,-57611000,311254000,-45804000,,-14602000,274315000.0,211025000,1500623000
2006-01-31,-431349000.0,,,-526000.0,92074000,,211582000,,-9022000.0,833876000,363582000.0,122706000,,-939000,44516000,100084000.0,597066000.0,,247321000,2202000,253995000,11359000,616589000,2694275000,0.52,978112000,-268731000.0,,711170000.0,-105381000.0,56600000,74974000,0.0,1312000.0,126042000,182973000,122706000,-208972000,,,-182130000.0,245288000,-609000,,1140373000,242525000,256197000,1372384000,-6648000.0,45723000,,1123858000,350292000.0,1716163000,742704000,642931000.0,,,16515000.0,424008000.0,135132000,319493000.0,124529000.0,0.0,,607572000,,16515000.0,0.505,155247000,365047000,182973000,,91253000,256698000.0,262200000,1553902000
2006-04-30,-431349000.0,,,-3199000.0,190229000,,197495000,,205100000.0,1282177000,355918000.0,252969000,,22949000,44115000,97335000.0,62096000.0,,488877000,-36596000,574869000,-378543000,817791000,2958786000,0.87,981679000,852305000.0,,1029208000.0,-479804000.0,121395000,122706000,1705000.0,2482000.0,92985000,298648000,252969000,-77414000,,,-800315000.0,541256000,57871000,,1285851000,483385000,538273000,1640576000,-31150000.0,246534000,,1270142000,343670000.0,1977107000,952603000,628844000.0,,,15709000.0,408790000.0,107931000,144940000.0,139095000.0,0.0,,844672000,,15709000.0,0.84,298648000,361287000,298648000,530095000.0,-82375000,220271000.0,261663000,1672935000
2006-07-31,-523937000.0,,,-2491000.0,-15774000,,194434000,,61760000.0,1197200000,,179601000,,4032000,49354000,104284000.0,59521000.0,,-33937000,-22623000,-135535000,61389000,480150000,2770027000,,952997000,376494000.0,,1017599000.0,-4201000.0,-73368000,252969000,3442000.0,1084000.0,70808000,-18854000,179601000,1156000,,,-365201000.0,-23640000,30527000,,1031373000,-54167000,-158158000,1588124000,16335000.0,-188574000,,1015974000,,1817030000,342925000,718371000.0,,,15399000.0,357299000.0,91447000,97797000.0,171903000.0,0.0,,251478000,,15399000.0,,-18854000,305645000,-18854000,504991000.0,-5310000,293113000.0,199460000,1738086000
2006-10-31,-523937000.0,,,-1621000.0,-31268000,,201700000,,82898000.0,1059161000,346214000.0,166074000,,8753000,54871000,120214000.0,63010000.0,,-89983000,-29223000,-136706000,91210000,555680000,2835159000,-0.17,1017281000,525885000.0,,893087000.0,,-13527000,179601000,3484000.0,1799000.0,97854000,-58930000,166074000,31107000,,,-400875000.0,-70608000,28044000,26902000.0,1035921000,-98652000,-165929000,1523049000,-2847000.0,-131845000,,1020973000,346214000.0,1817878000,362071000,725637000.0,,,14948000.0,436212000.0,105715000,95499000.0,90792000.0,0.0,,256356000,,14948000.0,-0.17,-58930000,355008000,-58930000,555506000.0,-4678000,276647000.0,232486000,1798424000
2007-01-31,-523937000.0,,,-2334000.0,79673000,,205377000,,41299000.0,1135556000,360573000.0,286328000,,7967000,56897000,115474000.0,57350000.0,,225370000,-23683000,243137000,-156981000,637086000,3033999000,0.42,1010005000,522334000.0,,849228000.0,,120254000,166074000,3440000.0,13790000.0,120300000,145362000,286328000,35942000,,,-479703000.0,244766000,27449000,23979000.0,1209372000,217317000,219454000,1654308000,-6552000.0,50171000,,1190994000,347185000.0,2023994000,763307000,729314000.0,,,18378000.0,411774000.0,138546000,310506000.0,138145000.0,0.0,,624761000,,18378000.0,0.4,145362000,407444000,145362000,555023000.0,-2026000,295463000.0,290046000,1823649000
2007-04-30,-523937000.0,,,-9313000.0,208634000,,254128000,,26731000.0,1365102000,351686000.0,264573000,12823000.0,-6111000,66902000,119132000.0,326496000.0,,577256000,-36402000,708234000,718312000,702679000,4213356000,1.08,2280149000,845556000.0,,1100529000.0,-301378000.0,-21755000,286328000,3349000.0,3858000.0,129343000,367211000,264573000,-1453100000,,,-1097727000.0,629860000,41435000,21753000.0,2269067000,588425000,671832000,2019614000,-2376000.0,269739000,,1229609000,339495000.0,1933207000,1154397000,778065000.0,,,997777000.0,259086000.0,138824000,190776000.0,153231000.0,41681000.0,,1015573000,,1039458000.0,1.04,368351000,427148000,367211000,1569009000.0,42756000,244356000.0,294199000,1943322000
2007-07-31,-610345000.0,,,26548000.0,-5432000,,298396000,,60442000.0,1303671000,,255201000,14268000.0,20877000,119712000,117696000.0,292884000.0,,-16231000,-63949000,-87905000,81319000,534271000,4252026000,,2300094000,633555000.0,,1048470000.0,0.0,-9372000,264573000,3391000.0,6096000.0,119799000,-13640000,255201000,-6576000,,,-488337000.0,-7095000,41802000,29848000.0,2215684000,-48897000,-151854000,1984885000,-27425000.0,-97226000,,1160109000,,1951932000,393172000,908741000.0,,,997819000.0,322856000.0,126361000,131691000.0,192286000.0,57756000.0,,266811000,,1055575000.0,,-11315000,315708000,-13640000,1517036000.0,-139090000,313753000.0,216720000,2035013000
2007-10-31,-610345000.0,,,16652000.0,-28328000,,346369000,,53483000.0,1003451000,337584000.0,146068000,14049000.0,9361000,74962000,149336000.0,271059000.0,,-75393000,-65275000,-161363000,-187154000,433137000,3951697000,-0.06,2299829000,480506000.0,,857383000.0,-249998000.0,-109133000,255201000,2291740000.0,8711000.0,159940000,-20804000,146068000,233595000,,,-289490000.0,-53472000,41715000,30246000.0,2090933000,-95187000,-226638000,1959089000,7247000.0,-156932000,,997646000,337584000.0,1651868000,444938000,956714000.0,,,997863000.0,275246000.0,144015000,144418000.0,104789000.0,95424000.0,,300923000,,1093287000.0,-0.06,-47571000,396110000,-20804000,1519190000.0,110329000,299780000.0,246774000,1858810000
2008-01-31,-610345000.0,,100527000.0,5921000.0,62555000,,384700000,,115344000.0,837177000,342751000.0,230148000,13510000.0,14450000,78399000,149767000.0,272955000.0,-134071000.0,179049000,-121919000,37544000,-370204000,797572000,4371856000,0.35,2462562000,891952000.0,-236938000.0,607029000.0,-499998000.0,-25053000,255201000,2339360000.0,9169000.0,144169000,115247000,230148000,305251000,,56235000.0,-448691000.0,281943000,100230000,2936000.0,2525396000,181713000,-84375000,2068302000,39592000.0,-156509000,,1426963000,331139000.0,1909294000,834874000,995045000.0,,,997906000.0,533180000.0,173017000,372385000.0,148595000.0,0.0,,661857000,10375000.0,1098433000.0,0.34,116002000,480144000,115247000,1628512000.0,20833000,336627000.0,330377000,1842522000
2008-04-30,-610345000.0,,,4839000.0,241612000,,469675000,,153790000.0,896900000,333436000.0,471504000,12830000.0,10153000,366386000,149985000.0,290125000.0,-262839000.0,686125000,-217254000,869493000,-636055000,773397000,4548433000,1.37,2919941000,1069854000.0,-86398000.0,425396000.0,-799998000.0,216303000,255201000,3200000.0,8138000.0,156531000,444179000,471504000,-19290000,,86328000.0,-738991000.0,840923000,157168000,8364000.0,2491829000,683755000,652239000,2509361000,47233000.0,146801000,,1389595000,323408000.0,1628492000,1313008000,1080020000.0,,,997951000.0,358001000.0,154023000,225047000.0,179423000.0,104283000.0,,1158985000,10708000.0,1102234000.0,1.33,444179000,475230000,444179000,1698436000.0,32793000,280244000.0,325245000,2050424000
2008-07-31,-684570000.0,,,-9942000.0,-30260000,,507499000,,47715000.0,827833000,,413340000,11901000.0,1831000,361858000,156730000.0,273087000.0,,-91796000,-88873000,-39303000,49546000,762285000,4666584000,,2893022000,212362000.0,,414493000.0,0.0,-58164000,471504000,3226000.0,7722000.0,115198000,-61860000,413340000,-67515000,,,-195344000.0,-1908000,82088000,34112000.0,2586723000,-83996000,-128176000,2443982000,41408000.0,-116844000,,1467238000,,1773562000,482154000,1192069000.0,,,997996000.0,610748000.0,153203000,127230000.0,229819000.0,121489000.0,,328951000,,1119485000.0,,-61860000,412947000,-61860000,1698087000.0,41660000,359936000.0,252217000,2072954000
2008-10-31,-684570000.0,,,-9011000.0,-37117000,,533427000,,65611000.0,458588000,323269000.0,169557000,13599000.0,5364000,366819000,136217000.0,248354000.0,,-89052000,-67210000,-199681000,-94229000,440162000,4105750000,-0.16,2869914000,158701000.0,,289031000.0,-165204000.0,-243783000,413340000,0.0,1155000.0,131238000,-52144000,169557000,57697000,,,-36072000.0,-2700000,60742000,26248000.0,2151543000,-63442000,-266891000,2370173000,45007000.0,-284667000,,1027738000,323269000.0,1235836000,481379000,1217997000.0,,,998042000.0,327526000.0,160321000,142980000.0,116481000.0,125763000.0,,321058000,,1123805000.0,-0.16,-52144000,384500000,-52144000,1693666000.0,2278000,339857000.0,251283000,1947025000
2009-01-31,-684570000.0,,,-30237000.0,-18467000,,539854000,,78499000.0,547851000,329482000.0,338708000,23417000.0,7038000,76778000,279466000.0,219415000.0,-3341000.0,15009000,-116884000,-57138000,-114714000,457975000,4390008000,0.1,2820138000,288250000.0,-316517000.0,209143000.0,-200251000.0,-74632000,413340000,0.0,-8286000.0,122544000,32896000,338708000,107634000,,56651000.0,-66956000.0,164529000,126103000,6656000.0,2354413000,55663000,-174022000,2445894000,51188000.0,-324135000,,1236260000,321900000.0,1569870000,1272355000,1224424000.0,187000.0,,998089000.0,0.0,338481000,441572000.0,20597000.0,120064000.0,254327000.0,933874000,14903000.0,1118153000.0,0.1,32896000,878211000,32896000,1693390000.0,6565000,471903000.0,598745000,2034003000
2009-04-30,,,,-25017000.0,254401000,,535603000,,125812000.0,1472100000,329412000.0,1222028000,36059000.0,-9915000,76948000,412332000.0,202016000.0,-12831000.0,772913000,-148371000,877891000,-84354000,519293000,5032975000,1.61,2813842000,319253000.0,-146475000.0,250072000.0,-200251000.0,808688000,413340000,0.0,2539000.0,147662000,517716000,1222028000,25365000,,93601000.0,-138163000.0,998094000,189122000,10075000.0,2433088000,830189000,729520000,2926151000,53556000.0,21183000,,1309138000,321897000.0,2219133000,2706763000,,149355000.0,,998136000.0,0.0,511553000,272676000.0,6659000.0,125814000.0,268395000.0,2195210000,39899000.0,1123950000.0,1.57,517716000,1365021000,517716000,1694307000.0,5477000,298939000.0,952689000,2598519000
2009-07-31,-812782000.0,,,-19287000.0,-67646000,,528949000,,167704000.0,1347020000,,678902000,38542000.0,-8129000,76771000,433366000.0,292964000.0,-177867000.0,-104473000,-150965000,-122665000,-140674000,368037000,4826329000,,2858467000,452758000.0,-187735000.0,668118000.0,-300249000.0,-617758000,1222028000,3228000.0,7504000.0,104963000,-37779000,678902000,-350172000,,95828000.0,-479257000.0,145723000,211654000,10048000.0,2268979000,-50344000,-273630000,2848771000,38380000.0,-432174000,,1083829000,,1967862000,1748129000,1341731000.0,358000.0,,998184000.0,0.0,503776000,146869000.0,20597000.0,186966000.0,97095000.0,1244353000,-31851000.0,1185150000.0,,-37779000,1294697000,-37779000,1826172000.0,5159000,378148000.0,861331000,2555799000
2009-10-31,,,,-10000000.0,-42000000,,522000000,,65000000.0,927000000,320000000.0,313000000,16000000.0,-13000000,81000000,143000000.0,258000000.0,,-110000000,-32000000,-140000000,-248000000,433000000,4454000000,-0.21,2818000000,424000000.0,-13000000.0,614000000.0,-300000000.0,-366000000,679000000,0.0,7000000.0,114000000,-68000000,313000000,22000000,,27000000.0,-388000000.0,-19000000,75000000,4000000.0,2182000000,-89000000,-172000000,2759000000,-24000000.0,-157000000,,1020000000,320000000.0,1636000000,493000000,,,,1162000000.0,293000000.0,154000000,160000000.0,118000000.0,164000000.0,92000000.0,339000000,9000000.0,1162000000.0,-0.21,-68000000,428000000,-68000000,1824000000.0,18000000,355000000.0,263000000,2272000000
